"step (in thousands)"	"25th percentile"	"median"	"75th percentile"	"means"
0	0	0	0	0
0	0	0	0	0
0	0	0	-0.0027	0
0	0	-0.0012	-0.0015	6e-04
0	0	-6e-04	-8e-04	9e-04
0	0	-4e-04	-2e-04	0.0012
0	-4e-04	-8e-04	4e-04	0.004
0	6e-04	0.000900000000000001	-0.0017	0.01205
0	-0.0029	-0.0013	-0.0014	0.02095
0	-0.0024	-5e-04	0.001	0.03225
0	0.0032	0.0028	0.0039	0.0515
0	0.0025	0.00170000000000001	0.0142	0.07675
0	0.00349999999999999	0.00919999999999999	0.0184	0.1273
0	0.00609999999999999	0.0182	0.0207	0.1974
0	0.00940000000000002	0.0224	0.0348	0.3006
0	0.0166	0.022	0.0195	0.4466
0	0.00280000000000002	0.0101	0.0082000000000001	0.57325
0	0.00290000000000001	0.00269999999999992	0.00890000000000002	0.65935
0	-0.00569999999999993	0.0122	-0.00480000000000003	0.6867
0	0.0264	0.00890000000000002	-0.00739999999999996	0.69535
0	0.0265	-0.00239999999999996	-0.000699999999999923	0.7077
0	0.0151	0.00680000000000003	-0.00879999999999992	0.7053
0	0.004	-0.00169999999999992	0.0117	0.70805
0	-0.00239999999999996	0.00790000000000002	0.0209	0.71085
0	0.00229999999999997	0.00620000000000009	0.0166999999999999	0.7091
0	-0.00409999999999999	-0.00380000000000003	0.00229999999999997	0.7195
0	-0.00980000000000003	0.00109999999999999	-0.00569999999999993	0.71735
0	-0.0114	-0.0152	-0.0164000000000001	0.7182
0	-0.00749999999999995	-0.0108	-0.0135000000000001	0.7162
0	0.015	0.002	0.00120000000000009	0.7183
0	-0.00780000000000003	-0.0164	-0.00309999999999999	0.712
0	0.00460000000000005	0.00650000000000006	-0.000699999999999923	0.71435
0	-0.000600000000000045	-0.00550000000000006	-0.0113	0.72155
0	0.0212	0.00549999999999995	0.00939999999999996	0.71635
0	0.0118	0.0105	0.000900000000000012	0.72605
0	0.0105	0.00209999999999999	-0.00729999999999997	0.72075
0	-0.0123	-0.0177	-0.00480000000000003	0.71455
0	-0.0198	-0.0198	0.00680000000000003	0.7076
0	0.00519999999999998	-0.00470000000000004	-0.006	0.71855
0	0.00119999999999998	-0.00650000000000006	0.00769999999999993	0.72035
0	0.00509999999999999	0.00429999999999997	0.0159	0.72405
0	0.00260000000000005	0.0131	0.00779999999999992	0.72795
0	-0.00229999999999997	0.00439999999999996	0.00349999999999995	0.7281
0	0.00109999999999999	0.00739999999999996	0.000900000000000012	0.7211
0	0.00570000000000004	0.001	0.00290000000000001	0.725
0	0.0145999999999999	0.0133	0.0131	0.72305
0	0.00330000000000008	0.005	9.9999999999989e-05	0.7185
0	0.00419999999999998	0.0103	0.00529999999999997	0.72465
0	-0.00460000000000005	-0.0142	-0.006	0.7214
0	-0.0123000000000001	-0.00580000000000003	0.00529999999999997	0.727
0	0.00739999999999996	-0.013	-0.0135	0.7252
0	-0.00690000000000002	0.000200000000000089	0.00550000000000006	0.7153
0	0.00209999999999999	0.0114	-0.00439999999999996	0.7181
0	-0.0263	-0.0122	-0.0164	0.7127
0	-0.0101	-0.0282	-0.0174000000000001	0.712
0	-0.00650000000000006	-0.00329999999999997	-0.0175000000000001	0.71385
0	0.000299999999999967	0.00580000000000003	0.0197999999999999	0.7195
0	0.0109	0.0165	0.0122	0.73075
0	0.0091	0.0161	0.0161	0.72385
0	0.012	0.00929999999999997	0.00719999999999998	0.71185
0	0.00590000000000002	-0.0148	-0.00839999999999996	0.7202
0	0.0162	0	-0.0101	0.7202
0	-0.00549999999999995	-0.012	-0.00560000000000005	0.7221
0	0.00319999999999998	-0.00670000000000004	-0.00440000000000007	0.71815
0	-0.0102000000000001	-0.00309999999999999	-0.00270000000000004	0.71785
0	0.005	-0.00680000000000003	0.00580000000000003	0.7149
0	-0.00749999999999995	-0.005	-0.00859999999999994	0.7241
0	-0.000799999999999912	-0.0115999999999999	-0.00850000000000006	0.7263
0	-0.0209	-0.0257000000000001	-0.012	0.72575
0	-0.0174000000000001	-0.0143000000000001	-0.0177999999999999	0.71425
0	-0.00650000000000006	-0.00919999999999999	-0.0181	0.7163
0	-0.00620000000000009	-0.00430000000000008	-0.00160000000000005	0.72015
0	0.00790000000000002	-0.0135999999999999	-0.0128	0.7245
0	-0.000299999999999967	-0.00519999999999998	-0.0111	0.7263
0	0.00519999999999998	-9.9999999999989e-05	-0.000199999999999978	0.73045
0	-0.004	-0.00800000000000001	-0.00420000000000009	0.7299
0	0.00980000000000003	-0.00850000000000006	-0.000800000000000023	0.72135
0	0.0118	-0.00829999999999997	-0.0161	0.72375
0	-0.00800000000000001	-0.000900000000000012	-0.00279999999999991	0.73255
0	-0.00619999999999998	0.0081	-0.0021000000000001	0.72675
0	-0.0091	0.002	0.0139999999999999	0.7274
0	0.00539999999999996	0.0181	0.0144000000000001	0.72535
0	0.0152	0.0142	0.0214	0.7154
0	0.02	0.0213	0.00169999999999992	0.72395
0	0.00900000000000001	0.00970000000000004	-0.00660000000000005	0.71765
0	0.0132	0.00259999999999994	-0.00850000000000006	0.7178
0	0.00409999999999999	-0.000600000000000045	-0.0105999999999999	0.7145
0	-0.006	-0.0118	0.00369999999999993	0.716
0	0.00480000000000003	9.9999999999989e-05	0.0115	0.72315
0	-0.000400000000000067	0.00579999999999992	-0.0107	0.7243
0	-0.00390000000000001	-0.00929999999999997	-0.022	0.72935
0	-0.0177	-0.00370000000000004	-0.0126000000000001	0.72655
0	0.00490000000000002	-0.00129999999999997	0.000800000000000023	0.72105
0	0	-0.00490000000000002	-0.00509999999999999	0.72315
0	-0.00239999999999996	-0.0038999999999999	-0.0139	0.72325
