"step (in thousands)"	"25th percentile"	"median"	"75th percentile"	"means"
0	0	0.0143	0.0224	0.01505
0	0.0143	0.0205	0.0313	0.02195
0	0.0179	0.0299	0.0454	0.03475
0	0.0379	0.0461	0.0571	0.04905
0	0.0467	0.0652	0.0721	0.0692
0	0.0685	0.0786	0.0854	0.0889
0	0.0951	0.1079	0.1145	0.12615
0	0.1122	0.1336	0.1414	0.1679
0	0.1452	0.1544	0.1843	0.2191
0	0.1696	0.1757	0.1949	0.25075
0	0.1879	0.1944	0.2073	0.2787
0	0.1992	0.2082	0.2214	0.3077
0	0.2088	0.2225	0.2298	0.33075
0	0.2214	0.2221	0.2304	0.35835
0	0.2285	0.2349	0.2449	0.38185
0	0.2314	0.2435	0.2408	0.44705
0	0.2417	0.2401	0.2444	0.48195
0	0.2287	0.2404	0.2437	0.5619
0	0.2299	0.2363	0.2455	0.62065
0	0.23	0.243	0.2442	0.6812
0	0.2381	0.25	0.2688	0.7373
0	0.2532	0.2711	0.2782	0.84565
0	0.2654	0.2682	0.2623	0.9339
0	0.2448	0.2533	0.2527	1.00335
0	0.2339	0.2376	0.2427	1.0512
0	0.221	0.2408	0.2386	1.0843
0	0.2197	0.2327	0.2413	1.10285
0	0.2206	0.2262	0.2425	1.1053
0	0.2184	0.2266	0.2407	1.1097
0	0.2221	0.23	0.2326	1.111
0	0.2269	0.2316	0.235	1.1114
0	0.2289	0.2309	0.2503	1.11135
0	0.2266	0.2306	0.2454	1.11
0	0.2297	0.2309	0.2341	1.11325
0	0.2278	0.2354	0.2323	1.1135
0	0.2263	0.2215	0.2339	1.11855
0	0.2298	0.2323	0.2341	1.11785
0	0.2253	0.2296	0.2284	1.116
0	0.217	0.2236	0.2356	1.1154
0	0.2148	0.2237	0.2385	1.11745
0	0.2179	0.2201	0.2332	1.11855
0	0.216	0.2231	0.2343	1.12045
0	0.2172	0.2233	0.2314	1.12025
0	0.2241	0.2313	0.2389	1.11855
0	0.2281	0.2335	0.2325	1.12075
0	0.2277	0.2376	0.2364	1.1198
0	0.2257	0.2375	0.2388	1.11995
0	0.229	0.2359	0.2425	1.11945
0	0.2335	0.2359	0.2417	1.11545
0	0.2149	0.2292	0.2449	1.1164
0	0.2198	0.2334	0.2353	1.1185
0	0.2195	0.2335	0.2348	1.12075
0	0.2214	0.2296	0.2415	1.1169
0	0.2165	0.2197	0.2306	1.11285
0	0.2226	0.2149	0.2174	1.11215
0	0.2173	0.2158	0.2153	1.1125
0	0.2096	0.2204	0.2156	1.1176
0	0.2101	0.2204	0.2219	1.1177
0	0.2138	0.2189	0.2266	1.11845
0	0.2118	0.2206	0.217	1.1196
0	0.2218	0.227	0.2239	1.1205
0	0.2203	0.2233	0.2238	1.11645
0	0.2283	0.2189	0.2313	1.11865
0	0.2207	0.2274	0.2334	1.1174
0	0.2202	0.229	0.2408	1.1214
0	0.2274	0.2298	0.2407	1.1186
0	0.2166	0.2317	0.2377	1.11715
0	0.2189	0.2269	0.2364	1.11605
0	0.2155	0.2247	0.2284	1.11515
0	0.2248	0.2252	0.2323	1.1152
0	0.2175	0.2344	0.2411	1.1183
0	0.2232	0.2373	0.241	1.11555
0	0.2268	0.232	0.243	1.1129
0	0.2193	0.2243	0.2432	1.11195
0	0.2178	0.2319	0.2427	1.11815
0	0.2169	0.2362	0.2407	1.1179
0	0.2129	0.23	0.2404	1.1194
0	0.2164	0.2239	0.2304	1.11475
0	0.2203	0.2255	0.2346	1.11445
0	0.2129	0.2208	0.2335	1.1128
0	0.2168	0.2209	0.2304	1.11635
0	0.2192	0.2252	0.2335	1.1208
0	0.2227	0.2296	0.2262	1.1202
0	0.2211	0.2234	0.2318	1.1154
0	0.2254	0.2289	0.2296	1.11775
0	0.2234	0.2223	0.2274	1.11665
0	0.2192	0.2284	0.2316	1.1163
0	0.2201	0.2281	0.239	1.11825
0	0.2279	0.2351	0.2372	1.11895
0	0.2307	0.2304	0.2348	1.1164
0	0.2269	0.2342	0.239	1.1169
0	0.2283	0.2318	0.2373	1.1204
0	0.2291	0.2278	0.2315	1.118
0	0.2244	0.2269	0.2344	1.11735
0	0.2261	0.2302	0.2275	1.1147
0	0.2247	0.229	0.2328	1.1132
