"step (in thousands)"	"25th percentile"	"median"	"75th percentile"	"means"
0	-0.0054	0.0081	0.0224	0.01335
0	0.0129	0.0163	0.0319	0.02645
0	0.0132	0.026	0.0346	0.0343
0	0.0256	0.0367	0.0487	0.05305
0	0.0355	0.0455	0.0582	0.06455
0	0.0445	0.0495	0.0645	0.07595
0	0.0576	0.0671	0.0776	0.09155
0	0.0659	0.0777	0.1011	0.11075
0	0.0912	0.1051	0.1266	0.14035
0	0.105	0.1243	0.1506	0.16745
0	0.1319	0.1491	0.1572	0.19745
0	0.1487	0.1655	0.1701	0.22325
0	0.1691	0.1812	0.1952	0.2482
0	0.1955	0.2078	0.2302	0.3104
0	0.2017	0.2097	0.2318	0.33805
0	0.2239	0.231	0.248	0.3964
0	0.2076	0.2327	0.25	0.50025
0	0.2154	0.2399	0.2431	0.53385
0	0.2257	0.2525	0.2518	0.58165
0	0.2282	0.2479	0.2536	0.63985
0	0.215	0.2435	0.2722	0.72765
0	0.2333	0.2576	0.2806	0.8346
0	0.2567	0.2513	0.2706	0.91835
0	0.2355	0.2484	0.2592	0.9832
0	0.2202	0.2446	0.2413	1.037
0	0.2348	0.2281	0.225	1.09285
0	0.2244	0.2221	0.227	1.10255
0	0.2275	0.2268	0.2225	1.1036
0	0.2222	0.2223	0.228	1.10235
0	0.2154	0.2279	0.2342	1.10245
0	0.2122	0.2244	0.2291	1.1058
0	0.2193	0.2291	0.2331	1.10815
0	0.2207	0.2317	0.2369	1.11255
0	0.2252	0.2277	0.2332	1.11085
0	0.2331	0.228	0.2326	1.1094
0	0.2361	0.2263	0.2331	1.10835
0	0.2294	0.2294	0.2341	1.1096
0	0.2322	0.2346	0.2339	1.1128
0	0.228	0.2383	0.2411	1.11545
0	0.2259	0.2307	0.2446	1.11555
0	0.2249	0.2274	0.2402	1.1124
0	0.2233	0.2294	0.237	1.1149
0	0.2257	0.2263	0.2339	1.11135
0	0.2214	0.2231	0.2305	1.11115
0	0.2157	0.2229	0.2307	1.11465
0	0.2179	0.2247	0.2327	1.11095
0	0.2172	0.2208	0.2252	1.1126
0	0.2272	0.221	0.2343	1.1134
0	0.2087	0.2312	0.2366	1.1144
0	0.2167	0.2245	0.2325	1.11345
0	0.2292	0.2276	0.2288	1.1177
0	0.2266	0.2291	0.2244	1.11845
0	0.219	0.2338	0.2308	1.1174
0	0.2266	0.2277	0.2304	1.11865
0	0.2209	0.2276	0.231	1.1192
0	0.2202	0.2246	0.2344	1.1176
0	0.2175	0.2235	0.2326	1.11945
0	0.2234	0.2286	0.2309	1.1149
0	0.2175	0.2237	0.227	1.11575
0	0.2156	0.2267	0.2335	1.11465
0	0.2268	0.2322	0.2425	1.1177
0	0.2235	0.2339	0.2341	1.11575
0	0.221	0.2326	0.2415	1.1164
0	0.2223	0.229	0.2343	1.119
0	0.2277	0.232	0.2308	1.1136
0	0.2424	0.2333	0.2311	1.11765
0	0.2372	0.2338	0.24	1.1188
0	0.2304	0.2312	0.243	1.1193
0	0.2199	0.225	0.2351	1.1164
0	0.2161	0.2222	0.2311	1.1107
0	0.2185	0.2165	0.2347	1.11135
0	0.2202	0.2202	0.2298	1.1107
0	0.2226	0.2252	0.2284	1.1094
0	0.2185	0.214	0.228	1.1105
0	0.2263	0.2242	0.2273	1.1139
0	0.2229	0.2304	0.2352	1.1121
0	0.2264	0.2355	0.2381	1.11235
0	0.2279	0.2428	0.2424	1.1156
0	0.2325	0.2403	0.2502	1.11625
0	0.2305	0.2391	0.2497	1.11585
0	0.2334	0.2374	0.246	1.1135
0	0.2367	0.2355	0.2414	1.11375
0	0.2322	0.2389	0.238	1.11165
0	0.2343	0.2382	0.2432	1.1111
0	0.2279	0.2383	0.2436	1.11495
0	0.2259	0.233	0.2384	1.115
0	0.2257	0.2278	0.2464	1.1172
0	0.2208	0.2309	0.2432	1.11715
0	0.2273	0.2302	0.2405	1.119
0	0.2236	0.2328	0.2386	1.1212
0	0.2302	0.2296	0.2425	1.1206
0	0.2234	0.2371	0.2367	1.12165
