"step (in thousands)"	"25th percentile"	"median"	"75th percentile"	"means"
0	0	0.0145	0.0266	0.01555
0	0.0044	0.0115	0.0223	0.01335
0	0.0056	0.0081	0.0179	0.01165
0	0.0065	0.008	0.014	0.0115
0	0.0068	0.0078	0.0131	0.011
0	0.0055	0.0073	0.011	0.01065
0	0.0048	0.0074	0.01	0.01
0	0.0047	0.0072	0.0093	0.0097
0	0.0042	0.0062	0.0094	0.0096
0	0.0044	0.0051	0.0081	0.00855
0	0.004	0.0042	0.009	0.0082
0	0.0034	0.0045	0.0072	0.00745
0	0.004	0.0043	0.0069	0.00765
0	0.0035	0.0043	0.0067	0.00765
0	0.0031	0.0043	0.0068	0.00755
0	0.003	0.0038	0.006	0.0079
0	0.0042	0.0057	0.0071	0.00895
0	0.0061	0.0071	0.0102	0.01205
0	0.0082	0.0102	0.0112	0.0172
0	0.0127	0.0148	0.0183	0.028
0	0.0217	0.0282	0.0371	0.0469
0	0.0487	0.0593	0.0652	0.08685
0	0.0696	0.0802	0.0903	0.1257
0	0.0904	0.1085	0.1201	0.16845
0	0.1119	0.1283	0.1338	0.21185
0	0.1348	0.1456	0.1472	0.2594
0	0.1574	0.1602	0.1742	0.3122
0	0.16	0.1763	0.1857	0.37125
0	0.1781	0.186	0.1975	0.4316
0	0.1958	0.1996	0.202	0.5172
0	0.2105	0.2201	0.2343	0.62795
0	0.2321	0.2392	0.263	0.7366
0	0.2558	0.264	0.2759	0.8488
0	0.2613	0.2634	0.273	0.9284
0	0.244	0.2512	0.2574	0.9732
0	0.234	0.2408	0.2526	1.0062
0	0.2247	0.2436	0.2391	1.0228
0	0.2322	0.2342	0.2297	1.0303
0	0.2331	0.2312	0.2302	1.0311
0	0.2256	0.2265	0.2332	1.03235
0	0.2287	0.2266	0.2282	1.0362
0	0.2238	0.2258	0.2315	1.0344
0	0.2232	0.2314	0.2341	1.032
0	0.2155	0.2284	0.239	1.0339
0	0.2183	0.2207	0.2285	1.03425
0	0.2143	0.2083	0.2279	1.03645
0	0.2239	0.219	0.2384	1.0348
0	0.2318	0.2285	0.233	1.03925
0	0.2295	0.2376	0.2291	1.0397
0	0.2372	0.2328	0.2316	1.0436
0	0.2385	0.2369	0.2428	1.03885
0	0.228	0.2351	0.2369	1.04015
0	0.2271	0.2358	0.2325	1.0448
0	0.2321	0.2371	0.2435	1.04855
0	0.2186	0.2315	0.2399	1.05045
0	0.2209	0.2296	0.2392	1.0485
0	0.2213	0.2246	0.2337	1.0494
0	0.228	0.2262	0.232	1.051
0	0.229	0.2277	0.2241	1.05195
0	0.2381	0.2295	0.2286	1.05435
0	0.2347	0.2325	0.2258	1.05125
0	0.2311	0.2346	0.2212	1.0488
0	0.2308	0.2344	0.2258	1.0495
0	0.231	0.2407	0.2375	1.05215
0	0.2291	0.2411	0.2417	1.05305
0	0.2296	0.2388	0.2454	1.0517
0	0.2336	0.2382	0.2441	1.0481
0	0.2259	0.2329	0.2486	1.04655
0	0.2219	0.2358	0.239	1.0453
0	0.2229	0.2333	0.2367	1.04635
0	0.2232	0.2266	0.2423	1.0447
0	0.23	0.2323	0.2311	1.04755
0	0.2233	0.2311	0.2281	1.04685
0	0.2228	0.234	0.2288	1.0466
0	0.2224	0.2207	0.2345	1.04405
0	0.2207	0.2382	0.2336	1.0446
0	0.224	0.2253	0.2369	1.04195
0	0.231	0.2288	0.2322	1.0468
0	0.2298	0.2291	0.2275	1.04575
0	0.2298	0.2315	0.2282	1.04635
0	0.2382	0.2363	0.2293	1.04775
0	0.2364	0.231	0.2303	1.0464
0	0.2237	0.2268	0.2315	1.0424
0	0.2249	0.2302	0.231	1.0468
0	0.2216	0.2276	0.2299	1.0442
0	0.2243	0.2251	0.2281	1.04215
0	0.2216	0.2252	0.2304	1.0437
0	0.2291	0.2262	0.2282	1.04
0	0.2297	0.2275	0.2296	1.04065
0	0.2202	0.2283	0.2292	1.04425
0	0.226	0.2231	0.228	1.04675
0	0.2202	0.223	0.2272	1.0478
0	0.2245	0.2255	0.2348	1.04745
0	0.2322	0.2343	0.2419	1.04845
0	0.2304	0.2318	0.2357	1.0491
0	0.2243	0.2313	0.2345	1.04585
