"step (in thousands)"	"25th percentile"	"median"	"75th percentile"	"means"
0	0	0.0097	0.0216	0.01065
0	0	0.01	0.0152	0.0106
0	0.0019	0.0053	0.0108	0.01215
0	0.001	0.0071	0.0093	0.01345
0	0.0119	0.012	0.0187	0.0249
0	0.0218	0.0245	0.0374	0.03995
0	0.0367	0.0498	0.059	0.0756
0	0.0532	0.074	0.0824	0.1157
0	0.0915	0.1064	0.1148	0.1751
0	0.1205	0.1331	0.1563	0.22475
0	0.1437	0.1595	0.1773	0.27165
0	0.1722	0.1818	0.1944	0.3202
0	0.1902	0.2025	0.2139	0.37325
0	0.2075	0.2116	0.2234	0.4285
0	0.2137	0.2207	0.2334	0.48695
0	0.2115	0.2204	0.2372	0.5498
0	0.2179	0.2309	0.2313	0.60925
0	0.2229	0.228	0.2324	0.6544
0	0.2376	0.243	0.2489	0.7389
0	0.2618	0.2693	0.2803	0.84975
0	0.2594	0.2665	0.2741	0.92495
0	0.2422	0.254	0.2661	0.9743
0	0.2316	0.2452	0.2471	1.0088
0	0.2226	0.2334	0.2441	1.0269
0	0.2268	0.231	0.238	1.0347
0	0.217	0.2279	0.2325	1.03965
0	0.2305	0.2285	0.2277	1.04135
0	0.2241	0.226	0.2347	1.0404
0	0.2218	0.2192	0.2321	1.0407
0	0.2203	0.2252	0.23	1.0441
0	0.2339	0.2234	0.2378	1.0402
0	0.2307	0.2287	0.2331	1.04365
0	0.2284	0.2307	0.2384	1.04175
0	0.2238	0.233	0.232	1.0458
0	0.2106	0.2298	0.2418	1.0476
0	0.219	0.226	0.2436	1.044
0	0.2206	0.228	0.2341	1.049
0	0.2144	0.2256	0.2251	1.0479
0	0.2232	0.2236	0.2265	1.0487
0	0.2271	0.2215	0.2224	1.05025
0	0.2275	0.2178	0.2189	1.0481
0	0.2197	0.2206	0.2184	1.0511
0	0.2243	0.216	0.2176	1.0475
0	0.2191	0.2207	0.2161	1.04485
0	0.2212	0.2159	0.2149	1.04215
0	0.2243	0.2193	0.222	1.04605
0	0.2127	0.2214	0.2283	1.0468
0	0.2068	0.221	0.2287	1.0482
0	0.2053	0.222	0.2369	1.0462
0	0.2182	0.2265	0.2397	1.04805
0	0.2181	0.2288	0.2318	1.0454
0	0.2199	0.223	0.2267	1.0448
0	0.2133	0.2197	0.2317	1.04565
0	0.2073	0.2161	0.2353	1.04635
0	0.2071	0.2272	0.2366	1.0499
0	0.2102	0.2261	0.2436	1.05245
0	0.2143	0.2356	0.2365	1.0511
0	0.2136	0.2299	0.2358	1.04955
0	0.2102	0.2245	0.2442	1.04635
0	0.2125	0.2217	0.2371	1.04415
0	0.2173	0.2236	0.2398	1.0406
0	0.2186	0.2311	0.2414	1.04345
0	0.2246	0.2267	0.2395	1.04295
0	0.22	0.2369	0.2334	1.04415
0	0.2179	0.2309	0.2312	1.04435
0	0.2249	0.2261	0.2275	1.04415
0	0.2202	0.234	0.2275	1.0445
0	0.2165	0.2271	0.2308	1.04545
0	0.213	0.2334	0.2356	1.0474
0	0.2228	0.232	0.2381	1.048
0	0.2157	0.2239	0.235	1.04615
0	0.2195	0.231	0.234	1.0441
0	0.218	0.2195	0.23	1.04245
0	0.2077	0.2208	0.2317	1.0456
0	0.2073	0.2188	0.2319	1.0455
0	0.2186	0.2247	0.228	1.04465
0	0.2185	0.226	0.227	1.0445
0	0.22	0.228	0.2334	1.0453
0	0.2166	0.2246	0.2353	1.045
0	0.2247	0.2247	0.237	1.04755
0	0.2179	0.2287	0.2287	1.05085
0	0.2216	0.2209	0.2306	1.04425
0	0.2197	0.2201	0.2393	1.04315
0	0.2252	0.2249	0.2438	1.04475
0	0.226	0.232	0.2378	1.0447
0	0.2324	0.2343	0.2382	1.04585
0	0.2303	0.2336	0.2429	1.0448
0	0.2425	0.2388	0.2383	1.0445
0	0.2338	0.2475	0.2387	1.04505
0	0.2314	0.2325	0.2374	1.04175
0	0.2303	0.2237	0.2362	1.04105
0	0.2286	0.2351	0.2392	1.04715
0	0.2218	0.2345	0.236	1.04605
0	0.2265	0.2299	0.2424	1.04275
0	0.2215	0.2375	0.2362	1.04345
0	0.2171	0.2316	0.2398	1.0442
0	0.2236	0.234	0.2346	1.0442
