"step (in thousands)"	"25th percentile"	"median"	"75th percentile"	"means"
0	0	0	0	0
0	0.0042	0.0087	0.0125	0.00825
0	0.0088	0.0124	0.0172	0.0145
0	0.0149	0.0182	0.0197	0.0223
0	0.0186	0.022	0.0274	0.0274
0	0.0235	0.027	0.0345	0.0313
0	0.0277	0.0317	0.036	0.03715
0	0.0307	0.0329	0.0362	0.04075
0	0.0359	0.0381	0.04	0.04595
0	0.0357	0.0412	0.0444	0.0511
0	0.0431	0.0451	0.0461	0.05635
0	0.0448	0.0468	0.0502	0.061
0	0.0462	0.0515	0.0525	0.06605
0	0.0517	0.054	0.0618	0.0712
0	0.0574	0.0614	0.0676	0.0841
0	0.0605	0.0679	0.0774	0.09175
0	0.0672	0.0759	0.08	0.09815
0	0.0739	0.0811	0.0885	0.11075
0	0.0813	0.0854	0.0936	0.1165
0	0.0857	0.09	0.1001	0.1224
0	0.0899	0.1013	0.1077	0.13655
0	0.0963	0.109	0.1149	0.1447
0	0.1024	0.1102	0.1178	0.1504
0	0.1128	0.1237	0.1382	0.16595
0	0.1215	0.1299	0.1409	0.17885
0	0.1331	0.1449	0.1536	0.19355
0	0.1406	0.1524	0.1642	0.2094
0	0.151	0.166	0.1753	0.2237
0	0.1622	0.1778	0.1891	0.2395
0	0.1672	0.1865	0.2016	0.25295
0	0.1752	0.1984	0.2138	0.2667
0	0.1838	0.2046	0.2165	0.2808
0	0.1979	0.2165	0.2281	0.29675
0	0.2059	0.2212	0.2405	0.3102
0	0.2164	0.2333	0.2478	0.32325
0	0.2235	0.2443	0.2534	0.33775
0	0.2398	0.2578	0.2728	0.3644
0	0.2486	0.2614	0.2811	0.3781
0	0.256	0.2741	0.2866	0.39135
0	0.2619	0.2814	0.2951	0.4055
0	0.277	0.2892	0.3089	0.4287
0	0.286	0.2998	0.3103	0.4426
0	0.288	0.3066	0.3169	0.4544
0	0.3009	0.3169	0.327	0.47315
0	0.3092	0.3176	0.33	0.4835
0	0.3116	0.3196	0.3331	0.4928
0	0.3123	0.3203	0.3365	0.50225
0	0.3174	0.3184	0.3359	0.5085
0	0.3193	0.3182	0.3324	0.5155
0	0.3174	0.3213	0.3353	0.52265
0	0.3176	0.3223	0.3297	0.53095
0	0.3133	0.3182	0.3255	0.5344
0	0.3093	0.3179	0.3271	0.54175
0	0.3064	0.3192	0.3228	0.5478
0	0.3078	0.3141	0.3221	0.55185
0	0.3069	0.3113	0.32	0.55665
0	0.3065	0.3072	0.3184	0.5636
0	0.2952	0.3031	0.3124	0.56955
0	0.2963	0.3029	0.3081	0.57545
0	0.287	0.2984	0.3047	0.5805
0	0.2866	0.2989	0.3009	0.58865
0	0.2852	0.2967	0.3006	0.59635
0	0.288	0.2932	0.2941	0.6022
0	0.2894	0.2935	0.2918	0.60975
0	0.2782	0.2802	0.2829	0.6254
0	0.2706	0.2749	0.2784	0.63275
0	0.2689	0.2699	0.2706	0.63625
0	0.2538	0.2678	0.2649	0.6521
0	0.2539	0.2632	0.2583	0.6574
0	0.2509	0.2563	0.2585	0.66475
0	0.2473	0.2526	0.256	0.671
0	0.244	0.2505	0.2523	0.67805
0	0.2452	0.246	0.2548	0.6843
0	0.2402	0.2472	0.2547	0.6932
0	0.2383	0.2441	0.2554	0.69925
0	0.2352	0.2504	0.2511	0.7102
0	0.2395	0.2462	0.2553	0.7173
0	0.2354	0.2424	0.255	0.7211
0	0.2396	0.2472	0.2515	0.7306
0	0.2444	0.2452	0.2532	0.7393
0	0.2402	0.2459	0.2476	0.74975
0	0.2403	0.246	0.25	0.7573
0	0.2477	0.25	0.2458	0.7687
0	0.2429	0.2472	0.2477	0.779
0	0.2471	0.2509	0.2517	0.78825
0	0.2492	0.2509	0.2513	0.80345
0	0.2549	0.247	0.2456	0.8174
0	0.2539	0.2478	0.2459	0.8277
