"step (in thousands)"	"25th percentile"	"median"	"75th percentile"	"means"
0	0	0	0	0
0	0.0012	0.0059	0.0102	0.00875
0	0.0098	0.0104	0.0146	0.0155
0	0.0152	0.0175	0.0236	0.02425
0	0.0204	0.0234	0.0286	0.0289
0	0.0247	0.0277	0.0309	0.03335
0	0.0276	0.0312	0.0334	0.0372
0	0.0318	0.0335	0.0377	0.04005
0	0.0288	0.0355	0.037	0.04275
0	0.0313	0.0363	0.0399	0.04495
0	0.0311	0.0355	0.0385	0.04655
0	0.0327	0.0367	0.0399	0.04845
0	0.0338	0.0376	0.0404	0.05
0	0.0342	0.038	0.041	0.0514
0	0.0348	0.0393	0.0414	0.05345
0	0.0362	0.0391	0.041	0.05385
0	0.036	0.0402	0.0411	0.0558
0	0.0362	0.0393	0.0407	0.05585
0	0.0382	0.0393	0.0412	0.05675
0	0.0375	0.0389	0.0401	0.05745
0	0.0384	0.0393	0.041	0.05825
0	0.0372	0.0396	0.0416	0.0594
0	0.0368	0.0397	0.0412	0.05935
0	0.0375	0.0397	0.041	0.05965
0	0.0373	0.0392	0.0415	0.0599
0	0.0375	0.0404	0.0414	0.0609
0	0.0378	0.0396	0.042	0.0613
0	0.0378	0.0391	0.0437	0.06195
0	0.0385	0.0407	0.0423	0.06315
0	0.039	0.0398	0.0431	0.0632
0	0.0391	0.0396	0.0447	0.0643
0	0.0399	0.0403	0.0445	0.06565
0	0.0396	0.0428	0.0463	0.0678
0	0.041	0.0441	0.0481	0.07025
0	0.0424	0.045	0.0483	0.0722
0	0.0441	0.0472	0.0493	0.0754
0	0.0447	0.0483	0.0505	0.07735
0	0.0456	0.0484	0.0499	0.0792
0	0.0466	0.0494	0.0526	0.0809
0	0.0467	0.05	0.0527	0.0819
0	0.0468	0.0506	0.0524	0.0838
0	0.0462	0.0504	0.0534	0.0847
0	0.0466	0.0503	0.0528	0.08615
0	0.0463	0.0504	0.0531	0.0878
0	0.0473	0.0519	0.0547	0.08965
0	0.0457	0.0514	0.0545	0.0909
0	0.0459	0.0515	0.054	0.09275
0	0.0459	0.0512	0.0535	0.0943
0	0.0462	0.0515	0.0539	0.09595
0	0.0474	0.052	0.0565	0.0973
0	0.0477	0.0513	0.0571	0.09855
0	0.048	0.0536	0.0574	0.1009
0	0.051	0.054	0.0581	0.1032
0	0.0507	0.0554	0.0577	0.1052
0	0.0519	0.054	0.0609	0.1076
0	0.0527	0.056	0.0593	0.1109
0	0.0556	0.0575	0.0591	0.11325
0	0.055	0.0573	0.0622	0.11615
0	0.0552	0.0598	0.0645	0.1197
0	0.059	0.0615	0.0672	0.12625
0	0.059	0.0627	0.0714	0.13065
0	0.0674	0.0711	0.0728	0.14475
0	0.0695	0.0735	0.0772	0.14985
0	0.0742	0.0755	0.0821	0.15625
0	0.0759	0.0834	0.0909	0.1652
0	0.0796	0.0836	0.0912	0.1687
0	0.0813	0.0862	0.097	0.1756
0	0.083	0.0883	0.0957	0.18315
0	0.0866	0.0905	0.102	0.18955
0	0.0873	0.0994	0.1078	0.1994
0	0.0914	0.101	0.1078	0.2072
0	0.0972	0.1087	0.1134	0.21565
0	0.0976	0.1115	0.113	0.22285
0	0.1048	0.1171	0.1219	0.23365
0	0.1111	0.1239	0.1263	0.24305
0	0.1135	0.1304	0.128	0.2555
0	0.1237	0.1364	0.1342	0.2645
0	0.1281	0.1447	0.1462	0.27895
0	0.1308	0.1464	0.1512	0.2904
0	0.1405	0.1557	0.1614	0.30275
0	0.1477	0.1614	0.1684	0.3165
0	0.1532	0.1617	0.1745	0.32765
0	0.1613	0.1678	0.1814	0.3411
0	0.1722	0.1793	0.1847	0.35455
0	0.1772	0.1894	0.1915	0.3675
0	0.1844	0.1984	0.2001	0.3831
0	0.1938	0.208	0.2088	0.3957
0	0.1989	0.2133	0.2181	0.40785
0	0.2085	0.2187	0.2215	0.42085
0	0.2137	0.2284	0.2249	0.4357
0	0.2205	0.2324	0.2361	0.4473
0	0.2251	0.2366	0.2368	0.4586
0	0.2326	0.2458	0.2491	0.4803
0	0.2415	0.248	0.2469	0.4916
