#{"t_start": 1717602106.823437, "env_id": "Mordor-single-v0"}
r,l,t
0.0,16,0.003139
0.0,12,0.005162
0.0,34,0.010592
0.0,3,0.011074
0.0,22,0.01447
0.0,16,0.016796
0.0,36,0.021961
0.0,12,0.023677
0.0,25,0.027264
0.0,42,0.033075
0.0,19,0.035691
0.0,17,0.038033
0.0,12,0.039681
0.0,25,0.043105
0.0,37,0.048206
0.0,55,0.055687
0.0,19,0.058258
0.0,17,0.060576
0.0,18,0.063027
0.0,22,0.066022
0.0,15,0.068074
0.0,52,0.075091
0.0,24,0.07835
0.0,14,0.080291
0.0,22,0.08329
0.0,47,0.089665
0.0,15,0.091715
0.0,20,0.094426
0.0,36,0.099354
0.0,50,0.106214
0.0,9,0.107449
0.0,40,0.11291
0.0,41,0.118541
0.0,33,0.123058
0.0,103,0.136838
0.0,22,0.139861
0.0,52,0.146916
0.0,61,0.155243
0.0,24,0.15852
0.0,48,0.165023
0.0,7,0.165989
0.0,116,0.181546
0.0,68,0.190877
0.0,33,0.195349
0.0,10,0.196719
0.0,15,0.19877
0.0,73,0.208641
0.0,8,0.209741
0.0,50,0.216583
0.0,87,0.228371
0.0,50,0.235163
0.0,70,0.244746
0.0,88,0.256692
0.0,168,0.279652
1.0,258,0.314227
0.0,101,0.32804
0.0,10,0.329414
0.0,109,0.344345
0.0,95,0.357392
0.0,24,0.360663
0.0,133,0.37886
0.0,124,0.395759
0.0,35,0.400495
1.0,359,0.449577
0.0,207,0.477857
0.0,137,0.496605
0.0,22,0.499597
0.0,6,0.500422
0.0,52,0.507562
0.0,12,0.509233
0.0,371,0.560411
0.0,128,0.577871
0.0,122,0.594612
0.0,168,0.617642
0.0,158,0.639403
0.0,89,0.651513
0.0,47,0.65796
0.0,259,0.693516
0.0,137,0.712273
0.0,32,0.716612
0.0,3,0.717038
0.0,58,0.724968
0.0,40,0.730449
0.0,303,0.771967
0.0,60,0.780208
0.0,15,0.782264
0.0,15,0.784328
0.0,61,0.792638
0.0,128,0.8102
0.0,50,0.82062
0.0,48,0.8273
0.0,39,0.832667
0.0,28,0.836502
0.0,16,0.838708
0.0,109,0.853567
0.0,24,0.856848
0.0,16,0.859036
0.0,12,0.860655
0.0,82,0.871753
0.0,27,0.875463
0.0,80,0.886407
0.0,4,0.886961
0.0,162,0.90914
0.0,37,0.914209
0.0,47,0.920659
0.0,58,0.928598
0.0,151,0.949271
0.0,66,0.95833
0.0,72,0.968234
0.0,73,0.978227
0.0,12,0.979878
0.0,3,0.980294
