#{"t_start": 1717599390.8251688, "env_id": "Mordor-v0"}
r,l,t
0.0,56,0.013902
0.0,17,0.017806
0.0,29,0.024135
0.0,8,0.025895
0.0,14,0.028913
0.0,12,0.031419
0.0,17,0.034978
0.0,32,0.041495
0.0,14,0.044405
1.0,57,0.056159
0.0,27,0.061741
0.0,23,0.0665
0.0,13,0.069206
0.0,54,0.080314
0.0,32,0.086826
0.0,29,0.092724
0.0,29,0.098662
0.0,20,0.102786
0.0,20,0.106917
0.0,55,0.118205
0.0,24,0.123129
0.0,10,0.125196
0.0,28,0.130979
0.0,60,0.143366
0.0,49,0.153416
0.0,10,0.15542
0.0,33,0.16227
1.0,142,0.191084
0.0,49,0.201228
0.0,90,0.219887
0.0,52,0.23062
0.0,20,0.23478
0.0,30,0.240996
1.0,106,0.262821
0.0,55,0.27419
0.0,46,0.283735
0.0,71,0.2982
0.0,12,0.300672
0.0,14,0.303573
1.0,17,0.307054
0.0,13,0.30975
0.0,21,0.314095
0.0,38,0.321973
0.0,40,0.330277
0.0,73,0.345394
0.0,36,0.352888
0.0,36,0.360275
0.0,49,0.370492
0.0,7,0.371928
0.0,30,0.37812
0.0,121,0.403558
0.0,150,0.434542
0.0,5,0.435582
0.0,8,0.437238
0.0,38,0.445116
0.0,60,0.457516
0.0,63,0.470532
0.0,92,0.489532
0.0,40,0.497794
0.0,88,0.515991
0.0,50,0.526271
0.0,5,0.527293
0.0,70,0.541759
0.0,22,0.546294
0.0,94,0.56571
0.0,25,0.570873
0.0,32,0.577418
0.0,23,0.582182
0.0,4,0.58301
1.0,10,0.585053
0.0,48,0.594998
1.0,106,0.616918
0.0,6,0.618157
0.0,151,0.649408
0.0,18,0.653141
0.0,36,0.66056
0.0,377,0.738679
0.0,138,0.767106
0.0,47,0.776909
0.0,42,0.785615
1.0,130,0.812596
0.0,164,0.846761
0.0,132,0.874119
0.0,192,0.913984
0.0,94,0.93353
0.0,232,0.981671
0.0,72,0.996629
0.0,132,1.024148
0.0,20,1.028225
0.0,18,1.031965
0.0,71,1.046711
0.0,16,1.04996
0.0,648,1.184987
0.0,33,1.19186
0.0,14,1.19478
0.0,6,1.19603
0.0,45,1.205452
0.0,93,1.224866
0.0,23,1.229654
0.0,102,1.25074
0.0,25,1.25594
0.0,87,1.274071
0.0,38,1.281975
0.0,47,1.291718
1.0,147,1.322394
0.0,74,1.337672
0.0,14,1.340581
0.0,55,1.352047
1.0,62,1.364962
0.0,91,1.383942
0.0,25,1.389141
0.0,128,1.415762
0.0,15,1.418842
0.0,390,1.50013
0.0,95,1.519945
0.0,85,1.537597
0.0,251,1.589156
1.0,111,1.612153
0.0,21,1.616528
0.0,27,1.622153
1.0,218,1.667606
0.0,4,1.66844
0.0,18,1.672167
0.0,45,1.681443
0.0,525,1.790747
1.0,572,1.909853
0.0,34,1.91696
0.0,27,1.922566
0.0,26,1.927997
0.0,26,1.933441
0.0,240,1.983651
0.0,16,1.986959
1.0,141,2.015731
0.0,3,2.016359
0.0,91,2.035354
0.0,39,2.043473
0.0,20,2.047646
0.0,92,2.066878
0.0,16,2.0702
0.0,36,2.085854
0.0,243,2.137838
1.0,297,2.200237
1.0,28,2.20593
0.0,27,2.211485
1.0,16,2.214735
0.0,24,2.219778
0.0,7,2.221222
0.0,78,2.237517
0.0,18,2.241199
0.0,257,2.295064
0.0,20,2.299272
0.0,24,2.304239
0.0,260,2.358742
0.0,115,2.382944
1.0,161,2.416621
0.0,36,2.424189
0.0,34,2.431335
0.0,124,2.457347
0.0,37,2.465122
0.0,183,2.503244
0.0,125,2.529403
0.0,149,2.560637
0.0,12,2.563155
0.0,129,2.589758
0.0,6,2.591021
0.0,7,2.592488
0.0,22,2.597059
0.0,88,2.615524
1.0,95,2.635385
0.0,31,2.641873
0.0,34,2.648976
0.0,40,2.657351
0.0,56,2.668988
0.0,12,2.6716
1.0,91,2.690135
0.0,3,2.690749
0.0,4,2.691577
0.0,8,2.693238
0.0,13,2.695938
0.0,21,2.700322
1.0,26,2.705719
0.0,70,2.720358
0.0,43,2.729338
0.0,59,2.741305
0.0,63,2.754272
0.0,22,2.758861
0.0,7,2.760324
0.0,73,2.775489
0.0,17,2.779039
1.0,36,2.78655
0.0,30,2.792789
0.0,33,2.799691
0.0,11,2.801987
0.0,40,2.810353
0.0,43,2.819331
0.0,4,2.820166
0.0,46,2.829663
1.0,31,2.83599
0.0,23,2.840747
0.0,84,2.85822
1.0,26,2.863621
1.0,29,2.869624
0.0,47,2.879389
0.0,34,2.886463
0.0,104,2.908025
0.0,38,2.915892
0.0,50,2.926316
1.0,46,2.935906
1.0,132,2.963022
1.0,48,2.972992
1.0,174,3.008955
1.0,67,3.022899
1.0,27,3.02849
1.0,657,3.166047
0.0,33,3.172803
0.0,7,3.174247
0.0,40,3.182632
1.0,22,3.187149
1.0,28,3.192965
0.0,58,3.205111
0.0,15,3.208198
1.0,21,3.212533
1.0,98,3.232767
0.0,19,3.236742
0.0,18,3.240391
0.0,23,3.245169
0.0,136,3.273567
0.0,54,3.2848
1.0,7,3.28624
0.0,49,3.296498
0.0,39,3.304609
0.0,29,3.310686
0.0,88,3.329139
0.0,24,3.334096
0.0,6,3.335346
1.0,212,3.379709
0.0,15,3.382853
0.0,86,3.400664
0.0,73,3.415892
1.0,25,3.421045
1.0,26,3.426428
1.0,359,3.500387
0.0,3,3.501017
1.0,30,3.507276
0.0,44,3.516422
0.0,14,3.519363
0.0,5,3.520408
0.0,123,3.546092
0.0,3,3.546721
1.0,28,3.552565
0.0,3,3.553194
0.0,93,3.572635
0.0,21,3.577034
0.0,92,3.596305
0.0,61,3.608871
1.0,135,3.636943
0.0,84,3.654514
0.0,61,3.667254
0.0,18,3.671023
0.0,42,3.679803
0.0,63,3.693029
0.0,26,3.698477
0.0,21,3.702872
1.0,67,3.716935
0.0,154,3.749285
0.0,43,3.758304
1.0,31,3.764814
