#{"t_start": 1717603366.42617, "env_id": "Mordor-single-v0"}
r,l,t
0.0,25,0.000854
0.0,18,0.001198
0.0,46,0.002009
0.0,26,0.002472
0.0,27,0.002939
0.0,30,0.003459
0.0,12,0.003681
0.0,24,0.004107
0.0,9,0.004284
0.0,13,0.004523
0.0,69,0.005699
0.0,28,0.006151
0.0,6,0.00626
0.0,46,0.006999
0.0,34,0.007548
0.0,12,0.007751
0.0,37,0.008339
0.0,14,0.008574
0.0,7,0.008698
0.0,74,0.009871
0.0,35,0.010438
0.0,15,0.010687
0.0,17,0.010972
0.0,27,0.011404
0.0,12,0.011606
0.0,28,0.012059
0.0,32,0.012579
0.0,17,0.012862
0.0,35,0.01342
0.0,44,0.014122
0.0,30,0.014592
0.0,4,0.014662
0.0,34,0.015169
0.0,47,0.015875
0.0,6,0.015975
0.0,43,0.016607
0.0,5,0.016695
0.0,23,0.017042
0.0,36,0.017584
0.0,46,0.018265
0.0,34,0.018771
0.0,78,0.019954
0.0,45,0.020634
0.0,15,0.020869
0.0,97,0.022285
0.0,17,0.022544
0.0,34,0.023054
0.0,68,0.024054
0.0,37,0.024602
0.0,62,0.025524
0.0,42,0.026148
0.0,44,0.026802
0.0,13,0.027006
0.0,4,0.027075
0.0,50,0.027802
0.0,49,0.028496
0.0,36,0.029016
0.0,35,0.029522
0.0,34,0.030015
0.0,98,0.031409
0.0,34,0.031901
0.0,31,0.03235
0.0,40,0.032922
0.0,39,0.033488
0.0,40,0.034074
0.0,40,0.034646
0.0,20,0.03494
0.0,84,0.036112
0.0,38,0.036648
0.0,10,0.036794
0.0,4,0.03686
0.0,10,0.037011
0.0,18,0.037274
0.0,10,0.037433
0.0,23,0.037768
0.0,29,0.038182
0.0,37,0.038707
0.0,28,0.039111
0.0,4,0.039177
0.0,49,0.039866
0.0,52,0.040593
0.0,7,0.040701
0.0,89,0.041927
0.0,54,0.04268
0.0,104,0.044138
0.0,82,0.045288
0.0,42,0.045879
0.0,73,0.046906
0.0,52,0.047641
0.0,68,0.048584
0.0,50,0.049286
0.0,30,0.049725
0.0,54,0.050474
0.0,97,0.051833
0.0,4,0.051901
0.0,39,0.052451
0.0,24,0.052798
0.0,8,0.052919
0.0,26,0.053286
0.0,33,0.053748
0.0,55,0.054517
0.0,44,0.055142
0.0,86,0.056385
0.0,22,0.056701
0.0,74,0.057733
0.0,11,0.057899
0.0,17,0.058146
0.0,7,0.058255
0.0,125,0.060004
0.0,10,0.060157
0.0,25,0.060513
0.0,78,0.061654
0.0,84,0.062819
0.0,49,0.063511
0.0,47,0.064161
0.0,25,0.064545
0.0,9,0.064688
0.0,59,0.065521
0.0,68,0.066475
0.0,49,0.067169
0.0,52,0.067889
0.0,24,0.068231
0.0,64,0.069128
0.0,63,0.070013
