#{"t_start": 1716825364.559287, "env_id": "Mordor-single-v0"}
r,l,t
-10.0,299,0.003682
1.0,401,0.007989
1.0,891,0.016799
-10.0,150,0.018292
-10.0,187,0.020142
-10.0,160,0.021827
-10.0,84,0.022729
1.0,528,0.027983
-10.0,131,0.029298
-10.0,253,0.031876
-10.0,64,0.032544
-10.0,269,0.035193
1.0,674,0.042027
1.0,427,0.046282
1.0,1433,0.060612
1.0,1054,0.071014
1.0,711,0.078091
-10.0,1025,0.088233
1.0,1299,0.111437
1.0,531,0.117353
1.0,788,0.125283
-10.0,414,0.12956
1.0,658,0.136097
1.0,748,0.143566
-10.0,323,0.146827
1.0,1082,0.157529
-10.0,206,0.159596
1.0,779,0.167273
-10.0,348,0.170738
-10.0,302,0.173742
-10.0,326,0.176975
1.0,722,0.184216
1.0,200,0.18622
-10.0,72,0.186973
-10.0,823,0.195172
-10.0,269,0.197839
1.0,956,0.207319
1.0,659,0.214157
1.0,502,0.219172
1.0,890,0.228005
-10.0,247,0.230525
1.0,567,0.236149
1.0,343,0.239586
-10.0,356,0.243117
1.0,356,0.246729
-10.0,145,0.248193
-10.0,828,0.256423
1.0,544,0.261824
1.0,422,0.266035
-10.0,168,0.267721
-10.0,134,0.269077
1.0,261,0.271689
1.0,928,0.280881
-10.0,402,0.284882
1.0,270,0.287562
1.0,315,0.290708
-10.0,497,0.295624
1.0,1039,0.305948
1.0,429,0.310207
1.0,315,0.31341
-10.0,79,0.314213
1.0,174,0.315948
1.0,212,0.318058
1.0,611,0.324187
-10.0,237,0.326538
-10.0,240,0.328947
1.0,190,0.33086
1.0,497,0.335786
1.0,208,0.337848
1.0,819,0.345964
1.0,498,0.350924
-10.0,479,0.35571
1.0,221,0.35796
1.0,113,0.359107
-10.0,317,0.362238
-10.0,318,0.3654
1.0,331,0.368708
-10.0,156,0.370258
1.0,257,0.372813
1.0,728,0.380009
1.0,119,0.381224
1.0,147,0.3827
1.0,512,0.38776
1.0,120,0.388988
1.0,76,0.389756
1.0,197,0.391719
-10.0,312,0.394831
1.0,924,0.404015
1.0,142,0.405504
1.0,208,0.407578
1.0,98,0.40856
1.0,407,0.412722
1.0,89,0.413627
1.0,302,0.41665
1.0,106,0.417742
1.0,414,0.421855
1.0,196,0.423832
1.0,64,0.424489
1.0,264,0.427103
1.0,70,0.427846
-10.0,87,0.428733
1.0,183,0.430569
1.0,204,0.432593
-10.0,372,0.436299
1.0,223,0.43858
1.0,89,0.439486
1.0,273,0.442197
1.0,168,0.443881
1.0,92,0.444805
1.0,398,0.448771
1.0,89,0.449676
1.0,171,0.451383
1.0,166,0.45307
1.0,88,0.453971
-10.0,209,0.456068
1.0,46,0.456543
-10.0,499,0.461546
1.0,264,0.464175
1.0,348,0.467644
1.0,85,0.4685
1.0,83,0.469332
1.0,341,0.472719
1.0,77,0.473497
1.0,140,0.474901
1.0,126,0.476166
-10.0,166,0.477834
1.0,325,0.481059
1.0,66,0.481735
-10.0,114,0.482868
1.0,88,0.48378
1.0,375,0.487521
1.0,167,0.489195
1.0,343,0.492611
1.0,51,0.493145
1.0,89,0.494035
1.0,184,0.495899
1.0,84,0.496752
1.0,340,0.500142
1.0,50,0.500652
1.0,71,0.501364
1.0,266,0.503997
-10.0,329,0.507315
1.0,128,0.508605
1.0,48,0.509101
1.0,119,0.510286
1.0,56,0.51085
1.0,61,0.511464
1.0,468,0.516174
1.0,44,0.516631
1.0,46,0.517096
-10.0,151,0.518592
-10.0,51,0.519172
1.0,85,0.520031
1.0,59,0.520636
1.0,193,0.522557
