#{"t_start": 1717616811.992142, "env_id": "Mordor-single-v0"}
r,l,t
0.0,5,0.001669
0.0,27,0.00835
0.0,17,0.012713
0.0,12,0.015843
0.0,49,0.028431
0.0,19,0.033059
0.0,28,0.039751
0.0,23,0.045195
0.0,16,0.048703
0.0,47,0.059366
0.0,3,0.060021
0.0,25,0.065351
0.0,65,0.079127
0.0,22,0.08392
0.0,25,0.089429
0.0,30,0.095922
0.0,24,0.100957
0.0,30,0.10729
0.0,42,0.116197
0.0,30,0.122565
0.0,9,0.124484
0.0,36,0.131983
0.0,59,0.144488
0.0,24,0.149469
0.0,25,0.154817
0.0,68,0.169226
0.0,69,0.183989
0.0,18,0.187882
0.0,77,0.204544
0.0,44,0.2141
0.0,80,0.230791
0.0,42,0.239838
0.0,64,0.253375
0.0,9,0.255343
0.0,80,0.272623
0.0,28,0.278687
0.0,78,0.295297
0.0,32,0.302197
0.0,30,0.308681
0.0,28,0.314724
0.0,43,0.323975
0.0,39,0.332265
0.0,34,0.339561
0.0,99,0.360885
0.0,26,0.366517
0.0,68,0.381196
0.0,17,0.384864
0.0,27,0.3906
0.0,119,0.416215
0.0,27,0.422088
0.0,98,0.442223
0.0,44,0.451264
0.0,51,0.46212
0.0,287,0.522964
0.0,98,0.544212
0.0,22,0.54899
0.0,75,0.565163
0.0,94,0.585361
0.0,12,0.587956
0.0,39,0.596358
0.0,21,0.600861
0.0,37,0.608008
0.0,17,0.61165
0.0,37,0.61946
0.0,226,0.667607
0.0,29,0.673875
0.0,101,0.69574
0.0,10,0.697833
0.0,12,0.700408
0.0,99,0.721711
0.0,179,0.760203
0.0,104,0.7826
0.0,14,0.785623
0.0,27,0.790891
0.0,48,0.801282
0.0,5,0.802364
0.0,69,0.816834
0.0,364,0.893808
0.0,157,0.927038
0.0,168,0.963098
0.0,107,0.986169
0.0,3,0.986829
0.0,17,0.990134
0.0,6,0.9914
0.0,3,0.99206
0.0,103,1.014309
0.0,11,1.016692
0.0,16,1.020151
0.0,20,1.024493
0.0,71,1.039541
0.0,13,1.042321
0.0,64,1.056103
0.0,7,1.057609
0.0,148,1.089466
0.0,22,1.094372
0.0,18,1.098248
0.0,196,1.139003
0.0,105,1.161478
0.0,4,1.162362
0.0,18,1.166253
0.0,131,1.193263
0.0,18,1.19715
0.0,24,1.20234
0.0,16,1.205812
0.0,15,1.209116
0.0,158,1.243455
0.0,18,1.247362
0.0,125,1.274278
0.0,15,1.27753
0.0,86,1.295929
0.0,9,1.297883
0.0,155,1.330961
0.0,23,1.335879
0.0,107,1.359093
0.0,18,1.362974
0.0,17,1.366651
0.0,31,1.373364
0.0,66,1.387698
0.0,19,1.39171
0.0,72,1.407194
0.0,65,1.421015
0.0,143,1.451778
0.0,19,1.455858
0.0,66,1.469895
0.0,65,1.483904
0.0,20,1.488187
0.0,263,1.544579
0.0,70,1.558604
0.0,163,1.593254
0.0,80,1.610611
0.0,66,1.624978
0.0,54,1.63662
0.0,307,1.703052
0.0,3,1.703747
0.0,58,1.715756
0.0,38,1.723992
0.0,19,1.72811
0.0,122,1.752755
0.0,74,1.768684
0.0,35,1.776158
0.0,9,1.778029
0.0,114,1.802531
0.0,124,1.828993
0.0,159,1.86204
0.0,44,1.871122
0.0,92,1.890829
0.0,21,1.895184
0.0,204,1.938874
0.0,196,1.980758
0.0,37,1.988754
0.0,82,2.006278
0.0,9,2.008204
0.0,10,2.010353
0.0,77,2.026833
0.0,51,2.037568
0.0,14,2.040589
0.0,11,2.042956
0.0,26,2.048543
0.0,15,2.051755
0.0,105,2.074325
0.0,49,2.084921
0.0,13,2.087762
0.0,57,2.100082
0.0,81,2.117661
0.0,64,2.130918
