#{"t_start": 1717630235.685408, "env_id": "Mordor-single-v0"}
r,l,t
0.0,45,0.012136
0.0,6,0.013682
0.0,4,0.014738
0.0,52,0.026705
0.0,25,0.032403
0.0,51,0.043693
0.0,23,0.048757
0.0,37,0.0569
0.0,23,0.06198
0.0,16,0.065486
0.0,46,0.075623
0.0,18,0.079537
0.0,15,0.082786
0.0,23,0.087844
0.0,33,0.09509
0.0,23,0.100174
0.0,38,0.1085
0.0,41,0.117513
0.0,29,0.123868
0.0,38,0.13197
0.0,18,0.135819
0.0,57,0.148255
0.0,32,0.155212
0.0,47,0.165539
0.0,12,0.168131
0.0,7,0.1697
0.0,29,0.176224
0.0,42,0.185515
0.0,4,0.186413
0.0,64,0.200609
0.0,51,0.211985
0.0,24,0.217134
0.0,79,0.234662
0.0,27,0.24106
0.0,19,0.245286
0.0,62,0.259207
0.0,17,0.263009
0.0,67,0.27805
0.0,17,0.281852
0.0,78,0.299299
0.0,21,0.303939
0.0,49,0.314426
0.0,102,0.337019
0.0,26,0.342815
0.0,73,0.358513
0.0,83,0.376512
0.0,64,0.390608
0.0,11,0.393054
0.0,25,0.398657
0.0,53,0.410495
0.0,27,0.416591
0.0,119,0.441719
0.0,22,0.446291
0.0,38,0.454649
0.0,64,0.469053
0.0,116,0.49426
0.0,25,0.499845
0.0,57,0.5126
0.0,69,0.528033
0.0,86,0.54725
0.0,28,0.55347
0.0,23,0.55863
0.0,7,0.560164
0.0,42,0.569504
0.0,26,0.575314
0.0,236,0.627614
0.0,94,0.648636
0.0,10,0.650806
0.0,6,0.652149
0.0,160,0.687701
0.0,56,0.699791
0.0,9,0.701818
0.0,19,0.705881
0.0,3,0.706566
0.0,168,0.743867
0.0,14,0.747006
1.0,29,0.752987
0.0,34,0.760477
0.0,80,0.777983
0.0,141,0.809154
0.0,53,0.819802
0.0,144,0.851963
0.0,94,0.872939
1.0,261,0.930801
0.0,56,0.943352
0.0,425,1.037827
0.0,134,1.067623
0.0,48,1.078264
0.0,13,1.081165
0.0,103,1.104103
0.0,14,1.107261
0.0,22,1.112129
0.0,8,1.113919
0.0,3,1.114528
0.0,69,1.128929
0.0,4,1.129765
0.0,7,1.131313
0.0,71,1.146941
0.0,5,1.148078
0.0,28,1.154286
0.0,11,1.156745
0.0,15,1.160074
0.0,32,1.167193
0.0,15,1.170558
0.0,51,1.181246
0.0,28,1.187485
0.0,189,1.229671
0.0,285,1.292835
0.0,10,1.295108
0.0,4,1.296003
0.0,144,1.328056
0.0,7,1.329669
0.0,43,1.338799
0.0,108,1.362937
0.0,177,1.402369
0.0,111,1.427098
0.0,170,1.464856
0.0,56,1.477275
0.0,155,1.511745
0.0,12,1.514449
0.0,40,1.523378
0.0,148,1.555863
0.0,42,1.565242
0.0,119,1.591589
0.0,95,1.611163
0.0,35,1.618613
0.0,3,1.61929
0.0,358,1.699162
0.0,32,1.706344
0.0,62,1.720177
0.0,2,1.720633
0.0,53,1.732433
1.0,89,1.750891
0.0,46,1.76104
0.0,214,1.80853
0.0,19,1.812779
0.0,30,1.819463
0.0,198,1.862648
0.0,30,1.869342
0.0,62,1.883239
0.0,54,1.895277
0.0,82,1.913606
0.0,109,1.938049
0.0,136,1.968393
0.0,124,1.996063
0.0,8,1.99786
0.0,31,2.004753
0.0,13,2.007667
0.0,93,2.02835
0.0,129,2.057221
0.0,17,2.061032
0.0,68,2.076177
0.0,281,2.138923
0.0,42,2.148259
0.0,17,2.152042
0.0,7,2.153601
0.0,26,2.159338
0.0,141,2.19043
0.0,118,2.224713
0.0,118,2.251604
0.0,27,2.257771
0.0,195,2.301918
0.0,15,2.305302
0.0,116,2.331592
0.0,111,2.356643
0.0,225,2.407469
0.0,94,2.428751
0.0,51,2.439817
0.0,20,2.444343
0.0,14,2.447498
0.0,47,2.458123
0.0,11,2.460646
0.0,14,2.46377
0.0,12,2.466499
0.0,89,2.486216
0.0,29,2.492847
0.0,49,2.503972
0.0,11,2.506468
0.0,105,2.529736
0.0,122,2.557448
0.0,39,2.566115
0.0,44,2.576132
0.0,30,2.582702
0.0,11,2.585117
0.0,87,2.603572
0.0,42,2.613046
0.0,81,2.631412
0.0,173,2.670693
0.0,61,2.684485
0.0,55,2.696879
0.0,54,2.709023
0.0,11,2.711411
0.0,63,2.725074
0.0,6,2.726483
0.0,57,2.739304
0.0,46,2.749599
0.0,74,2.766306
0.0,17,2.770189
0.0,29,2.776535
0.0,133,2.806316
0.0,186,2.848443
0.0,125,2.876601
0.0,10,2.878704
0.0,109,2.903324
0.0,10,2.90563
0.0,18,2.909712
0.0,17,2.91358
0.0,42,2.923101
0.0,142,2.955088
0.0,209,3.002408
0.0,24,3.007908
0.0,20,3.01244
0.0,6,3.013812
0.0,35,3.021623
0.0,74,3.038264
0.0,61,3.052183
0.0,27,3.058368
0.0,30,3.065096
0.0,35,3.072837
0.0,217,3.121942
0.0,300,3.189386
0.0,50,3.200703
0.0,185,3.242248
0.0,57,3.255276
0.0,9,3.257272
0.0,50,3.268114
0.0,16,3.271668
0.0,28,3.277963
0.0,178,3.317955
0.0,42,3.327405
0.0,30,3.334162
0.0,18,3.338253
0.0,4,3.339168
0.0,209,3.386246
0.0,79,3.404161
0.0,217,3.452727
0.0,180,3.492202
0.0,96,3.51368
0.0,45,3.523844
0.0,144,3.556442
0.0,56,3.569004
0.0,62,3.582517
0.0,128,3.611287
0.0,18,3.615293
0.0,6,3.616667
0.0,43,3.626355
0.0,211,3.674193
0.0,205,3.720295
0.0,53,3.73219
0.0,267,3.791799
0.0,60,3.805243
0.0,6,3.806617
0.0,155,3.841396
0.0,11,3.843819
0.0,13,3.846619
0.0,22,3.851554
0.0,3,3.852226
0.0,67,3.867314
0.0,85,3.886014
0.0,144,3.918404
0.0,14,3.921615
0.0,36,3.929736
0.0,59,3.942928
0.0,17,3.946776
0.0,23,3.95196
0.0,6,3.953283
0.0,183,3.994832
0.0,50,4.006021
0.0,76,4.023062
0.0,4,4.02398
0.0,65,4.038666
0.0,21,4.043432
0.0,65,4.0581
0.0,353,4.137398
0.0,55,4.149765
0.0,56,4.162468
0.0,22,4.167518
0.0,34,4.175117
0.0,33,4.182163
0.0,9,4.184096
1.0,126,4.211151
0.0,3,4.211836
0.0,39,4.22063
0.0,26,4.226509
0.0,73,4.242677
0.0,75,4.259234
0.0,17,4.263119
0.0,160,4.299248
0.0,179,4.339522
1.0,185,4.377576
1.0,175,4.416306
0.0,38,4.424526
0.0,14,4.427534
0.0,84,4.446256
0.0,314,4.517669
0.0,21,4.522417
0.0,8,4.524107
0.0,5,4.525249
0.0,12,4.527934
0.0,47,4.538346
0.0,67,4.55249
0.0,48,4.563242
0.0,16,4.566886
0.0,3,4.567572
0.0,4,4.568492
0.0,24,4.573898
0.0,29,4.580432
0.0,37,4.58874
0.0,184,4.629746
0.0,38,4.638373
0.0,94,4.659677
0.0,75,4.676575
0.0,35,4.684459
0.0,15,4.687854
0.0,16,4.691484
0.0,26,4.697329
0.0,7,4.69892
0.0,64,4.713145
0.0,80,4.731203
0.0,231,4.783405
0.0,76,4.800554
0.0,13,4.803535
0.0,37,4.811879
0.0,9,4.813806
0.0,65,4.828263
0.0,52,4.840051
0.0,559,4.966711
0.0,248,5.022123
0.0,206,5.068383
0.0,83,5.086917
0.0,50,5.097908
0.0,8,5.099622
0.0,26,5.105455
1.0,170,5.142869
0.0,193,5.186376
0.0,132,5.216156
0.0,57,5.228945
0.0,158,5.264974
0.0,101,5.287373
0.0,15,5.290775
0.0,206,5.337119
0.0,12,5.339814
0.0,67,5.354752
0.0,26,5.36054
0.0,12,5.36325
0.0,12,5.365759
0.0,15,5.369139
0.0,71,5.385154
0.0,82,5.403209
0.0,68,5.4186
0.0,87,5.438107
0.0,31,5.44488
0.0,35,5.452597
0.0,46,5.462649
0.0,12,5.465285
0.0,78,5.482815
0.0,28,5.489072
0.0,30,5.495836
0.0,19,5.5001
0.0,44,5.509922
0.0,9,5.511947
0.0,62,5.525892
0.0,124,5.553828
0.0,33,5.561116
0.0,77,5.578425
0.0,7,5.580029
0.0,41,5.589071
0.0,11,5.59157
0.0,44,5.601471
0.0,30,5.60813
0.0,135,5.638503
0.0,178,5.678301
0.0,51,5.68965
0.0,14,5.692824
0.0,121,5.720062
0.0,19,5.724404
0.0,9,5.726425
0.0,80,5.744419
0.0,60,5.757975
0.0,96,5.778809
