#{"t_start": 1717635309.373207, "env_id": "Mordor-v0"}
r,l,t
0.0,8,0.003135
0.0,13,0.007673
0.0,3,0.008684
0.0,4,0.010027
0.0,28,0.018826
0.0,6,0.020662
0.0,29,0.029437
0.0,19,0.035046
0.0,26,0.042708
0.0,7,0.044689
0.0,32,0.054074
0.0,10,0.057055
0.0,28,0.065341
0.0,72,0.086339
0.0,33,0.096072
0.0,26,0.103744
0.0,18,0.109042
0.0,11,0.112071
0.0,46,0.125536
0.0,32,0.13498
0.0,33,0.144088
0.0,14,0.148216
0.0,16,0.15293
0.0,8,0.15517
0.0,14,0.159326
0.0,80,0.183003
1.0,27,0.190669
0.0,23,0.197254
0.0,26,0.204822
0.0,91,0.231295
0.0,45,0.24446
0.0,43,0.257104
0.0,41,0.269139
0.0,9,0.271776
0.0,23,0.278486
0.0,54,0.294596
0.0,6,0.296312
0.0,85,0.32134
0.0,68,0.341068
0.0,90,0.366597
0.0,15,0.371139
0.0,31,0.38012
0.0,28,0.388562
0.0,58,0.405199
0.0,40,0.4165
0.0,65,0.43565
0.0,39,0.447307
0.0,31,0.456199
0.0,29,0.464789
0.0,54,0.480778
0.0,38,0.491802
0.0,21,0.497817
0.0,57,0.514657
0.0,19,0.520152
0.0,28,0.528413
0.0,38,0.539637
0.0,3,0.540521
0.0,193,0.59738
0.0,67,0.617209
0.0,13,0.620848
0.0,6,0.622617
0.0,80,0.646427
0.0,12,0.649789
0.0,7,0.651876
0.0,10,0.654864
0.0,36,0.665142
0.0,18,0.670156
0.0,35,0.680691
0.0,83,0.705416
0.0,210,0.768198
0.0,252,0.843654
0.0,50,0.858597
0.0,179,0.911929
0.0,102,0.942165
0.0,233,1.011695
1.0,69,1.032139
0.0,6,1.033812
0.0,20,1.039699
0.0,13,1.043474
0.0,9,1.046141
1.0,4,1.047264
0.0,48,1.060303
0.0,270,1.140137
0.0,200,1.20014
0.0,145,1.243124
0.0,90,1.268798
0.0,122,1.303017
1.0,18,1.308115
0.0,141,1.350624
1.0,99,1.380306
0.0,5,1.381773
0.0,264,1.460283
1.0,152,1.505563
0.0,26,1.512806
0.0,22,1.519329
0.0,28,1.527334
0.0,12,1.530868
0.0,14,1.535058
0.0,9,1.537683
0.0,53,1.553438
0.0,65,1.572701
0.0,165,1.621661
0.0,109,1.6542
0.0,8,1.656593
0.0,19,1.662117
0.0,29,1.670788
0.0,63,1.689081
0.0,2,1.689692
0.0,88,1.71586
0.0,37,1.726767
0.0,41,1.738753
0.0,18,1.743901
0.0,14,1.747821
0.0,15,1.752253
0.0,14,1.756392
0.0,229,1.823758
