#{"t_start": 1717584514.4469109, "env_id": "Mordor-single-v0"}
r,l,t
0.0,17,0.000522
0.0,12,0.000669
0.0,49,0.001195
0.0,22,0.001434
0.0,15,0.001596
0.0,25,0.001859
0.0,9,0.001956
0.0,12,0.002085
0.0,9,0.002182
0.0,28,0.002452
0.0,26,0.002705
0.0,37,0.00306
0.0,18,0.003245
0.0,23,0.003462
0.0,15,0.003612
0.0,23,0.00384
0.0,45,0.004273
0.0,33,0.004588
0.0,20,0.004786
0.0,20,0.004982
0.0,5,0.005039
0.0,15,0.005189
0.0,36,0.005523
0.0,39,0.005892
0.0,18,0.006072
0.0,17,0.006242
0.0,11,0.006356
0.0,36,0.006698
0.0,49,0.007159
0.0,11,0.007272
0.0,47,0.007716
0.0,11,0.007828
0.0,38,0.008189
0.0,13,0.008325
0.0,23,0.008554
0.0,20,0.008755
0.0,2,0.008788
0.0,60,0.009369
0.0,59,0.009972
0.0,53,0.010483
0.0,22,0.010705
0.0,19,0.010893
0.0,33,0.011218
0.0,22,0.011437
0.0,64,0.012048
0.0,11,0.012168
0.0,33,0.01249
0.0,4,0.012543
0.0,22,0.012766
0.0,36,0.013116
0.0,28,0.013395
0.0,58,0.013954
0.0,50,0.014437
0.0,22,0.014656
0.0,3,0.014697
0.0,19,0.01488
0.0,95,0.015774
0.0,75,0.016509
0.0,78,0.017247
0.0,32,0.017562
0.0,4,0.017609
0.0,62,0.018193
0.0,50,0.018674
0.0,28,0.01895
0.0,14,0.019094
0.0,86,0.019889
0.0,31,0.020194
0.0,9,0.020291
1.0,35,0.020675
0.0,38,0.021043
0.0,9,0.021142
0.0,15,0.021292
0.0,26,0.021546
0.0,11,0.021663
0.0,34,0.021993
0.0,21,0.022202
0.0,19,0.022396
0.0,18,0.022581
0.0,16,0.022745
0.0,21,0.022953
0.0,39,0.02333
0.0,24,0.023564
1.0,29,0.023855
0.0,21,0.024068
0.0,10,0.024172
0.0,60,0.024745
0.0,45,0.025208
0.0,10,0.025312
0.0,22,0.025534
0.0,35,0.025883
0.0,26,0.02616
0.0,21,0.026376
0.0,35,0.026721
0.0,13,0.026866
0.0,4,0.026917
0.0,26,0.027173
0.0,55,0.027699
0.0,62,0.028293
0.0,33,0.028624
0.0,32,0.028935
0.0,4,0.028986
0.0,3,0.029026
0.0,18,0.029207
0.0,6,0.029274
0.0,86,0.030098
0.0,17,0.030275
0.0,120,0.031418
0.0,102,0.032397
0.0,67,0.033034
0.0,65,0.033654
0.0,23,0.03388
0.0,2,0.033911
0.0,41,0.034302
0.0,81,0.035078
0.0,19,0.035266
0.0,85,0.03608
0.0,125,0.037265
0.0,51,0.037768
0.0,44,0.038203
0.0,62,0.038803
0.0,68,0.03946
0.0,19,0.039654
0.0,34,0.039985
0.0,26,0.040237
0.0,77,0.040977
0.0,92,0.041865
0.0,20,0.042068
0.0,28,0.042347
0.0,129,0.043568
0.0,35,0.043929
0.0,23,0.044171
0.0,39,0.044549
0.0,13,0.044681
0.0,51,0.045174
0.0,41,0.045571
0.0,21,0.045777
0.0,26,0.04604
0.0,21,0.04625
0.0,141,0.047572
0.0,13,0.047712
0.0,19,0.047909
0.0,20,0.04811
1.0,27,0.048378
0.0,39,0.04876
0.0,29,0.049047
0.0,29,0.049324
0.0,35,0.049664
0.0,22,0.049886
0.0,53,0.050404
0.0,43,0.050819
0.0,45,0.051257
0.0,34,0.051587
0.0,15,0.051738
0.0,4,0.051789
0.0,37,0.052149
0.0,22,0.052365
0.0,5,0.052425
0.0,131,0.053643
0.0,58,0.054205
0.0,24,0.054445
0.0,15,0.054597
0.0,95,0.055512
0.0,40,0.055903
0.0,20,0.056102
0.0,68,0.056756
0.0,22,0.056976
0.0,57,0.057519
0.0,12,0.057643
0.0,36,0.05799
0.0,92,0.058884
0.0,43,0.059314
0.0,3,0.059366
0.0,92,0.060256
0.0,10,0.06036
0.0,94,0.061264
1.0,105,0.062248
0.0,17,0.062421
0.0,61,0.063011
0.0,164,0.064572
0.0,20,0.064779
0.0,72,0.065467
0.0,25,0.065717
0.0,6,0.065787
0.0,36,0.066142
0.0,3,0.066184
0.0,24,0.066422
0.0,2,0.066454
0.0,24,0.066688
0.0,96,0.067625
0.0,112,0.068688
0.0,66,0.069327
0.0,9,0.069424
0.0,32,0.069734
0.0,6,0.069802
0.0,30,0.070096
0.0,44,0.070523
0.0,106,0.071544
0.0,60,0.072122
0.0,11,0.072239
0.0,60,0.072818
0.0,137,0.074113
