#{"t_start": 1718012951.571736, "env_id": "Mordor-single-v0"}
r,l,t
1.0,37,0.005405
0.0,8,0.006503
0.0,54,0.013954
0.0,8,0.015063
0.0,8,0.016161
0.0,25,0.019569
0.0,13,0.021355
0.0,5,0.022047
0.0,23,0.025175
0.0,24,0.028466
0.0,16,0.03066
0.0,15,0.032724
0.0,15,0.034768
1.0,49,0.041433
0.0,28,0.045295
0.0,111,0.060525
1.0,40,0.065925
0.0,10,0.067311
0.0,18,0.069789
0.0,21,0.072637
0.0,14,0.074551
0.0,35,0.079369
0.0,41,0.084977
0.0,98,0.098331
0.0,12,0.099969
0.0,19,0.102567
0.0,23,0.105723
0.0,9,0.106955
0.0,23,0.11011
0.0,33,0.114627
0.0,40,0.120129
0.0,35,0.1249
0.0,15,0.126959
0.0,40,0.132424
0.0,115,0.148141
0.0,38,0.153346
0.0,13,0.155126
0.0,19,0.157732
0.0,5,0.158417
0.0,13,0.160201
0.0,162,0.182435
0.0,21,0.185311
0.0,24,0.188648
0.0,3,0.189065
0.0,16,0.191275
0.0,125,0.208468
0.0,73,0.21843
0.0,19,0.221038
0.0,14,0.222964
0.0,5,0.223653
0.0,58,0.231612
0.0,92,0.244215
0.0,3,0.244631
0.0,51,0.251637
0.0,49,0.258351
0.0,49,0.265134
0.0,28,0.268949
0.0,83,0.280381
1.0,129,0.298037
0.0,8,0.299132
0.0,22,0.302157
0.0,34,0.30683
0.0,72,0.316756
0.0,77,0.327274
0.0,151,0.348046
1.0,167,0.370979
0.0,30,0.37512
0.0,48,0.381762
0.0,35,0.386587
0.0,12,0.388247
0.0,67,0.397496
0.0,100,0.411294
0.0,19,0.413913
0.0,42,0.41973
1.0,66,0.428685
0.0,25,0.432132
0.0,20,0.434893
0.0,15,0.436967
0.0,148,0.457459
0.0,227,0.488855
0.0,173,0.51282
0.0,3,0.513241
0.0,117,0.529387
0.0,6,0.530217
0.0,14,0.532149
0.0,4,0.532706
0.0,8,0.533809
0.0,12,0.535425
0.0,20,0.53818
0.0,8,0.53928
0.0,25,0.542732
0.0,17,0.545083
0.0,69,0.554559
0.0,60,0.562798
0.0,92,0.575487
0.0,27,0.579229
0.0,122,0.596185
0.0,40,0.601675
0.0,35,0.606532
0.0,10,0.607918
0.0,143,0.627745
