#{"t_start": 1718009784.854388, "env_id": "Mordor-v0"}
r,l,t
0.0,24,0.005448
0.0,54,0.016927
0.0,21,0.021232
0.0,6,0.022476
0.0,3,0.02312
0.0,10,0.025209
0.0,63,0.038175
0.0,21,0.042556
0.0,9,0.044441
0.0,5,0.045462
0.0,20,0.049638
1.0,22,0.054111
0.0,18,0.057876
0.0,26,0.063287
0.0,40,0.071607
1.0,145,0.10191
1.0,30,0.108358
0.0,4,0.109253
0.0,14,0.112276
0.0,26,0.117692
0.0,13,0.120425
1.0,69,0.135179
0.0,7,0.136645
1.0,110,0.159798
0.0,10,0.161951
0.0,19,0.165931
0.0,49,0.176288
0.0,17,0.179862
0.0,20,0.184
0.0,10,0.186137
1.0,81,0.203202
0.0,3,0.203833
0.0,68,0.218071
0.0,23,0.222837
0.0,13,0.225608
0.0,33,0.23247
0.0,75,0.248244
0.0,4,0.249068
1.0,46,0.258774
0.0,98,0.279783
0.0,2,0.280262
0.0,32,0.28702
1.0,9,0.288899
0.0,66,0.302729
0.0,5,0.30378
0.0,55,0.315429
0.0,23,0.320205
0.0,8,0.321866
0.0,16,0.325213
0.0,60,0.337799
0.0,60,0.350245
0.0,86,0.368289
0.0,36,0.375779
0.0,102,0.397294
0.0,4,0.398122
0.0,2,0.398531
0.0,35,0.40587
0.0,39,0.41407
0.0,31,0.420595
0.0,87,0.439004
0.0,39,0.447262
1.0,96,0.46752
1.0,107,0.48997
0.0,57,0.501993
0.0,53,0.513069
0.0,95,0.533067
0.0,18,0.536847
0.0,14,0.539816
0.0,39,0.548055
0.0,4,0.548883
0.0,6,0.550181
0.0,73,0.565669
0.0,13,0.568425
0.0,77,0.584611
0.0,35,0.592003
0.0,127,0.618629
0.0,18,0.622447
0.0,15,0.62555
0.0,20,0.629744
0.0,26,0.635086
0.0,42,0.643811
1.0,83,0.661194
0.0,16,0.66455
1.0,25,0.669753
0.0,128,0.696747
0.0,13,0.699465
0.0,25,0.704742
0.0,40,0.713281
0.0,7,0.714746
0.0,148,0.746021
1.0,77,0.762078
0.0,3,0.762702
0.0,28,0.768607
1.0,26,0.773974
0.0,392,0.856987
