#{"t_start": 1718003164.080149, "env_id": "Mordor-v0"}
r,l,t
0.0,4,0.000372
0.0,4,0.0005
0.0,39,0.00113
0.0,3,0.001194
0.0,7,0.001319
0.0,2,0.001369
0.0,12,0.001574
0.0,34,0.002118
0.0,10,0.002295
0.0,38,0.002881
0.0,18,0.003173
0.0,5,0.00326
0.0,8,0.003396
0.0,3,0.003457
0.0,16,0.003709
1.0,31,0.004207
0.0,35,0.004752
1.0,24,0.005155
0.0,13,0.005359
0.0,55,0.006179
1.0,44,0.00684
0.0,10,0.006997
0.0,7,0.007111
0.0,28,0.007531
0.0,6,0.007636
0.0,13,0.007842
0.0,32,0.008324
0.0,92,0.009702
0.0,3,0.009762
0.0,48,0.010481
0.0,4,0.010553
0.0,20,0.010863
0.0,17,0.011123
0.0,14,0.011337
0.0,6,0.011435
0.0,25,0.011811
0.0,47,0.012492
0.0,31,0.01296
0.0,41,0.013571
0.0,13,0.013767
0.0,21,0.014076
0.0,25,0.014448
0.0,11,0.01462
0.0,25,0.014985
0.0,67,0.015964
0.0,57,0.016796
0.0,21,0.017113
0.0,7,0.017226
0.0,44,0.017878
0.0,20,0.018196
0.0,12,0.018386
0.0,5,0.018472
0.0,24,0.01884
0.0,5,0.018928
0.0,36,0.019474
0.0,29,0.019912
0.0,55,0.020777
0.0,13,0.020981
0.0,10,0.021137
0.0,25,0.021516
0.0,42,0.022143
0.0,43,0.02278
0.0,25,0.023163
0.0,35,0.023687
0.0,7,0.023802
0.0,8,0.023933
0.0,30,0.024382
0.0,35,0.024892
0.0,43,0.025528
0.0,32,0.026008
0.0,17,0.026261
0.0,55,0.027081
0.0,62,0.027994
0.0,6,0.028094
1.0,24,0.028452
0.0,62,0.029369
0.0,13,0.029569
1.0,82,0.030755
0.0,5,0.030842
0.0,2,0.030884
0.0,32,0.031365
0.0,19,0.031663
0.0,14,0.031879
0.0,26,0.032272
0.0,105,0.033799
0.0,17,0.034064
0.0,36,0.034601
0.0,17,0.034858
0.0,15,0.035084
0.0,54,0.035884
0.0,39,0.036468
0.0,7,0.03658
0.0,2,0.036622
0.0,79,0.037785
0.0,38,0.038344
0.0,50,0.039077
0.0,29,0.03951
0.0,32,0.039985
1.0,52,0.040739
1.0,82,0.041908
0.0,12,0.042096
1.0,57,0.042925
0.0,45,0.043592
0.0,35,0.044106
0.0,49,0.044831
0.0,24,0.045191
0.0,9,0.045335
0.0,19,0.04563
1.0,35,0.046141
0.0,41,0.046743
0.0,14,0.046962
0.0,30,0.047413
1.0,55,0.048218
0.0,101,0.049689
0.0,38,0.050258
