#{"t_start": 1717589111.5662131, "env_id": "Mordor-v0"}
r,l,t
0.0,15,0.000477
0.0,6,0.000577
0.0,9,0.000687
0.0,47,0.001165
1.0,77,0.001946
0.0,16,0.002111
1.0,39,0.002535
0.0,6,0.002619
0.0,5,0.00268
1.0,43,0.003118
0.0,19,0.003312
0.0,2,0.003345
0.0,19,0.003551
0.0,3,0.003597
0.0,12,0.003757
0.0,3,0.0038
0.0,14,0.003954
0.0,33,0.004305
1.0,19,0.0045
0.0,6,0.004573
1.0,26,0.004847
0.0,47,0.005323
0.0,33,0.005659
0.0,31,0.005962
0.0,7,0.006043
0.0,36,0.006401
0.0,7,0.006484
0.0,16,0.006651
0.0,31,0.006964
0.0,13,0.007102
0.0,11,0.007224
0.0,6,0.007292
0.0,77,0.008065
0.0,23,0.008315
0.0,126,0.009563
0.0,3,0.009612
1.0,13,0.00976
0.0,12,0.009896
0.0,16,0.010071
0.0,10,0.010184
0.0,28,0.010469
0.0,18,0.010662
0.0,19,0.01086
0.0,51,0.011373
0.0,3,0.011416
0.0,18,0.011606
0.0,25,0.011867
0.0,13,0.012014
1.0,42,0.012436
0.0,20,0.012646
0.0,6,0.012719
0.0,29,0.013032
0.0,22,0.013263
0.0,57,0.013848
0.0,45,0.014323
0.0,2,0.014356
0.0,13,0.0145
0.0,27,0.01478
0.0,4,0.014832
0.0,11,0.014958
1.0,55,0.01554
0.0,37,0.015934
0.0,56,0.016499
0.0,15,0.01666
0.0,38,0.017054
0.0,42,0.017493
0.0,6,0.01757
0.0,20,0.017781
1.0,52,0.018367
0.0,3,0.018413
0.0,23,0.018655
0.0,15,0.018819
1.0,32,0.019154
0.0,175,0.020877
0.0,46,0.021373
0.0,10,0.021481
0.0,15,0.02165
0.0,14,0.021806
1.0,144,0.02324
0.0,35,0.023615
0.0,22,0.023849
0.0,17,0.024031
0.0,52,0.024558
0.0,35,0.024925
1.0,70,0.025653
0.0,19,0.025857
0.0,17,0.026041
0.0,59,0.026646
0.0,20,0.026851
0.0,11,0.026975
0.0,16,0.027147
0.0,5,0.027208
0.0,11,0.027329
0.0,38,0.027725
0.0,6,0.0278
0.0,16,0.027977
0.0,18,0.02817
0.0,9,0.02827
0.0,56,0.028841
0.0,33,0.029186
0.0,25,0.029444
1.0,70,0.030165
0.0,17,0.030354
0.0,10,0.03047
0.0,50,0.030982
1.0,42,0.031425
0.0,20,0.031639
0.0,16,0.031821
0.0,55,0.032387
0.0,39,0.032789
0.0,11,0.032912
0.0,72,0.03364
0.0,9,0.033743
0.0,129,0.035037
0.0,72,0.035789
0.0,18,0.035981
1.0,20,0.036196
0.0,14,0.036349
0.0,16,0.036523
0.0,111,0.037689
0.0,99,0.038719
0.0,16,0.038911
0.0,23,0.039191
0.0,62,0.039932
0.0,34,0.040327
0.0,13,0.040519
0.0,31,0.040892
0.0,2,0.040948
0.0,10,0.041063
0.0,51,0.041595
0.0,4,0.041648
0.0,6,0.041722
0.0,29,0.042027
0.0,34,0.042378
0.0,15,0.04254
0.0,7,0.042622
0.0,55,0.04319
0.0,14,0.043343
0.0,45,0.043805
0.0,12,0.04394
0.0,3,0.043981
0.0,34,0.044334
0.0,20,0.044544
0.0,40,0.044967
0.0,17,0.045152
