#{"t_start": 1718027111.956373, "env_id": "Mordor-v0"}
r,l,t
0.0,99,0.032282
0.0,19,0.037903
0.0,9,0.040661
0.0,38,0.05166
0.0,9,0.054383
0.0,8,0.0568
0.0,7,0.058905
0.0,165,0.108301
0.0,23,0.115352
0.0,3,0.116287
0.0,50,0.131326
0.0,3,0.13219
0.0,10,0.135171
0.0,18,0.140569
0.0,41,0.152933
0.0,38,0.164147
0.0,29,0.172864
0.0,22,0.179357
1.0,25,0.186749
0.0,49,0.20154
0.0,37,0.212544
0.0,10,0.215132
0.0,38,0.226416
1.0,45,0.239457
0.0,4,0.240678
0.0,49,0.255439
0.0,90,0.282226
1.0,55,0.298434
0.0,38,0.30976
0.0,35,0.32024
0.0,64,0.339829
0.0,180,0.393695
1.0,123,0.430352
0.0,97,0.459598
0.0,28,0.468208
0.0,84,0.494146
0.0,38,0.50577
0.0,130,0.54528
0.0,33,0.555116
0.0,21,0.561445
0.0,121,0.597266
1.0,35,0.607691
1.0,92,0.634933
0.0,47,0.649398
0.0,7,0.651581
0.0,11,0.654981
0.0,88,0.681819
0.0,40,0.69393
1.0,9,0.696395
0.0,52,0.712316
1.0,93,0.740781
0.0,8,0.743198
0.0,139,0.785991
0.0,5,0.78751
0.0,10,0.790613
0.0,54,0.807353
0.0,32,0.817
0.0,12,0.820558
0.0,26,0.82851
0.0,170,0.880558
0.0,17,0.8858
0.0,51,0.901404
1.0,55,0.918104
1.0,29,0.926797
0.0,81,0.951266
0.0,61,0.96931
0.0,27,0.977634
0.0,81,1.002106
0.0,7,1.004281
0.0,55,1.021181
0.0,29,1.029959
1.0,155,1.077588
0.0,6,1.079364
0.0,59,1.097472
0.0,21,1.103915
0.0,21,1.1104
0.0,49,1.125285
0.0,25,1.132838
0.0,72,1.154901
0.0,315,1.251551
0.0,26,1.259566
0.0,3,1.260502
0.0,35,1.270658
0.0,19,1.27651
0.0,18,1.282013
0.0,184,1.338199
0.0,114,1.373493
0.0,5,1.375031
0.0,52,1.390829
0.0,3,1.391769
0.0,31,1.401303
0.0,46,1.415447
1.0,47,1.428521
0.0,77,1.452245
0.0,275,1.536274
1.0,70,1.557422
0.0,5,1.558849
0.0,161,1.608204
1.0,33,1.617954
0.0,25,1.625415
1.0,85,1.650976
0.0,92,1.679376
0.0,3,1.680319
0.0,84,1.706273
0.0,25,1.713886
1.0,30,1.722519
0.0,39,1.734421
0.0,17,1.739301
1.0,85,1.764549
0.0,24,1.771949
1.0,57,1.788988
1.0,138,1.831455
0.0,266,1.913475
0.0,309,2.008023
1.0,147,2.052573
1.0,112,2.085471
0.0,31,2.095044
0.0,24,2.102461
0.0,51,2.118156
0.0,67,2.138789
1.0,44,2.151995
0.0,144,2.196083
0.0,11,2.19941
1.0,37,2.210271
0.0,323,2.30957
0.0,93,2.338024
0.0,6,2.339882
1.0,256,2.417876
0.0,7,2.419905
0.0,83,2.445267
0.0,88,2.472322
0.0,16,2.477296
0.0,97,2.507337
0.0,196,2.567675
0.0,46,2.581846
0.0,14,2.586082
0.0,55,2.602908
0.0,29,2.611729
0.0,133,2.652383
0.0,79,2.676436
1.0,36,2.68676
0.0,26,2.694696
0.0,115,2.729564
0.0,80,2.753435
0.0,85,2.779462
0.0,77,2.802986
0.0,11,2.806376
0.0,62,2.825461
0.0,50,2.840805
0.0,94,2.869581
0.0,3,2.870527
0.0,15,2.874907
1.0,5,2.876323
0.0,2,2.876864
1.0,52,2.892455
1.0,71,2.913643
0.0,35,2.924171
0.0,5,2.925679
1.0,57,2.942895
0.0,7,2.944993
0.0,38,2.956733
0.0,8,2.959223
0.0,170,3.012012
0.0,152,3.067861
0.0,5,3.070266
1.0,11,3.073648
0.0,214,3.140175
0.0,34,3.150442
1.0,48,3.164799
0.0,161,3.214759
0.0,39,3.226556
0.0,9,3.229137
0.0,3,3.229976
1.0,41,3.241678
1.0,164,3.292122
0.0,8,3.294615
0.0,37,3.305807
0.0,19,3.311263
1.0,264,3.39206
0.0,11,3.395327
1.0,23,3.401751
0.0,90,3.429473
0.0,20,3.435306
0.0,97,3.465099
1.0,75,3.488153
0.0,58,3.505782
1.0,6,3.507434
0.0,17,3.512604
0.0,2,3.513229
0.0,34,3.523725
0.0,47,3.537925
0.0,33,3.548034
0.0,21,3.554399
0.0,193,3.61399
0.0,83,3.639631
0.0,109,3.673125
0.0,35,3.683579
0.0,40,3.695527
0.0,12,3.699062
1.0,73,3.720834
0.0,3,3.721776
0.0,4,3.722964
0.0,17,3.727904
0.0,2,3.72853
1.0,95,3.757421
0.0,65,3.777115
1.0,70,3.798073
1.0,108,3.831097
0.0,11,3.834512
0.0,26,3.842456
0.0,58,3.860086
0.0,10,3.863187
0.0,78,3.887124
0.0,39,3.899222
0.0,171,3.952025
0.0,17,3.957317
0.0,22,3.964122
0.0,101,3.994963
0.0,38,4.006361
0.0,23,4.01344
0.0,56,4.030517
0.0,88,4.05716
0.0,31,4.06668
0.0,30,4.075949
1.0,233,4.147433
0.0,12,4.151036
0.0,136,4.19309
0.0,52,4.208963
0.0,65,4.2289
0.0,87,4.255525
0.0,5,4.25699
0.0,9,4.259761
0.0,131,4.300159
1.0,36,4.311102
0.0,21,4.317557
0.0,5,4.319052
0.0,2,4.319648
0.0,38,4.330833
0.0,18,4.33632
0.0,20,4.342396
0.0,111,4.376344
0.0,69,4.397576
0.0,21,4.404079
1.0,96,4.432853
0.0,140,4.475893
0.0,8,4.47839
0.0,25,4.486184
0.0,6,4.488065
0.0,5,4.489643
0.0,50,4.505162
0.0,126,4.543719
0.0,23,4.550563
1.0,55,4.567069
0.0,357,4.677518
0.0,24,4.684781
1.0,20,4.690249
0.0,215,4.756809
0.0,8,4.759313
