#{"t_start": 1717538250.811737, "env_id": "Mordor-single-v0"}
r,l,t
0.0,42,0.007368
0.0,10,0.008937
0.0,6,0.009895
0.0,17,0.012553
0.0,34,0.017693
0.0,26,0.021443
0.0,43,0.027598
0.0,33,0.032207
0.0,10,0.033608
0.0,22,0.036679
0.0,30,0.040793
0.0,20,0.043538
0.0,24,0.046831
0.0,10,0.048199
0.0,34,0.052771
0.0,12,0.054437
0.0,21,0.057338
0.0,16,0.059531
0.0,11,0.061035
0.0,37,0.066109
0.0,15,0.068197
0.0,19,0.070818
0.0,27,0.074487
0.0,15,0.076547
0.0,56,0.084504
0.0,11,0.08601
0.0,18,0.088448
0.0,60,0.096683
0.0,30,0.100796
0.0,6,0.101621
0.0,61,0.109972
0.0,21,0.112831
0.0,9,0.114065
0.0,58,0.12205
0.0,53,0.129298
0.0,28,0.133122
0.0,24,0.136404
0.0,147,0.156089
0.0,26,0.15961
0.0,35,0.164369
0.0,181,0.189131
0.0,226,0.219435
0.0,22,0.222462
0.0,23,0.225579
0.0,35,0.230372
0.0,77,0.24091
0.0,26,0.244484
0.0,24,0.247725
0.0,40,0.253225
0.0,22,0.25624
0.0,30,0.260356
0.0,115,0.276104
0.0,83,0.287443
0.0,9,0.288673
0.0,55,0.296176
0.0,119,0.312445
0.0,30,0.316494
0.0,51,0.323514
0.0,52,0.330651
0.0,29,0.334585
0.0,138,0.353484
0.0,19,0.3561
0.0,688,0.450488
0.0,8,0.451594
0.0,27,0.455261
0.0,41,0.460865
0.0,72,0.470773
0.0,104,0.485111
0.0,342,0.531073
0.0,40,0.536479
0.0,12,0.538136
0.0,633,0.625337
0.0,112,0.640833
0.0,110,0.656073
0.0,30,0.660228
0.0,221,0.690185
0.0,89,0.702393
0.0,18,0.704879
0.0,119,0.721313
0.0,100,0.735028
0.0,326,0.780005
0.0,64,0.78883
0.0,12,0.790484
0.0,22,0.793514
0.0,23,0.796669
0.0,109,0.811582
0.0,237,0.844325
0.0,38,0.849566
0.0,100,0.863361
0.0,106,0.877846
0.0,38,0.883082
0.0,43,0.889017
0.0,27,0.892741
0.0,90,0.905142
0.0,69,0.914644
0.0,13,0.916444
0.0,27,0.920142
0.0,208,0.948189
0.0,36,0.953149
0.0,69,0.962662
0.0,113,0.978225
0.0,87,0.990001
0.0,154,1.011152
0.0,148,1.031589
0.0,135,1.05009
0.0,523,1.122415
0.0,160,1.144398
0.0,79,1.155198
0.0,49,1.161936
0.0,152,1.182918
0.0,16,1.185116
0.0,175,1.209239
0.0,100,1.223078
0.0,149,1.243643
0.0,8,1.244753
0.0,422,1.302753
0.0,49,1.309484
0.0,14,1.31142
0.0,12,1.313076
0.0,5,1.313769
0.0,127,1.331327
0.0,189,1.357456
0.0,5,1.35815
0.0,123,1.375098
0.0,38,1.388506
0.0,81,1.400211
0.0,26,1.40388
1.0,369,1.455086
0.0,38,1.460345
0.0,78,1.471038
0.0,33,1.475597
0.0,359,1.525225
0.0,128,1.54295
0.0,90,1.555346
0.0,14,1.557281
0.0,84,1.568888
0.0,41,1.574515
0.0,63,1.583139
0.0,21,1.586039
0.0,28,1.589911
0.0,103,1.604145
0.0,71,1.613994
0.0,22,1.617051
0.0,194,1.643921
0.0,64,1.652753
0.0,11,1.654275
0.0,31,1.658551
0.0,52,1.665746
0.0,253,1.700875
0.0,43,1.706791
0.0,179,1.731484
0.0,43,1.737427
0.0,87,1.749339
0.0,235,1.781933
0.0,30,1.786073
0.0,89,1.798369
0.0,19,1.800985
0.0,105,1.815431
1.0,889,1.9384
0.0,113,1.954026
0.0,238,1.986688
0.0,68,1.996057
0.0,215,2.025862
0.0,35,2.030688
1.0,259,2.066378
0.0,174,2.090697
0.0,183,2.116073
0.0,103,2.130267
0.0,118,2.146474
0.0,52,2.153646
0.0,37,2.158729
0.0,12,2.16038
0.0,32,2.164787
0.0,38,2.170033
0.0,30,2.174176
0.0,27,2.177904
0.0,123,2.194865
0.0,64,2.203657
0.0,19,2.206285
0.0,43,2.212198
0.0,47,2.218624
0.0,38,2.223787
0.0,52,2.230953
0.0,43,2.2369
0.0,74,2.247164
0.0,75,2.257523
0.0,14,2.259463
0.0,96,2.272571
0.0,175,2.29675
0.0,19,2.299385
0.0,23,2.302567
0.0,75,2.312966
0.0,118,2.329121
1.0,55,2.336683
0.0,43,2.342663
0.0,4,2.34322
0.0,87,2.355287
1.0,82,2.366523
0.0,30,2.370682
0.0,66,2.379839
0.0,91,2.392395
0.0,179,2.417261
0.0,63,2.42599
0.0,22,2.429008
0.0,28,2.432884
0.0,25,2.436345
1.0,90,2.448729
0.0,36,2.453726
0.0,155,2.475262
0.0,28,2.479133
0.0,23,2.482318
0.0,135,2.500999
0.0,85,2.512665
0.0,231,2.544788
0.0,203,2.572989
0.0,197,2.600374
0.0,230,2.632292
