#{"t_start": 1717529996.2658072, "env_id": "Mordor-v0"}
r,l,t
0.0,16,0.004558
0.0,16,0.008359
0.0,32,0.01586
0.0,12,0.018491
0.0,30,0.025024
0.0,27,0.030708
0.0,30,0.03699
0.0,27,0.042595
0.0,47,0.052341
0.0,33,0.059206
0.0,21,0.063669
0.0,11,0.065919
0.0,22,0.070477
0.0,44,0.079582
0.0,25,0.084755
0.0,24,0.089733
0.0,11,0.092009
0.0,20,0.096128
0.0,31,0.102547
0.0,20,0.106579
0.0,27,0.112243
0.0,16,0.115557
0.0,42,0.124204
0.0,33,0.131005
0.0,84,0.14841
0.0,21,0.152772
0.0,63,0.165854
0.0,27,0.171496
0.0,61,0.184151
0.0,18,0.187863
0.0,31,0.194321
0.0,21,0.198629
0.0,41,0.207131
0.0,10,0.20921
0.0,72,0.224196
0.0,22,0.228709
0.0,206,0.270585
0.0,18,0.274323
0.0,26,0.27967
0.0,39,0.287728
0.0,38,0.295608
0.0,58,0.307567
0.0,21,0.311918
0.0,40,0.320802
0.0,47,0.33053
0.0,51,0.341065
0.0,89,0.359195
0.0,65,0.372542
0.0,25,0.377714
0.0,61,0.390067
0.0,92,0.409031
0.0,42,0.417701
0.0,44,0.426825
0.0,76,0.442598
0.0,24,0.447525
0.0,80,0.464124
0.0,65,0.477572
0.0,24,0.48249
0.0,159,0.515505
0.0,121,0.540619
0.0,256,0.593927
0.0,12,0.596428
0.0,379,0.674623
0.0,17,0.678166
0.0,169,0.71336
0.0,38,0.721224
0.0,12,0.723719
0.0,274,0.781001
0.0,345,0.85163
0.0,47,0.861426
0.0,15,0.864555
0.0,73,0.879858
0.0,412,0.966071
0.0,359,1.041264
0.0,9,1.043146
0.0,66,1.056836
0.0,379,1.135471
0.0,22,1.140026
0.0,22,1.144629
0.0,13,1.147347
1.0,115,1.171302
0.0,9,1.17318
0.0,16,1.176496
0.0,4,1.177329
0.0,25,1.182504
0.0,63,1.19576
0.0,8,1.197424
0.0,14,1.200316
0.0,183,1.238671
0.0,105,1.260631
0.0,83,1.27801
0.0,67,1.29209
0.0,122,1.31736
0.0,25,1.322903
0.0,105,1.344971
0.0,131,1.372349
0.0,116,1.396598
0.0,23,1.401354
0.0,19,1.405328
0.0,43,1.414323
0.0,20,1.418476
0.0,42,1.427084
0.0,67,1.441002
0.0,4,1.441834
0.0,42,1.450622
0.0,25,1.455828
0.0,69,1.470281
1.0,47,1.479982
0.0,106,1.50223
0.0,165,1.536746
1.0,111,1.559965
0.0,33,1.566816
0.0,166,1.601494
0.0,45,1.61087
0.0,60,1.623469
0.0,289,1.684111
0.0,27,1.689761
0.0,269,1.746036
0.0,152,1.779798
1.0,25,1.784955
0.0,13,1.78767
0.0,257,1.841451
1.0,35,1.848739
0.0,14,1.851653
0.0,241,1.902076
1.0,25,1.907232
0.0,57,1.919121
0.0,20,1.923307
0.0,19,1.927276
0.0,248,1.979247
0.0,52,1.990136
1.0,38,1.997955
0.0,168,2.033164
0.0,24,2.038189
1.0,41,2.046661
0.0,244,2.10645
0.0,387,2.188603
1.0,109,2.211657
0.0,197,2.253092
0.0,271,2.309833
0.0,66,2.323684
0.0,88,2.342514
0.0,40,2.350889
1.0,62,2.363751
0.0,4,2.364591
0.0,73,2.379809
1.0,28,2.385659
0.0,57,2.397601
0.0,30,2.403892
1.0,20,2.40807
0.0,26,2.41351
0.0,178,2.450945
0.0,41,2.459525
0.0,28,2.465343
0.0,73,2.480678
1.0,22,2.485233
0.0,43,2.49425
0.0,36,2.501791
0.0,10,2.50384
0.0,30,2.510093
0.0,13,2.512819
1.0,24,2.517759
0.0,60,2.530337
0.0,15,2.533479
1.0,19,2.537416
0.0,109,2.560321
0.0,86,2.578377
1.0,19,2.58232
0.0,39,2.590499
0.0,97,2.610478
1.0,22,2.615054
0.0,96,2.635216
0.0,31,2.641578
1.0,17,2.645103
0.0,14,2.648037
0.0,66,2.661852
1.0,17,2.665376
0.0,12,2.667887
0.0,117,2.692472
1.0,18,2.696211
0.0,46,2.705888
0.0,75,2.721565
1.0,19,2.725503
0.0,68,2.739821
0.0,148,2.770835
1.0,19,2.77478
0.0,155,2.8073
0.0,294,2.868975
1.0,19,2.872932
0.0,30,2.879176
0.0,9,2.88107
1.0,20,2.885219
0.0,26,2.890679
0.0,183,2.929088
1.0,17,2.932646
0.0,35,2.939904
0.0,235,2.989186
1.0,22,2.993758
0.0,53,3.004917
0.0,5,3.00596
1.0,20,3.010102
0.0,71,3.024974
0.0,430,3.115197
1.0,21,3.119546
1.0,20,3.123716
0.0,176,3.160496
0.0,13,3.163191
1.0,22,3.16779
0.0,19,3.171727
1.0,17,3.175262
0.0,23,3.180069
0.0,94,3.199783
1.0,17,3.203302
1.0,20,3.207475
0.0,67,3.221551
1.0,19,3.225487
1.0,22,3.23006
0.0,152,3.262007
1.0,26,3.267384
1.0,20,3.271564
0.0,191,3.311353
1.0,18,3.31508
1.0,21,3.319455
0.0,39,3.327635
1.0,21,3.332283
1.0,20,3.336459
0.0,106,3.358714
1.0,19,3.362645
1.0,20,3.366818
0.0,11,3.369114
1.0,21,3.373452
1.0,22,3.37804
0.0,45,3.387374
1.0,19,3.391331
1.0,24,3.396329
0.0,37,3.404079
1.0,19,3.408018
1.0,20,3.412202
0.0,148,3.443188
0.0,17,3.44672
1.0,23,3.451525
0.0,13,3.454248
1.0,17,3.457796
0.0,11,3.460095
0.0,255,3.513531
1.0,19,3.517467
1.0,22,3.522061
0.0,41,3.530689
1.0,21,3.535002
1.0,22,3.5396
0.0,62,3.552579
1.0,19,3.556518
1.0,22,3.561131
0.0,75,3.57687
1.0,21,3.581228
1.0,20,3.585402
0.0,30,3.591544
1.0,17,3.595062
1.0,24,3.600062
0.0,172,3.636192
1.0,21,3.640545
1.0,22,3.645122
0.0,46,3.654751
1.0,21,3.659128
1.0,23,3.663929
0.0,72,3.679008
1.0,17,3.682532
1.0,26,3.687944
0.0,10,3.690011
1.0,19,3.693931
1.0,25,3.699135
0.0,24,3.704166
1.0,19,3.708108
1.0,22,3.71269
0.0,47,3.722557
1.0,17,3.726073
1.0,26,3.73149
0.0,25,3.736715
1.0,21,3.741076
1.0,22,3.74564
0.0,116,3.769952
0.0,14,3.772863
1.0,23,3.777671
0.0,46,3.787321
1.0,18,3.79106
1.0,20,3.795222
0.0,147,3.826205
1.0,17,3.829738
1.0,25,3.83495
0.0,37,3.842627
1.0,21,3.846979
1.0,22,3.851583
0.0,128,3.878605
1.0,17,3.882133
1.0,21,3.886504
0.0,17,3.890067
1.0,17,3.89359
1.0,21,3.897949
0.0,55,3.909522
1.0,18,3.913251
1.0,22,3.917848
0.0,36,3.925407
0.0,16,3.928727
0.0,20,3.932909
0.0,224,3.979981
1.0,21,3.984294
0.0,12,3.986779
0.0,123,4.012591
0.0,11,4.01487
1.0,26,4.020292
0.0,144,4.050513
1.0,22,4.055064
1.0,20,4.059239
0.0,173,4.095594
1.0,20,4.099734
1.0,20,4.103902
0.0,28,4.109729
1.0,17,4.113247
1.0,31,4.119749
0.0,127,4.146423
1.0,19,4.150367
1.0,22,4.15495
0.0,136,4.183424
1.0,19,4.187353
1.0,22,4.192281
0.0,104,4.214163
1.0,19,4.218095
0.0,11,4.22038
0.0,93,4.23975
1.0,19,4.243749
1.0,20,4.247975
0.0,100,4.26903
1.0,17,4.272577
1.0,24,4.277598
1.0,128,4.304545
1.0,21,4.308876
1.0,26,4.314329
0.0,52,4.325258
1.0,18,4.328994
1.0,24,4.334185
0.0,10,4.336378
1.0,17,4.339924
1.0,20,4.344106
1.0,348,4.417196
1.0,19,4.421137
0.0,66,4.434999
0.0,3,4.43563
1.0,21,4.439973
0.0,11,4.442262
0.0,47,4.452169
1.0,17,4.455702
1.0,22,4.460296
0.0,38,4.46829
1.0,17,4.47183
0.0,11,4.474128
0.0,149,4.505314
1.0,20,4.50946
0.0,7,4.510933
0.0,149,4.542334
1.0,17,4.545861
0.0,10,4.547949
0.0,121,4.573405
1.0,21,4.577771
0.0,13,4.580491
0.0,8,4.582147
1.0,18,4.585877
0.0,16,4.589229
0.0,59,4.601474
1.0,17,4.605003
0.0,24,4.610034
0.0,87,4.628336
1.0,19,4.632285
1.0,20,4.636466
0.0,418,4.724429
1.0,17,4.727969
0.0,12,4.730463
0.0,144,4.760655
1.0,23,4.765461
1.0,26,4.770898
0.0,15,4.774065
1.0,18,4.777792
0.0,15,4.780919
0.0,260,4.835546
0.0,11,4.837859
1.0,20,4.842072
0.0,19,4.846047
1.0,20,4.850196
1.0,22,4.854794
0.0,142,4.884634
1.0,17,4.888166
1.0,20,4.892356
0.0,11,4.894657
1.0,18,4.898376
1.0,22,4.902968
0.0,24,4.907936
1.0,19,4.911888
1.0,22,4.916489
0.0,24,4.921521
1.0,17,4.925047
0.0,15,4.928182
0.0,5,4.929231
1.0,17,4.932766
1.0,20,4.936951
1.0,61,4.949614
1.0,21,4.953978
0.0,18,4.957745
0.0,28,4.963615
1.0,18,4.967332
0.0,17,4.970899
1.0,176,5.007941
1.0,17,5.011476
1.0,22,5.016074
1.0,163,5.050389
1.0,25,5.05562
1.0,22,5.060233
