#{"t_start": 1717531808.403646, "env_id": "Mordor-single-v0"}
r,l,t
0.0,6,0.001408
0.0,79,0.013851
0.0,14,0.01586
0.0,35,0.020864
0.0,31,0.025277
0.0,30,0.0295
0.0,15,0.031568
0.0,13,0.033374
0.0,34,0.037991
0.0,41,0.043579
0.0,16,0.045781
0.0,32,0.050107
0.0,34,0.054729
0.0,9,0.055958
0.0,25,0.059348
0.0,13,0.061114
0.0,17,0.063414
0.0,21,0.066255
0.0,4,0.066804
0.0,21,0.069653
0.0,40,0.075049
0.0,11,0.076569
0.0,22,0.079523
0.0,12,0.081127
0.0,34,0.085742
0.0,67,0.094825
0.0,27,0.098419
0.0,31,0.10263
0.0,30,0.106709
0.0,4,0.107257
0.0,23,0.110431
0.0,45,0.116524
0.0,53,0.123719
0.0,44,0.129693
0.0,104,0.143724
0.0,60,0.151907
0.0,91,0.16402
0.0,14,0.165912
0.0,27,0.169584
0.0,87,0.181357
0.0,45,0.187455
0.0,33,0.191911
0.0,13,0.193662
0.0,15,0.1957
0.0,20,0.198401
0.0,37,0.203425
0.0,167,0.225986
0.0,44,0.231977
0.0,56,0.239564
0.0,70,0.249027
0.0,137,0.267119
0.0,66,0.276077
0.0,84,0.287487
0.0,27,0.291149
0.0,18,0.293562
0.0,46,0.299737
0.0,26,0.303255
0.0,68,0.31246
0.0,251,0.346447
0.0,368,0.396465
0.0,36,0.401299
0.0,297,0.441831
0.0,161,0.463544
0.0,385,0.516062
0.0,22,0.519069
0.0,31,0.523231
0.0,364,0.572115
0.0,42,0.577837
0.0,92,0.590389
0.0,239,0.622479
0.0,48,0.629018
0.0,297,0.669546
0.0,151,0.690072
0.0,54,0.697421
0.0,17,0.699733
0.0,205,0.727665
0.0,37,0.732654
0.0,70,0.742205
0.0,35,0.746967
0.0,44,0.752945
0.0,77,0.763349
0.0,5,0.764037
0.0,76,0.774406
0.0,21,0.777273
0.0,305,0.81891
0.0,77,0.82943
0.0,49,0.836014
0.0,205,0.864034
0.0,50,0.87084
0.0,32,0.875206
0.0,71,0.884872
0.0,46,0.891158
0.0,81,0.902168
0.0,7,0.903126
0.0,82,0.914327
0.0,43,0.920194
0.0,22,0.923174
0.0,22,0.926166
0.0,130,0.943831
0.0,4,0.944385
0.0,39,0.949711
0.0,11,0.951179
0.0,144,0.970862
0.0,68,0.98014
0.0,46,0.986423
0.0,17,0.988747
0.0,19,0.991339
0.0,29,0.99522
0.0,60,1.003396
0.0,295,1.043672
0.0,26,1.04724
0.0,249,1.081375
0.0,37,1.086408
0.0,137,1.104988
0.0,90,1.117269
0.0,242,1.150276
0.0,60,1.158368
0.0,109,1.17325
0.0,196,1.200043
0.0,31,1.204274
0.0,175,1.228162
0.0,99,1.241604
0.0,632,1.326269
0.0,126,1.343138
0.0,99,1.356653
0.0,61,1.373135
0.0,143,1.393703
0.0,155,1.415246
0.0,450,1.477325
0.0,26,1.48093
0.0,56,1.488634
0.0,28,1.492458
0.0,86,1.504168
0.0,185,1.529664
0.0,34,1.534348
0.0,24,1.537648
0.0,17,1.53999
0.0,247,1.573879
0.0,66,1.582856
0.0,97,1.596227
0.0,54,1.603598
0.0,20,1.60635
1.0,71,1.616026
0.0,150,1.636627
0.0,5,1.637325
0.0,16,1.639537
0.0,30,1.643653
0.0,49,1.650395
0.0,99,1.663958
0.0,19,1.666577
0.0,11,1.668099
0.0,94,1.681046
0.0,72,1.690984
0.0,222,1.721569
0.0,143,1.741303
0.0,74,1.751527
0.0,459,1.814904
0.0,34,1.819569
0.0,41,1.825135
1.0,328,1.870153
0.0,85,1.881857
0.0,44,1.887835
0.0,34,1.89251
0.0,137,1.911376
1.0,492,1.979417
0.0,256,2.014558
0.0,31,2.018809
0.0,56,2.02651
0.0,70,2.036127
0.0,14,2.038059
0.0,80,2.048939
0.0,63,2.057605
0.0,74,2.067749
0.0,490,2.135191
0.0,73,2.145083
0.0,94,2.157986
0.0,74,2.168151
0.0,56,2.175837
1.0,270,2.212919
0.0,6,2.213757
0.0,14,2.215662
0.0,28,2.219499
0.0,162,2.241881
0.0,13,2.243673
0.0,8,2.244781
0.0,25,2.248218
0.0,56,2.255929
0.0,128,2.273382
0.0,11,2.274891
0.0,44,2.280935
0.0,56,2.288647
0.0,207,2.316519
0.0,21,2.31941
0.0,68,2.328749
0.0,45,2.334892
0.0,184,2.360195
0.0,78,2.370953
0.0,15,2.372997
0.0,156,2.394464
0.0,46,2.400746
0.0,76,2.41128
0.0,201,2.438936
0.0,25,2.442388
0.0,8,2.443495
0.0,57,2.451359
0.0,101,2.465291
0.0,236,2.4978
0.0,100,2.511508
1.0,277,2.549532
1.0,76,2.559871
0.0,48,2.566448
0.0,56,2.574136
0.0,10,2.575513
0.0,36,2.580481
0.0,99,2.594109
1.0,102,2.60802
0.0,106,2.622548
0.0,22,2.625574
0.0,60,2.633827
0.0,313,2.676855
0.0,58,2.684701
0.0,12,2.686352
1.0,184,2.711627
0.0,299,2.752803
0.0,30,2.756933
0.0,104,2.771278
0.0,60,2.779581
0.0,48,2.786212
0.0,5,2.786909
0.0,120,2.803487
0.0,60,2.81177
0.0,87,2.82374
1.0,73,2.833692
1.0,156,2.855174
0.0,6,2.856006
0.0,124,2.873109
0.0,44,2.879187
0.0,129,2.896957
1.0,105,2.911414
0.0,170,2.93482
1.0,59,2.942894
0.0,101,2.956715
0.0,88,2.96882
1.0,139,2.988326
1.0,38,2.993506
0.0,26,2.997082
1.0,50,3.00392
0.0,136,3.022696
1.0,115,3.038499
0.0,53,3.045819
1.0,63,3.054435
0.0,4,3.05499
0.0,89,3.067183
0.0,58,3.075215
0.0,109,3.090308
0.0,23,3.093471
0.0,26,3.097063
0.0,22,3.100028
0.0,15,3.102097
0.0,22,3.105159
0.0,33,3.10971
0.0,164,3.132464
0.0,50,3.139331
0.0,191,3.165776
0.0,157,3.187309
0.0,68,3.19667
0.0,102,3.210769
1.0,103,3.224956
0.0,40,3.230478
0.0,20,3.233206
0.0,40,3.238735
1.0,40,3.244211
0.0,89,3.256433
0.0,22,3.259419
0.0,64,3.268246
1.0,152,3.289193
1.0,40,3.29465
0.0,34,3.299343
0.0,48,3.305977
1.0,125,3.323204
1.0,32,3.327593
0.0,25,3.331044
0.0,44,3.337125
0.0,47,3.343547
0.0,228,3.375088
0.0,39,3.380455
1.0,129,3.398253
0.0,37,3.403352
1.0,47,3.409795
1.0,56,3.417464
0.0,13,3.419257
1.0,96,3.432413
0.0,27,3.436089
0.0,49,3.4428
0.0,12,3.444434
0.0,13,3.446225
0.0,56,3.453933
0.0,148,3.474362
0.0,106,3.488995
0.0,20,3.491759
1.0,38,3.496962
1.0,160,3.519097
1.0,40,3.524548
0.0,12,3.526173
1.0,42,3.531917
0.0,47,3.5384
0.0,19,3.541021
0.0,30,3.545158
1.0,42,3.550893
0.0,54,3.558355
1.0,34,3.563004
0.0,24,3.56633
1.0,48,3.572882
0.0,11,3.57439
1.0,38,3.579586
1.0,89,3.591846
1.0,35,3.596627
1.0,39,3.601971
1.0,141,3.621423
0.0,9,3.622641
0.0,33,3.627193
1.0,43,3.633108
0.0,126,3.650465
1.0,35,3.655239
1.0,36,3.660167
1.0,32,3.664534
1.0,38,3.66974
0.0,3,3.670159
0.0,11,3.671654
1.0,35,3.676438
1.0,34,3.681074
1.0,30,3.685184
1.0,37,3.690219
1.0,35,3.695
1.0,35,3.699806
1.0,34,3.70445
0.0,13,3.706254
1.0,32,3.710637
1.0,36,3.715556
1.0,31,3.719791
1.0,30,3.723884
1.0,38,3.729087
1.0,31,3.733325
1.0,34,3.737967
1.0,35,3.742748
1.0,33,3.747258
0.0,24,3.750534
1.0,31,3.754767
1.0,31,3.759003
1.0,41,3.764647
1.0,32,3.769019
0.0,23,3.772152
0.0,152,3.793174
1.0,37,3.798228
1.0,34,3.802869
0.0,65,3.811801
1.0,32,3.816184
1.0,32,3.820555
1.0,33,3.825059
1.0,40,3.830551
0.0,18,3.83301
0.0,58,3.841018
1.0,32,3.845398
1.0,32,3.849763
1.0,36,3.85467
0.0,26,3.858197
1.0,35,3.862975
1.0,32,3.86735
1.0,39,3.872678
1.0,30,3.876778
1.0,35,3.881539
0.0,17,3.88386
1.0,31,3.888082
0.0,21,3.890937
0.0,17,3.893276
0.0,18,3.895709
1.0,32,3.900072
1.0,33,3.904579
1.0,38,3.909778
0.0,276,3.94709
1.0,34,3.951737
1.0,37,3.95681
1.0,33,3.961335
0.0,19,3.963927
0.0,48,3.970532
1.0,37,3.975577
1.0,36,3.980768
1.0,34,3.985403
1.0,30,3.989503
1.0,32,3.993873
1.0,30,3.997967
1.0,35,4.002728
1.0,33,4.007209
0.0,25,4.010602
0.0,29,4.014568
1.0,33,4.019078
1.0,30,4.023173
0.0,7,4.024121
1.0,34,4.028781
1.0,31,4.033012
1.0,35,4.037788
0.0,20,4.040503
1.0,31,4.044724
1.0,99,4.058372
1.0,42,4.06411
0.0,32,4.068488
1.0,30,4.072591
1.0,32,4.07697
1.0,35,4.081766
1.0,32,4.086135
1.0,39,4.091494
1.0,34,4.096137
0.0,13,4.097913
1.0,34,4.102526
1.0,33,4.10703
1.0,34,4.111685
0.0,19,4.114291
0.0,29,4.118348
1.0,30,4.122465
1.0,34,4.127099
0.0,30,4.131203
1.0,33,4.135712
0.0,19,4.138297
0.0,24,4.141571
1.0,31,4.145804
1.0,30,4.149893
0.0,15,4.151941
1.0,30,4.156107
1.0,41,4.16172
1.0,106,4.176426
1.0,35,4.181215
1.0,35,4.185986
1.0,35,4.190772
1.0,35,4.195542
1.0,30,4.199645
1.0,34,4.204276
1.0,32,4.208643
1.0,34,4.2133
1.0,33,4.217797
1.0,32,4.222182
1.0,35,4.227008
1.0,33,4.231518
0.0,27,4.235213
0.0,23,4.238342
1.0,30,4.242444
