#{"t_start": 1717531042.359071, "env_id": "Mordor-v0"}
r,l,t
0.0,17,0.005655
0.0,25,0.011494
0.0,4,0.012455
0.0,27,0.018629
0.0,9,0.020585
0.0,82,0.0379
0.0,19,0.041856
0.0,26,0.047257
0.0,30,0.053485
0.0,17,0.057022
0.0,28,0.06286
0.0,41,0.071259
0.0,19,0.075188
0.0,41,0.083656
0.0,87,0.101689
0.0,19,0.105611
0.0,16,0.108883
0.0,25,0.114097
0.0,16,0.117407
0.0,20,0.121533
0.0,20,0.125579
0.0,55,0.13694
0.0,91,0.15588
0.0,21,0.160226
0.0,38,0.168067
0.0,26,0.173352
0.0,25,0.178521
0.0,41,0.187061
0.0,90,0.205795
0.0,221,0.250565
0.0,24,0.255499
0.0,113,0.278846
0.0,77,0.294695
0.0,35,0.301846
0.0,75,0.317671
0.0,53,0.328515
0.0,17,0.332055
0.0,44,0.341135
0.0,33,0.347971
0.0,53,0.358968
0.0,73,0.374103
0.0,47,0.383725
0.0,99,0.4042
0.0,19,0.408129
0.0,43,0.416943
0.0,8,0.418574
0.0,107,0.440747
0.0,38,0.448603
0.0,59,0.460828
0.0,18,0.464521
0.0,54,0.475729
0.0,63,0.488665
0.0,207,0.531445
0.0,15,0.534557
0.0,50,0.544959
0.0,22,0.54952
1.0,489,0.651129
0.0,189,0.690397
0.0,24,0.695391
0.0,42,0.704019
0.0,94,0.723928
0.0,175,0.76024
0.0,67,0.774169
0.0,5,0.775209
0.0,69,0.78959
0.0,485,0.888309
0.0,25,0.893425
0.0,34,0.900467
0.0,124,0.926081
0.0,5,0.92712
0.0,141,0.956377
0.0,19,0.960295
0.0,347,1.032964
0.0,15,1.036095
1.0,197,1.077237
0.0,39,1.085313
0.0,147,1.116007
0.0,271,1.171259
0.0,10,1.173331
0.0,49,1.183558
1.0,58,1.195623
0.0,21,1.200013
0.0,26,1.205454
0.0,72,1.220519
0.0,26,1.22595
0.0,90,1.24479
0.0,23,1.249506
0.0,122,1.275042
0.0,36,1.282473
0.0,118,1.307172
0.0,171,1.342879
0.0,149,1.373964
0.0,32,1.380619
0.0,11,1.382904
0.0,120,1.408022
0.0,50,1.418462
0.0,94,1.438083
0.0,79,1.454501
0.0,115,1.478494
0.0,96,1.498432
0.0,69,1.512864
0.0,152,1.54459
