#{"t_start": 1717531225.4201028, "env_id": "Mordor-single-v0"}
r,l,t
0.0,12,0.003642
0.0,26,0.010154
0.0,41,0.020032
0.0,13,0.023103
0.0,6,0.024506
0.0,50,0.035804
0.0,3,0.03649
0.0,32,0.043629
0.0,7,0.045223
0.0,15,0.048529
0.0,10,0.050778
0.0,19,0.055098
0.0,25,0.060656
0.0,16,0.06424
0.0,33,0.0715
0.0,52,0.08291
0.0,27,0.088958
0.0,62,0.102821
0.0,27,0.108883
0.0,18,0.112914
0.0,11,0.115388
0.0,38,0.123837
0.0,10,0.126085
0.0,56,0.138604
0.0,11,0.141065
0.0,38,0.149634
0.0,32,0.156793
0.0,20,0.161302
0.0,42,0.170747
0.0,62,0.184405
0.0,114,0.207596
0.0,41,0.216807
0.0,37,0.225238
0.0,6,0.226587
0.0,95,0.247923
0.0,390,0.324682
0.0,58,0.337651
0.0,47,0.34818
0.0,44,0.358088
0.0,36,0.366094
0.0,19,0.370338
0.0,18,0.374351
0.0,29,0.380855
0.0,21,0.385496
0.0,186,0.422784
0.0,23,0.427925
0.0,28,0.434467
0.0,41,0.443619
0.0,56,0.456186
0.0,14,0.459346
0.0,49,0.470334
0.0,46,0.480679
0.0,41,0.48983
0.0,84,0.508669
0.0,88,0.527928
0.0,65,0.542517
0.0,118,0.568982
0.0,46,0.579393
0.0,100,0.601838
0.0,34,0.609481
0.0,81,0.627708
0.0,47,0.638163
0.0,163,0.67072
0.0,7,0.672305
0.0,18,0.676348
0.0,190,0.719192
0.0,9,0.721252
0.0,67,0.736316
0.0,570,0.862207
0.0,47,0.872721
0.0,119,0.898042
0.0,32,0.905163
0.0,360,0.98515
0.0,38,0.993558
0.0,21,0.998157
0.0,208,1.044826
0.0,124,1.072769
0.0,52,1.084457
0.0,367,1.166949
0.0,116,1.193068
0.0,31,1.200037
0.0,12,1.202719
0.0,4,1.203619
0.0,75,1.220521
0.0,214,1.263709
0.0,240,1.315885
0.0,27,1.321895
0.0,288,1.385935
0.0,99,1.408147
0.0,31,1.415115
0.0,33,1.422533
0.0,3,1.423208
0.0,46,1.433403
0.0,116,1.45963
0.0,19,1.463924
0.0,76,1.481057
0.0,137,1.511916
0.0,56,1.524493
0.0,131,1.553777
0.0,176,1.593161
0.0,18,1.59724
0.0,53,1.609172
0.0,39,1.617893
0.0,17,1.621719
0.0,151,1.655666
0.0,11,1.658155
0.0,24,1.663537
0.0,80,1.681526
0.0,29,1.687962
0.0,176,1.725519
0.0,39,1.734287
0.0,11,1.736759
0.0,346,1.814652
0.0,91,1.835109
0.0,45,1.845165
0.0,140,1.876211
0.0,260,1.933889
0.0,262,1.992521
0.0,293,2.056984
0.0,44,2.066759
0.0,10,2.068987
0.0,30,2.07571
0.0,60,2.089178
0.0,33,2.096549
0.0,40,2.105502
0.0,218,2.150314
0.0,18,2.154375
0.0,145,2.186937
0.0,490,2.304292
0.0,264,2.364431
0.0,57,2.377391
0.0,188,2.417298
0.0,46,2.427679
0.0,14,2.430854
0.0,64,2.44564
0.0,76,2.462847
0.0,66,2.477755
0.0,51,2.489314
0.0,35,2.497194
0.0,185,2.536932
0.0,49,2.54785
0.0,39,2.556575
0.0,83,2.575105
0.0,71,2.590846
0.0,164,2.627977
0.0,42,2.637419
0.0,159,2.673245
0.0,23,2.677943
0.0,7,2.679554
0.0,45,2.689679
0.0,75,2.706508
0.0,45,2.716669
0.0,90,2.736761
0.0,148,2.770263
0.0,109,2.794811
0.0,50,2.806059
0.0,58,2.819174
0.0,168,2.856775
0.0,49,2.867893
0.0,33,2.875127
0.0,120,2.901984
0.0,32,2.909139
0.0,125,2.937149
0.0,83,2.955975
0.0,46,2.966365
0.0,71,2.982383
0.0,151,3.016545
0.0,55,3.028926
0.0,84,3.047872
0.0,15,3.051143
0.0,11,3.053466
0.0,106,3.077501
0.0,75,3.094256
0.0,17,3.097831
0.0,163,3.134701
0.0,535,3.242649
0.0,133,3.271527
0.0,50,3.282692
0.0,48,3.29353
0.0,58,3.30648
0.0,155,3.341169
0.0,124,3.369088
0.0,64,3.383509
0.0,146,3.416251
0.0,141,3.448468
0.0,416,3.542479
0.0,36,3.550407
0.0,26,3.556223
0.0,146,3.589082
0.0,47,3.599422
0.0,114,3.624713
0.0,50,3.635888
0.0,126,3.663938
0.0,283,3.727809
0.0,81,3.745984
0.0,49,3.756981
0.0,39,3.765799
0.0,75,3.782734
0.0,121,3.80996
0.0,26,3.815872
0.0,118,3.842277
0.0,104,3.865805
0.0,135,3.896301
0.0,86,3.915872
0.0,62,3.928796
0.0,73,3.945169
0.0,56,3.95776
0.0,80,3.97556
0.0,123,4.003356
0.0,57,4.016268
0.0,5,4.017418
0.0,197,4.061859
0.0,14,4.064851
0.0,539,4.186532
0.0,13,4.189508
0.0,65,4.203679
0.0,164,4.240384
0.0,21,4.244929
0.0,70,4.260435
0.0,104,4.283588
0.0,323,4.354366
0.0,83,4.373001
0.0,38,4.381008
0.0,131,4.410486
0.0,24,4.415913
0.0,78,4.433498
0.0,156,4.467578
0.0,44,4.47722
0.0,313,4.539357
0.0,353,4.618387
0.0,223,4.668389
0.0,28,4.674726
0.0,70,4.690405
0.0,39,4.698966
0.0,10,4.701087
0.0,364,4.773761
0.0,106,4.797553
0.0,287,4.857869
0.0,92,4.878571
0.0,44,4.888226
0.0,317,4.958157
0.0,49,4.96889
0.0,178,5.008442
0.0,303,5.076207
0.0,186,5.117854
0.0,69,5.1332
0.0,60,5.146473
0.0,139,5.177138
0.0,20,5.181425
0.0,128,5.209972
0.0,103,5.232545
0.0,205,5.278371
0.0,75,5.294983
0.0,104,5.318169
0.0,169,5.351695
0.0,34,5.359222
0.0,6,5.360578
0.0,15,5.363945
0.0,156,5.39885
0.0,99,5.420834
0.0,150,5.454821
0.0,148,5.487917
0.0,135,5.518038
0.0,111,5.54255
0.0,50,5.553368
0.0,249,5.609404
0.0,133,5.639216
1.0,91,5.659406
0.0,161,5.694957
0.0,65,5.709323
0.0,218,5.754933
0.0,46,5.765032
0.0,59,5.778114
0.0,166,5.810886
0.0,54,5.822777
0.0,135,5.853035
0.0,219,5.901258
0.0,91,5.921254
0.0,285,5.984857
1.0,171,6.023102
0.0,17,6.026852
1.0,95,6.048061
0.0,50,6.059261
0.0,99,6.081119
0.0,41,6.090253
1.0,117,6.116345
0.0,89,6.13644
0.0,31,6.142739
1.0,170,6.180506
0.0,7,6.1821
0.0,543,6.29007
0.0,83,6.30874
0.0,58,6.321475
0.0,78,6.337716
0.0,80,6.355642
0.0,92,6.376201
0.0,72,6.392215
0.0,9,6.394261
