#{"t_start": 1717527912.119361, "env_id": "Mordor-v0"}
r,l,t
0.0,36,0.012873
0.0,11,0.016598
0.0,26,0.024452
0.0,26,0.032511
0.0,11,0.035848
0.0,33,0.045705
0.0,17,0.050864
0.0,5,0.052407
0.0,24,0.059388
0.0,29,0.068024
0.0,19,0.073772
0.0,37,0.085024
0.0,31,0.094416
0.0,25,0.10191
0.0,42,0.114094
0.0,21,0.120451
0.0,24,0.127448
0.0,32,0.136511
0.0,74,0.158971
0.0,24,0.166277
0.0,49,0.181301
0.0,20,0.18745
0.0,24,0.194808
0.0,21,0.201252
0.0,24,0.208692
0.0,12,0.212012
0.0,45,0.225758
0.0,7,0.227892
0.0,38,0.239344
0.0,48,0.253526
0.0,31,0.262851
0.0,61,0.281319
0.0,29,0.289896
0.0,93,0.317499
0.0,370,0.420149
0.0,61,0.438838
0.0,49,0.453969
0.0,29,0.462955
0.0,45,0.476729
0.0,37,0.48812
0.0,62,0.507055
0.0,127,0.543471
0.0,43,0.556822
0.0,47,0.570988
0.0,33,0.580741
0.0,72,0.603024
0.0,94,0.632028
0.0,37,0.643226
0.0,25,0.650874
0.0,56,0.668044
0.0,124,0.705324
0.0,26,0.712845
0.0,64,0.732506
0.0,261,0.812318
0.0,235,0.884323
0.0,130,0.924816
0.0,201,0.986783
0.0,188,1.044927
0.0,294,1.136031
0.0,31,1.145437
0.0,101,1.175972
0.0,255,1.255492
0.0,47,1.269658
0.0,107,1.302867
0.0,40,1.315292
0.0,26,1.322876
0.0,18,1.32849
0.0,32,1.338387
0.0,226,1.408738
0.0,164,1.458465
0.0,59,1.476826
0.0,253,1.553478
0.0,218,1.620608
0.0,100,1.650117
0.0,65,1.670099
0.0,8,1.67251
0.0,73,1.695171
0.0,24,1.70241
0.0,313,1.790399
0.0,10,1.793529
0.0,231,1.864607
0.0,7,1.866796
0.0,464,1.997013
0.0,42,2.009641
0.0,15,2.014337
0.0,50,2.029809
0.0,116,2.065552
0.0,9,2.068349
0.0,45,2.082286
0.0,27,2.090363
0.0,10,2.09344
0.0,11,2.096835
0.0,16,2.101784
0.0,23,2.108862
0.0,74,2.131869
0.0,83,2.15778
0.0,46,2.172128
0.0,21,2.178669
0.0,37,2.189662
0.0,29,2.198697
0.0,45,2.212687
0.0,30,2.221329
0.0,27,2.22976
0.0,57,2.247361
0.0,22,2.253806
0.0,23,2.26087
0.0,91,2.289018
0.0,26,2.296856
0.0,9,2.299652
0.0,12,2.303246
0.0,150,2.349833
0.0,308,2.445075
0.0,24,2.452563
0.0,76,2.476061
0.0,14,2.480421
0.0,142,2.524687
0.0,199,2.586375
0.0,27,2.59459
0.0,110,2.628845
0.0,473,2.775407
0.0,263,2.855326
0.0,134,2.896795
0.0,84,2.922901
0.0,31,2.932505
0.0,50,2.947905
0.0,10,2.950926
1.0,322,3.057577
0.0,57,3.07571
0.0,528,3.238674
0.0,48,3.253598
0.0,275,3.333068
0.0,45,3.346771
0.0,48,3.361546
0.0,137,3.403811
0.0,130,3.442841
0.0,76,3.466436
0.0,23,3.473549
0.0,41,3.486185
0.0,55,3.502754
0.0,64,3.522124
0.0,66,3.542924
0.0,22,3.549767
0.0,15,3.55422
0.0,85,3.580132
0.0,253,3.658001
0.0,23,3.66452
0.0,187,3.722147
0.0,103,3.754143
0.0,79,3.778339
0.0,170,3.830729
0.0,31,3.840245
0.0,100,3.87107
0.0,180,3.925357
0.0,156,3.97328
0.0,71,3.995018
0.0,38,4.006723
0.0,199,4.067529
0.0,31,4.076056
0.0,121,4.113424
0.0,238,4.186757
0.0,40,4.199083
0.0,37,4.210465
0.0,7,4.212626
0.0,353,4.313118
0.0,181,4.369282
0.0,22,4.375981
0.0,95,4.404606
0.0,156,4.45154
0.0,121,4.488704
0.0,9,4.491384
0.0,5,4.492921
0.0,20,4.499108
0.0,242,4.566439
0.0,44,4.580029
0.0,56,4.596914
0.0,89,4.624404
0.0,240,4.693217
0.0,92,4.721366
0.0,96,4.750996
0.0,28,4.759641
1.0,226,4.829353
0.0,271,4.913412
0.0,37,4.924617
0.0,57,4.942118
0.0,25,4.949368
0.0,33,4.959349
0.0,12,4.962955
0.0,131,4.999261
0.0,31,5.00888
0.0,52,5.024865
0.0,219,5.088456
