#{"t_start": 1717537197.826002, "env_id": "Mordor-single-v0"}
r,l,t
0.0,29,0.008646
0.0,16,0.012479
0.0,3,0.013225
0.0,26,0.019304
0.0,13,0.022211
0.0,25,0.027764
0.0,23,0.0328
0.0,44,0.042249
0.0,8,0.043966
0.0,49,0.054276
0.0,25,0.059631
0.0,50,0.070178
0.0,40,0.078659
0.0,8,0.080374
0.0,58,0.09264
0.0,93,0.112345
0.0,64,0.125934
0.0,8,0.12765
0.0,21,0.132147
0.0,21,0.136622
0.0,36,0.144313
0.0,22,0.148956
0.0,38,0.157123
0.0,43,0.166387
0.0,31,0.173019
0.0,56,0.184672
0.0,116,0.210817
0.0,32,0.21775
0.0,14,0.220731
0.0,46,0.23016
0.0,14,0.233075
0.0,7,0.234556
0.0,54,0.245978
0.0,78,0.262492
0.0,18,0.266336
0.0,47,0.276398
0.0,69,0.291045
0.0,6,0.292318
0.0,82,0.309669
0.0,16,0.31307
0.0,43,0.322323
0.0,252,0.369235
0.0,3,0.369898
0.0,70,0.384961
0.0,55,0.396706
0.0,214,0.436694
0.0,73,0.452261
0.0,33,0.45921
0.0,80,0.476236
0.0,60,0.489166
0.0,39,0.497528
0.0,6,0.498821
0.0,34,0.506123
0.0,124,0.530271
0.0,49,0.540885
0.0,107,0.563221
0.0,21,0.567682
0.0,8,0.569411
0.0,23,0.57438
0.0,46,0.584573
0.0,127,0.611766
0.0,30,0.618215
0.0,260,0.667217
0.0,9,0.66919
0.0,279,0.728624
0.0,16,0.732103
0.0,363,0.80963
0.0,36,0.817348
0.0,112,0.840921
0.0,94,0.861076
0.0,125,0.887866
0.0,31,0.894546
0.0,52,0.905737
0.0,10,0.907872
0.0,131,0.935972
0.0,94,0.95616
0.0,67,0.970531
0.0,19,0.974616
0.0,36,0.982353
0.0,97,1.003291
0.0,42,1.012305
0.0,137,1.03995
0.0,164,1.074589
0.0,192,1.114936
0.0,59,1.1276
0.0,209,1.172482
0.0,25,1.177319
0.0,95,1.197462
0.0,611,1.325651
0.0,11,1.327747
0.0,38,1.335751
0.0,43,1.344393
0.0,10,1.346513
0.0,43,1.355665
0.0,52,1.366727
0.0,59,1.379194
0.0,133,1.406881
0.0,163,1.44177
0.0,206,1.485662
0.0,125,1.512332
0.0,45,1.521967
0.0,63,1.535529
0.0,42,1.544442
0.0,3,1.545094
0.0,139,1.574755
0.0,18,1.578628
0.0,36,1.586263
0.0,91,1.605673
0.0,56,1.6174
0.0,169,1.653326
0.0,29,1.658954
0.0,116,1.683686
0.0,268,1.7404
0.0,71,1.755645
0.0,561,1.863747
0.0,57,1.875911
0.0,114,1.900405
0.0,51,1.911083
0.0,188,1.951499
0.0,21,1.955693
1.0,92,1.974843
1.0,274,2.03286
0.0,46,2.04263
0.0,30,2.049055
0.0,51,2.059921
1.0,166,2.094994
1.0,396,2.190168
1.0,206,2.234604
0.0,58,2.246778
0.0,194,2.288337
0.0,36,2.295778
0.0,113,2.31844
0.0,680,2.448628
0.0,101,2.469023
1.0,113,2.492842
0.0,196,2.532048
1.0,49,2.542382
1.0,48,2.552385
0.0,31,2.558694
0.0,27,2.564218
1.0,45,2.573571
1.0,76,2.589716
0.0,42,2.598463
1.0,50,2.608978
0.0,32,2.615793
0.0,36,2.623027
1.0,62,2.636148
0.0,136,2.6654
1.0,39,2.673404
0.0,28,2.679213
1.0,67,2.693272
0.0,53,2.704435
0.0,7,2.705826
0.0,81,2.72295
0.0,16,2.726199
0.0,61,2.73814
0.0,35,2.744963
0.0,168,2.776961
0.0,274,2.834329
0.0,19,2.838273
0.0,63,2.851655
1.0,33,2.858546
0.0,153,2.88799
0.0,109,2.908801
0.0,26,2.914418
0.0,104,2.934451
0.0,106,2.955922
0.0,459,3.042016
0.0,61,3.054718
0.0,93,3.073429
0.0,41,3.082327
1.0,87,3.100848
0.0,216,3.142618
1.0,91,3.162011
0.0,24,3.167027
1.0,32,3.173681
1.0,48,3.183558
0.0,9,3.185394
0.0,28,3.191224
1.0,33,3.198003
1.0,35,3.20529
1.0,32,3.211922
1.0,163,3.246863
0.0,24,3.251949
0.0,8,3.253475
0.0,60,3.266181
0.0,107,3.28927
0.0,104,3.31174
1.0,34,3.318802
1.0,37,3.326455
1.0,40,3.334838
1.0,32,3.341511
1.0,34,3.348605
1.0,35,3.355785
1.0,39,3.363903
1.0,37,3.371601
1.0,34,3.378597
0.0,33,3.385457
1.0,31,3.391811
0.0,39,3.399872
1.0,32,3.406527
0.0,76,3.421261
0.0,28,3.427151
1.0,33,3.433978
1.0,32,3.44087
1.0,32,3.447403
1.0,31,3.453799
0.0,21,3.458211
0.0,20,3.462238
1.0,34,3.469245
1.0,30,3.475447
1.0,32,3.481937
1.0,32,3.488479
0.0,11,3.490731
0.0,198,3.528251
1.0,32,3.534903
1.0,32,3.54147
0.0,59,3.553261
0.0,31,3.55975
0.0,237,3.604508
0.0,29,3.610573
1.0,39,3.61868
0.0,66,3.631486
1.0,32,3.638114
1.0,38,3.646031
1.0,31,3.652424
0.0,17,3.655886
0.0,30,3.66238
1.0,33,3.66914
1.0,34,3.676155
1.0,31,3.682557
0.0,21,3.686885
1.0,41,3.695189
0.0,17,3.698723
1.0,72,3.714061
1.0,34,3.721099
1.0,30,3.72733
1.0,40,3.73558
1.0,40,3.74385
0.0,21,3.748171
1.0,32,3.754857
0.0,15,3.757918
0.0,175,3.791012
0.0,145,3.819405
1.0,34,3.826502
1.0,36,3.833996
0.0,9,3.835829
1.0,34,3.842813
0.0,71,3.857831
1.0,34,3.864813
1.0,38,3.872713
1.0,36,3.880191
1.0,30,3.886336
1.0,39,3.894402
1.0,33,3.901246
1.0,33,3.908084
0.0,33,3.914763
1.0,33,3.921417
1.0,30,3.927624
0.0,82,3.94524
0.0,15,3.948345
1.0,38,3.956155
0.0,14,3.958962
0.0,15,3.962212
1.0,31,3.968588
1.0,31,3.974991
1.0,39,3.982998
0.0,59,3.995435
1.0,44,4.004491
0.0,7,4.00588
1.0,32,4.012487
1.0,34,4.019564
1.0,33,4.026397
0.0,17,4.02992
0.0,17,4.033362
1.0,40,4.0417
0.0,76,4.056366
0.0,22,4.061109
1.0,34,4.068187
1.0,33,4.075027
1.0,33,4.081826
1.0,33,4.088665
0.0,9,4.090603
1.0,32,4.097199
0.0,25,4.102395
1.0,36,4.109842
0.0,9,4.111552
1.0,33,4.118299
1.0,30,4.124507
0.0,9,4.126246
1.0,30,4.132442
