#{"t_start": 1717529592.710031, "env_id": "Mordor-v0"}
r,l,t
0.0,25,0.008974
0.0,19,0.015088
0.0,8,0.017609
0.0,33,0.027393
0.0,16,0.032126
0.0,27,0.039852
0.0,30,0.048678
0.0,24,0.055607
0.0,36,0.065662
0.0,3,0.066546
0.0,32,0.076029
0.0,35,0.086213
0.0,10,0.08917
0.0,22,0.095651
0.0,28,0.10376
0.0,50,0.118343
0.0,28,0.126547
0.0,15,0.130717
0.0,17,0.135673
0.0,13,0.13948
0.0,22,0.145943
0.0,18,0.151512
0.0,67,0.171139
0.0,23,0.177402
0.0,21,0.183676
0.0,58,0.200747
0.0,28,0.208558
0.0,64,0.22755
0.0,33,0.237319
0.0,25,0.244681
0.0,26,0.252399
0.0,41,0.26438
0.0,18,0.269219
0.0,34,0.279146
0.0,196,0.330876
0.0,43,0.343484
0.0,20,0.349515
0.0,107,0.381241
0.0,38,0.392717
0.0,61,0.411091
0.0,33,0.420959
0.0,29,0.429673
0.0,149,0.470176
0.0,74,0.491719
0.0,45,0.504932
0.0,106,0.534771
0.0,29,0.543434
0.0,38,0.554007
0.0,235,0.617429
0.0,48,0.631766
0.0,24,0.638511
0.0,58,0.655839
0.0,81,0.680021
0.0,36,0.690734
0.0,29,0.699394
0.0,335,0.78912
0.0,20,0.794895
0.0,133,0.834593
0.0,429,0.962794
0.0,23,0.969343
0.0,77,0.992393
0.0,101,1.022782
0.0,342,1.123979
0.0,147,1.168295
0.0,200,1.223099
0.0,24,1.230161
0.0,82,1.254715
0.0,39,1.266391
0.0,244,1.33899
0.0,62,1.357584
0.0,168,1.408156
0.0,28,1.416072
0.0,30,1.424981
0.0,15,1.429443
0.0,280,1.511953
0.0,8,1.514373
0.0,62,1.532905
0.0,27,1.540479
0.0,13,1.544253
0.0,33,1.554121
0.0,13,1.557925
0.0,193,1.614959
0.0,30,1.623899
0.0,145,1.665312
0.0,298,1.75441
0.0,18,1.759691
0.0,123,1.796422
0.0,136,1.836232
0.0,40,1.848081
0.0,32,1.857634
0.0,31,1.866782
0.0,138,1.908278
0.0,103,1.938418
0.0,65,1.957914
0.0,22,1.963962
0.0,8,1.966358
0.0,19,1.971944
0.0,107,2.003804
0.0,53,2.019677
0.0,79,2.043305
0.0,59,2.060974
0.0,33,2.070886
0.0,26,2.078528
0.0,103,2.109485
0.0,27,2.117439
0.0,117,2.152587
0.0,48,2.167268
0.0,68,2.186078
0.0,26,2.193098
0.0,20,2.199009
0.0,109,2.231848
0.0,16,2.236425
0.0,47,2.250447
0.0,162,2.298838
0.0,104,2.329744
0.0,169,2.377438
0.0,93,2.405094
0.0,161,2.453139
0.0,60,2.471056
