#{"t_start": 1717538869.648601, "env_id": "Mordor-single-v0"}
r,l,t
0.0,8,0.000542
0.0,25,0.001006
0.0,36,0.00164
0.0,4,0.001726
0.0,40,0.002418
0.0,38,0.003076
0.0,7,0.003213
0.0,20,0.003561
0.0,21,0.003926
0.0,36,0.004542
0.0,15,0.004795
0.0,50,0.005589
0.0,31,0.006092
0.0,39,0.006712
0.0,11,0.006898
0.0,32,0.00741
0.0,17,0.007689
0.0,80,0.008933
0.0,14,0.009168
0.0,27,0.009603
0.0,37,0.010198
0.0,16,0.010458
0.0,5,0.010548
0.0,14,0.010781
0.0,5,0.01087
0.0,22,0.011229
0.0,36,0.011805
0.0,18,0.012104
0.0,65,0.013121
0.0,21,0.013458
0.0,62,0.014449
0.0,20,0.014775
0.0,200,0.01772
0.0,30,0.018173
0.0,50,0.018917
0.0,35,0.019437
0.0,18,0.019711
0.0,23,0.02006
0.0,43,0.020695
0.0,79,0.021843
0.0,44,0.022489
0.0,26,0.022876
0.0,100,0.024333
0.0,15,0.024565
0.0,50,0.025302
0.0,24,0.025659
0.0,112,0.027273
0.0,91,0.028632
0.0,162,0.030911
0.0,21,0.031219
0.0,31,0.031663
0.0,11,0.031828
0.0,52,0.032574
0.0,23,0.032911
0.0,28,0.033321
0.0,37,0.033854
0.0,20,0.034152
0.0,351,0.039001
0.0,70,0.039978
0.0,51,0.040698
0.0,17,0.040946
0.0,33,0.04142
0.0,6,0.041514
0.0,25,0.041877
0.0,19,0.042149
0.0,84,0.043335
0.0,14,0.043544
0.0,36,0.044055
0.0,33,0.044521
0.0,101,0.045922
0.0,75,0.046964
0.0,4,0.047029
0.0,50,0.047725
0.0,52,0.048451
0.0,41,0.049016
0.0,15,0.049239
0.0,21,0.049537
0.0,152,0.051622
0.0,6,0.051718
0.0,42,0.052314
0.0,31,0.052755
0.0,56,0.053531
0.0,20,0.053816
0.0,28,0.054211
0.0,45,0.054851
0.0,30,0.055276
0.0,48,0.055946
0.0,20,0.056227
0.0,39,0.056784
0.0,38,0.057317
0.0,50,0.058015
