#{"t_start": 1717536605.379487, "env_id": "Mordor-v0"}
r,l,t
0.0,58,0.00236
0.0,4,0.002459
0.0,12,0.002694
0.0,26,0.003175
0.0,27,0.003674
0.0,7,0.003815
0.0,8,0.003979
0.0,28,0.004475
0.0,20,0.004825
0.0,14,0.005067
0.0,16,0.005354
0.0,52,0.006222
0.0,20,0.006564
0.0,24,0.006979
0.0,6,0.007087
0.0,41,0.007804
0.0,40,0.008477
0.0,47,0.009276
0.0,46,0.010046
0.0,23,0.01043
0.0,32,0.010976
0.0,26,0.011422
0.0,4,0.0115
0.0,20,0.011853
0.0,28,0.012323
0.0,34,0.012885
0.0,27,0.01334
0.0,28,0.013811
0.0,43,0.014516
0.0,40,0.015183
0.0,38,0.015783
0.0,11,0.015964
0.0,10,0.01613
0.0,11,0.016307
0.0,10,0.016472
0.0,15,0.016715
0.0,19,0.017018
0.0,14,0.017241
0.0,39,0.017865
0.0,19,0.018168
0.0,7,0.018286
0.0,45,0.018989
0.0,13,0.019201
0.0,31,0.019688
0.0,63,0.020675
0.0,14,0.020902
0.0,78,0.02211
0.0,68,0.02316
0.0,25,0.023554
0.0,20,0.023872
0.0,38,0.024462
0.0,29,0.02492
0.0,69,0.025976
0.0,31,0.026477
0.0,22,0.026815
0.0,6,0.026914
0.0,19,0.027204
0.0,35,0.027738
0.0,12,0.02793
0.0,23,0.028285
0.0,16,0.028536
0.0,39,0.029113
0.0,23,0.029461
0.0,41,0.030086
0.0,21,0.030411
0.0,32,0.030906
0.0,26,0.031315
0.0,21,0.031633
0.0,15,0.031868
0.0,15,0.032097
0.0,49,0.032836
0.0,57,0.033684
0.0,13,0.033894
0.0,43,0.034524
0.0,35,0.035055
0.0,36,0.035585
0.0,19,0.035873
0.0,47,0.036569
0.0,14,0.036786
0.0,31,0.037256
0.0,52,0.038012
0.0,40,0.03861
0.0,28,0.039027
0.0,34,0.039529
0.0,13,0.039728
0.0,46,0.040411
0.0,77,0.041523
0.0,36,0.042059
0.0,15,0.042286
0.0,153,0.044552
0.0,24,0.044919
0.0,18,0.045188
0.0,32,0.045668
0.0,35,0.046202
0.0,30,0.046648
0.0,57,0.047492
0.0,26,0.047875
0.0,196,0.050738
0.0,25,0.051119
0.0,20,0.051421
0.0,56,0.052245
0.0,12,0.052434
0.0,18,0.052702
0.0,28,0.053121
0.0,28,0.053538
0.0,27,0.053944
0.0,21,0.054261
0.0,30,0.054712
0.0,30,0.05516
0.0,78,0.056352
0.0,193,0.059164
0.0,111,0.060814
0.0,46,0.061509
0.0,24,0.061868
0.0,124,0.063692
0.0,16,0.063936
0.0,21,0.064257
0.0,81,0.065438
0.0,17,0.065698
0.0,51,0.066453
0.0,43,0.067098
0.0,278,0.071138
0.0,139,0.073204
0.0,32,0.073689
0.0,135,0.075685
0.0,37,0.07624
0.0,29,0.076681
0.0,17,0.076941
0.0,18,0.077218
0.0,86,0.078487
0.0,53,0.079282
0.0,28,0.079705
0.0,24,0.080066
0.0,30,0.08052
0.0,58,0.081392
0.0,4,0.081461
0.0,50,0.082196
0.0,47,0.082892
0.0,34,0.083393
0.0,106,0.084959
0.0,42,0.085589
0.0,26,0.085982
0.0,33,0.086483
0.0,41,0.087103
0.0,68,0.088103
0.0,16,0.088351
0.0,13,0.088553
0.0,49,0.08928
0.0,17,0.089534
0.0,38,0.090101
0.0,9,0.09024
0.0,30,0.090689
0.0,49,0.091413
0.0,106,0.092968
0.0,32,0.093439
0.0,24,0.093803
0.0,39,0.094389
0.0,16,0.094634
0.0,65,0.095599
0.0,15,0.095832
0.0,19,0.096122
0.0,66,0.097103
0.0,50,0.097849
0.0,78,0.098988
0.0,49,0.099709
0.0,64,0.100645
0.0,38,0.101206
0.0,15,0.101432
0.0,34,0.101934
0.0,41,0.102537
0.0,65,0.103482
0.0,56,0.104304
0.0,72,0.105389
0.0,20,0.105688
0.0,82,0.106909
0.0,45,0.107592
0.0,36,0.108123
0.0,82,0.109339
0.0,10,0.109499
0.0,123,0.111331
0.0,27,0.111745
0.0,12,0.111931
0.0,175,0.114516
0.0,34,0.115027
0.0,3,0.115082
0.0,84,0.116318
0.0,30,0.116765
0.0,27,0.117172
0.0,56,0.117994
0.0,36,0.118527
0.0,14,0.118741
0.0,287,0.122956
0.0,43,0.123593
0.0,53,0.124372
1.0,257,0.128123
0.0,55,0.12895
0.0,79,0.130112
0.0,117,0.131833
0.0,59,0.132717
0.0,35,0.133242
0.0,10,0.133403
0.0,144,0.135532
0.0,45,0.136212
0.0,167,0.138675
0.0,33,0.139168
0.0,8,0.139294
0.0,38,0.139856
0.0,35,0.140383
0.0,38,0.140956
0.0,41,0.141568
0.0,50,0.142309
0.0,28,0.142726
0.0,51,0.143475
0.0,22,0.143808
0.0,60,0.144701
0.0,61,0.145589
0.0,55,0.146392
0.0,73,0.147466
0.0,137,0.149471
0.0,26,0.149868
0.0,17,0.150125
0.0,74,0.151217
0.0,79,0.152383
0.0,43,0.160747
0.0,15,0.161091
0.0,125,0.16307
0.0,24,0.163481
0.0,20,0.163819
0.0,36,0.164396
0.0,130,0.166353
0.0,51,0.167145
0.0,19,0.167448
0.0,78,0.168652
0.0,8,0.16895
0.0,28,0.169389
0.0,35,0.169927
0.0,28,0.170356
0.0,40,0.170971
0.0,138,0.173043
0.0,64,0.174009
0.0,16,0.174254
0.0,27,0.174672
0.0,54,0.175486
0.0,82,0.17672
0.0,37,0.17728
0.0,47,0.177997
0.0,11,0.178174
0.0,184,0.18089
0.0,68,0.181916
0.0,71,0.182985
0.0,24,0.183353
0.0,118,0.185097
0.0,81,0.186317
0.0,77,0.187449
0.0,128,0.189343
0.0,60,0.190236
0.0,12,0.190425
0.0,8,0.190554
0.0,23,0.190905
0.0,83,0.192117
0.0,73,0.19319
0.0,34,0.193701
0.0,31,0.194159
0.0,50,0.194894
0.0,18,0.195177
0.0,30,0.195638
0.0,45,0.196305
0.0,80,0.1975
0.0,15,0.197738
0.0,56,0.19856
0.0,336,0.203447
0.0,50,0.204197
0.0,24,0.204558
0.0,25,0.204941
0.0,76,0.20608
0.0,37,0.206631
0.0,174,0.209215
0.0,47,0.209934
0.0,143,0.212066
0.0,272,0.216085
0.0,82,0.217314
0.0,11,0.217491
0.0,67,0.218488
0.0,20,0.218794
0.0,35,0.219321
0.0,30,0.219777
0.0,96,0.221181
1.0,33,0.221681
0.0,41,0.22229
0.0,190,0.225113
0.0,11,0.225295
0.0,92,0.226658
0.0,57,0.22751
0.0,156,0.229825
0.0,7,0.229937
0.0,73,0.231019
0.0,67,0.231999
0.0,6,0.232097
0.0,146,0.234244
0.0,19,0.234538
0.0,95,0.23597
0.0,90,0.23728
0.0,12,0.237463
0.0,119,0.23921
0.0,105,0.240761
0.0,77,0.24191
0.0,6,0.242007
0.0,96,0.243408
0.0,87,0.244678
0.0,89,0.245995
0.0,43,0.246639
0.0,44,0.247287
0.0,68,0.248299
0.0,53,0.249113
0.0,94,0.250488
0.0,53,0.251277
0.0,26,0.251672
0.0,21,0.251984
0.0,16,0.252227
0.0,66,0.253186
0.0,114,0.254856
0.0,187,0.257622
0.0,177,0.260242
0.0,97,0.261682
0.0,62,0.262608
0.0,33,0.263109
0.0,35,0.263633
1.0,216,0.266862
0.0,37,0.267424
1.0,154,0.269691
0.0,44,0.270351
0.0,75,0.271469
0.0,121,0.273265
0.0,28,0.273718
0.0,15,0.273968
0.0,89,0.275275
0.0,47,0.275964
0.0,88,0.277269
0.0,110,0.278883
0.0,152,0.281113
0.0,31,0.28158
0.0,90,0.282936
0.0,56,0.283781
0.0,65,0.284755
0.0,142,0.286861
0.0,56,0.287697
0.0,48,0.288421
0.0,98,0.289871
0.0,99,0.291332
0.0,24,0.291696
1.0,50,0.292439
0.0,35,0.292966
0.0,153,0.29523
0.0,75,0.296359
0.0,43,0.297013
0.0,102,0.298524
0.0,114,0.300209
0.0,86,0.301481
0.0,156,0.303786
0.0,50,0.304531
0.0,33,0.305058
0.0,60,0.305942
0.0,6,0.30604
0.0,23,0.306381
0.0,6,0.306481
0.0,90,0.307804
0.0,116,0.309509
0.0,29,0.310269
0.0,43,0.310922
0.0,208,0.313982
0.0,79,0.315165
0.0,14,0.315381
0.0,46,0.316072
0.0,45,0.316749
0.0,16,0.316994
0.0,42,0.317634
0.0,42,0.318266
0.0,42,0.318887
0.0,299,0.323282
0.0,22,0.323618
0.0,54,0.324431
1.0,233,0.327919
0.0,61,0.32884
0.0,203,0.331841
0.0,33,0.332345
0.0,110,0.333968
0.0,51,0.334734
0.0,126,0.33662
0.0,27,0.337027
0.0,29,0.337465
0.0,138,0.339543
0.0,49,0.340285
0.0,73,0.341379
0.0,61,0.342296
0.0,38,0.342864
0.0,109,0.344491
0.0,55,0.345321
0.0,123,0.34718
1.0,31,0.347659
1.0,123,0.349496
0.0,101,0.351003
0.0,22,0.35134
0.0,127,0.353205
0.0,56,0.354055
0.0,125,0.355896
0.0,13,0.3561
0.0,77,0.357252
0.0,106,0.358817
0.0,67,0.359825
0.0,37,0.360385
0.0,102,0.361896
0.0,35,0.362419
0.0,45,0.363089
0.0,126,0.364939
0.0,3,0.364994
0.0,26,0.365392
0.0,217,0.368569
0.0,36,0.369121
0.0,34,0.369634
0.0,55,0.370454
0.0,40,0.371083
0.0,74,0.372198
1.0,51,0.373004
0.0,151,0.375257
0.0,13,0.375464
0.0,28,0.375889
1.0,194,0.378783
0.0,50,0.379561
0.0,88,0.380865
0.0,55,0.381676
0.0,8,0.381802
0.0,19,0.382086
0.0,32,0.382569
0.0,91,0.383915
0.0,73,0.385
0.0,57,0.385853
0.0,96,0.387271
0.0,28,0.387695
0.0,96,0.389118
0.0,28,0.389536
0.0,133,0.3915
1.0,58,0.392372
0.0,43,0.393016
0.0,43,0.39365
0.0,177,0.396295
0.0,99,0.397769
0.0,117,0.399485
0.0,41,0.400096
0.0,35,0.400613
0.0,38,0.40118
1.0,44,0.401839
0.0,310,0.406368
0.0,104,0.407912
1.0,143,0.410047
0.0,16,0.410292
0.0,95,0.411691
0.0,36,0.412232
0.0,43,0.412873
0.0,238,0.416376
1.0,149,0.418603
0.0,63,0.419546
1.0,87,0.420829
