#{"t_start": 1717571451.37772, "env_id": "Mordor-single-v0"}
r,l,t
0.0,29,0.000629
0.0,13,0.000779
0.0,5,0.000847
0.0,24,0.001088
0.0,19,0.001278
0.0,3,0.001319
0.0,53,0.001828
0.0,23,0.002057
0.0,12,0.002184
0.0,28,0.002452
0.0,82,0.00323
0.0,37,0.003579
0.0,30,0.003867
0.0,34,0.004192
0.0,30,0.004475
0.0,40,0.004855
0.0,47,0.005297
0.0,12,0.005418
0.0,21,0.005618
0.0,28,0.00589
0.0,29,0.006162
0.0,22,0.006369
0.0,21,0.006572
0.0,19,0.006758
0.0,63,0.007337
0.0,33,0.007655
0.0,56,0.008175
0.0,16,0.008335
0.0,77,0.009038
0.0,31,0.00933
0.0,36,0.009671
0.0,19,0.009859
0.0,9,0.009954
0.0,16,0.010111
0.0,50,0.010577
0.0,14,0.010712
0.0,74,0.011403
0.0,88,0.012229
0.0,34,0.012549
0.0,12,0.012667
0.0,13,0.012794
0.0,53,0.013279
0.0,45,0.013697
0.0,28,0.013959
0.0,40,0.014339
0.0,51,0.014812
0.0,5,0.014869
0.0,12,0.014988
0.0,28,0.015254
0.0,57,0.015772
0.0,11,0.01589
0.0,37,0.01624
0.0,53,0.016736
0.0,26,0.016982
0.0,60,0.017537
0.0,55,0.01805
0.0,30,0.018335
0.0,13,0.018457
0.0,97,0.019356
0.0,32,0.019657
0.0,14,0.019796
0.0,19,0.019979
0.0,48,0.020428
0.0,54,0.020932
0.0,80,0.021672
0.0,16,0.021834
0.0,32,0.022137
0.0,57,0.022672
0.0,33,0.022981
0.0,71,0.023634
0.0,56,0.02416
0.0,48,0.02461
0.0,8,0.024694
0.0,6,0.024757
0.0,64,0.025347
0.0,67,0.025976
0.0,39,0.026346
0.0,22,0.026554
0.0,29,0.026825
0.0,122,0.027944
0.0,66,0.028554
0.0,21,0.028758
0.0,38,0.029123
0.0,70,0.029772
0.0,45,0.030197
0.0,20,0.03039
0.0,38,0.030749
0.0,15,0.030896
0.0,55,0.031403
0.0,67,0.032033
0.0,70,0.032703
0.0,29,0.032996
0.0,40,0.03339
0.0,40,0.033782
0.0,8,0.033865
0.0,60,0.034434
0.0,82,0.035194
0.0,53,0.035683
0.0,168,0.037234
0.0,13,0.037366
0.0,30,0.037653
0.0,25,0.037896
0.0,181,0.039571
0.0,51,0.040056
0.0,4,0.040103
0.0,108,0.041103
0.0,50,0.041558
0.0,129,0.042743
0.0,67,0.043367
0.0,29,0.043668
0.0,36,0.044018
0.0,24,0.04425
0.0,9,0.044344
0.0,76,0.045045
0.0,92,0.045898
0.0,42,0.046294
0.0,46,0.046723
0.0,117,0.047799
0.0,51,0.048277
0.0,7,0.048351
0.0,42,0.048751
0.0,17,0.04892
0.0,114,0.049984
0.0,38,0.050342
0.0,48,0.050795
0.0,21,0.050999
0.0,66,0.051622
0.0,103,0.05258
0.0,91,0.053419
0.0,34,0.053741
0.0,126,0.054908
0.0,193,0.056718
0.0,50,0.057195
0.0,45,0.057627
0.0,36,0.057968
0.0,11,0.058081
0.0,45,0.058502
0.0,81,0.059257
0.0,8,0.059338
0.0,79,0.060065
0.0,18,0.06028
0.0,83,0.061054
0.0,88,0.061876
0.0,35,0.062211
0.0,166,0.06375
0.0,39,0.064115
0.0,4,0.064162
0.0,10,0.064264
0.0,10,0.064365
0.0,25,0.064608
0.0,59,0.065165
0.0,74,0.065865
0.0,15,0.066013
0.0,39,0.06638
0.0,102,0.067319
0.0,59,0.067873
0.0,66,0.068489
0.0,52,0.068981
0.0,55,0.069495
0.0,72,0.070169
0.0,76,0.070876
0.0,19,0.07106
0.0,24,0.071286
0.0,75,0.071981
0.0,147,0.073314
0.0,14,0.073454
0.0,43,0.073859
0.0,143,0.07519
0.0,72,0.075862
0.0,136,0.077143
0.0,8,0.077242
0.0,134,0.078499
0.0,44,0.078924
0.0,58,0.079473
0.0,13,0.079603
0.0,142,0.080913
0.0,105,0.081893
0.0,31,0.082187
0.0,103,0.083159
0.0,30,0.083448
0.0,51,0.083934
0.0,72,0.084611
0.0,378,0.088013
0.0,69,0.088677
0.0,16,0.088839
0.0,37,0.089193
0.0,19,0.089377
0.0,75,0.090086
0.0,32,0.0904
0.0,127,0.091589
0.0,115,0.092651
0.0,94,0.093538
0.0,35,0.093867
0.0,144,0.102998
0.0,150,0.104647
0.0,32,0.105
0.0,44,0.105437
0.0,79,0.106353
0.0,36,0.106711
0.0,39,0.107099
0.0,58,0.107702
0.0,37,0.108071
0.0,203,0.110038
0.0,18,0.110223
0.0,14,0.110367
0.0,40,0.110764
0.0,69,0.111441
0.0,55,0.11202
0.0,54,0.112557
0.0,36,0.112908
0.0,20,0.113113
0.0,12,0.113237
0.0,19,0.113431
0.0,23,0.113668
0.0,135,0.114986
0.0,251,0.117359
0.0,77,0.11811
0.0,31,0.118421
0.0,78,0.119185
0.0,41,0.119586
0.0,123,0.120774
0.0,29,0.121068
0.0,131,0.122333
0.0,19,0.122527
0.0,48,0.122995
0.0,151,0.124464
0.0,86,0.125281
0.0,55,0.125795
0.0,80,0.126543
0.0,101,0.127512
0.0,49,0.127976
0.0,5,0.128035
0.0,83,0.128853
0.0,7,0.128983
0.0,83,0.129762
0.0,51,0.130245
0.0,10,0.130349
0.0,115,0.131415
0.0,137,0.132701
0.0,61,0.133281
0.0,62,0.133872
0.0,142,0.135192
0.0,54,0.135713
0.0,56,0.13625
0.0,189,0.138064
0.0,11,0.138187
0.0,31,0.138482
0.0,86,0.139291
0.0,56,0.139823
0.0,458,0.143975
0.0,72,0.144662
0.0,89,0.145491
0.0,86,0.146298
0.0,90,0.147128
0.0,43,0.147533
0.0,143,0.148869
0.0,83,0.149646
0.0,122,0.150767
0.0,29,0.151038
0.0,64,0.151635
0.0,192,0.153393
0.0,45,0.153822
0.0,7,0.153895
0.0,290,0.156535
0.0,76,0.157256
0.0,38,0.157621
0.0,27,0.157879
0.0,67,0.158509
0.0,64,0.159114
0.0,79,0.159854
0.0,18,0.160036
0.0,95,0.160924
0.0,17,0.161091
0.0,63,0.161686
0.0,47,0.162128
0.0,22,0.16234
0.0,46,0.162764
0.0,77,0.163488
0.0,19,0.16367
0.0,10,0.163769
0.0,37,0.16412
0.0,19,0.164306
0.0,16,0.164463
0.0,36,0.164806
0.0,62,0.165381
0.0,34,0.16571
0.0,57,0.16625
0.0,237,0.168433
0.0,184,0.170142
0.0,99,0.171077
0.0,45,0.171505
0.0,4,0.171551
0.0,70,0.172206
0.0,292,0.174974
0.0,127,0.17616
0.0,36,0.176506
0.0,24,0.176736
0.0,78,0.177484
0.0,176,0.17911
0.0,24,0.179342
0.0,26,0.179594
0.0,38,0.17995
0.0,11,0.180062
0.0,23,0.180289
0.0,124,0.181459
0.0,10,0.181563
0.0,49,0.182032
0.0,89,0.182872
0.0,31,0.183169
0.0,9,0.183261
0.0,53,0.183765
0.0,22,0.183981
0.0,16,0.18414
0.0,140,0.185452
0.0,308,0.188337
0.0,140,0.189643
0.0,35,0.189981
0.0,24,0.190215
0.0,109,0.191418
0.0,103,0.192361
0.0,73,0.193039
0.0,82,0.193796
0.0,17,0.193964
0.0,33,0.194279
0.0,23,0.194497
0.0,36,0.194833
0.0,40,0.195209
0.0,85,0.195998
0.0,48,0.196447
0.0,31,0.19674
0.0,98,0.19789
0.0,173,0.199493
0.0,114,0.200563
0.0,31,0.200857
0.0,23,0.20108
0.0,3,0.201118
0.0,24,0.201346
0.0,37,0.201693
0.0,55,0.20222
0.0,126,0.20339
0.0,15,0.20354
0.0,100,0.204464
0.0,114,0.205516
0.0,5,0.205573
0.0,24,0.205802
0.0,104,0.206753
0.0,61,0.207325
0.0,171,0.208869
0.0,15,0.209018
0.0,9,0.209113
0.0,8,0.209197
0.0,30,0.209485
0.0,23,0.209708
0.0,86,0.210519
0.0,109,0.211566
0.0,54,0.212077
0.0,58,0.212618
0.0,14,0.212761
0.0,72,0.213431
0.0,64,0.214019
0.0,72,0.214693
0.0,57,0.215224
0.0,69,0.215859
0.0,52,0.216345
0.0,61,0.21692
0.0,70,0.217572
0.0,68,0.218202
0.0,44,0.21862
0.0,240,0.220815
0.0,79,0.221551
0.0,68,0.22218
0.0,16,0.222334
0.0,6,0.222397
0.0,123,0.223533
0.0,26,0.223785
0.0,90,0.224636
0.0,79,0.225376
0.0,9,0.225468
0.0,42,0.225859
0.0,41,0.226244
0.0,178,0.227875
0.0,217,0.229906
0.0,75,0.230614
0.0,16,0.23077
0.0,29,0.23105
0.0,105,0.232032
0.0,19,0.232223
0.0,67,0.232867
0.0,116,0.233977
0.0,44,0.23439
0.0,177,0.236034
0.0,20,0.236233
0.0,53,0.236733
0.0,39,0.237112
0.0,36,0.237455
0.0,31,0.237749
0.0,223,0.239831
0.0,31,0.24013
0.0,15,0.240282
0.0,374,0.243698
0.0,73,0.244391
0.0,76,0.245109
0.0,39,0.245482
0.0,97,0.246375
0.0,35,0.246707
0.0,188,0.248432
0.0,39,0.248805
0.0,86,0.249604
0.0,43,0.250018
0.0,34,0.250338
0.0,88,0.251161
0.0,42,0.251565
0.0,137,0.25285
0.0,30,0.253136
0.0,9,0.253231
0.0,17,0.253396
0.0,120,0.254506
0.0,59,0.255063
0.0,32,0.255368
0.0,143,0.256702
0.0,11,0.256816
0.0,202,0.258719
0.0,96,0.259618
0.0,101,0.260565
0.0,71,0.261228
0.0,94,0.262114
0.0,244,0.264377
0.0,82,0.265139
0.0,30,0.26543
0.0,143,0.266763
0.0,45,0.267199
0.0,114,0.268255
0.0,120,0.269369
0.0,264,0.271817
0.0,67,0.272443
0.0,130,0.273654
0.0,79,0.274396
0.0,11,0.274507
0.0,34,0.274835
0.0,56,0.275363
0.0,184,0.277086
0.0,77,0.277816
0.0,74,0.278508
0.0,17,0.278677
0.0,307,0.28154
0.0,81,0.282307
0.0,63,0.282899
0.0,39,0.283268
0.0,30,0.283554
0.0,77,0.284267
0.0,38,0.284631
0.0,63,0.285214
0.0,13,0.285344
0.0,30,0.285631
0.0,55,0.286147
0.0,6,0.286213
0.0,349,0.28942
0.0,50,0.289897
0.0,41,0.290278
0.0,146,0.291678
0.0,146,0.293044
0.0,196,0.294867
0.0,115,0.295949
0.0,69,0.296606
0.0,87,0.297411
0.0,330,0.300487
0.0,118,0.301603
0.0,7,0.301679
0.0,33,0.301998
0.0,36,0.302339
0.0,8,0.302422
0.0,79,0.303158
0.0,16,0.303318
0.0,115,0.304376
0.0,58,0.304916
0.0,20,0.305109
0.0,9,0.305201
0.0,118,0.306302
0.0,79,0.307058
0.0,74,0.307746
0.0,9,0.307838
0.0,118,0.30893
0.0,101,0.30987
0.0,26,0.310119
0.0,61,0.310683
0.0,154,0.312103
0.0,67,0.312739
0.0,81,0.313485
0.0,161,0.314979
0.0,115,0.31607
0.0,82,0.316843
0.0,159,0.318315
0.0,4,0.318364
0.0,97,0.319279
0.0,27,0.319543
0.0,156,0.321011
0.0,37,0.321364
0.0,210,0.323277
0.0,33,0.323592
0.0,52,0.324092
0.0,53,0.324596
0.0,105,0.325579
0.0,75,0.326313
0.0,67,0.326966
0.0,62,0.327547
0.0,38,0.327907
0.0,6,0.327972
0.0,52,0.328474
0.0,20,0.328666
0.0,45,0.329094
0.0,97,0.330009
0.0,47,0.330454
0.0,30,0.33074
0.0,39,0.331113
0.0,76,0.331819
0.0,27,0.332078
0.0,123,0.333242
0.0,34,0.333571
0.0,64,0.334178
0.0,248,0.336508
0.0,52,0.337007
0.0,67,0.337647
0.0,37,0.338001
0.0,62,0.338583
0.0,17,0.338745
0.0,285,0.341375
0.0,38,0.341737
0.0,51,0.342225
0.0,122,0.343378
0.0,135,0.34465
0.0,172,0.34626
0.0,55,0.346781
0.0,110,0.347805
0.0,19,0.347993
0.0,87,0.348813
0.0,66,0.349434
0.0,20,0.349632
0.0,282,0.352251
0.0,27,0.35251
0.0,4,0.352557
0.0,64,0.353162
0.0,10,0.353263
0.0,164,0.354791
0.0,78,0.355519
0.0,36,0.355862
0.0,67,0.356491
0.0,17,0.356653
0.0,96,0.357557
0.0,16,0.357714
0.0,14,0.357849
0.0,203,0.359753
0.0,80,0.36054
0.0,18,0.360726
0.0,30,0.361015
0.0,65,0.361635
0.0,179,0.363308
0.0,115,0.364384
0.0,502,0.369008
0.0,81,0.369771
0.0,69,0.370421
0.0,75,0.37113
0.0,71,0.371796
0.0,37,0.372146
0.0,19,0.372332
0.0,89,0.373175
0.0,22,0.373393
0.0,31,0.373692
0.0,175,0.375336
0.0,198,0.377182
0.0,51,0.377661
0.0,264,0.38012
0.0,56,0.380653
0.0,128,0.381865
0.0,68,0.382498
0.0,182,0.384196
0.0,76,0.384893
0.0,91,0.385817
0.0,69,0.386461
0.0,52,0.386952
0.0,23,0.387173
0.0,170,0.388778
0.0,152,0.390216
0.0,157,0.391695
0.0,164,0.393217
0.0,64,0.393829
0.0,98,0.394748
0.0,78,0.395486
0.0,42,0.395888
0.0,86,0.39671
0.0,56,0.397245
0.0,14,0.397384
0.0,79,0.398125
0.0,85,0.398933
0.0,33,0.39925
0.0,94,0.400125
0.0,4,0.400172
0.0,9,0.400264
0.0,110,0.401288
0.0,108,0.402281
0.0,83,0.403054
0.0,37,0.403405
0.0,78,0.404135
0.0,128,0.405324
0.0,11,0.405436
0.0,182,0.40715
0.0,71,0.40783
0.0,91,0.408687
0.0,149,0.410096
0.0,81,0.410862
0.0,111,0.411911
0.0,12,0.412033
0.0,51,0.412511
0.0,101,0.413463
0.0,79,0.414212
0.0,42,0.414612
0.0,83,0.415389
0.0,115,0.416447
0.0,111,0.417483
0.0,34,0.417804
0.0,72,0.418478
0.0,117,0.419673
0.0,39,0.420118
0.0,101,0.421099
0.0,214,0.423178
0.0,20,0.423376
0.0,74,0.424072
0.0,65,0.424689
0.0,44,0.425102
0.0,89,0.42594
0.0,127,0.427134
0.0,135,0.428394
0.0,89,0.429225
0.0,88,0.430059
1.0,71,0.430742
0.0,112,0.431802
0.0,126,0.432969
1.0,365,0.436352
0.0,38,0.436719
