#{"t_start": 1717571650.3431702, "env_id": "Mordor-v0"}
r,l,t
0.0,25,0.00058
0.0,8,0.00068
0.0,18,0.000874
0.0,5,0.000937
0.0,21,0.001159
0.0,26,0.001426
0.0,39,0.001823
0.0,7,0.001907
0.0,11,0.002032
0.0,25,0.002291
0.0,47,0.002762
0.0,44,0.003195
0.0,3,0.003239
0.0,31,0.003567
0.0,29,0.003864
0.0,29,0.00416
0.0,19,0.004385
0.0,16,0.004554
0.0,46,0.005015
0.0,28,0.005298
0.0,71,0.00602
0.0,19,0.006225
0.0,15,0.006378
0.0,9,0.006521
0.0,19,0.006717
0.0,15,0.006868
0.0,16,0.007038
0.0,26,0.007309
0.0,35,0.007662
0.0,18,0.007855
0.0,17,0.008027
0.0,36,0.008384
0.0,11,0.008505
0.0,22,0.008734
0.0,49,0.009224
0.0,13,0.009363
0.0,25,0.00962
0.0,7,0.009703
0.0,47,0.010168
0.0,15,0.010331
0.0,31,0.010641
0.0,15,0.010807
0.0,26,0.011076
0.0,11,0.011197
0.0,44,0.011648
0.0,23,0.011895
0.0,19,0.012106
0.0,3,0.012146
0.0,62,0.012785
0.0,24,0.01304
0.0,20,0.013253
0.0,53,0.013785
0.0,48,0.014274
0.0,20,0.014483
0.0,24,0.014727
0.0,43,0.015154
0.0,15,0.015315
0.0,36,0.015682
0.0,25,0.015956
0.0,58,0.016542
0.0,18,0.016734
0.0,11,0.016855
0.0,22,0.017085
0.0,14,0.017233
0.0,4,0.017286
0.0,18,0.017477
0.0,42,0.017903
0.0,11,0.018022
0.0,57,0.0186
0.0,50,0.019101
0.0,16,0.019272
0.0,21,0.019491
0.0,65,0.020137
0.0,46,0.020604
0.0,34,0.020943
0.0,31,0.021265
0.0,34,0.021609
0.0,103,0.022633
0.0,20,0.022842
0.0,26,0.023112
0.0,39,0.023517
0.0,52,0.024031
0.0,44,0.024481
0.0,20,0.024692
0.0,25,0.024943
0.0,80,0.025721
0.0,162,0.027338
0.0,19,0.027539
0.0,33,0.027881
0.0,55,0.02843
0.0,59,0.029022
0.0,34,0.029365
0.0,69,0.030047
0.0,14,0.0302
0.0,28,0.030486
0.0,93,0.031404
0.0,23,0.031648
0.0,16,0.031819
0.0,23,0.032055
0.0,13,0.032195
0.0,20,0.032404
0.0,16,0.032572
0.0,76,0.033329
0.0,72,0.034051
0.0,31,0.034369
0.0,23,0.034606
0.0,21,0.034827
0.0,34,0.035174
0.0,40,0.035558
0.0,12,0.035686
0.0,30,0.035989
0.0,15,0.036148
0.0,23,0.036381
0.0,36,0.036739
0.0,50,0.037241
0.0,16,0.037409
0.0,52,0.037934
0.0,64,0.038561
0.0,43,0.039007
0.0,52,0.039524
0.0,54,0.04007
0.0,31,0.040387
0.0,26,0.04066
0.0,7,0.04074
0.0,23,0.04098
0.0,13,0.041119
0.0,42,0.041546
0.0,31,0.041862
0.0,48,0.042348
0.0,22,0.042579
0.0,53,0.043113
0.0,49,0.043606
0.0,38,0.043992
0.0,51,0.044503
0.0,40,0.044904
0.0,44,0.045355
0.0,80,0.046159
0.0,44,0.046598
0.0,25,0.046856
0.0,29,0.047158
0.0,83,0.047988
0.0,7,0.048067
0.0,20,0.048275
0.0,103,0.049309
0.0,44,0.049761
0.0,15,0.04992
0.0,17,0.050096
0.0,25,0.050357
0.0,15,0.050519
0.0,68,0.051209
0.0,5,0.051268
0.0,33,0.051607
0.0,27,0.051886
0.0,241,0.054241
0.0,78,0.055022
0.0,31,0.055342
0.0,44,0.055789
0.0,56,0.05635
0.0,17,0.056531
0.0,22,0.056755
0.0,68,0.05743
0.0,47,0.057903
0.0,100,0.058883
0.0,35,0.05924
0.0,17,0.059418
0.0,40,0.059828
0.0,56,0.060388
0.0,35,0.060736
0.0,16,0.060906
0.0,19,0.061106
0.0,97,0.062068
0.0,9,0.062173
0.0,24,0.062423
0.0,25,0.062696
0.0,7,0.062776
0.0,19,0.062983
0.0,92,0.063933
0.0,20,0.064142
0.0,38,0.064522
0.0,144,0.065942
0.0,215,0.068071
0.0,40,0.068485
0.0,82,0.06934
0.0,102,0.070369
0.0,69,0.071053
0.0,21,0.071269
0.0,3,0.071307
0.0,13,0.071448
0.0,135,0.072787
0.0,28,0.073077
0.0,24,0.073325
0.0,88,0.074216
0.0,58,0.074802
0.0,24,0.075054
0.0,100,0.076069
0.0,21,0.076294
0.0,54,0.076838
0.0,25,0.077093
0.0,48,0.077582
0.0,30,0.077892
0.0,13,0.07803
0.0,45,0.078486
0.0,100,0.079477
0.0,107,0.080538
0.0,68,0.081221
0.0,11,0.08134
0.0,73,0.082065
0.0,72,0.082777
0.0,15,0.082936
0.0,67,0.083607
0.0,315,0.086699
0.0,49,0.087204
0.0,64,0.087864
0.0,72,0.088594
0.0,36,0.088979
0.0,64,0.089631
0.0,53,0.090179
0.0,19,0.090377
0.0,4,0.090426
0.0,23,0.090663
0.0,33,0.091001
0.0,94,0.091952
0.0,13,0.092091
0.0,9,0.092192
0.0,47,0.092664
0.0,76,0.093424
0.0,23,0.093663
0.0,384,0.097459
0.0,32,0.097791
0.0,73,0.09853
0.0,72,0.099262
0.0,24,0.099516
0.0,33,0.099849
0.0,9,0.099946
0.0,66,0.100608
0.0,34,0.100956
0.0,4,0.101009
0.0,55,0.101568
0.0,24,0.101808
0.0,54,0.109777
0.0,24,0.110156
0.0,34,0.11056
0.0,106,0.111734
0.0,41,0.112233
0.0,22,0.112494
0.0,21,0.112725
0.0,43,0.113189
0.0,43,0.113738
1.0,102,0.114849
0.0,14,0.11501
0.0,83,0.115885
0.0,26,0.116164
0.0,17,0.116371
0.0,27,0.116663
0.0,44,0.117134
0.0,39,0.117552
0.0,60,0.118183
0.0,27,0.118476
0.0,27,0.1188
0.0,35,0.11917
0.0,152,0.120756
0.0,54,0.121343
0.0,95,0.122361
0.0,75,0.123161
0.0,26,0.123448
0.0,6,0.123519
0.0,98,0.124561
0.0,47,0.125063
0.0,57,0.125659
0.0,14,0.125815
0.0,23,0.126071
0.0,66,0.12677
0.0,69,0.127503
0.0,183,0.129419
0.0,42,0.129876
0.0,25,0.130146
0.0,46,0.130643
0.0,37,0.13105
0.0,153,0.132617
0.0,46,0.133094
0.0,57,0.133673
0.0,122,0.134945
0.0,68,0.13565
0.0,47,0.136131
0.0,41,0.136543
0.0,20,0.136752
0.0,58,0.137339
0.0,39,0.137747
0.0,29,0.138043
0.0,43,0.138478
1.0,45,0.138946
0.0,31,0.139267
0.0,29,0.13957
0.0,57,0.140155
0.0,16,0.140324
0.0,36,0.140691
1.0,38,0.141073
0.0,189,0.142948
0.0,50,0.143474
0.0,5,0.143537
0.0,192,0.145511
0.0,41,0.14595
0.0,139,0.147398
1.0,97,0.148405
0.0,37,0.148787
0.0,77,0.149578
0.0,71,0.150309
0.0,25,0.150574
0.0,21,0.150799
0.0,77,0.151644
0.0,15,0.151807
0.0,126,0.153104
0.0,54,0.153664
0.0,40,0.154082
0.0,111,0.15532
0.0,21,0.155586
0.0,31,0.155955
0.0,66,0.156709
0.0,58,0.157326
0.0,29,0.157626
0.0,137,0.159018
0.0,44,0.159482
0.0,57,0.160062
1.0,61,0.160684
0.0,27,0.160968
0.0,79,0.161749
0.0,22,0.161976
0.0,107,0.163057
0.0,31,0.163375
0.0,82,0.16419
0.0,149,0.165702
0.0,17,0.165879
0.0,20,0.166093
0.0,61,0.166722
0.0,25,0.166988
0.0,167,0.168669
0.0,53,0.169224
0.0,52,0.16976
0.0,11,0.169881
0.0,5,0.169941
0.0,126,0.171225
0.0,121,0.17244
0.0,198,0.174418
0.0,68,0.175114
1.0,72,0.175853
0.0,63,0.17651
0.0,65,0.177185
0.0,23,0.177432
0.0,146,0.178908
0.0,83,0.179774
0.0,253,0.182364
0.0,37,0.182764
0.0,60,0.183394
0.0,226,0.185746
0.0,16,0.185924
0.0,54,0.186492
0.0,64,0.187152
0.0,38,0.187552
0.0,25,0.187822
0.0,81,0.18867
0.0,34,0.189027
0.0,44,0.189493
1.0,78,0.190317
0.0,336,0.193784
0.0,71,0.194525
0.0,16,0.1947
0.0,47,0.195201
0.0,18,0.195393
0.0,53,0.195944
0.0,10,0.196057
0.0,92,0.197016
0.0,61,0.19765
0.0,74,0.198418
0.0,71,0.199227
1.0,41,0.199656
0.0,176,0.201444
0.0,54,0.202013
0.0,11,0.20214
0.0,80,0.202976
0.0,3,0.203017
0.0,138,0.204447
0.0,35,0.204822
0.0,39,0.205241
0.0,49,0.205745
1.0,180,0.207586
0.0,105,0.208678
0.0,26,0.208959
0.0,7,0.209041
0.0,16,0.209217
0.0,12,0.209351
0.0,62,0.210002
0.0,13,0.210148
0.0,24,0.210408
1.0,101,0.211455
0.0,29,0.211766
1.0,76,0.212558
0.0,173,0.214667
0.0,20,0.214888
0.0,90,0.215818
1.0,72,0.216561
0.0,28,0.216854
0.0,83,0.217709
0.0,59,0.218316
0.0,61,0.218933
0.0,79,0.219753
0.0,276,0.222578
0.0,112,0.223756
0.0,110,0.224913
0.0,177,0.226722
0.0,32,0.227065
0.0,103,0.228121
0.0,8,0.228215
0.0,51,0.228747
0.0,66,0.229458
1.0,265,0.232177
0.0,62,0.23281
0.0,36,0.233184
0.0,16,0.233354
0.0,146,0.234853
0.0,18,0.23505
0.0,68,0.235757
0.0,262,0.238399
1.0,38,0.238807
0.0,41,0.239242
0.0,73,0.239997
0.0,32,0.240338
0.0,46,0.240823
0.0,66,0.241519
0.0,16,0.241691
1.0,222,0.244031
0.0,29,0.244347
0.0,83,0.24521
0.0,230,0.247582
0.0,115,0.24877
0.0,102,0.24984
0.0,69,0.250557
0.0,53,0.251118
0.0,28,0.25141
0.0,98,0.25244
0.0,58,0.253055
0.0,33,0.25341
0.0,224,0.255726
0.0,43,0.256187
0.0,71,0.256922
0.0,212,0.25912
0.0,233,0.261547
0.0,67,0.262252
0.0,158,0.26391
0.0,7,0.264018
0.0,37,0.264417
0.0,81,0.265264
0.0,99,0.266289
1.0,123,0.267569
0.0,21,0.267797
0.0,33,0.268149
1.0,170,0.269899
0.0,4,0.269953
0.0,38,0.27036
0.0,57,0.270963
0.0,8,0.27106
0.0,6,0.27113
1.0,72,0.271897
0.0,31,0.27223
0.0,131,0.273601
0.0,75,0.274394
0.0,90,0.275331
0.0,188,0.277261
0.0,128,0.278586
1.0,87,0.279496
0.0,157,0.281124
0.0,17,0.281315
0.0,21,0.281539
0.0,123,0.282825
0.0,26,0.283096
0.0,44,0.283549
0.0,99,0.284572
0.0,77,0.285368
0.0,9,0.285472
0.0,34,0.285832
1.0,46,0.286311
0.0,24,0.286571
0.0,21,0.286794
0.0,29,0.287093
0.0,15,0.287258
0.0,274,0.290001
0.0,145,0.291531
0.0,74,0.292312
0.0,113,0.293484
0.0,98,0.29451
0.0,43,0.294954
0.0,63,0.295615
0.0,93,0.296571
0.0,41,0.297006
0.0,76,0.297806
1.0,68,0.298511
0.0,17,0.2987
0.0,32,0.29907
0.0,234,0.301454
0.0,70,0.302196
0.0,49,0.302717
0.0,38,0.303115
0.0,23,0.303362
0.0,223,0.305646
0.0,219,0.307913
0.0,17,0.308101
0.0,57,0.308703
0.0,95,0.309688
1.0,155,0.311311
0.0,16,0.311488
0.0,14,0.311643
0.0,119,0.312881
0.0,8,0.312977
0.0,405,0.317093
0.0,221,0.319459
0.0,13,0.319605
0.0,28,0.319902
0.0,43,0.32036
0.0,53,0.320916
0.0,17,0.321096
0.0,519,0.326372
0.0,10,0.326489
1.0,46,0.326984
0.0,11,0.32711
0.0,79,0.327909
0.0,20,0.328127
0.0,19,0.328333
0.0,123,0.329669
0.0,68,0.330374
0.0,17,0.330556
0.0,130,0.331903
0.0,14,0.33206
0.0,100,0.333084
0.0,72,0.333825
1.0,83,0.334677
1.0,93,0.335639
0.0,16,0.335812
0.0,5,0.335871
0.0,15,0.336031
0.0,110,0.337183
0.0,186,0.339096
0.0,32,0.339433
0.0,3,0.339474
0.0,82,0.340342
0.0,115,0.34155
0.0,8,0.341643
1.0,62,0.34229
0.0,35,0.342657
0.0,15,0.342826
0.0,30,0.343145
1.0,230,0.345507
0.0,63,0.346165
0.0,52,0.346699
0.0,83,0.347554
0.0,135,0.348939
0.0,72,0.349685
0.0,63,0.350343
0.0,66,0.351035
0.0,12,0.351168
0.0,6,0.35124
0.0,44,0.351694
0.0,18,0.351888
0.0,146,0.353371
0.0,24,0.353624
0.0,5,0.353687
0.0,88,0.354595
0.0,77,0.355398
0.0,20,0.355612
0.0,77,0.356411
0.0,34,0.356764
0.0,22,0.356994
0.0,113,0.358147
0.0,108,0.359248
0.0,22,0.359481
0.0,67,0.360178
0.0,90,0.361108
0.0,51,0.361642
0.0,50,0.362155
0.0,36,0.362532
1.0,85,0.363403
0.0,70,0.364116
0.0,91,0.365054
0.0,40,0.365462
0.0,170,0.367218
0.0,29,0.367531
0.0,56,0.36812
0.0,116,0.369336
0.0,46,0.369826
0.0,11,0.369951
0.0,48,0.37046
0.0,113,0.371623
1.0,89,0.37255
0.0,42,0.372989
0.0,63,0.373637
0.0,8,0.37373
0.0,55,0.374302
0.0,454,0.378853
1.0,120,0.380121
0.0,177,0.38196
0.0,20,0.382178
0.0,19,0.38238
0.0,38,0.382786
0.0,156,0.384379
0.0,26,0.384662
0.0,32,0.384995
0.0,281,0.387864
0.0,119,0.389098
0.0,131,0.390467
0.0,99,0.3915
0.0,24,0.391757
0.0,198,0.393832
0.0,34,0.394197
1.0,93,0.395166
0.0,174,0.396943
0.0,20,0.397161
0.0,64,0.397833
0.0,45,0.398314
0.0,25,0.39858
0.0,154,0.400171
0.0,72,0.400931
0.0,70,0.401668
0.0,15,0.401832
0.0,41,0.402265
0.0,32,0.402609
1.0,48,0.403118
0.0,105,0.404228
0.0,20,0.404447
0.0,14,0.404601
0.0,51,0.405127
0.0,107,0.406224
0.0,62,0.406865
0.0,60,0.407477
0.0,4,0.407529
0.0,22,0.407764
0.0,59,0.408371
0.0,98,0.409375
0.0,62,0.410012
0.0,83,0.410856
0.0,181,0.412695
0.0,95,0.413686
0.0,226,0.416005
0.0,14,0.416161
0.0,172,0.417952
0.0,34,0.418318
0.0,33,0.418678
0.0,53,0.419243
0.0,301,0.422386
0.0,15,0.422559
0.0,24,0.422823
0.0,188,0.424788
0.0,145,0.426273
0.0,113,0.427444
1.0,86,0.428349
0.0,251,0.430915
0.0,119,0.432162
0.0,275,0.435007
0.0,13,0.435155
1.0,104,0.436234
0.0,18,0.436429
0.0,35,0.436799
0.0,180,0.438667
0.0,126,0.439986
