#{"t_start": 1711469841.4174788, "env_id": "Office-v0"}
r,l,t
0.0,33,0.005746
0.0,61,0.015055
0.0,2,0.01538
0.0,19,0.018129
0.0,13,0.019999
0.0,61,0.02873
0.0,19,0.031384
0.0,12,0.033056
0.0,42,0.038827
0.0,35,0.043589
0.0,70,0.053057
1.0,115,0.068596
0.0,68,0.077758
0.0,60,0.085817
0.0,37,0.09084
0.0,82,0.101976
0.0,46,0.108213
0.0,128,0.125383
0.0,79,0.13601
0.0,63,0.14452
0.0,45,0.150559
0.0,32,0.154877
0.0,42,0.160667
0.0,18,0.163069
0.0,135,0.181225
0.0,44,0.187116
0.0,258,0.22169
0.0,17,0.22398
0.0,130,0.241502
0.0,64,0.250097
0.0,86,0.261651
0.0,33,0.266081
0.0,2,0.266352
0.0,117,0.282085
0.0,159,0.303564
0.0,13,0.305319
0.0,21,0.308142
0.0,32,0.312472
0.0,76,0.322722
1.0,614,0.405418
0.0,228,0.436008
0.0,9,0.437219
0.0,361,0.48584
1.0,24,0.48907
0.0,17,0.491361
1.0,210,0.519724
0.0,413,0.575569
1.0,32,0.579866
0.0,106,0.59418
0.0,205,0.622039
0.0,362,0.671145
1.0,27,0.674766
0.0,139,0.693597
0.0,25,0.696977
0.0,56,0.704612
0.0,21,0.707467
0.0,66,0.71638
0.0,36,0.721242
0.0,259,0.756365
0.0,27,0.760021
0.0,15,0.762038
0.0,149,0.782211
0.0,276,0.819669
1.0,38,0.824834
0.0,81,0.83573
0.0,70,0.845153
0.0,135,0.863394
1.0,19,0.865993
1.0,170,0.888951
0.0,115,0.904556
0.0,116,0.920216
1.0,12,0.921833
1.0,190,0.947377
0.0,59,0.95631
0.0,170,0.980337
1.0,11,0.981856
0.0,75,0.991989
1.0,354,1.039751
0.0,338,1.085544
1.0,13,1.087308
0.0,26,1.090813
1.0,74,1.100776
0.0,370,1.150799
1.0,12,1.15244
0.0,249,1.186204
0.0,21,1.189079
0.0,299,1.229573
1.0,11,1.231069
1.0,161,1.252834
0.0,506,1.321547
0.0,39,1.326836
1.0,13,1.32859
1.0,92,1.340988
1.0,107,1.355459
0.0,52,1.374073
0.0,4,1.374851
0.0,64,1.383957
0.0,83,1.395571
0.0,22,1.398572
1.0,11,1.400079
0.0,30,1.404162
1.0,77,1.414636
0.0,470,1.478913
1.0,13,1.4807
0.0,31,1.484944
0.0,61,1.493264
0.0,15,1.495312
0.0,11,1.496805
0.0,105,1.51248
0.0,51,1.520116
0.0,131,1.539819
1.0,13,1.541898
1.0,50,1.549323
0.0,64,1.558251
0.0,31,1.562464
1.0,11,1.564008
1.0,96,1.577828
1.0,76,1.589028
0.0,29,1.59328
1.0,12,1.594952
1.0,39,1.600655
1.0,61,1.609103
0.0,24,1.612385
1.0,13,1.614238
0.0,27,1.618003
0.0,41,1.623626
0.0,379,1.675996
1.0,12,1.677652
1.0,29,1.681725
0.0,27,1.685438
0.0,362,1.735078
1.0,13,1.736868
1.0,41,1.742479
1.0,52,1.749734
0.0,63,1.758358
1.0,12,1.75999
0.0,20,1.76272
1.0,232,1.795006
0.0,7,1.79599
1.0,11,1.797553
1.0,93,1.810279
1.0,41,1.815903
0.0,8,1.81701
1.0,15,1.819058
1.0,39,1.824367
0.0,44,1.830397
0.0,501,1.899394
1.0,11,1.90093
1.0,32,1.905319
0.0,23,1.90845
0.0,129,1.926018
0.0,8,1.927111
1.0,38,1.932328
1.0,62,1.940777
0.0,88,1.952779
1.0,11,1.954316
1.0,24,1.957592
1.0,47,1.964012
0.0,71,1.973747
1.0,11,1.975246
1.0,45,1.981362
1.0,39,1.98668
0.0,129,2.004226
1.0,11,2.00573
1.0,63,2.014315
1.0,26,2.01787
0.0,8,2.018958
1.0,11,2.02046
1.0,34,2.025103
1.0,33,2.029598
0.0,56,2.03724
0.0,6,2.038059
1.0,31,2.042304
1.0,47,2.048949
0.0,230,2.101184
1.0,13,2.103302
1.0,38,2.108957
1.0,61,2.117893
0.0,302,2.160076
1.0,11,2.161659
1.0,24,2.164946
1.0,26,2.168493
0.0,5,2.169175
1.0,11,2.170671
0.0,28,2.174477
1.0,33,2.178947
0.0,23,2.182061
1.0,11,2.183559
1.0,23,2.18669
1.0,43,2.192504
0.0,584,2.27321
1.0,13,2.275049
0.0,17,2.277384
1.0,39,2.282705
0.0,473,2.348172
1.0,12,2.34986
1.0,25,2.353272
1.0,68,2.362482
0.0,601,2.445692
1.0,11,2.447252
0.0,25,2.450701
1.0,36,2.455594
0.0,32,2.459988
1.0,13,2.461757
1.0,25,2.465173
0.0,9,2.466403
