#{"t_start": 1711469823.697472, "env_id": "Office-v0"}
r,l,t
0.0,31,0.005473
0.0,7,0.006593
0.0,45,0.013525
0.0,28,0.01759
0.0,65,0.026996
0.0,41,0.0327
0.0,15,0.034755
0.0,14,0.036691
0.0,53,0.043905
0.0,21,0.046729
0.0,42,0.052419
0.0,49,0.059094
0.0,62,0.067395
0.0,99,0.08065
0.0,86,0.092256
0.0,68,0.101383
0.0,58,0.10927
0.0,139,0.127956
0.0,138,0.146449
1.0,95,0.159326
0.0,107,0.17372
0.0,187,0.198691
0.0,99,0.211894
0.0,126,0.228776
0.0,79,0.239423
0.0,42,0.245051
0.0,226,0.275352
0.0,7,0.276299
0.0,69,0.285573
0.0,35,0.290272
0.0,10,0.291613
0.0,36,0.296447
0.0,237,0.328168
1.0,473,0.391662
0.0,12,0.393271
1.0,37,0.398223
0.0,145,0.41772
0.0,174,0.441163
0.0,444,0.500976
0.0,5,0.50166
0.0,467,0.56472
1.0,309,0.606558
0.0,144,0.626127
0.0,28,0.629946
0.0,143,0.649286
0.0,34,0.653901
0.0,25,0.657328
0.0,54,0.664631
0.0,40,0.670053
0.0,19,0.672671
0.0,22,0.675666
0.0,27,0.679331
0.0,104,0.693395
1.0,241,0.725993
1.0,266,0.762155
1.0,24,0.765412
0.0,57,0.773136
0.0,71,0.782744
0.0,21,0.785591
1.0,62,0.793956
0.0,90,0.80608
0.0,130,0.823721
1.0,168,0.846461
0.0,23,0.849576
1.0,318,0.892683
0.0,224,0.92294
0.0,103,0.936804
1.0,34,0.941398
1.0,208,0.969522
0.0,54,0.976821
0.0,82,0.987814
0.0,18,0.990227
1.0,88,1.002123
0.0,259,1.037111
0.0,189,1.062508
0.0,23,1.065653
1.0,127,1.082764
0.0,74,1.092717
0.0,336,1.138103
1.0,18,1.140542
1.0,213,1.169143
0.0,179,1.19324
1.0,194,1.219342
1.0,15,1.221373
0.0,44,1.227299
0.0,28,1.231091
0.0,91,1.243361
1.0,11,1.244849
0.0,174,1.268351
1.0,147,1.288302
0.0,8,1.289422
1.0,11,1.290922
0.0,76,1.301121
0.0,41,1.306671
0.0,6,1.307488
1.0,16,1.30964
0.0,15,1.311655
0.0,155,1.332702
0.0,208,1.369519
0.0,4,1.371003
1.0,153,1.39245
0.0,22,1.395477
0.0,367,1.445935
1.0,11,1.447487
0.0,31,1.451703
0.0,105,1.466086
