#{"t_start": 1711469880.1000352, "env_id": "Office-v0"}
r,l,t
0.0,49,0.010248
0.0,16,0.013401
0.0,20,0.017235
0.0,5,0.018203
0.0,43,0.025842
0.0,12,0.028012
0.0,28,0.032932
0.0,33,0.038668
0.0,31,0.04396
0.0,28,0.048628
0.0,8,0.04999
0.0,70,0.061726
0.0,19,0.064967
0.0,36,0.071075
0.0,26,0.075461
0.0,35,0.081421
0.0,93,0.097088
0.0,14,0.099477
0.0,97,0.115866
0.0,161,0.143439
0.0,54,0.152624
0.0,124,0.173871
0.0,2,0.174235
0.0,75,0.187092
0.0,35,0.193118
0.0,84,0.207327
0.0,105,0.225371
0.0,117,0.245453
0.0,109,0.263955
0.0,134,0.28698
0.0,148,0.312014
0.0,9,0.313597
0.0,10,0.315327
0.0,298,0.366234
0.0,190,0.398815
0.0,725,0.524489
1.0,196,0.557669
0.0,360,0.620652
0.0,41,0.627519
0.0,42,0.634761
0.0,216,0.67161
