#{"t_start": 1711469859.506075, "env_id": "Office-v0"}
r,l,t
0.0,5,0.001621
0.0,19,0.004773
0.0,17,0.007503
0.0,79,0.020103
0.0,11,0.021897
0.0,12,0.023823
0.0,59,0.033232
0.0,13,0.035316
0.0,22,0.038778
0.0,16,0.041369
0.0,13,0.043457
0.0,47,0.050993
0.0,42,0.057578
0.0,54,0.066221
0.0,38,0.072346
0.0,111,0.090202
0.0,131,0.110944
0.0,151,0.135611
0.0,105,0.152428
0.0,85,0.166069
0.0,46,0.173401
0.0,80,0.186459
0.0,72,0.198017
0.0,21,0.201432
0.0,76,0.213608
0.0,6,0.214594
0.0,95,0.229874
0.0,41,0.236503
0.0,94,0.251432
0.0,43,0.258503
0.0,20,0.261802
0.0,89,0.276354
0.0,40,0.282782
0.0,10,0.284428
0.0,204,0.316624
0.0,179,0.345551
1.0,257,0.386811
0.0,289,0.432931
0.0,315,0.483845
1.0,220,0.519122
0.0,4,0.519774
0.0,10,0.521407
0.0,81,0.534683
0.0,378,0.596228
0.0,16,0.598856
0.0,48,0.607071
0.0,175,0.635844
0.0,71,0.647723
1.0,262,0.689534
0.0,305,0.738485
0.0,43,0.745478
0.0,173,0.773579
0.0,454,0.846379
0.0,30,0.851296
0.0,572,0.942759
0.0,19,0.94588
0.0,39,0.952069
0.0,11,0.953843
0.0,10,0.95543
0.0,18,0.958333
0.0,133,0.979707
0.0,256,1.021075
0.0,58,1.03046
1.0,77,1.04293
0.0,33,1.048247
1.0,238,1.086433
0.0,7,1.087581
1.0,63,1.097712
1.0,174,1.125677
0.0,97,1.141702
1.0,180,1.17037
1.0,35,1.176062
0.0,34,1.181536
0.0,18,1.184461
0.0,32,1.189515
1.0,25,1.193585
0.0,246,1.233077
0.0,45,1.240398
0.0,53,1.24903
1.0,14,1.251301
0.0,17,1.254035
0.0,114,1.272421
0.0,17,1.275208
0.0,18,1.278148
0.0,133,1.29944
0.0,19,1.302525
1.0,125,1.322682
1.0,61,1.332519
0.0,29,1.337219
1.0,149,1.361288
0.0,25,1.36534
1.0,11,1.367117
1.0,181,1.396451
1.0,153,1.420816
0.0,129,1.441792
1.0,17,1.444593
1.0,240,1.483407
1.0,263,1.525696
1.0,310,1.575416
1.0,30,1.580241
0.0,43,1.587178
1.0,133,1.60873
1.0,67,1.628129
1.0,12,1.630295
1.0,182,1.660574
0.0,92,1.67596
1.0,96,1.691799
1.0,14,1.694077
0.0,82,1.707708
1.0,166,1.735459
1.0,40,1.742265
0.0,7,1.743443
1.0,176,1.772462
1.0,105,1.789861
0.0,6,1.790891
1.0,13,1.79307
0.0,40,1.799773
0.0,21,1.80314
0.0,80,1.816496
1.0,13,1.818644
0.0,83,1.832462
0.0,74,1.844766
0.0,40,1.851453
0.0,2,1.851808
0.0,66,1.862718
1.0,89,1.877407
0.0,48,1.885301
1.0,11,1.887139
1.0,129,1.908533
0.0,5,1.909369
0.0,44,1.916735
1.0,13,1.918892
0.0,42,1.925867
1.0,62,1.93618
1.0,28,1.940916
1.0,13,1.94307
0.0,35,1.948917
0.0,25,1.953097
1.0,131,1.974644
1.0,15,1.977207
1.0,89,1.992033
0.0,14,1.994378
1.0,35,2.000157
1.0,13,2.002348
0.0,115,2.021461
1.0,78,2.034438
1.0,47,2.04233
1.0,12,2.044311
0.0,20,2.04764
0.0,44,2.054958
1.0,149,2.079386
1.0,11,2.081216
0.0,59,2.091036
0.0,29,2.095802
0.0,40,2.102495
1.0,11,2.10432
1.0,47,2.1121
1.0,69,2.123534
1.0,51,2.132067
1.0,13,2.134221
1.0,64,2.14511
0.0,51,2.153586
1.0,77,2.16632
1.0,11,2.168153
1.0,86,2.182507
0.0,66,2.193633
1.0,32,2.207664
1.0,11,2.209689
1.0,82,2.223745
1.0,67,2.235198
1.0,92,2.250687
1.0,11,2.252544
0.0,58,2.262117
1.0,65,2.272635
1.0,43,2.279694
1.0,11,2.281502
1.0,150,2.305831
1.0,59,2.315331
0.0,20,2.318492
1.0,11,2.320283
0.0,58,2.329637
1.0,77,2.342172
1.0,50,2.350835
1.0,11,2.352749
1.0,49,2.361023
0.0,35,2.366996
1.0,40,2.373695
1.0,12,2.375663
1.0,92,2.390899
1.0,40,2.397571
0.0,6,2.398604
1.0,14,2.400851
1.0,34,2.406495
0.0,33,2.411828
1.0,59,2.42163
1.0,13,2.423808
1.0,74,2.436061
1.0,86,2.450468
1.0,37,2.456635
0.0,2,2.456976
1.0,37,2.463151
0.0,11,2.464987
0.0,16,2.467696
1.0,13,2.469843
0.0,68,2.481196
1.0,59,2.490922
1.0,41,2.497672
0.0,4,2.498348
0.0,45,2.50591
1.0,49,2.514084
1.0,36,2.520144
1.0,13,2.522317
1.0,36,2.528271
1.0,30,2.53328
1.0,53,2.542147
0.0,7,2.543334
0.0,40,2.549973
1.0,41,2.556713
1.0,25,2.560871
1.0,12,2.56288
0.0,47,2.570689
1.0,42,2.577532
0.0,25,2.581629
1.0,11,2.583474
0.0,40,2.590146
0.0,23,2.593982
1.0,31,2.599095
1.0,13,2.601241
0.0,22,2.604938
0.0,12,2.606902
1.0,48,2.614843
1.0,14,2.617174
0.0,25,2.621366
0.0,4,2.622038
1.0,26,2.626409
1.0,12,2.628377
1.0,48,2.636315
1.0,37,2.642445
0.0,18,2.645403
0.0,6,2.646402
0.0,23,2.650241
0.0,23,2.654058
0.0,28,2.658729
1.0,11,2.660549
1.0,26,2.664839
1.0,25,2.668905
0.0,28,2.673577
1.0,11,2.675437
1.0,60,2.685408
1.0,59,2.695132
0.0,8,2.696476
1.0,14,2.698782
1.0,55,2.70794
1.0,61,2.717931
1.0,25,2.722167
1.0,11,2.723991
1.0,28,2.728672
1.0,33,2.734119
0.0,27,2.738601
1.0,11,2.740423
1.0,43,2.747509
1.0,87,2.761852
0.0,19,2.765037
1.0,13,2.767197
0.0,20,2.770565
1.0,39,2.776937
1.0,27,2.78142
1.0,11,2.783246
1.0,41,2.790069
0.0,25,2.794277
0.0,19,2.797444
1.0,15,2.799898
1.0,24,2.803784
1.0,61,2.813849
1.0,29,2.818693
1.0,14,2.820998
0.0,4,2.821653
1.0,32,2.826951
1.0,29,2.831765
1.0,13,2.833915
1.0,83,2.847682
1.0,39,2.854045
1.0,33,2.859605
1.0,17,2.862401
1.0,28,2.867052
1.0,38,2.873388
0.0,8,2.874701
1.0,11,2.876547
1.0,25,2.880723
1.0,30,2.885764
1.0,27,2.890267
1.0,11,2.892089
1.0,23,2.895933
1.0,31,2.901058
1.0,68,2.912327
1.0,13,2.914487
1.0,23,2.918332
0.0,25,2.922499
1.0,29,2.927403
1.0,11,2.929241
0.0,17,2.932078
1.0,35,2.937922
0.0,4,2.938598
0.0,7,2.939771
1.0,29,2.944581
1.0,39,2.9511
1.0,25,2.955278
1.0,12,2.957268
1.0,24,2.961359
1.0,31,2.966495
1.0,27,2.971032
1.0,12,2.972959
1.0,28,2.977555
0.0,27,2.981939
1.0,29,2.98679
1.0,12,2.988744
1.0,27,2.993181
0.0,2,2.993516
1.0,28,2.998139
1.0,11,2.99998
1.0,31,3.00499
1.0,33,3.010427
0.0,6,3.011419
1.0,13,3.013534
1.0,23,3.017338
1.0,33,3.022726
1.0,29,3.027416
1.0,11,3.029218
1.0,25,3.033349
1.0,40,3.039853
1.0,29,3.044627
1.0,11,3.046408
1.0,25,3.050516
1.0,30,3.055422
1.0,27,3.060026
1.0,13,3.062181
0.0,13,3.064278
1.0,32,3.06955
1.0,27,3.07405
1.0,15,3.076506
1.0,25,3.080634
1.0,34,3.086279
1.0,33,3.091835
1.0,11,3.093658
0.0,12,3.095667
1.0,33,3.10115
1.0,28,3.105846
1.0,11,3.107705
1.0,28,3.112277
1.0,39,3.118767
1.0,30,3.123761
1.0,11,3.125605
1.0,25,3.129712
1.0,36,3.135698
1.0,29,3.140579
1.0,11,3.142434
1.0,24,3.146423
1.0,270,3.191251
1.0,26,3.195531
1.0,11,3.197351
1.0,25,3.201492
1.0,30,3.206476
1.0,27,3.210965
1.0,14,3.213263
1.0,25,3.217434
1.0,33,3.222885
1.0,25,3.22706
0.0,6,3.228058
1.0,25,3.232209
1.0,53,3.240881
1.0,29,3.245696
0.0,9,3.247189
0.0,19,3.250306
0.0,5,3.251136
1.0,28,3.255834
1.0,11,3.257647
1.0,28,3.262207
1.0,26,3.266477
1.0,27,3.271061
1.0,14,3.273354
1.0,27,3.277859
1.0,42,3.28481
0.0,14,3.287109
0.0,12,3.289371
1.0,27,3.29385
1.0,68,3.305041
0.0,16,3.307685
1.0,13,3.309844
1.0,25,3.314004
1.0,49,3.322053
1.0,25,3.326202
1.0,12,3.328171
1.0,31,3.333251
1.0,43,3.340342
1.0,30,3.34533
1.0,13,3.347471
1.0,23,3.351293
1.0,58,3.360828
0.0,14,3.363126
1.0,13,3.365239
0.0,4,3.365895
1.0,33,3.37136
0.0,15,3.373883
1.0,11,3.37571
1.0,32,3.381028
1.0,29,3.385871
0.0,21,3.389365
1.0,11,3.391188
1.0,27,3.395719
1.0,33,3.401206
1.0,27,3.405742
1.0,12,3.407724
1.0,27,3.412196
1.0,29,3.417028
1.0,25,3.421207
0.0,8,3.422555
1.0,26,3.426903
1.0,29,3.431728
0.0,16,3.434388
1.0,11,3.436205
1.0,23,3.440015
0.0,12,3.442014
1.0,25,3.446211
1.0,11,3.448042
1.0,28,3.452697
0.0,2,3.453038
1.0,34,3.458644
1.0,11,3.460465
1.0,25,3.464661
1.0,43,3.4718
1.0,27,3.476278
1.0,14,3.478581
0.0,15,3.481068
1.0,31,3.486201
1.0,27,3.49071
1.0,13,3.49285
0.0,11,3.494672
1.0,33,3.500165
1.0,27,3.504709
1.0,15,3.507131
1.0,25,3.511236
1.0,41,3.517993
1.0,25,3.522228
0.0,4,3.522896
0.0,10,3.524539
1.0,43,3.531611
1.0,29,3.536404
1.0,13,3.538576
0.0,4,3.539247
0.0,10,3.540901
0.0,23,3.544733
1.0,12,3.54672
1.0,25,3.550895
1.0,31,3.556027
1.0,30,3.561026
1.0,14,3.56328
1.0,27,3.567725
1.0,32,3.573037
1.0,32,3.578362
0.0,8,3.579695
1.0,25,3.583859
1.0,31,3.588994
0.0,4,3.589662
1.0,13,3.591808
1.0,23,3.595621
1.0,35,3.601368
1.0,35,3.607211
1.0,11,3.609016
1.0,27,3.613525
0.0,17,3.616343
0.0,17,3.619162
1.0,11,3.620999
1.0,26,3.62532
0.0,2,3.625671
0.0,4,3.626351
1.0,13,3.628508
0.0,16,3.631124
1.0,31,3.636308
1.0,27,3.640782
1.0,11,3.642616
1.0,23,3.646377
0.0,2,3.646721
1.0,27,3.651274
1.0,13,3.65342
1.0,24,3.657357
1.0,30,3.662325
1.0,30,3.667279
1.0,14,3.669576
1.0,23,3.673395
1.0,35,3.679207
1.0,30,3.684162
0.0,9,3.685687
1.0,23,3.689484
1.0,30,3.694441
1.0,29,3.699243
1.0,12,3.701242
1.0,23,3.705078
0.0,4,3.705745
1.0,30,3.710728
0.0,2,3.711065
1.0,28,3.715699
1.0,34,3.721339
1.0,27,3.725835
1.0,11,3.727644
1.0,23,3.731444
1.0,37,3.737519
1.0,25,3.741663
0.0,9,3.743167
1.0,25,3.747335
1.0,30,3.752341
1.0,31,3.757451
0.0,8,3.758764
1.0,25,3.762839
1.0,30,3.767804
1.0,27,3.772296
0.0,9,3.773796
1.0,27,3.778272
1.0,34,3.783845
1.0,25,3.787984
1.0,13,3.790125
1.0,23,3.793945
1.0,40,3.800525
1.0,31,3.805657
1.0,12,3.807627
0.0,4,3.808306
1.0,30,3.813288
1.0,27,3.817785
1.0,13,3.81991
1.0,26,3.824194
1.0,34,3.82982
1.0,27,3.834313
1.0,11,3.83613
0.0,14,3.838399
1.0,44,3.845693
1.0,27,3.850192
1.0,12,3.852163
1.0,23,3.85592
1.0,37,3.862006
0.0,14,3.864332
1.0,11,3.866143
0.0,6,3.867167
1.0,30,3.872111
1.0,63,3.882399
0.0,7,3.883567
1.0,23,3.887378
1.0,46,3.89492
1.0,27,3.899327
1.0,16,3.901939
1.0,23,3.905726
1.0,56,3.915011
1.0,25,3.919144
1.0,13,3.921265
0.0,12,3.923237
1.0,32,3.928513
1.0,25,3.932665
1.0,11,3.934474
1.0,25,3.938588
1.0,34,3.944176
1.0,28,3.948766
1.0,13,3.950895
1.0,25,3.954974
0.0,4,3.955639
1.0,26,3.959925
0.0,4,3.960593
1.0,25,3.964696
1.0,32,3.969942
1.0,29,3.974746
1.0,13,3.976907
1.0,25,3.981053
1.0,33,3.986469
1.0,29,3.991252
1.0,13,3.993335
0.0,4,3.993993
1.0,32,3.999308
1.0,27,4.003779
1.0,13,4.005913
1.0,23,4.009727
0.0,33,4.0152
1.0,27,4.019657
1.0,11,4.021461
1.0,23,4.02529
1.0,34,4.030903
1.0,25,4.035101
1.0,11,4.036932
1.0,25,4.041038
1.0,33,4.046449
1.0,29,4.051321
1.0,11,4.053164
1.0,23,4.056965
1.0,34,4.062596
0.0,22,4.066205
1.0,13,4.068339
0.0,6,4.069355
1.0,34,4.074985
1.0,26,4.07932
1.0,12,4.081293
1.0,25,4.085413
0.0,31,4.090524
1.0,30,4.095504
1.0,12,4.097441
0.0,7,4.098598
1.0,41,4.105391
0.0,27,4.109847
1.0,13,4.111943
1.0,23,4.115758
1.0,36,4.121722
0.0,25,4.125884
1.0,11,4.127695
0.0,8,4.129025
1.0,35,4.134757
1.0,29,4.139535
1.0,13,4.141679
1.0,29,4.146742
1.0,34,4.152371
1.0,31,4.157506
1.0,14,4.159803
1.0,23,4.163559
1.0,31,4.168673
1.0,25,4.172801
1.0,11,4.174644
1.0,26,4.178888
1.0,37,4.185012
0.0,40,4.191643
1.0,11,4.193455
1.0,25,4.197535
0.0,30,4.20248
1.0,30,4.207418
0.0,2,4.207754
1.0,23,4.211564
