#{"t_start": 1711469818.177004, "env_id": "Office-v0"}
r,l,t
0.0,17,0.000674
0.0,4,0.000775
0.0,50,0.001604
0.0,41,0.002337
0.0,24,0.002743
0.0,24,0.003129
0.0,14,0.003351
0.0,6,0.003458
0.0,67,0.004478
0.0,38,0.005057
0.0,70,0.006127
0.0,14,0.006352
0.0,8,0.006486
0.0,28,0.006924
0.0,17,0.007194
0.0,63,0.008148
0.0,30,0.008617
0.0,5,0.008707
0.0,8,0.008838
0.0,38,0.009422
0.0,36,0.009967
0.0,32,0.010456
0.0,9,0.010605
0.0,24,0.010976
0.0,14,0.011198
0.0,43,0.011852
0.0,20,0.012182
0.0,21,0.012512
0.0,30,0.012973
0.0,82,0.01413
0.0,37,0.014675
0.0,10,0.014828
0.0,29,0.015243
0.0,31,0.015688
0.0,28,0.016085
0.0,51,0.016808
0.0,67,0.017753
0.0,10,0.017903
0.0,2,0.017941
0.0,13,0.018135
0.0,32,0.018613
0.0,8,0.018734
0.0,8,0.018854
0.0,35,0.019374
0.0,36,0.019884
0.0,20,0.020174
0.0,15,0.020395
0.0,41,0.020978
0.0,58,0.021803
0.0,31,0.02225
0.0,40,0.022819
1.0,37,0.023346
0.0,76,0.024427
0.0,118,0.026094
0.0,15,0.026319
0.0,43,0.026951
0.0,88,0.028151
0.0,76,0.02921
0.0,22,0.029517
1.0,97,0.030818
0.0,93,0.032093
0.0,60,0.032899
0.0,12,0.033075
1.0,64,0.033928
0.0,47,0.034563
0.0,8,0.034679
0.0,52,0.035408
0.0,103,0.036797
0.0,22,0.037106
0.0,59,0.037897
0.0,47,0.038525
1.0,40,0.039065
0.0,68,0.040026
0.0,25,0.04038
0.0,65,0.041247
0.0,38,0.041761
0.0,34,0.042215
0.0,132,0.043962
0.0,38,0.044471
0.0,45,0.045088
0.0,149,0.047066
0.0,97,0.04834
0.0,20,0.048624
0.0,35,0.049105
0.0,21,0.04939
0.0,39,0.049915
0.0,39,0.050438
1.0,91,0.051691
0.0,132,0.05344
0.0,25,0.053795
0.0,20,0.054072
1.0,65,0.054924
0.0,145,0.056828
0.0,49,0.057486
0.0,120,0.059057
0.0,71,0.060021
0.0,26,0.060383
0.0,26,0.060729
0.0,46,0.061347
1.0,32,0.06179
0.0,26,0.062149
0.0,45,0.062744
0.0,79,0.063773
0.0,76,0.06477
0.0,48,0.06541
0.0,152,0.0674
0.0,53,0.068133
0.0,109,0.069563
0.0,150,0.071526
0.0,47,0.072148
0.0,108,0.073563
1.0,39,0.07408
0.0,54,0.074794
0.0,72,0.075738
0.0,41,0.076305
1.0,92,0.077518
0.0,17,0.077752
0.0,194,0.080295
0.0,43,0.08087
0.0,52,0.08156
0.0,19,0.081817
0.0,27,0.08218
0.0,87,0.083331
0.0,116,0.084863
0.0,136,0.08668
0.0,101,0.088021
0.0,32,0.088449
0.0,102,0.089786
0.0,43,0.090356
0.0,22,0.090651
0.0,45,0.091244
1.0,95,0.092482
0.0,131,0.094187
0.0,105,0.095579
0.0,20,0.095851
1.0,87,0.09699
0.0,44,0.097572
0.0,108,0.098968
0.0,23,0.099282
1.0,26,0.099637
1.0,212,0.102432
0.0,79,0.103492
0.0,132,0.10526
1.0,69,0.106176
0.0,130,0.107873
0.0,8,0.107987
0.0,149,0.109956
0.0,30,0.110362
0.0,6,0.110451
0.0,31,0.11087
0.0,58,0.111645
1.0,33,0.112109
0.0,94,0.113351
0.0,51,0.114025
0.0,37,0.114524
1.0,56,0.115267
1.0,99,0.116573
0.0,75,0.11757
0.0,55,0.118304
0.0,7,0.118406
0.0,200,0.121005
0.0,21,0.121289
0.0,58,0.122047
0.0,81,0.123126
0.0,136,0.124901
0.0,81,0.125995
0.0,44,0.126595
1.0,54,0.127315
0.0,31,0.127734
0.0,4,0.127796
0.0,101,0.129154
1.0,33,0.129598
0.0,81,0.130654
0.0,32,0.13108
0.0,116,0.132603
1.0,96,0.133871
1.0,218,0.14474
0.0,107,0.146508
0.0,42,0.147272
1.0,19,0.147557
0.0,8,0.14768
0.0,36,0.148189
0.0,55,0.148977
0.0,10,0.149125
0.0,39,0.149667
0.0,120,0.151512
0.0,39,0.152065
0.0,8,0.152195
0.0,129,0.153976
0.0,40,0.154536
0.0,106,0.156002
1.0,37,0.156527
1.0,216,0.159535
0.0,84,0.160722
0.0,167,0.163058
1.0,21,0.163366
0.0,12,0.163545
0.0,59,0.16437
0.0,80,0.165472
1.0,40,0.166029
1.0,141,0.167954
0.0,6,0.168047
0.0,24,0.168373
0.0,40,0.168936
1.0,265,0.172448
0.0,80,0.173526
0.0,74,0.174508
0.0,12,0.174677
0.0,139,0.176514
0.0,2,0.176551
0.0,66,0.177449
1.0,50,0.178113
0.0,21,0.178409
0.0,93,0.179737
0.0,10,0.179889
1.0,19,0.180162
0.0,43,0.180733
0.0,23,0.181043
0.0,50,0.181712
0.0,12,0.18188
1.0,129,0.183574
0.0,91,0.18479
0.0,25,0.185133
1.0,34,0.185607
0.0,43,0.186187
0.0,50,0.186865
0.0,105,0.188261
0.0,4,0.188328
1.0,184,0.190752
0.0,58,0.191533
0.0,89,0.192746
1.0,30,0.193153
0.0,20,0.193427
0.0,138,0.195334
0.0,241,0.198537
1.0,16,0.198762
0.0,6,0.198852
0.0,126,0.200549
0.0,148,0.202531
1.0,52,0.203228
0.0,26,0.203595
0.0,23,0.20391
0.0,133,0.20567
1.0,20,0.205947
0.0,40,0.206478
0.0,41,0.207033
0.0,70,0.207964
1.0,63,0.208821
0.0,23,0.20913
0.0,43,0.209713
0.0,12,0.209883
0.0,19,0.210152
1.0,185,0.212632
0.0,185,0.215078
0.0,158,0.217204
1.0,15,0.217428
1.0,96,0.218723
0.0,36,0.219208
0.0,60,0.220018
1.0,25,0.220375
0.0,94,0.22162
0.0,24,0.221947
0.0,69,0.222859
0.0,4,0.222921
0.0,2,0.222957
0.0,14,0.22315
0.0,188,0.225646
1.0,38,0.226155
1.0,145,0.228097
0.0,51,0.228807
0.0,321,0.23304
1.0,12,0.23324
0.0,104,0.234646
0.0,47,0.235293
0.0,57,0.236051
0.0,129,0.237763
0.0,72,0.238715
0.0,54,0.239438
0.0,74,0.240423
1.0,20,0.240694
0.0,29,0.241083
0.0,21,0.241369
0.0,218,0.244244
0.0,16,0.244473
1.0,199,0.247102
0.0,90,0.248293
0.0,51,0.24898
1.0,44,0.249567
1.0,148,0.251552
0.0,5,0.251629
0.0,336,0.256057
1.0,38,0.256577
0.0,140,0.258422
0.0,126,0.260104
0.0,133,0.261939
1.0,12,0.262145
0.0,77,0.263258
0.0,99,0.264701
0.0,66,0.265669
1.0,19,0.265968
0.0,65,0.266957
0.0,93,0.269754
0.0,29,0.270256
1.0,18,0.270579
1.0,147,0.272691
0.0,41,0.273333
0.0,60,0.274223
1.0,20,0.274586
1.0,135,0.276846
0.0,139,0.278959
0.0,220,0.282217
1.0,22,0.282609
1.0,179,0.285957
0.0,99,0.287461
0.0,257,0.291209
1.0,12,0.291441
1.0,99,0.293085
0.0,22,0.293444
0.0,59,0.294314
1.0,12,0.29452
1.0,169,0.297082
0.0,40,0.297709
0.0,35,0.298226
0.0,17,0.298491
1.0,203,0.301734
1.0,154,0.304173
0.0,463,0.310832
0.0,2,0.310929
1.0,113,0.312532
0.0,20,0.312839
0.0,163,0.315146
1.0,16,0.315403
0.0,66,0.316331
0.0,29,0.316755
0.0,191,0.321153
1.0,20,0.321501
0.0,115,0.323711
0.0,131,0.326098
0.0,19,0.326422
1.0,12,0.326625
1.0,121,0.328408
0.0,176,0.331197
0.0,76,0.33279
1.0,17,0.333188
1.0,53,0.334024
0.0,35,0.334552
0.0,11,0.33473
1.0,13,0.334945
0.0,116,0.33665
0.0,88,0.337993
0.0,57,0.338842
0.0,8,0.338974
0.0,91,0.340248
0.0,73,0.341287
0.0,237,0.34464
1.0,26,0.345116
0.0,32,0.345623
0.0,254,0.349204
0.0,39,0.349814
0.0,2,0.34986
0.0,167,0.352189
0.0,44,0.352861
0.0,83,0.354128
0.0,11,0.354349
1.0,137,0.356394
0.0,97,0.357818
0.0,863,0.3698
1.0,11,0.370049
1.0,86,0.371283
0.0,169,0.373661
0.0,28,0.374089
1.0,38,0.374641
0.0,49,0.375342
0.0,109,0.376872
0.0,141,0.37884
1.0,14,0.379053
1.0,140,0.380938
0.0,45,0.381577
0.0,139,0.383455
1.0,11,0.383617
1.0,66,0.384503
0.0,239,0.387689
0.0,34,0.38818
1.0,22,0.388499
1.0,82,0.389601
1.0,173,0.391898
0.0,85,0.393033
1.0,11,0.393194
1.0,111,0.394663
0.0,7,0.394767
0.0,73,0.395742
0.0,7,0.395848
0.0,102,0.397194
0.0,11,0.39735
0.0,16,0.397571
0.0,9,0.397699
1.0,128,0.399389
0.0,113,0.400905
0.0,120,0.402512
1.0,13,0.402699
1.0,43,0.403286
0.0,6,0.403376
0.0,46,0.403989
1.0,14,0.404185
0.0,108,0.40561
0.0,44,0.406226
0.0,39,0.406749
0.0,2,0.406785
0.0,44,0.407372
1.0,188,0.409852
0.0,20,0.410127
1.0,11,0.410286
0.0,27,0.410652
0.0,59,0.41144
0.0,30,0.411846
1.0,13,0.412032
0.0,29,0.412433
0.0,162,0.414594
0.0,127,0.416293
1.0,12,0.416468
0.0,8,0.416586
0.0,50,0.417266
0.0,107,0.418699
1.0,23,0.419019
0.0,17,0.419253
0.0,2,0.419289
0.0,354,0.42397
1.0,13,0.424156
1.0,76,0.425164
0.0,92,0.426391
0.0,110,0.427854
0.0,2,0.427892
0.0,8,0.428008
0.0,104,0.429385
0.0,188,0.432009
1.0,11,0.432175
1.0,44,0.432769
0.0,132,0.434531
0.0,44,0.435136
1.0,11,0.435295
1.0,112,0.436788
0.0,79,0.43785
0.0,13,0.438036
1.0,12,0.438207
0.0,42,0.438776
1.0,254,0.442143
0.0,125,0.443825
1.0,12,0.443997
1.0,98,0.4453
0.0,55,0.446042
0.0,37,0.44654
1.0,11,0.446701
0.0,8,0.446817
0.0,80,0.44789
0.0,30,0.448299
1.0,11,0.448488
0.0,107,0.449925
1.0,470,0.456139
0.0,63,0.456991
1.0,11,0.457151
0.0,68,0.458067
1.0,274,0.46172
0.0,32,0.462164
1.0,12,0.46234
1.0,51,0.463031
1.0,117,0.464609
0.0,231,0.467738
1.0,11,0.467907
1.0,84,0.469027
