#{"t_start": 1711473238.596212, "env_id": "Office-single-v0"}
r,l,t
0.0,35,0.000726
0.0,4,0.000794
0.0,47,0.001221
0.0,32,0.001517
0.0,25,0.001752
0.0,6,0.001823
0.0,18,0.001995
0.0,38,0.002334
0.0,67,0.002925
0.0,37,0.003263
0.0,56,0.003771
0.0,22,0.003977
0.0,29,0.004243
0.0,28,0.004496
0.0,28,0.004751
0.0,35,0.005071
0.0,34,0.005379
0.0,108,0.00634
0.0,52,0.006805
0.0,72,0.007443
0.0,29,0.007708
0.0,63,0.00826
0.0,38,0.008597
0.0,59,0.009134
0.0,37,0.009468
0.0,72,0.010074
0.0,87,0.010785
0.0,30,0.011042
0.0,89,0.01177
0.0,48,0.012168
0.0,47,0.012554
0.0,129,0.013599
0.0,115,0.014529
0.0,8,0.014608
0.0,107,0.015494
0.0,192,0.017054
0.0,67,0.017608
0.0,108,0.018495
0.0,92,0.019264
0.0,29,0.01951
0.0,89,0.020249
0.0,55,0.020705
0.0,103,0.021539
0.0,65,0.022069
0.0,33,0.022349
0.0,12,0.022456
0.0,8,0.022532
0.0,8,0.022606
0.0,48,0.023005
0.0,2,0.023033
0.0,51,0.023457
0.0,67,0.023992
0.0,102,0.024797
0.0,27,0.025018
0.0,4,0.02506
0.0,36,0.025354
0.0,86,0.02603
0.0,53,0.026451
0.0,54,0.026879
0.0,88,0.027574
1.0,140,0.02868
0.0,124,0.029648
0.0,119,0.030574
0.0,7,0.030646
0.0,101,0.031459
0.0,49,0.031852
0.0,352,0.034579
1.0,524,0.038565
0.0,52,0.038963
1.0,309,0.041276
1.0,103,0.042058
0.0,59,0.042506
0.0,2,0.042533
0.0,60,0.042993
0.0,109,0.043816
0.0,42,0.044141
0.0,15,0.044265
0.0,43,0.044599
1.0,333,0.047135
0.0,11,0.047232
1.0,197,0.048707
0.0,35,0.048983
0.0,151,0.050123
0.0,16,0.050256
0.0,42,0.050581
0.0,146,0.051704
1.0,168,0.052972
0.0,85,0.053621
0.0,41,0.053939
0.0,83,0.054588
1.0,242,0.056437
0.0,267,0.058444
0.0,34,0.058716
0.0,56,0.059155
0.0,22,0.059329
1.0,568,0.063596
0.0,265,0.06559
0.0,50,0.065975
0.0,8,0.066048
0.0,46,0.066401
0.0,57,0.066838
1.0,266,0.068842
0.0,29,0.069072
1.0,380,0.071921
1.0,258,0.073852
0.0,8,0.073923
0.0,5,0.073971
0.0,39,0.074269
0.0,13,0.074379
0.0,32,0.074632
0.0,150,0.075756
0.0,56,0.076185
0.0,412,0.079269
0.0,201,0.090246
0.0,67,0.090908
0.0,16,0.091053
0.0,130,0.092179
0.0,192,0.093729
0.0,139,0.094866
0.0,44,0.095225
0.0,40,0.095549
0.0,162,0.096857
0.0,72,0.097435
1.0,107,0.098292
0.0,51,0.098711
0.0,58,0.099174
0.0,264,0.101339
0.0,28,0.101573
0.0,210,0.103225
1.0,269,0.105341
