#{"t_start": 1717170204.0409532, "env_id": "Office-single-v0"}
r,l,t
-0.01,9,0.001022
-0.01,47,0.004048
-0.01,8,0.00458
-0.01,12,0.005312
-0.01,28,0.006982
-0.01,55,0.01026
-0.01,8,0.010757
-0.01,13,0.011557
-0.01,21,0.012816
-0.01,39,0.015126
-0.01,126,0.022102
-0.01,38,0.024219
-0.01,64,0.027706
-0.01,21,0.028825
-0.01,15,0.02963
-0.01,7,0.030012
-0.01,64,0.033413
-0.01,97,0.038455
-0.01,30,0.040021
-0.01,60,0.043184
-0.01,79,0.047266
-0.01,140,0.054568
-0.01,15,0.055366
-0.01,111,0.061159
-0.01,55,0.064046
-0.01,146,0.071633
-0.01,73,0.075432
-0.01,147,0.083131
-0.01,58,0.086159
-0.01,72,0.089929
-0.01,12,0.090567
-0.01,190,0.100471
-0.01,138,0.107666
-0.01,446,0.1308
-0.01,94,0.135669
-0.01,410,0.156946
-0.01,22,0.158123
-0.01,194,0.168515
-0.01,311,0.184678
-0.01,195,0.194785
-0.01,159,0.203068
-0.01,80,0.207236
-0.01,6,0.207562
-0.01,685,0.243153
-0.01,8,0.243585
-0.01,275,0.257858
-0.01,502,0.283883
-0.01,72,0.287613
-0.01,13,0.2883
-0.01,299,0.303793
-0.01,128,0.310428
-0.01,2,0.310543
-0.01,182,0.319981
-0.01,135,0.327018
-0.01,39,0.329056
-0.01,61,0.332239
-0.01,55,0.335101
-0.01,123,0.341489
-0.01,13,0.342178
-0.01,195,0.352292
-0.01,45,0.354631
-0.01,33,0.356343
-0.01,12,0.356976
-0.01,193,0.366976
-0.01,114,0.372901
-0.01,54,0.375715
-0.01,4,0.375934
-0.01,599,0.40715
-0.01,168,0.415848
-0.01,24,0.4171
-0.01,29,0.418617
-0.01,6,0.418937
-0.01,893,0.465328
-0.01,753,0.504357
-0.01,56,0.50729
-0.01,61,0.510464
-0.01,228,0.52228
-0.01,311,0.547626
-0.01,137,0.55534
-0.01,37,0.557323
-0.01,48,0.55986
-0.01,46,0.562287
-0.01,44,0.564616
-0.01,33,0.566358
-0.01,79,0.57058
-0.01,270,0.584796
-0.01,23,0.586019
-0.01,75,0.589995
-0.01,19,0.591016
-0.01,100,0.596252
-0.01,30,0.597847
-0.01,45,0.600221
-0.01,89,0.604902
-0.01,319,0.621749
-0.01,33,0.623488
-0.01,62,0.626748
-0.01,155,0.634904
-0.01,30,0.636491
-0.01,175,0.645707
-0.01,236,0.658131
-0.01,400,0.679134
-0.01,126,0.685735
-0.01,285,0.700694
-0.01,209,0.711673
-0.01,19,0.712684
-0.01,259,0.72628
-0.01,91,0.731054
-0.01,228,0.742983
-0.01,172,0.75203
-0.01,194,0.762244
-0.01,110,0.768014
-0.01,130,0.774825
-0.01,838,0.818783
-0.01,8,0.819216
-0.01,181,0.828709
-0.01,478,0.853786
-0.01,313,0.870184
-0.01,106,0.875726
-0.01,151,0.883669
-0.01,123,0.890137
-0.01,94,0.895082
-0.01,15,0.895879
-0.01,435,0.918714
-0.01,16,0.919564
-0.01,56,0.922505
-0.01,288,0.937612
-0.01,68,0.941189
-0.01,163,0.949763
-0.01,149,0.957556
-0.01,256,0.970949
-0.01,34,0.972733
-0.01,298,0.988363
-0.01,26,0.989736
-0.01,38,0.991739
-0.01,23,0.992956
-0.01,134,0.999972
-0.01,71,1.003691
-0.01,163,1.012282
-0.01,21,1.013396
-0.01,428,1.035889
-0.01,21,1.037008
-0.01,493,1.063273
-0.01,218,1.074701
-0.01,53,1.077495
-0.01,249,1.090587
-0.01,344,1.108712
-0.01,43,1.11103
-0.01,51,1.113724
-0.01,496,1.139844
-0.01,130,1.146683
-0.01,181,1.156177
-0.01,509,1.18329
-0.01,310,1.199535
-0.01,443,1.222822
-0.01,83,1.227169
-0.01,216,1.238512
-0.01,16,1.239366
-0.01,31,1.241047
-0.01,95,1.2461
-0.01,149,1.253918
-0.01,52,1.256654
-0.01,547,1.285369
-0.01,116,1.291445
-0.01,299,1.307125
-0.01,16,1.307977
-0.01,50,1.310607
-0.01,149,1.318423
-0.01,227,1.330327
-0.01,183,1.339918
-0.01,16,1.340769
-0.01,72,1.344554
-0.01,14,1.345295
-0.01,578,1.37562
-0.01,52,1.37837
-0.01,32,1.380049
-0.01,287,1.395088
-0.01,33,1.396831
-0.01,318,1.413516
-0.01,423,1.435649
-0.01,52,1.438377
-0.01,403,1.459484
-0.01,585,1.490196
-0.01,17,1.491102
-0.01,428,1.513548
-0.01,67,1.517064
-0.01,78,1.521157
-0.01,145,1.528773
-0.01,39,1.530828
-0.01,396,1.551587
-0.01,27,1.553012
-0.01,35,1.554869
-0.01,174,1.563997
-0.01,178,1.573329
-0.01,176,1.582545
-0.01,488,1.608269
-0.01,14,1.609024
-0.01,29,1.61056
-0.01,124,1.617059
-0.01,114,1.623085
-0.01,5,1.623371
-0.01,254,1.63673
-0.01,8,1.637167
-0.01,299,1.652909
-0.01,161,1.66138
-0.01,28,1.662868
-0.01,257,1.676426
-0.01,310,1.692792
-0.01,187,1.702593
-0.01,142,1.710067
-0.01,12,1.710726
-0.01,38,1.712729
-0.01,156,1.720909
-0.01,433,1.743656
-0.01,67,1.747171
-0.01,72,1.750946
-0.01,130,1.757756
-0.01,5,1.75803
-0.01,338,1.775773
-0.01,1126,1.834842
-0.01,14,1.835592
-0.01,69,1.839207
-0.01,52,1.841931
-0.01,70,1.845595
-0.01,211,1.856609
-0.01,67,1.860131
-0.01,37,1.862083
-0.01,58,1.865131
-0.01,173,1.874238
-0.01,163,1.882777
-0.01,35,1.884627
-0.01,293,1.899957
-0.01,243,1.912722
-0.01,146,1.920407
-0.01,37,1.922362
-0.01,119,1.928621
-0.01,51,1.931308
-0.01,136,1.938455
-0.01,106,1.944044
-0.01,30,1.945631
-0.01,51,1.948322
-0.01,1091,2.005645
-0.01,53,2.008439
-0.01,31,2.010073
-0.01,631,2.043152
-0.01,37,2.045101
-0.01,18,2.046056
-0.01,33,2.047802
-0.01,476,2.072707
-0.01,52,2.075459
-0.01,374,2.09511
-0.01,389,2.11557
-0.01,306,2.131678
-0.01,57,2.134676
-0.01,54,2.13752
-0.01,200,2.148039
-0.01,67,2.151577
-0.01,34,2.153373
-0.01,139,2.160712
-0.01,62,2.163962
-0.01,280,2.178941
-0.01,56,2.181882
-0.01,187,2.191678
-0.01,150,2.199572
-0.01,647,2.233609
-0.01,76,2.237585
-0.01,81,2.241852
-0.01,299,2.257546
-0.01,95,2.262563
-0.01,5,2.262836
-0.01,5,2.263109
-0.01,137,2.270282
-0.01,300,2.286045
-0.01,602,2.3176
-0.01,33,2.319343
-0.01,160,2.32778
-0.01,360,2.346788
-0.01,198,2.357175
-0.01,9,2.357663
-0.01,31,2.3593
-0.01,642,2.392973
-0.01,150,2.400857
-0.01,156,2.409089
-0.01,353,2.427609
-0.01,77,2.431645
-0.01,305,2.447637
-0.01,106,2.453184
-0.01,496,2.479232
-0.01,76,2.483214
-0.01,42,2.485415
-0.01,248,2.498384
-0.01,21,2.499497
-0.01,14,2.50024
-0.01,355,2.518875
-0.01,342,2.536805
-0.01,463,2.56103
-0.01,425,2.583368
-0.01,259,2.596942
-0.01,282,2.611735
-0.01,344,2.629777
-0.01,57,2.632777
-0.01,156,2.641176
-0.01,268,2.655225
-0.01,105,2.660727
-0.01,298,2.676431
-0.01,17,2.677359
-0.01,93,2.68226
-0.01,119,2.688516
-0.01,26,2.689891
-0.01,44,2.692242
-0.01,525,2.719778
-0.01,538,2.748125
-0.01,343,2.76613
-0.01,87,2.770702
-0.01,33,2.772447
