#{"t_start": 1717168030.812841, "env_id": "Office-v0"}
r,l,t
-0.01,5,0.001286
-0.01,63,0.011451
-0.01,15,0.013814
-0.01,19,0.016638
-0.01,35,0.0217
-0.01,8,0.022867
-0.01,48,0.029766
-0.01,44,0.035922
-0.01,55,0.043537
-0.01,73,0.053694
-0.01,18,0.056196
-0.01,91,0.068711
-0.01,25,0.072179
-0.01,60,0.080462
-0.01,11,0.081975
-0.01,127,0.099381
-0.01,36,0.104368
-0.01,84,0.115916
-0.01,61,0.124308
-0.01,71,0.134064
-0.01,126,0.151428
-0.01,109,0.166457
-0.01,50,0.173319
-0.01,115,0.189103
-0.01,65,0.198057
-0.01,316,0.241601
-0.01,81,0.252722
-0.01,2,0.253005
-0.01,210,0.282016
-0.01,63,0.290661
-0.01,96,0.303897
-0.01,164,0.326566
-0.01,55,0.334166
-0.01,155,0.355532
-0.01,156,0.377156
1.0,63,0.385867
-0.01,35,0.390704
-0.01,18,0.393197
-0.01,198,0.4206
1.0,49,0.427356
1.0,244,0.461206
-0.01,18,0.463701
-0.01,8,0.464816
-0.01,21,0.467753
-0.01,93,0.480586
-0.01,28,0.484464
-0.01,384,0.537781
1.0,49,0.544548
-0.01,25,0.54801
-0.01,158,0.56981
-0.01,232,0.602044
1.0,20,0.604824
-0.01,32,0.609265
-0.01,279,0.648027
-0.01,439,0.708968
1.0,39,0.714362
1.0,209,0.743353
-0.01,483,0.810507
-0.01,34,0.815221
1.0,13,0.817021
-0.01,224,0.847905
-0.01,62,0.856468
-0.01,117,0.872667
1.0,71,0.882482
-0.01,2,0.882764
-0.01,21,0.885681
-0.01,29,0.889696
1.0,11,0.891219
-0.01,47,0.897714
-0.01,187,0.923504
-0.01,121,0.94025
1.0,13,0.942051
-0.01,81,0.953278
-0.01,142,0.972952
-0.01,15,0.975042
1.0,12,0.976706
1.0,120,0.993291
-0.01,494,1.062047
-0.01,115,1.077974
1.0,11,1.079503
1.0,84,1.091161
-0.01,269,1.128514
-0.01,133,1.146969
1.0,13,1.148777
-0.01,68,1.1582
-0.01,42,1.164019
-0.01,223,1.19503
1.0,12,1.196702
1.0,86,1.20868
-0.01,31,1.213002
-0.01,87,1.225038
1.0,11,1.226574
-0.01,34,1.231315
-0.01,44,1.23768
-0.01,393,1.292278
1.0,11,1.293807
1.0,96,1.307067
-0.01,36,1.312004
-0.01,63,1.320736
-0.01,2,1.321018
1.0,97,1.334412
-0.01,382,1.387213
-0.01,12,1.396947
1.0,13,1.399006
-0.01,12,1.400762
-0.01,58,1.409068
-0.01,80,1.420534
1.0,11,1.422091
-0.01,52,1.429343
-0.01,509,1.500816
-0.01,65,1.509972
-0.01,9,1.51125
1.0,46,1.517669
-0.01,875,1.640092
-0.01,33,1.64471
1.0,17,1.64708
1.0,132,1.665478
-0.01,119,1.682099
-0.01,66,1.691296
1.0,13,1.693115
1.0,55,1.700773
-0.01,178,1.725527
-0.01,47,1.732071
1.0,13,1.733886
1.0,51,1.741039
-0.01,118,1.757484
-0.01,508,1.82863
1.0,13,1.830451
-0.01,24,1.833814
-0.01,410,1.891215
-0.01,23,1.894446
1.0,11,1.895987
-0.01,24,1.899345
-0.01,34,1.9041
-0.01,88,1.916411
1.0,13,1.918219
