#{"t_start": 1717167163.1628768, "env_id": "Office-single-v0"}
r,l,t
-0.01,47,0.00341
-0.01,17,0.004511
-0.01,15,0.005475
-0.01,12,0.006208
-0.01,48,0.009024
-0.01,17,0.010047
-0.01,67,0.013975
-0.01,16,0.014921
-0.01,28,0.016564
-0.01,53,0.019462
-0.01,22,0.020665
-0.01,22,0.021872
-0.01,47,0.02442
-0.01,44,0.026816
-0.01,26,0.028208
-0.01,191,0.03817
-0.01,35,0.039991
-0.01,38,0.041955
-0.01,69,0.045518
-0.01,43,0.047695
-0.01,89,0.052208
-0.01,116,0.058213
-0.01,97,0.06323
-0.01,16,0.06406
-0.01,23,0.065273
-0.01,81,0.06947
-0.01,30,0.071018
-0.01,98,0.076063
-0.01,121,0.082326
-0.01,55,0.085165
-0.01,87,0.089665
-0.01,187,0.099307
-0.01,78,0.103322
-0.01,2,0.103436
-0.01,362,0.122348
-0.01,35,0.124159
-0.01,16,0.124992
-0.01,194,0.134928
-0.01,141,0.142201
-0.01,21,0.143291
-0.01,26,0.144635
-0.01,53,0.147392
-0.01,9,0.147868
-0.01,11,0.148441
-0.01,242,0.160893
-0.01,228,0.172607
-0.01,58,0.175582
-0.01,572,0.204946
-0.01,28,0.2064
-0.01,32,0.208054
-0.01,4,0.208267
-0.01,98,0.213305
-0.01,216,0.224378
-0.01,4,0.224596
-0.01,19,0.225582
-0.01,16,0.226413
-0.01,5,0.226679
-0.01,226,0.238289
-0.01,204,0.248721
-0.01,204,0.259242
-0.01,145,0.266686
-0.01,648,0.300084
-0.01,284,0.314663
-0.01,51,0.317293
-0.01,99,0.322387
-0.01,50,0.324948
-0.01,17,0.325837
-0.01,19,0.326826
-0.01,54,0.329608
-0.01,17,0.330494
-0.01,44,0.332757
-0.01,228,0.344446
-0.01,335,0.361642
-0.01,42,0.363807
-0.01,592,0.394148
-0.01,562,0.422966
-0.01,138,0.430004
-0.01,271,0.443881
-0.01,216,0.454995
-0.01,158,0.463081
-0.01,672,0.497574
-0.01,63,0.500797
-0.01,48,0.50326
-0.01,226,0.514798
-0.01,75,0.526427
-0.01,338,0.544648
-0.01,399,0.565345
-0.01,59,0.568483
-0.01,15,0.569299
-0.01,255,0.582496
-0.01,101,0.587719
-0.01,2,0.587836
-0.01,159,0.596025
-0.01,471,0.620527
-0.01,15,0.621323
-0.01,133,0.628196
-0.01,202,0.638709
-0.01,171,0.647547
-0.01,102,0.652843
-0.01,136,0.659881
-0.01,154,0.667859
-0.01,34,0.669629
-0.01,62,0.672871
-0.01,128,0.679496
-0.01,66,0.682938
-0.01,39,0.684963
-0.01,410,0.706183
-0.01,49,0.708726
-0.01,50,0.711324
-0.01,45,0.713665
-0.01,1026,0.766568
-0.01,46,0.768947
-0.01,481,0.793733
-0.01,389,0.813745
-0.01,26,0.8151
-0.01,169,0.823856
-0.01,191,0.833748
-0.01,34,0.835509
-0.01,203,0.846006
-0.01,225,0.857593
-0.01,42,0.859773
-0.01,61,0.862924
-0.01,16,0.863763
-0.01,22,0.864912
-0.01,537,0.892681
-0.01,37,0.894619
-0.01,115,0.900561
-0.01,10,0.901089
-0.01,21,0.902177
-0.01,390,0.922296
-0.01,143,0.929666
-0.01,355,0.94802
-0.01,29,0.94953
-0.01,137,0.956572
-0.01,248,0.969379
-0.01,27,0.970779
-0.01,52,0.97348
-0.01,76,0.977416
-0.01,153,0.985354
-0.01,384,1.005213
-0.01,438,1.02778
-0.01,569,1.057499
-0.01,106,1.062962
-0.01,672,1.097784
-0.01,165,1.10636
-0.01,81,1.110558
-0.01,259,1.124243
-0.01,22,1.125393
-0.01,19,1.126393
-0.01,143,1.13378
-0.01,45,1.136111
-0.01,16,1.136947
-0.01,22,1.138091
-0.01,466,1.162172
-0.01,618,1.194169
-0.01,178,1.203387
-0.01,313,1.21949
-0.01,69,1.223046
-0.01,62,1.226256
-0.01,55,1.229104
-0.01,64,1.232419
-0.01,62,1.235632
-0.01,211,1.246545
-0.01,142,1.253912
-0.01,319,1.270416
-0.01,59,1.273472
-0.01,75,1.277362
-0.01,34,1.279132
-0.01,88,1.28369
-0.01,187,1.293312
-0.01,63,1.296574
-0.01,75,1.300453
-0.01,84,1.304803
-0.01,503,1.330877
-0.01,31,1.332493
-0.01,153,1.340435
-0.01,66,1.343861
-0.01,226,1.355559
-0.01,425,1.3776
-0.01,221,1.38902
-0.01,6,1.389347
-0.01,2,1.38946
-0.01,11,1.390042
-0.01,45,1.392378
-0.01,137,1.399488
-0.01,108,1.405069
-0.01,43,1.407302
-0.01,226,1.418979
-0.01,390,1.439139
-0.01,32,1.440797
-0.01,109,1.446402
-0.01,494,1.471956
-0.01,74,1.475781
-0.01,27,1.477184
-0.01,2,1.477296
-0.01,26,1.478647
-0.01,629,1.51104
-0.01,149,1.518719
-0.01,41,1.520851
-0.01,439,1.543581
-0.01,50,1.546158
-0.01,91,1.550866
-0.01,50,1.553475
-0.01,102,1.558752
-0.01,40,1.560811
-0.01,131,1.567693
-0.01,190,1.57748
-0.01,25,1.578789
-0.01,81,1.582988
-0.01,64,1.58632
-0.01,76,1.590288
-0.01,131,1.597093
-0.01,38,1.599104
-0.01,268,1.613021
-0.01,12,1.613658
-0.01,165,1.622232
-0.01,913,1.669663
-0.01,16,1.670504
-0.01,182,1.679853
-0.01,350,1.697932
-0.01,2,1.698048
-0.01,14,1.698784
-0.01,29,1.700287
-0.01,219,1.711613
-0.01,24,1.712865
-0.01,48,1.715349
-0.01,131,1.722122
-0.01,20,1.723164
-0.01,175,1.73219
-0.01,34,1.733963
-0.01,60,1.737084
-0.01,507,1.763268
-0.01,413,1.784567
-0.01,313,1.800767
-0.01,80,1.805505
-0.01,224,1.817062
-0.01,4,1.817288
-0.01,119,1.823646
-0.01,34,1.82541
-0.01,432,1.847765
-0.01,25,1.849068
-0.01,5,1.849337
-0.01,30,1.850899
-0.01,50,1.853493
-0.01,137,1.860557
-0.01,36,1.862406
-0.01,400,1.882947
-0.01,24,1.884202
-0.01,697,1.920231
-0.01,230,1.932119
-0.01,112,1.937914
-0.01,142,1.945221
-0.01,434,1.967622
-0.01,269,1.981491
-0.01,204,1.992048
-0.01,86,1.996507
-0.01,366,2.01542
-0.01,18,2.016363
-0.01,37,2.018286
-0.01,46,2.020678
-0.01,37,2.022596
-0.01,145,2.030077
-0.01,123,2.036445
-0.01,44,2.038733
-0.01,6,2.039055
-0.01,180,2.048358
-0.01,52,2.05105
-0.01,19,2.052049
-0.01,7,2.052422
-0.01,118,2.058557
-0.01,71,2.062248
-0.01,645,2.095684
-0.01,40,2.097768
-0.01,7,2.098142
-0.01,299,2.113582
-0.01,38,2.11556
-0.01,23,2.116785
-0.01,56,2.11998
-0.01,194,2.130116
-0.01,162,2.138542
-0.01,572,2.16813
-0.01,489,2.193369
-0.01,264,2.20705
-0.01,459,2.230788
-0.01,179,2.240013
-0.01,74,2.243828
-0.01,33,2.245549
-0.01,37,2.247471
-0.01,126,2.254005
-0.01,228,2.265778
-0.01,91,2.270477
-0.01,59,2.273536
-0.01,887,2.319258
-0.01,624,2.351406
-0.01,47,2.353835
