#{"t_start": 1717167058.231422, "env_id": "Office-v0"}
r,l,t
-0.01,12,0.002502
-0.01,15,0.005074
-0.01,37,0.010962
-0.01,47,0.017992
-0.01,12,0.019743
-0.01,33,0.024555
-0.01,16,0.026894
-0.01,13,0.028757
-0.01,38,0.034074
-0.01,27,0.037802
-0.01,30,0.04192
-0.01,67,0.051124
-0.01,79,0.062029
-0.01,34,0.066758
-0.01,13,0.068549
1.0,40,0.074047
-0.01,155,0.095457
-0.01,82,0.106784
-0.01,137,0.125666
1.0,88,0.137809
-0.01,79,0.148695
-0.01,33,0.153243
-0.01,29,0.157239
1.0,103,0.171379
-0.01,52,0.178548
-0.01,55,0.186116
-0.01,65,0.195045
-0.01,6,0.195871
-0.01,35,0.20068
-0.01,73,0.210693
-0.01,25,0.214127
1.0,125,0.231375
-0.01,47,0.237835
-0.01,9,0.239078
-0.01,32,0.243458
1.0,50,0.250287
-0.01,110,0.265456
-0.01,114,0.28119
-0.01,273,0.318704
1.0,111,0.334067
-0.01,38,0.339291
-0.01,43,0.345184
-0.01,452,0.407475
-0.01,181,0.432554
-0.01,22,0.43562
-0.01,76,0.446147
-0.01,386,0.499665
-0.01,5,0.500365
-0.01,25,0.503831
-0.01,453,0.56668
-0.01,215,0.596582
1.0,99,0.610479
-0.01,16,0.612699
-0.01,30,0.616854
-0.01,312,0.660141
1.0,41,0.66583
1.0,470,0.730878
-0.01,136,0.749724
-0.01,92,0.762482
-0.01,23,0.765678
-0.01,158,0.787583
-0.01,702,0.884906
-0.01,158,0.90669
1.0,66,0.915785
-0.01,24,0.919106
-0.01,179,0.943903
-0.01,88,0.956096
1.0,32,0.960526
1.0,116,0.976598
-0.01,199,1.004014
-0.01,108,1.018984
-0.01,26,1.022583
-0.01,38,1.027841
-0.01,17,1.03019
-0.01,443,1.09167
1.0,28,1.095555
1.0,151,1.116483
-0.01,556,1.193714
-0.01,214,1.223346
-0.01,4,1.223907
-0.01,46,1.230271
-0.01,38,1.235537
-0.01,127,1.253112
1.0,17,1.25547
-0.01,40,1.261008
-0.01,225,1.292207
-0.01,961,1.434291
1.0,12,1.436272
-0.01,102,1.450502
-0.01,289,1.490683
-0.01,647,1.581078
1.0,11,1.582621
-0.01,64,1.591523
-0.01,88,1.604094
-0.01,14,1.606074
1.0,14,1.608027
-0.01,60,1.616365
-0.01,189,1.64262
-0.01,57,1.650566
1.0,12,1.652236
-0.01,34,1.656966
-0.01,145,1.677162
-0.01,119,1.693681
-0.01,2,1.693967
1.0,129,1.711869
-0.01,80,1.723015
-0.01,99,1.736797
1.0,12,1.738496
-0.01,117,1.754796
-0.01,51,1.761908
-0.01,48,1.768574
1.0,11,1.770107
-0.01,53,1.777464
-0.01,678,1.872139
-0.01,322,1.916922
1.0,12,1.918595
-0.01,30,1.922764
-0.01,17,1.925132
-0.01,217,1.955357
1.0,12,1.95703
-0.01,76,1.9676
-0.01,20,1.970386
-0.01,252,2.005329
1.0,11,2.006864
1.0,77,2.017551
-0.01,210,2.046697
-0.01,32,2.051142
1.0,13,2.052949
1.0,60,2.061275
-0.01,2,2.061558
-0.01,41,2.067268
1.0,14,2.069207
1.0,86,2.081159
-0.01,38,2.086428
-0.01,13,2.088234
1.0,11,2.089763
-0.01,78,2.100593
-0.01,386,2.154303
-0.01,298,2.195773
1.0,11,2.197309
1.0,103,2.211631
-0.01,2,2.211916
-0.01,279,2.250732
1.0,12,2.252404
1.0,68,2.261842
-0.01,103,2.276158
-0.01,45,2.282401
1.0,12,2.284074
1.0,54,2.291604
-0.01,406,2.348144
-0.01,410,2.405268
-0.01,6,2.406108
-0.01,33,2.410706
-0.01,135,2.429429
-0.01,19,2.432077
1.0,14,2.434022
1.0,115,2.449943
-0.01,164,2.472795
-0.01,33,2.4774
1.0,12,2.479065
1.0,28,2.482972
-0.01,88,2.495205
-0.01,123,2.5123
1.0,13,2.514107
-0.01,19,2.516747
-0.01,181,2.54186
-0.01,184,2.567328
1.0,11,2.568858
-0.01,45,2.575111
-0.01,228,2.607199
-0.01,446,2.669335
1.0,15,2.671432
1.0,57,2.679333
-0.01,161,2.70175
-0.01,148,2.7223
1.0,12,2.723967
1.0,34,2.728734
-0.01,40,2.734302
-0.01,39,2.739732
1.0,11,2.74126
1.0,51,2.748348
-0.01,596,2.831839
-0.01,274,2.870048
1.0,13,2.87187
-0.01,7,2.872844
-0.01,61,2.881317
-0.01,454,2.944769
-0.01,6,2.945629
1.0,24,2.948978
-0.01,82,2.960314
-0.01,21,2.963236
1.0,11,2.964766
1.0,27,2.968523
-0.01,348,3.016945
-0.01,32,3.021404
1.0,16,3.023624
1.0,23,3.02683
-0.01,234,3.059356
-0.01,648,3.149544
1.0,11,3.151083
1.0,23,3.154282
-0.01,46,3.160669
-0.01,625,3.247624
1.0,11,3.249164
-0.01,6,3.250004
-0.01,189,3.276283
-0.01,79,3.287255
1.0,11,3.288788
1.0,26,3.292412
-0.01,60,3.300743
-0.01,120,3.317389
1.0,13,3.319217
1.0,25,3.322698
-0.01,107,3.337527
-0.01,702,3.435332
1.0,14,3.437283
1.0,24,3.440632
-0.01,136,3.459544
-0.01,397,3.514647
-0.01,11,3.516207
1.0,23,3.519407
-0.01,30,3.523572
-0.01,63,3.532304
1.0,13,3.534113
1.0,33,3.538699
-0.01,50,3.545637
-0.01,28,3.549517
1.0,13,3.551327
1.0,27,3.555086
-0.01,539,3.630335
-0.01,648,3.720539
1.0,15,3.722628
1.0,24,3.725963
-0.01,51,3.73303
-0.01,35,3.73788
1.0,15,3.739969
-0.01,17,3.742331
-0.01,132,3.760644
-0.01,250,3.795422
1.0,11,3.796958
1.0,26,3.800575
-0.01,162,3.823092
-0.01,234,3.855649
1.0,11,3.857187
1.0,25,3.860677
-0.01,258,3.896578
-0.01,37,3.90174
1.0,11,3.903274
1.0,27,3.907038
-0.01,106,3.921787
-0.01,428,3.981449
1.0,15,3.983553
-0.01,14,3.985501
-0.01,455,4.048912
-0.01,60,4.057272
1.0,11,4.058802
-0.01,6,4.059646
-0.01,22,4.062695
-0.01,255,4.098207
1.0,13,4.100024
1.0,27,4.103788
-0.01,63,4.112564
-0.01,256,4.14809
-0.01,13,4.149906
1.0,23,4.153105
-0.01,191,4.179692
-0.01,38,4.185061
1.0,13,4.186864
1.0,27,4.190633
-0.01,513,4.262252
-0.01,453,4.32552
