#{"t_start": 1717170546.767583, "env_id": "Office-single-v0"}
r,l,t
-0.01,7,0.001515
-0.01,26,0.005169
-0.01,46,0.01116
-0.01,13,0.012875
-0.01,4,0.013424
-0.01,60,0.02078
-0.01,15,0.02263
-0.01,95,0.033769
-0.01,20,0.036134
-0.01,48,0.041653
-0.01,2,0.041903
-0.01,34,0.045849
-0.01,121,0.059829
-0.01,31,0.063422
-0.01,13,0.064925
-0.01,171,0.084367
-0.01,9,0.0854
-0.01,32,0.089065
-0.01,45,0.094228
-0.01,59,0.100981
-0.01,83,0.110425
-0.01,96,0.121462
-0.01,28,0.124683
-0.01,128,0.139312
-0.01,74,0.147759
-0.01,124,0.161929
-0.01,4,0.162409
-0.01,32,0.16553
-0.01,104,0.177427
-0.01,43,0.182344
-0.01,11,0.183608
-0.01,88,0.193635
-0.01,20,0.195943
-0.01,13,0.197442
-0.01,77,0.206248
-0.01,38,0.210639
-0.01,196,0.232803
-0.01,41,0.237532
-0.01,45,0.24271
-0.01,61,0.24973
-0.01,270,0.280521
-0.01,19,0.28272
-0.01,426,0.330328
-0.01,313,0.366058
-0.01,24,0.368807
-0.01,6,0.369507
-0.01,211,0.393469
-0.01,6,0.394193
-0.01,73,0.40256
-0.01,40,0.407142
-0.01,266,0.437205
-0.01,78,0.446115
-0.01,17,0.448084
-0.01,88,0.457993
-0.01,31,0.461536
-0.01,79,0.470359
-0.01,36,0.474496
-0.01,131,0.488766
-0.01,69,0.496671
-0.01,159,0.514829
-0.01,35,0.518514
-0.01,15,0.520225
-0.01,32,0.523904
-0.01,8,0.524824
-0.01,781,0.612925
-0.01,217,0.637778
-0.01,115,0.650919
-0.01,184,0.670983
-0.01,31,0.67452
-0.01,95,0.684989
-0.01,74,0.693362
-0.01,21,0.695758
-0.01,20,0.698061
-0.01,33,0.701816
-0.01,8,0.702735
-0.01,27,0.705798
-0.01,126,0.72016
-0.01,127,0.734614
-0.01,34,0.738472
-0.01,57,0.74476
-0.01,27,0.747861
-0.01,101,0.758992
-0.01,147,0.775728
-0.01,54,0.781878
-0.01,36,0.785991
-0.01,251,0.814096
-0.01,21,0.816483
-0.01,179,0.83682
-0.01,25,0.839584
-0.01,57,0.845861
-0.01,21,0.848287
-0.01,196,0.870519
-0.01,30,0.873952
-0.01,48,0.879442
-0.01,662,0.954423
-0.01,240,0.981578
-0.01,89,0.991577
-0.01,37,0.995695
-0.01,10,0.99685
-0.01,17,0.998792
-0.01,74,1.007022
-0.01,27,1.010084
-0.01,97,1.02123
-0.01,47,1.026429
-0.01,162,1.044621
-0.01,48,1.049936
-0.01,14,1.051506
-0.01,116,1.064741
-0.01,113,1.077622
-0.01,305,1.111832
-0.01,266,1.150457
-0.01,133,1.166347
-0.01,109,1.178852
-0.01,4,1.179359
-0.01,31,1.182987
-0.01,27,1.186383
-0.01,35,1.190495
-0.01,374,1.233263
-0.01,41,1.238011
-0.01,78,1.24704
-0.01,126,1.261629
-0.01,239,1.289202
-0.01,21,1.291648
-0.01,213,1.316057
-0.01,57,1.322644
-0.01,126,1.336721
-0.01,40,1.341295
-0.01,2,1.341547
-0.01,293,1.375403
-0.01,31,1.378993
-0.01,21,1.381423
-0.01,131,1.396412
-0.01,4,1.396889
-0.01,28,1.400127
-0.01,41,1.404894
-0.01,68,1.412706
-0.01,77,1.421642
-0.01,121,1.435681
-0.01,55,1.442073
-0.01,85,1.451769
-0.01,98,1.463107
-0.01,28,1.466366
-0.01,49,1.472035
-0.01,50,1.477897
-0.01,71,1.486124
-0.01,60,1.493045
-0.01,2,1.493299
-0.01,4,1.493779
-0.01,74,1.502314
-0.01,69,1.510286
-0.01,76,1.519066
-0.01,87,1.529062
-0.01,59,1.535904
-0.01,2,1.53616
-0.01,46,1.541486
-0.01,104,1.553497
-0.01,20,1.55582
-0.01,74,1.564259
-0.01,33,1.567437
-0.01,50,1.573196
-0.01,108,1.585775
-0.01,52,1.59169
-0.01,54,1.597876
-0.01,71,1.606103
-0.01,4,1.606585
-0.01,65,1.614092
-0.01,37,1.618355
-0.01,5,1.618949
-0.01,65,1.626467
-0.01,56,1.632917
-0.01,30,1.636429
-0.01,47,1.641895
-0.01,57,1.648513
-0.01,47,1.653924
-0.01,42,1.658734
-0.01,8,1.659669
-0.01,54,1.665958
-0.01,53,1.67208
-0.01,17,1.674069
-0.01,18,1.676175
-0.01,93,1.687029
-0.01,61,1.694013
-0.01,56,1.700453
-0.01,35,1.704401
-0.01,41,1.709084
-0.01,87,1.719124
-0.01,16,1.720991
-0.01,70,1.729099
-0.01,74,1.737669
-0.01,65,1.745187
-0.01,72,1.753547
-0.01,38,1.757884
-0.01,15,1.759626
-0.01,165,1.777646
-0.01,53,1.783738
-0.01,31,1.787287
-0.01,19,1.789507
-0.01,31,1.793104
-0.01,2,1.793355
-0.01,41,1.798057
-0.01,11,1.79934
-0.01,12,1.800739
-0.01,27,1.803874
-0.01,63,1.811128
-0.01,41,1.815762
-0.01,82,1.825218
-0.01,33,1.829007
-0.01,32,1.832676
-0.01,2,1.832925
-0.01,37,1.837173
-0.01,36,1.841316
-0.01,28,1.844564
-0.01,25,1.847479
-0.01,35,1.851485
-0.01,38,1.855895
-0.01,8,1.856834
-0.01,43,1.861742
-0.01,2,1.861982
-0.01,6,1.862691
-0.01,36,1.866824
-0.01,23,1.869486
-0.01,46,1.874765
-0.01,34,1.878688
