#{"t_start": 1717167762.990552, "env_id": "Office-v0"}
r,l,t
-0.01,4,0.001635
-0.01,6,0.003722
-0.01,77,0.026668
-0.01,8,0.028981
-0.01,25,0.035941
-0.01,11,0.038946
-0.01,9,0.041432
-0.01,58,0.05741
-0.01,2,0.057983
-0.01,18,0.063006
-0.01,25,0.069951
-0.01,25,0.076838
-0.01,6,0.07847
-0.01,55,0.093623
-0.01,63,0.110879
-0.01,2,0.11145
-0.01,41,0.122663
-0.01,9,0.125116
-0.01,52,0.139357
-0.01,142,0.178035
-0.01,2,0.178609
-0.01,41,0.189824
-0.01,65,0.20773
-0.01,2,0.2083
-0.01,125,0.242376
-0.01,4,0.243506
-0.01,5,0.244895
-0.01,57,0.260652
-0.01,4,0.261756
-0.01,20,0.267352
-0.01,109,0.297454
-0.01,2,0.298025
-0.01,196,0.350876
-0.01,57,0.366771
-0.01,63,0.384306
-0.01,153,0.427326
-0.01,2,0.4279
-0.01,29,0.435882
-0.01,44,0.447223
-0.01,2,0.447787
-0.01,75,0.468161
-0.01,12,0.471496
-0.01,6,0.473162
-0.01,64,0.490844
-0.01,2,0.491404
-0.01,182,0.541493
-0.01,13,0.545134
-0.01,2,0.545713
1.0,95,0.571333
-0.01,16,0.575693
-0.01,11,0.578721
-0.01,183,0.62891
-0.01,2,0.629487
-0.01,89,0.653961
-0.01,23,0.660294
-0.01,199,0.715182
1.0,173,0.762696
-0.01,477,0.894674
-0.01,4,0.895838
-0.01,2,0.896406
-0.01,55,0.911645
-0.01,360,1.01103
-0.01,12,1.014377
-0.01,40,1.025559
-0.01,122,1.058416
-0.01,11,1.061528
-0.01,214,1.120496
-0.01,76,1.141559
-0.01,79,1.163707
-0.01,8,1.165969
-0.01,787,1.383049
-0.01,308,1.468255
-0.01,16,1.472745
-0.01,148,1.514055
-0.01,4,1.515192
1.0,70,1.534576
-0.01,2,1.535152
-0.01,5,1.536539
-0.01,27,1.544028
-0.01,42,1.55572
-0.01,111,1.585383
-0.01,35,1.595158
-0.01,4,1.596276
-0.01,166,1.642242
-0.01,4,1.643371
-0.01,165,1.688959
-0.01,40,1.699348
-0.01,532,1.846405
-0.01,52,1.860737
-0.01,385,1.967762
-0.01,4,1.968876
-0.01,209,2.026592
-0.01,16,2.031086
-0.01,2,2.031659
-0.01,238,2.096007
-0.01,638,2.272431
-0.01,65,2.29022
-0.01,24,2.296841
-0.01,6,2.298501
-0.01,1472,2.703511
-0.01,191,2.755506
-0.01,161,2.808517
-0.01,37,2.819329
-0.01,84,2.842936
-0.01,59,2.859451
-0.01,13,2.863123
-0.01,4,2.86424
-0.01,2,2.864813
-0.01,37,2.875229
-0.01,253,2.946033
-0.01,155,2.989073
-0.01,235,3.054887
-0.01,27,3.062543
-0.01,33,3.071744
-0.01,12,3.075135
-0.01,2,3.075703
-0.01,114,3.107196
-0.01,16,3.11159
-0.01,138,3.149502
-0.01,421,3.267231
-0.01,116,3.299758
-0.01,138,3.338376
-0.01,18,3.343388
-0.01,116,3.37604
