#{"t_start": 1717166544.07213, "env_id": "Office-single-v0"}
r,l,t
-0.01,2,0.000726
-0.01,59,0.008223
-0.01,7,0.009099
-0.01,6,0.009838
-0.01,13,0.011408
-0.01,44,0.016668
-0.01,37,0.020779
-0.01,70,0.028473
-0.01,22,0.030856
-0.01,11,0.032046
-0.01,147,0.047552
-0.01,22,0.049925
-0.01,20,0.052053
-0.01,120,0.064668
-0.01,51,0.07013
-0.01,131,0.083888
-0.01,22,0.086211
-0.01,38,0.09019
-0.01,106,0.100936
-0.01,10,0.101992
-0.01,35,0.105696
-0.01,121,0.11845
-0.01,100,0.128968
-0.01,88,0.138211
-0.01,14,0.139698
-0.01,66,0.14664
-0.01,77,0.154796
-0.01,23,0.15724
-0.01,9,0.1582
-0.01,8,0.159052
-0.01,130,0.172747
-0.01,6,0.173402
-0.01,85,0.182283
-0.01,38,0.186279
-0.01,125,0.199479
-0.01,34,0.203092
-0.01,165,0.22061
-0.01,64,0.227358
-0.01,427,0.27167
-0.01,666,0.340955
-0.01,282,0.369838
-0.01,48,0.374894
-0.01,734,0.451376
-0.01,372,0.489206
-0.01,502,0.542062
-0.01,58,0.54819
-0.01,87,0.557331
-0.01,158,0.574026
-0.01,19,0.576052
-0.01,101,0.586671
-0.01,14,0.588159
-0.01,6,0.588792
-0.01,2,0.58902
-0.01,19,0.591019
-0.01,501,0.642553
-0.01,270,0.670761
-0.01,122,0.683564
-0.01,54,0.689188
-0.01,161,0.706056
-0.01,115,0.718122
-0.01,83,0.726859
-0.01,246,0.75276
-0.01,29,0.755816
-0.01,125,0.76781
-0.01,222,0.790994
-0.01,2,0.791237
-0.01,72,0.798788
-0.01,55,0.804566
-0.01,125,0.817694
-0.01,133,0.831673
-0.01,510,0.883862
-0.01,229,0.907976
-0.01,47,0.912862
-0.01,36,0.916663
-0.01,123,0.92939
-0.01,111,0.941059
-0.01,139,0.955741
-0.01,211,0.977902
-0.01,143,0.992925
-0.01,35,0.996195
-0.01,87,1.004645
-0.01,2,1.004875
-0.01,43,1.008958
-0.01,49,1.014112
-0.01,16,1.015779
-0.01,12,1.016968
-0.01,22,1.019251
-0.01,289,1.057317
-0.01,46,1.062754
-0.01,12,1.064019
-0.01,77,1.072153
-0.01,27,1.0751
-0.01,12,1.076358
-0.01,13,1.07773
-0.01,198,1.098517
-0.01,44,1.103162
-0.01,13,1.104527
-0.01,11,1.105681
-0.01,11,1.106856
-0.01,32,1.110239
-0.01,210,1.132009
-0.01,78,1.140233
-0.01,120,1.152891
-0.01,192,1.173068
-0.01,75,1.18099
-0.01,173,1.199125
-0.01,90,1.208614
-0.01,141,1.223254
-0.01,55,1.228993
-0.01,92,1.238633
-0.01,49,1.243818
-0.01,75,1.251682
-0.01,114,1.263692
-0.01,49,1.268923
-0.01,67,1.276018
-0.01,151,1.291859
-0.01,77,1.299908
-0.01,64,1.306626
-0.01,93,1.316404
-0.01,60,1.322773
-0.01,29,1.325849
-0.01,122,1.338694
-0.01,67,1.345325
-0.01,15,1.346934
-0.01,54,1.352511
-0.01,85,1.361239
-0.01,99,1.371585
-0.01,274,1.399589
-0.01,87,1.408702
-0.01,105,1.419784
-0.01,74,1.427438
-0.01,164,1.444521
-0.01,2,1.444743
-0.01,53,1.45033
-0.01,111,1.461949
-0.01,47,1.466869
-0.01,51,1.472223
-0.01,48,1.477262
-0.01,127,1.490559
-0.01,83,1.499282
-0.01,106,1.510289
-0.01,48,1.515602
-0.01,62,1.522187
-0.01,49,1.527381
-0.01,26,1.530145
-0.01,13,1.531519
-0.01,31,1.534726
-0.01,67,1.541782
-0.01,44,1.546404
-0.01,50,1.551634
-0.01,8,1.552494
-0.01,50,1.557767
-0.01,30,1.560946
-0.01,44,1.56556
-0.01,102,1.576135
-0.01,57,1.582114
-0.01,42,1.586444
-0.01,10,1.587522
-0.01,102,1.598118
-0.01,29,1.601079
-0.01,110,1.612561
-0.01,13,1.613877
-0.01,62,1.620293
-0.01,65,1.627132
-0.01,54,1.632839
-0.01,38,1.636782
-0.01,45,1.641466
-0.01,4,1.641904
-0.01,43,1.646428
-0.01,53,1.651981
-0.01,25,1.654638
-0.01,45,1.659308
-0.01,57,1.665303
-0.01,56,1.671228
-0.01,25,1.673899
-0.01,18,1.675827
-0.01,14,1.677323
-0.01,40,1.68138
-0.01,16,1.683076
-0.01,107,1.694328
-0.01,77,1.702396
-0.01,48,1.707417
-0.01,102,1.717971
-0.01,7,1.71873
-0.01,41,1.723063
-0.01,63,1.729636
-0.01,54,1.735336
-0.01,35,1.738995
-0.01,6,1.739634
-0.01,19,1.741577
-0.01,63,1.748085
-0.01,38,1.752048
-0.01,31,1.755235
-0.01,39,1.75931
-0.01,14,1.760719
-0.01,35,1.764331
-0.01,39,1.768399
-0.01,29,1.771441
-0.01,49,1.776526
-0.01,51,1.781818
-0.01,46,1.786647
-0.01,35,1.790236
-0.01,7,1.790988
-0.01,21,1.793223
-0.01,22,1.795566
-0.01,39,1.799603
-0.01,46,1.804413
-0.01,10,1.805483
-0.01,10,1.806542
-0.01,13,1.807893
-0.01,4,1.808317
-0.01,2,1.808543
-0.01,69,1.815763
-0.01,56,1.821535
-0.01,33,1.824977
-0.01,10,1.82605
-0.01,30,1.829191
-0.01,32,1.832534
-0.01,17,1.834348
-0.01,2,1.834576
-0.01,32,1.837921
-0.01,97,1.848171
-0.01,32,1.851507
-0.01,30,1.854641
-0.01,30,1.857781
-0.01,32,1.861113
-0.01,44,1.865747
-0.01,32,1.869093
-0.01,36,1.872823
-0.01,47,1.877788
-0.01,29,1.880842
-0.01,34,1.884379
-0.01,16,1.886092
-0.01,31,1.889321
-0.01,2,1.889549
-0.01,36,1.89329
-0.01,34,1.896841
-0.01,28,1.899791
-0.01,32,1.903144
-0.01,32,1.906475
-0.01,65,1.913308
-0.01,47,1.918127
-0.01,38,1.922096
-0.01,5,1.922629
-0.01,33,1.926079
-0.01,32,1.929438
-0.01,32,1.932794
-0.01,34,1.936341
-0.01,27,1.939218
-0.01,31,1.942459
-0.01,33,1.945907
-0.01,31,1.949156
-0.01,34,1.952685
-0.01,32,1.956026
-0.01,2,1.956254
-0.01,30,1.959389
-0.01,35,1.963036
-0.01,33,1.966429
-0.01,31,1.969673
-0.01,34,1.973225
-0.01,19,1.975262
-0.01,31,1.978489
-0.01,34,1.982034
-0.01,31,1.985281
-0.01,8,1.98614
-0.01,30,1.989268
-0.01,61,1.995588
-0.01,32,1.998957
-0.01,30,2.002093
-0.01,32,2.005421
-0.01,36,2.009146
-0.01,17,2.010955
-0.01,14,2.012447
-0.01,37,2.016304
-0.01,30,2.019439
-0.01,4,2.019872
-0.01,32,2.023209
-0.01,45,2.027874
-0.01,32,2.03119
-0.01,8,2.032039
-0.01,34,2.035606
-0.01,30,2.038742
-0.01,42,2.043112
-0.01,32,2.046447
-0.01,16,2.048156
-0.01,30,2.051313
-0.01,32,2.054682
-0.01,4,2.055115
-0.01,30,2.058254
-0.01,42,2.062656
-0.01,31,2.065872
-0.01,30,2.069001
-0.01,32,2.072336
-0.01,18,2.074252
-0.01,32,2.077585
-0.01,20,2.07971
-0.01,32,2.083057
-0.01,34,2.086599
-0.01,36,2.090334
-0.01,178,2.109106
-0.01,25,2.111751
-0.01,18,2.113679
-0.01,38,2.117642
-0.01,36,2.121433
-0.01,31,2.124686
-0.01,35,2.128358
-0.01,39,2.13242
-0.01,37,2.136276
-0.01,39,2.14031
-0.01,36,2.144025
-0.01,39,2.148106
-0.01,39,2.152181
-0.01,31,2.155419
-0.01,34,2.158972
-0.01,35,2.162623
-0.01,23,2.165052
-0.01,39,2.169187
-0.01,31,2.172433
-0.01,32,2.175761
-0.01,30,2.178908
-0.01,32,2.182255
-0.01,34,2.185806
-0.01,73,2.193395
-0.01,61,2.199854
-0.01,34,2.203409
-0.01,12,2.204695
-0.01,32,2.208076
-0.01,56,2.213923
-0.01,51,2.219171
-0.01,11,2.220326
-0.01,31,2.223592
-0.01,47,2.228419
-0.01,29,2.231471
-0.01,37,2.235359
-0.01,30,2.238452
-0.01,33,2.241894
-0.01,30,2.244956
-0.01,31,2.24819
-0.01,38,2.252157
-0.01,21,2.25437
-0.01,31,2.257519
-0.01,37,2.261412
-0.01,6,2.262064
-0.01,32,2.265406
-0.01,43,2.269883
-0.01,17,2.271692
-0.01,32,2.275039
-0.01,2,2.275266
-0.01,25,2.277915
-0.01,25,2.280549
-0.01,35,2.284151
-0.01,5,2.284689
-0.01,2,2.284917
-0.01,2,2.285145
-0.01,57,2.29115
-0.01,11,2.292296
-0.01,17,2.294083
-0.01,6,2.294734
-0.01,40,2.298859
-0.01,32,2.302213
-0.01,27,2.305045
-0.01,35,2.308712
-0.01,19,2.310686
-0.01,32,2.314022
-0.01,32,2.317376
-0.01,35,2.321041
-0.01,6,2.321687
-0.01,33,2.325117
-0.01,35,2.328796
-0.01,35,2.332407
-0.01,30,2.335548
-0.01,33,2.339013
-0.01,35,2.342674
-0.01,2,2.342903
-0.01,7,2.343662
-0.01,33,2.347133
-0.01,4,2.347567
-0.01,29,2.350577
-0.01,36,2.354371
-0.01,34,2.357928
-0.01,37,2.361759
-0.01,30,2.364892
-0.01,33,2.368357
-0.01,30,2.371506
-0.01,31,2.374761
-0.01,29,2.377809
-0.01,36,2.381512
-0.01,8,2.382368
-0.01,19,2.38441
-0.01,23,2.386845
-0.01,34,2.390397
-0.01,4,2.390835
-0.01,12,2.392096
-0.01,31,2.395335
-0.01,32,2.398696
-0.01,7,2.399444
-0.01,31,2.402694
-0.01,11,2.403873
-0.01,2,2.4041
-0.01,34,2.407648
-0.01,36,2.411413
-0.01,32,2.414771
-0.01,34,2.41833
-0.01,39,2.422332
-0.01,32,2.425674
-0.01,34,2.429184
-0.01,33,2.432645
-0.01,11,2.433801
-0.01,13,2.435152
-0.01,32,2.438525
-0.01,14,2.439992
-0.01,4,2.440432
-0.01,38,2.444414
-0.01,31,2.447643
