#{"t_start": 1717163267.466602, "env_id": "Office-v0"}
r,l,t
-0.01,28,0.009128
-0.01,19,0.014823
-0.01,58,0.030882
-0.01,23,0.03708
-0.01,12,0.040319
-0.01,7,0.042159
-0.01,50,0.055419
-0.01,26,0.062333
-0.01,45,0.074164
-0.01,50,0.087343
-0.01,30,0.095275
1.0,61,0.111254
-0.01,31,0.119571
-0.01,27,0.126821
-0.01,59,0.142228
-0.01,131,0.177018
-0.01,84,0.19924
-0.01,89,0.222961
-0.01,97,0.248717
-0.01,99,0.275599
-0.01,8,0.277796
-0.01,37,0.287864
-0.01,75,0.308117
-0.01,15,0.312087
-0.01,107,0.340789
-0.01,9,0.343252
-0.01,9,0.345715
-0.01,125,0.379697
-0.01,2,0.380254
-0.01,42,0.391608
-0.01,67,0.409156
-0.01,19,0.414205
-0.01,44,0.425971
-0.01,95,0.451446
-0.01,17,0.456048
-0.01,55,0.470852
-0.01,37,0.480837
-0.01,27,0.488075
-0.01,11,0.491046
-0.01,14,0.494775
-0.01,251,0.561396
-0.01,84,0.583891
-0.01,8,0.586061
-0.01,11,0.589035
-0.01,16,0.593339
-0.01,26,0.600351
-0.01,19,0.605413
-0.01,13,0.608879
-0.01,13,0.612398
-0.01,4,0.613482
-0.01,91,0.637251
-0.01,74,0.657273
-0.01,9,0.659745
-0.01,125,0.693451
-0.01,38,0.703338
-0.01,2,0.703883
1.0,198,0.755941
-0.01,88,0.779803
-0.01,11,0.782791
-0.01,719,0.972142
-0.01,4,0.973261
-0.01,189,1.02377
-0.01,85,1.046449
-0.01,2,1.047004
-0.01,2,1.047553
-0.01,7,1.049436
-0.01,4,1.05051
-0.01,18,1.055354
1.0,377,1.156539
-0.01,2,1.157093
-0.01,676,1.336063
-0.01,158,1.377737
-0.01,296,1.455442
-0.01,26,1.462537
-0.01,35,1.472054
-0.01,341,1.563584
-0.01,2,1.564157
-0.01,244,1.629297
-0.01,4,1.630403
-0.01,10,1.633127
-0.01,37,1.643077
-0.01,2,1.643629
-0.01,43,1.655223
-0.01,2,1.65578
-0.01,139,1.693292
-0.01,65,1.71085
-0.01,4,1.711932
1.0,110,1.741488
-0.01,2,1.74204
-0.01,146,1.781656
-0.01,240,1.845386
1.0,38,1.855695
-0.01,17,1.860312
-0.01,32,1.868985
-0.01,39,1.87945
-0.01,17,1.884158
-0.01,169,1.929522
-0.01,2,1.930095
-0.01,199,1.983549
1.0,46,1.996007
-0.01,28,2.003568
-0.01,2,2.004119
-0.01,331,2.093243
1.0,27,2.100488
-0.01,34,2.10966
-0.01,87,2.133125
-0.01,146,2.171686
1.0,58,2.187216
-0.01,10,2.189939
-0.01,16,2.194284
-0.01,34,2.20331
1.0,24,2.209722
-0.01,2,2.210261
-0.01,12,2.213504
-0.01,103,2.241288
1.0,30,2.24936
1.0,59,2.265364
-0.01,148,2.30509
-0.01,19,2.31015
-0.01,12,2.31338
-0.01,7,2.315284
-0.01,169,2.3608
-0.01,210,2.41768
1.0,13,2.421158
-0.01,23,2.427405
-0.01,239,2.492089
-0.01,61,2.507934
1.0,11,2.510875
1.0,140,2.548599
-0.01,42,2.560001
-0.01,12,2.563247
1.0,15,2.567267
1.0,217,2.624795
-0.01,13,2.628293
-0.01,143,2.666611
1.0,29,2.674412
-0.01,44,2.695112
-0.01,13,2.699618
-0.01,14,2.703505
-0.01,4,2.704619
-0.01,43,2.716213
-0.01,11,2.719392
-0.01,41,2.730559
-0.01,4,2.731664
-0.01,64,2.748971
-0.01,94,2.774486
-0.01,14,2.778303
-0.01,4,2.779397
-0.01,88,2.803363
-0.01,13,2.806888
-0.01,2,2.807441
1.0,13,2.810935
1.0,155,2.853049
-0.01,103,2.880857
-0.01,123,2.913951
1.0,14,2.917715
1.0,77,2.938511
-0.01,12,2.94167
-0.01,4,2.942763
1.0,11,2.945704
1.0,65,2.963047
-0.01,45,2.975395
-0.01,12,2.978687
1.0,11,2.981618
1.0,151,3.021877
-0.01,17,3.026165
-0.01,56,3.041221
1.0,11,3.044176
1.0,83,3.066405
-0.01,13,3.069884
-0.01,15,3.073936
1.0,13,3.07743
1.0,66,3.095244
-0.01,6,3.09688
-0.01,315,3.180995
1.0,12,3.184218
-0.01,2,3.18477
-0.01,11,3.18772
-0.01,2,3.18828
1.0,11,3.191242
1.0,77,3.212083
-0.01,17,3.216662
-0.01,6,3.218292
-0.01,9,3.220755
-0.01,45,3.23281
-0.01,13,3.236272
-0.01,57,3.251637
-0.01,6,3.253283
-0.01,2,3.253836
-0.01,188,3.305002
-0.01,10,3.307745
1.0,11,3.310671
1.0,92,3.335425
-0.01,87,3.358961
-0.01,4,3.360056
1.0,13,3.363553
-0.01,33,3.372561
-0.01,2,3.373138
-0.01,67,3.391267
1.0,16,3.395526
1.0,100,3.422341
-0.01,164,3.466666
-0.01,64,3.484016
-0.01,2,3.484558
-0.01,2,3.485109
-0.01,28,3.492693
-0.01,2,3.493246
1.0,13,3.496737
1.0,37,3.506626
-0.01,89,3.530533
-0.01,75,3.550719
1.0,13,3.554207
1.0,83,3.576745
-0.01,6,3.578388
-0.01,4,3.579466
-0.01,7,3.581364
-0.01,33,3.590263
-0.01,17,3.59486
-0.01,58,3.610537
1.0,19,3.61563
-0.01,38,3.625936
-0.01,11,3.628937
-0.01,2,3.629487
1.0,11,3.632422
-0.01,22,3.638398
-0.01,113,3.668594
-0.01,86,3.691708
-0.01,2,3.692263
-0.01,12,3.695532
-0.01,19,3.700715
-0.01,14,3.704525
1.0,11,3.70745
-0.01,4,3.708542
-0.01,91,3.733295
-0.01,54,3.747967
1.0,12,3.751184
1.0,114,3.782075
-0.01,34,3.791241
-0.01,35,3.800596
1.0,11,3.803536
1.0,36,3.813215
-0.01,26,3.820253
-0.01,78,3.841061
1.0,11,3.844004
1.0,57,3.859597
-0.01,23,3.865855
-0.01,57,3.881377
1.0,11,3.88431
-0.01,7,3.886223
-0.01,49,3.899569
-0.01,33,3.908274
-0.01,4,3.909361
-0.01,90,3.933297
-0.01,144,3.972322
-0.01,33,3.981272
1.0,11,3.984206
1.0,59,4.000059
-0.01,66,4.017895
-0.01,28,4.025462
1.0,12,4.028681
-0.01,4,4.029765
-0.01,119,4.061922
-0.01,39,4.072468
1.0,17,4.077002
1.0,93,4.101805
-0.01,39,4.112309
-0.01,48,4.124977
1.0,13,4.128457
1.0,33,4.137285
-0.01,89,4.16145
-0.01,41,4.17254
1.0,12,4.17575
-0.01,11,4.17873
-0.01,39,4.189264
-0.01,41,4.200368
1.0,11,4.203294
1.0,42,4.214519
-0.01,35,4.223938
-0.01,66,4.241738
1.0,11,4.244672
-0.01,2,4.24522
-0.01,32,4.253808
-0.01,25,4.260521
-0.01,2,4.261064
1.0,66,4.278428
-0.01,28,4.286023
-0.01,39,4.296618
1.0,11,4.299564
1.0,52,4.313523
-0.01,2,4.314078
-0.01,73,4.333715
1.0,13,4.33718
-0.01,2,4.337728
-0.01,76,4.358063
-0.01,30,4.366143
1.0,15,4.370156
-0.01,23,4.376361
-0.01,53,4.390652
-0.01,30,4.398688
-0.01,2,4.399238
1.0,27,4.406522
-0.01,46,4.418854
-0.01,27,4.426107
1.0,11,4.429079
-0.01,2,4.42963
-0.01,41,4.440452
-0.01,27,4.447779
1.0,11,4.450724
-0.01,6,4.452343
-0.01,31,4.460763
-0.01,25,4.467465
-0.01,2,4.468006
1.0,98,4.494509
-0.01,19,4.499679
-0.01,32,4.508366
1.0,15,4.512356
1.0,46,4.524605
-0.01,6,4.52623
-0.01,4,4.527303
-0.01,7,4.529203
1.0,27,4.536494
-0.01,57,4.551679
-0.01,4,4.552769
1.0,12,4.555907
1.0,57,4.5713
-0.01,37,4.581188
-0.01,2,4.581741
1.0,13,4.585215
1.0,28,4.592675
-0.01,34,4.601906
-0.01,29,4.609743
1.0,11,4.612674
1.0,28,4.620229
-0.01,60,4.636377
-0.01,27,4.643689
1.0,11,4.646634
-0.01,50,4.66017
-0.01,45,4.672108
-0.01,11,4.675055
1.0,14,4.678789
-0.01,17,4.683456
-0.01,54,4.697841
-0.01,25,4.704546
1.0,13,4.708029
1.0,44,4.719815
-0.01,11,4.722735
-0.01,27,4.72999
1.0,11,4.732927
1.0,25,4.739671
-0.01,35,4.749084
-0.01,27,4.756356
1.0,11,4.759299
-0.01,17,4.763898
-0.01,47,4.776464
-0.01,4,4.77754
1.0,12,4.780763
-0.01,37,4.790899
-0.01,33,4.799665
-0.01,25,4.806446
-0.01,12,4.809685
-0.01,13,4.813215
-0.01,37,4.823173
-0.01,26,4.830162
1.0,13,4.833627
1.0,25,4.840285
-0.01,41,4.851387
-0.01,30,4.859514
1.0,13,4.862982
1.0,45,4.875043
-0.01,28,4.882527
-0.01,19,4.887706
1.0,13,4.891176
1.0,23,4.897313
-0.01,33,4.906106
-0.01,25,4.912899
1.0,11,4.915916
1.0,30,4.923829
-0.01,38,4.934095
-0.01,29,4.94196
1.0,12,4.945166
