#{"t_start": 1717164765.874689, "env_id": "Office-single-v0"}
r,l,t
-0.01,7,0.000505
-0.01,15,0.0008
-0.01,5,0.000904
-0.01,58,0.001811
-0.01,17,0.00209
-0.01,43,0.002762
-0.01,25,0.003165
-0.01,33,0.003687
-0.01,25,0.004082
-0.01,4,0.004158
-0.01,88,0.005542
-0.01,41,0.006185
-0.01,61,0.007157
-0.01,85,0.00841
-0.01,27,0.008807
-0.01,34,0.009302
-0.01,31,0.009758
-0.01,97,0.011149
-0.01,43,0.011785
-0.01,35,0.012303
-0.01,101,0.013745
-0.01,15,0.013975
-0.01,106,0.015508
-0.01,59,0.016371
-0.01,26,0.016728
-0.01,190,0.019321
-0.01,113,0.020831
-0.01,12,0.021004
-0.01,84,0.022146
-0.01,69,0.023077
-0.01,30,0.023489
-0.01,29,0.023882
-0.01,65,0.024759
-0.01,82,0.025865
-0.01,74,0.026856
-0.01,107,0.028296
-0.01,68,0.029214
-0.01,77,0.030239
-0.01,104,0.03159
-0.01,54,0.032303
-0.01,43,0.032873
-0.01,42,0.033429
-0.01,10,0.033573
-0.01,17,0.033804
-0.01,78,0.034833
-0.01,64,0.035674
-0.01,102,0.036988
-0.01,39,0.037495
-0.01,36,0.037964
-0.01,68,0.038837
-0.01,134,0.04054
-0.01,70,0.04144
-0.01,67,0.042303
-0.01,17,0.042531
-0.01,222,0.045364
-0.01,21,0.045644
-0.01,4,0.045706
-0.01,81,0.046734
-0.01,42,0.047275
-0.01,37,0.047753
-0.01,124,0.049325
-0.01,126,0.05094
-0.01,58,0.051685
-0.01,57,0.052413
-0.01,99,0.053686
-0.01,89,0.054812
-0.01,44,0.055411
-0.01,69,0.056309
-0.01,281,0.059881
-0.01,111,0.061301
-0.01,8,0.061414
-0.01,99,0.06268
-0.01,7,0.062781
-0.01,134,0.064499
-0.01,14,0.064688
-0.01,200,0.067287
-0.01,51,0.067938
-0.01,460,0.073799
-0.01,17,0.074029
-0.01,149,0.075927
-0.01,89,0.077065
-0.01,42,0.077608
-0.01,16,0.077825
-0.01,25,0.078155
-0.01,81,0.079346
-0.01,133,0.081222
-0.01,101,0.082516
-0.01,247,0.08565
-0.01,187,0.088027
-0.01,22,0.08835
-0.01,7,0.088452
-0.01,9,0.088576
-0.01,389,0.093517
-0.01,228,0.096407
-0.01,10,0.096547
-0.01,33,0.096974
-0.01,64,0.097797
-0.01,128,0.09943
-0.01,2,0.099467
-0.01,60,0.100233
-0.01,296,0.103979
-0.01,64,0.104798
-0.01,56,0.105516
-0.01,256,0.108765
-0.01,162,0.110846
-0.01,127,0.112474
-0.01,106,0.113824
-0.01,305,0.117731
-0.01,237,0.120847
-0.01,59,0.121601
-0.01,288,0.125262
-0.01,132,0.126955
-0.01,194,0.129441
-0.01,120,0.130966
-0.01,16,0.131179
-0.01,174,0.141208
-0.01,54,0.142082
-0.01,262,0.14554
-0.01,107,0.146967
-0.01,25,0.147309
-0.01,70,0.148253
-0.01,218,0.151106
-0.01,136,0.152892
-0.01,149,0.154835
-0.01,170,0.157063
-0.01,191,0.159556
-0.01,4,0.159623
-0.01,31,0.160032
-0.01,221,0.162895
-0.01,108,0.164294
-0.01,259,0.16767
-0.01,30,0.168064
-0.01,231,0.171015
-0.01,90,0.172168
-0.01,299,0.176001
-0.01,39,0.176536
-0.01,203,0.179154
-0.01,314,0.183152
-0.01,11,0.183303
-0.01,76,0.184299
-0.01,39,0.184804
-0.01,344,0.189187
-0.01,141,0.190991
-0.01,140,0.192792
-0.01,291,0.196522
-0.01,105,0.197868
-0.01,34,0.198313
-0.01,6,0.1984
-0.01,17,0.198628
-0.01,56,0.199349
-0.01,25,0.199679
-0.01,210,0.202361
-0.01,73,0.203302
-0.01,35,0.203778
-0.01,92,0.204959
-0.01,127,0.20659
-0.01,122,0.20815
-0.01,88,0.209281
-0.01,235,0.212294
-0.01,98,0.213561
-0.01,39,0.214066
-0.01,83,0.215137
-0.01,192,0.217615
-0.01,20,0.217878
-0.01,228,0.220852
-0.01,242,0.223934
-0.01,8,0.224048
-0.01,4,0.22411
-0.01,164,0.226198
-0.01,197,0.228716
-0.01,53,0.229399
-0.01,38,0.229899
-0.01,6,0.229986
-0.01,33,0.230414
-0.01,80,0.23144
-0.01,79,0.232456
-0.01,7,0.232557
-0.01,301,0.23639
-0.01,25,0.23672
-0.01,437,0.242252
-0.01,94,0.243451
-0.01,8,0.243563
-0.01,27,0.243916
-0.01,404,0.249044
-0.01,18,0.249286
-0.01,177,0.251584
-0.01,250,0.254779
-0.01,220,0.257584
-0.01,236,0.26058
-0.01,37,0.261056
-0.01,39,0.261566
-0.01,54,0.262253
-0.01,79,0.263258
-0.01,170,0.265422
-0.01,24,0.265739
-0.01,208,0.268377
-0.01,15,0.268581
-0.01,193,0.271318
-0.01,174,0.273542
-0.01,144,0.275392
-0.01,2,0.275432
-0.01,33,0.275862
-0.01,192,0.278331
-0.01,45,0.278918
-0.01,186,0.28128
-0.01,355,0.285845
-0.01,103,0.287215
-0.01,63,0.288034
-0.01,285,0.291666
-0.01,169,0.293838
-0.01,30,0.294243
-0.01,122,0.295805
-0.01,161,0.297863
-0.01,123,0.299444
-0.01,28,0.299819
-0.01,114,0.301303
-0.01,204,0.303903
-0.01,106,0.305291
-0.01,56,0.306017
-0.01,16,0.306229
-0.01,195,0.308719
-0.01,185,0.311097
-0.01,456,0.316885
-0.01,388,0.321822
-0.01,213,0.324556
-0.01,193,0.32704
-0.01,335,0.331305
-0.01,350,0.33578
-0.01,13,0.335963
-0.01,379,0.34079
-0.01,38,0.341285
-0.01,121,0.342828
-0.01,37,0.343321
-0.01,62,0.344109
-0.01,174,0.346322
-0.01,28,0.346688
-0.01,37,0.347168
-0.01,102,0.348464
-0.01,430,0.353936
-0.01,462,0.35979
-0.01,467,0.365739
-0.01,5,0.365816
-0.01,9,0.36594
-0.01,97,0.367176
-0.01,23,0.367475
-0.01,128,0.369102
-0.01,97,0.370344
-0.01,185,0.372699
-0.01,291,0.376416
-0.01,60,0.377206
-0.01,55,0.377923
-0.01,444,0.383548
-0.01,213,0.386342
-0.01,21,0.386622
-0.01,119,0.388139
-0.01,64,0.388957
-0.01,36,0.389418
-0.01,207,0.392055
-0.01,55,0.392765
-0.01,286,0.396426
-0.01,14,0.396622
-0.01,82,0.397992
-0.01,209,0.400719
-0.01,417,0.406044
-0.01,195,0.408539
-0.01,318,0.412623
-0.01,6,0.412713
-0.01,24,0.413029
-0.01,7,0.413131
-0.01,265,0.416525
-0.01,124,0.418117
-0.01,8,0.418231
-0.01,193,0.420705
-0.01,181,0.42304
-0.01,86,0.424147
-0.01,131,0.42583
-0.01,239,0.428905
-0.01,356,0.433447
-0.01,88,0.434605
-0.01,28,0.434985
-0.01,84,0.436065
-0.01,43,0.436621
-0.01,45,0.437195
-0.01,213,0.439912
-0.01,23,0.440217
-0.01,410,0.445459
-0.01,484,0.451671
-0.01,59,0.452437
-0.01,216,0.455211
-0.01,95,0.456451
-0.01,203,0.459043
-0.01,461,0.464911
-0.01,5,0.464988
-0.01,13,0.465162
-0.01,275,0.46869
-0.01,97,0.469937
-0.01,125,0.47154
-0.01,30,0.471933
-0.01,35,0.472391
-0.01,46,0.472985
-0.01,97,0.474228
-0.01,12,0.47439
-0.01,165,0.476511
-0.01,70,0.477426
-0.01,242,0.480526
-0.01,178,0.482809
-0.01,328,0.487098
-0.01,147,0.488986
-0.01,81,0.490027
-0.01,303,0.493922
-0.01,4,0.493987
-0.01,46,0.494587
-0.01,11,0.494739
-0.01,280,0.498318
-0.01,4,0.498381
-0.01,474,0.504429
-0.01,356,0.508984
-0.01,161,0.511038
-0.01,297,0.514846
-0.01,132,0.516542
-0.01,93,0.517746
-0.01,107,0.519123
-0.01,118,0.520637
-0.01,108,0.52202
-0.01,212,0.524721
-0.01,54,0.525422
-0.01,434,0.531038
-0.01,402,0.53618
-0.01,573,0.543496
-0.01,115,0.544977
-0.01,187,0.547369
-0.01,35,0.547827
-0.01,376,0.552692
-0.01,131,0.554371
-0.01,83,0.555436
-0.01,2,0.555473
-0.01,45,0.556054
-0.01,98,0.557304
-0.01,68,0.558181
-0.01,13,0.558361
-0.01,95,0.559577
-0.01,203,0.562189
