#{"t_start": 1717163066.224131, "env_id": "Office-v0"}
r,l,t
-0.01,17,0.000702
-0.01,29,0.001227
-0.01,25,0.001664
-0.01,10,0.001852
-0.01,31,0.002386
-0.01,22,0.002771
-0.01,21,0.003135
-0.01,35,0.003727
-0.01,19,0.00406
-0.01,18,0.004368
-0.01,39,0.004997
-0.01,50,0.005783
-0.01,46,0.006504
-0.01,64,0.007497
-0.01,9,0.007644
-0.01,10,0.007815
-0.01,24,0.008204
-0.01,15,0.008445
-0.01,39,0.009065
-0.01,27,0.009506
-0.01,19,0.009815
-0.01,14,0.010043
-0.01,35,0.01059
-0.01,29,0.011057
-0.01,25,0.011462
-0.01,35,0.012015
-0.01,39,0.012637
-0.01,5,0.012731
-0.01,33,0.013249
-0.01,27,0.013648
-0.01,2,0.013688
-0.01,53,0.014487
-0.01,11,0.014661
-0.01,14,0.014871
-0.01,12,0.015052
-0.01,20,0.015352
-0.01,90,0.01666
-0.01,11,0.016838
-0.01,19,0.017122
-0.01,43,0.017748
-0.01,26,0.018143
-0.01,55,0.018953
-0.01,40,0.019536
-0.01,10,0.01969
-0.01,29,0.020122
-0.01,97,0.02152
-0.01,36,0.022049
1.0,101,0.02351
-0.01,116,0.025183
-0.01,33,0.025672
-0.01,55,0.026473
-0.01,27,0.026857
-0.01,12,0.027036
-0.01,38,0.027574
-0.01,23,0.0279
-0.01,45,0.028535
-0.01,49,0.029231
-0.01,75,0.030276
-0.01,16,0.030506
-0.01,70,0.031481
-0.01,67,0.032418
-0.01,117,0.034116
-0.01,52,0.034849
1.0,122,0.036525
-0.01,75,0.037572
-0.01,99,0.038945
-0.01,21,0.039238
-0.01,82,0.040373
-0.01,33,0.040841
-0.01,120,0.042488
-0.01,39,0.043034
-0.01,10,0.043183
-0.01,13,0.043371
-0.01,55,0.044134
-0.01,5,0.044215
1.0,29,0.044624
-0.01,60,0.045457
-0.01,67,0.046404
-0.01,36,0.04691
-0.01,55,0.047668
-0.01,29,0.048084
-0.01,78,0.04916
-0.01,87,0.050376
-0.01,59,0.051197
-0.01,92,0.052454
-0.01,33,0.052919
-0.01,27,0.0533
-0.01,25,0.053653
-0.01,84,0.054808
-0.01,102,0.056203
-0.01,51,0.056917
1.0,67,0.057846
-0.01,136,0.059761
-0.01,50,0.06047
-0.01,31,0.060906
-0.01,81,0.062029
-0.01,76,0.063074
-0.01,80,0.064186
-0.01,22,0.064495
1.0,22,0.06481
-0.01,70,0.065773
-0.01,27,0.066147
-0.01,51,0.066848
-0.01,150,0.068889
-0.01,48,0.069556
-0.01,108,0.071054
-0.01,4,0.071121
1.0,28,0.071516
-0.01,85,0.072697
-0.01,37,0.073218
-0.01,30,0.073639
-0.01,91,0.074894
-0.01,106,0.076362
-0.01,74,0.077384
-0.01,125,0.079106
