#{"t_start": 1717161710.647022, "env_id": "Office-single-v0"}
r,l,t
-0.01,42,0.000683
-0.01,14,0.000823
-0.01,24,0.001035
-0.01,31,0.001293
-0.01,39,0.001613
-0.01,10,0.001704
-0.01,11,0.001806
-0.01,70,0.002374
-0.01,45,0.002753
-0.01,13,0.002871
-0.01,56,0.003348
-0.01,154,0.004585
-0.01,32,0.004852
-0.01,102,0.005667
-0.01,19,0.005829
-0.01,67,0.006372
-0.01,45,0.00673
-0.01,49,0.007127
-0.01,64,0.007644
-0.01,12,0.00775
-0.01,101,0.008568
-0.01,66,0.009108
-0.01,37,0.00941
-0.01,82,0.010144
-0.01,112,0.011063
-0.01,47,0.01146
-0.01,48,0.011869
-0.01,34,0.012162
-0.01,28,0.012393
-0.01,99,0.013201
-0.01,66,0.013753
-0.01,55,0.014209
-0.01,62,0.014711
-0.01,14,0.014835
-0.01,82,0.015505
-0.01,111,0.016407
-0.01,71,0.016994
-0.01,195,0.018569
-0.01,45,0.018948
-0.01,15,0.019081
-0.01,43,0.019433
-0.01,38,0.019755
-0.01,54,0.0202
-0.01,50,0.020613
-0.01,45,0.020987
-0.01,58,0.021467
-0.01,25,0.02168
-0.01,23,0.021877
-0.01,97,0.022667
-0.01,40,0.022999
-0.01,68,0.023553
-0.01,44,0.023918
-0.01,155,0.025187
-0.01,55,0.025642
-0.01,136,0.026803
-0.01,64,0.027366
-0.01,71,0.028002
-0.01,9,0.028093
-0.01,73,0.028736
-0.01,111,0.02968
-0.01,31,0.029948
-0.01,76,0.030567
-0.01,11,0.030666
-0.01,51,0.031087
-0.01,355,0.034048
-0.01,179,0.035519
-0.01,97,0.036312
-0.01,60,0.036805
-0.01,184,0.038297
-0.01,12,0.038406
-0.01,122,0.039387
-0.01,37,0.039692
-0.01,49,0.040097
-0.01,83,0.040784
-0.01,131,0.041848
-0.01,13,0.041964
-0.01,9,0.042046
-0.01,146,0.043227
-0.01,83,0.043933
-0.01,61,0.044434
-0.01,295,0.046809
-0.01,52,0.047242
-0.01,11,0.047344
-0.01,112,0.048255
-0.01,13,0.048369
-0.01,20,0.048538
-0.01,24,0.04874
-0.01,364,0.051675
-0.01,122,0.052701
-0.01,161,0.054043
-0.01,2,0.054071
-0.01,8,0.054148
-0.01,117,0.055135
-0.01,26,0.05536
-0.01,154,0.056665
-0.01,51,0.057121
-0.01,15,0.057263
-0.01,2,0.057292
-0.01,76,0.057955
-0.01,76,0.058611
-0.01,12,0.058722
-0.01,53,0.059174
-0.01,64,0.059716
-0.01,102,0.060572
-0.01,21,0.060758
-0.01,96,0.061572
-0.01,196,0.063215
-0.01,268,0.065503
-0.01,8,0.065596
-0.01,11,0.065704
-0.01,168,0.067116
-0.01,446,0.070841
-0.01,50,0.071277
-0.01,19,0.071441
-0.01,168,0.072857
-0.01,144,0.074067
-0.01,96,0.074881
-0.01,21,0.075073
-0.01,181,0.076667
-0.01,149,0.07793
-0.01,290,0.080344
-0.01,2,0.080374
-0.01,183,0.081906
-0.01,176,0.0834
-0.01,153,0.093924
-0.01,16,0.094224
-0.01,91,0.095085
-0.01,77,0.095784
-0.01,185,0.097415
-0.01,90,0.098259
-0.01,4,0.098309
-0.01,267,0.10073
-0.01,6,0.100806
-0.01,61,0.101349
-0.01,49,0.101786
-0.01,107,0.102721
-0.01,70,0.103342
-0.01,91,0.104134
-0.01,39,0.10448
-0.01,94,0.105308
-0.01,81,0.106051
-0.01,33,0.106351
-0.01,115,0.107349
-0.01,8,0.107431
-0.01,193,0.109167
-0.01,225,0.111151
-0.01,217,0.113001
-0.01,306,0.115583
-0.01,102,0.116449
-0.01,197,0.118061
-0.01,72,0.118657
-0.01,38,0.118975
-0.01,143,0.120138
-0.01,137,0.121254
-0.01,99,0.122056
-0.01,10,0.122146
-0.01,60,0.122634
-0.01,95,0.123405
-0.01,96,0.124191
-0.01,216,0.125933
-0.01,145,0.127129
-0.01,32,0.12741
-0.01,153,0.128703
-0.01,121,0.129694
-0.01,123,0.130685
-0.01,55,0.131141
-0.01,267,0.133295
-0.01,191,0.134849
-0.01,89,0.135574
-0.01,180,0.137037
-0.01,185,0.138559
-0.01,213,0.140295
-0.01,51,0.140717
-0.01,196,0.142324
-0.01,122,0.143321
-0.01,228,0.145164
-0.01,61,0.145666
-0.01,39,0.145992
-0.01,62,0.146496
-0.01,20,0.146669
-0.01,54,0.147114
-0.01,18,0.147269
-0.01,170,0.148642
-0.01,48,0.149034
-0.01,53,0.149459
-0.01,13,0.14957
-0.01,293,0.151949
-0.01,40,0.152287
-0.01,124,0.153291
-0.01,73,0.153889
-0.01,284,0.156184
-0.01,215,0.157926
-0.01,112,0.158849
-0.01,73,0.159441
-0.01,199,0.161049
-0.01,160,0.162347
-0.01,178,0.163784
-0.01,69,0.164358
-0.01,13,0.164473
-0.01,112,0.165384
-0.01,345,0.168153
-0.01,312,0.170758
-0.01,13,0.170875
-0.01,16,0.171032
-0.01,36,0.171332
-0.01,113,0.172255
-0.01,6,0.172316
-0.01,40,0.172656
-0.01,126,0.173707
-0.01,85,0.174397
-0.01,234,0.176301
-0.01,181,0.178116
-0.01,45,0.178495
-0.01,66,0.17903
-0.01,29,0.179274
-0.01,9,0.179355
-0.01,4,0.179398
-0.01,178,0.180835
-0.01,7,0.180902
-0.01,242,0.182864
-0.01,142,0.184016
-0.01,133,0.185093
-0.01,287,0.187896
-0.01,117,0.188913
-0.01,343,0.191669
-0.01,186,0.193189
-0.01,225,0.195019
-0.01,42,0.195368
-0.01,225,0.197186
-0.01,30,0.197442
-0.01,63,0.197962
-0.01,135,0.199052
-0.01,238,0.200957
-0.01,12,0.201066
-0.01,91,0.201798
-0.01,51,0.202218
-0.01,80,0.202865
-0.01,7,0.202932
-0.01,80,0.203581
-0.01,219,0.205374
-0.01,323,0.207958
-0.01,24,0.208162
-0.01,99,0.208949
-0.01,112,0.209849
-0.01,292,0.212225
-0.01,32,0.212506
-0.01,75,0.213143
-0.01,86,0.213851
-0.01,14,0.213975
-0.01,331,0.216635
-0.01,16,0.216777
-0.01,14,0.216899
-0.01,220,0.218663
-0.01,96,0.219436
-0.01,199,0.221031
-0.01,158,0.222308
-0.01,226,0.224139
-0.01,442,0.227682
-0.01,81,0.228352
-0.01,2,0.228382
-0.01,114,0.229328
-0.01,136,0.230442
-0.01,113,0.231373
-0.01,276,0.233608
-0.01,43,0.233961
-0.01,23,0.234156
-0.01,70,0.23473
-0.01,71,0.235317
-0.01,131,0.236421
-0.01,12,0.236531
-0.01,49,0.236938
-0.01,490,0.240948
-0.01,451,0.244601
-0.01,154,0.245835
-0.01,24,0.246041
-0.01,170,0.247405
-0.01,45,0.247773
-0.01,29,0.248016
-0.01,10,0.248107
-0.01,282,0.250359
-0.01,212,0.252059
-0.01,281,0.254312
-0.01,70,0.254882
-0.01,83,0.25556
-0.01,174,0.25697
-0.01,184,0.258495
-0.01,392,0.2618
-0.01,33,0.262083
-0.01,51,0.262506
-0.01,243,0.264501
-0.01,37,0.264812
-0.01,385,0.267906
-0.01,47,0.268295
-0.01,8,0.268368
-0.01,41,0.268706
-0.01,55,0.269156
-0.01,101,0.269965
-0.01,25,0.270171
-0.01,155,0.271422
-0.01,10,0.271514
-0.01,539,0.275844
-0.01,314,0.278367
-0.01,50,0.27878
-0.01,2,0.278806
-0.01,218,0.280554
-0.01,241,0.282489
-0.01,72,0.283086
-0.01,104,0.283937
-0.01,183,0.285446
-0.01,250,0.287498
-0.01,447,0.291133
-0.01,140,0.292287
-0.01,244,0.294302
-0.01,545,0.29879
-0.01,155,0.30007
-0.01,146,0.301298
-0.01,52,0.301734
-0.01,43,0.302093
-0.01,119,0.303071
-0.01,66,0.303612
-0.01,151,0.304845
-0.01,21,0.30503
-0.01,62,0.305544
-0.01,72,0.306143
-0.01,54,0.306594
-0.01,235,0.308529
-0.01,290,0.310915
-0.01,351,0.313785
-0.01,123,0.314808
-0.01,109,0.315714
-0.01,36,0.316026
-0.01,249,0.31805
-0.01,21,0.318236
-0.01,92,0.319001
-0.01,498,0.32304
-0.01,30,0.323299
-0.01,2,0.323326
-0.01,41,0.32367
-0.01,475,0.327562
-0.01,12,0.327671
-0.01,241,0.329633
-0.01,50,0.330046
-0.01,17,0.330194
-0.01,622,0.335187
-0.01,5,0.33524
-0.01,7,0.335307
-0.01,278,0.337588
-0.01,152,0.338839
-0.01,302,0.341427
-0.01,87,0.342153
-0.01,155,0.343428
-0.01,51,0.343862
-0.01,238,0.345804
-0.01,118,0.346788
-0.01,110,0.347692
-0.01,12,0.347802
-0.01,43,0.348164
