#{"t_start": 1717162197.948213, "env_id": "Office-v0"}
r,l,t
-0.01,52,0.000974
-0.01,38,0.001426
-0.01,4,0.001492
-0.01,29,0.001836
-0.01,20,0.002076
-0.01,10,0.002198
-0.01,76,0.003058
-0.01,28,0.00339
-0.01,19,0.003622
-0.01,47,0.004153
-0.01,14,0.004325
-0.01,36,0.004743
-0.01,23,0.005018
-0.01,9,0.005133
-0.01,29,0.005465
-0.01,44,0.005933
-0.01,10,0.00605
-0.01,35,0.006426
-0.01,4,0.00648
-0.01,22,0.006724
-0.01,16,0.0069
-0.01,20,0.007116
-0.01,5,0.007181
-0.01,28,0.007481
-0.01,26,0.007759
-0.01,26,0.008047
-0.01,96,0.009052
-0.01,13,0.009208
-0.01,47,0.009709
-0.01,42,0.010154
-0.01,18,0.010349
-0.01,22,0.010593
-0.01,32,0.010937
-0.01,9,0.011046
-0.01,22,0.011284
-0.01,70,0.012029
-0.01,45,0.012513
-0.01,4,0.012568
-0.01,53,0.013129
1.0,70,0.013871
-0.01,2,0.013904
-0.01,77,0.014678
-0.01,45,0.015123
-0.01,43,0.015553
-0.01,108,0.016606
-0.01,28,0.016884
-0.01,20,0.017087
-0.01,26,0.017348
-0.01,81,0.018136
-0.01,38,0.018509
-0.01,16,0.018674
-0.01,114,0.019779
-0.01,91,0.020671
-0.01,42,0.021084
-0.01,41,0.021487
1.0,90,0.02236
-0.01,70,0.02305
-0.01,52,0.023559
-0.01,32,0.023877
-0.01,24,0.024116
-0.01,28,0.024429
-0.01,20,0.024638
-0.01,12,0.024762
1.0,98,0.025714
-0.01,65,0.026344
-0.01,58,0.026901
-0.01,27,0.027203
-0.01,23,0.027424
-0.01,37,0.027778
-0.01,12,0.027899
-0.01,9,0.027994
-0.01,48,0.028453
-0.01,116,0.029545
-0.01,49,0.030018
-0.01,34,0.03035
1.0,47,0.030806
-0.01,141,0.032128
-0.01,107,0.033157
-0.01,62,0.033755
1.0,52,0.034257
-0.01,109,0.035272
-0.01,39,0.035638
-0.01,35,0.035971
-0.01,64,0.036558
-0.01,109,0.037577
-0.01,55,0.038096
-0.01,46,0.038529
1.0,27,0.038791
-0.01,53,0.03929
-0.01,7,0.039363
-0.01,7,0.03944
1.0,80,0.040184
1.0,109,0.04119
-0.01,9,0.041289
-0.01,18,0.041463
1.0,35,0.041799
-0.01,84,0.042581
-0.01,32,0.042883
-0.01,25,0.043117
1.0,82,0.043861
-0.01,4,0.043908
-0.01,109,0.044902
-0.01,64,0.045493
-0.01,28,0.045757
-0.01,94,0.046634
-0.01,50,0.047103
-0.01,110,0.048123
-0.01,55,0.04864
-0.01,233,0.050783
-0.01,58,0.051334
-0.01,61,0.051911
-0.01,81,0.05268
-0.01,21,0.052881
-0.01,42,0.053273
-0.01,68,0.053896
-0.01,72,0.054574
-0.01,99,0.055499
-0.01,104,0.05645
-0.01,45,0.056863
1.0,53,0.057359
-0.01,165,0.058872
-0.01,48,0.059326
-0.01,82,0.060078
1.0,61,0.060645
-0.01,100,0.061564
-0.01,16,0.061722
-0.01,25,0.061962
1.0,129,0.063165
-0.01,77,0.063911
-0.01,23,0.064143
-0.01,116,0.065226
1.0,56,0.065748
-0.01,88,0.066567
-0.01,89,0.067396
-0.01,52,0.067877
-0.01,11,0.067988
-0.01,178,0.069636
-0.01,74,0.070324
-0.01,9,0.070419
-0.01,56,0.070947
-0.01,117,0.07202
-0.01,21,0.072229
-0.01,61,0.0728
-0.01,35,0.073138
1.0,242,0.07537
-0.01,88,0.076199
-0.01,75,0.076908
1.0,59,0.077465
1.0,191,0.079242
-0.01,59,0.079794
-0.01,125,0.080953
1.0,55,0.081472
-0.01,53,0.081974
-0.01,29,0.082248
-0.01,81,0.082997
1.0,64,0.083591
-0.01,162,0.085072
-0.01,44,0.085496
-0.01,89,0.086325
1.0,86,0.087138
1.0,131,0.088359
-0.01,159,0.089837
-0.01,88,0.09067
-0.01,60,0.091244
-0.01,24,0.091478
-0.01,32,0.091786
-0.01,142,0.093112
-0.01,77,0.093844
-0.01,178,0.095501
-0.01,84,0.096304
-0.01,111,0.105135
1.0,58,0.105803
1.0,162,0.107441
-0.01,79,0.108448
-0.01,51,0.108949
1.0,68,0.109621
-0.01,28,0.109898
-0.01,88,0.110746
-0.01,105,0.111741
-0.01,19,0.111931
1.0,242,0.114274
-0.01,54,0.114814
-0.01,44,0.115267
1.0,65,0.115893
1.0,199,0.117791
-0.01,78,0.118545
-0.01,58,0.119106
-0.01,20,0.119309
1.0,157,0.120813
-0.01,46,0.121266
-0.01,47,0.121722
-0.01,45,0.122155
-0.01,2,0.122185
-0.01,12,0.12231
-0.01,144,0.123691
1.0,89,0.124551
1.0,147,0.12594
-0.01,49,0.126422
-0.01,36,0.126772
1.0,61,0.127359
1.0,317,0.130319
-0.01,63,0.130915
-0.01,48,0.131372
-0.01,14,0.131513
-0.01,17,0.131683
-0.01,95,0.132577
-0.01,12,0.132699
-0.01,35,0.133041
-0.01,14,0.133179
-0.01,48,0.133638
-0.01,61,0.134213
-0.01,5,0.134269
-0.01,33,0.134582
-0.01,10,0.134688
-0.01,80,0.135438
1.0,119,0.136534
-0.01,65,0.137162
-0.01,69,0.137806
-0.01,2,0.137834
1.0,39,0.138201
-0.01,50,0.138664
-0.01,103,0.139636
-0.01,145,0.141032
-0.01,20,0.141246
-0.01,98,0.142304
-0.01,94,0.143339
-0.01,102,0.144314
1.0,66,0.144944
1.0,250,0.147258
-0.01,44,0.147687
-0.01,55,0.148205
-0.01,7,0.14828
-0.01,16,0.148438
-0.01,99,0.149359
-0.01,10,0.149462
-0.01,119,0.150591
-0.01,18,0.15078
-0.01,31,0.151096
-0.01,176,0.152745
1.0,51,0.15324
-0.01,60,0.153801
-0.01,61,0.154369
-0.01,49,0.154837
-0.01,59,0.155392
-0.01,15,0.155538
-0.01,70,0.156208
-0.01,17,0.15638
1.0,40,0.156764
-0.01,15,0.156917
-0.01,14,0.157056
-0.01,128,0.158253
1.0,57,0.158805
-0.01,160,0.160312
-0.01,35,0.160653
-0.01,241,0.162896
-0.01,11,0.163013
1.0,192,0.164872
-0.01,50,0.165357
-0.01,173,0.166981
1.0,99,0.167928
-0.01,18,0.168107
-0.01,45,0.168538
-0.01,94,0.169428
-0.01,6,0.169498
-0.01,20,0.169702
-0.01,117,0.170821
-0.01,169,0.17242
-0.01,10,0.172526
1.0,203,0.174414
-0.01,80,0.175165
-0.01,8,0.175251
-0.01,38,0.175612
-0.01,35,0.175938
-0.01,187,0.177676
-0.01,42,0.17808
-0.01,4,0.178128
-0.01,25,0.178369
-0.01,122,0.179517
-0.01,162,0.181092
1.0,28,0.181369
1.0,108,0.182381
-0.01,71,0.183053
-0.01,15,0.183199
1.0,43,0.183607
-0.01,21,0.183811
-0.01,37,0.184164
-0.01,8,0.184249
-0.01,16,0.184408
-0.01,24,0.184639
-0.01,75,0.185358
-0.01,51,0.185837
-0.01,21,0.186041
-0.01,11,0.186152
-0.01,49,0.186609
-0.01,761,0.193627
1.0,76,0.194348
1.0,239,0.196558
-0.01,13,0.196692
-0.01,39,0.197072
1.0,186,0.198926
1.0,262,0.201645
-0.01,25,0.201897
-0.01,103,0.202868
1.0,85,0.203671
1.0,151,0.205071
-0.01,59,0.205644
-0.01,66,0.206263
1.0,209,0.208209
-0.01,8,0.208296
-0.01,198,0.210143
-0.01,29,0.210426
1.0,53,0.210931
-0.01,12,0.211055
-0.01,108,0.212074
-0.01,171,0.213673
-0.01,42,0.214074
1.0,194,0.215951
-0.01,142,0.217291
-0.01,90,0.218135
-0.01,141,0.219468
1.0,192,0.221252
-0.01,78,0.221995
-0.01,152,0.223425
1.0,67,0.224055
-0.01,36,0.224399
-0.01,107,0.225403
-0.01,65,0.226014
1.0,57,0.226549
-0.01,86,0.227343
-0.01,78,0.228067
-0.01,56,0.228593
-0.01,112,0.229643
1.0,231,0.231775
-0.01,176,0.233432
-0.01,156,0.234895
1.0,34,0.23523
1.0,150,0.236668
-0.01,9,0.236777
-0.01,135,0.238044
-0.01,156,0.239512
-0.01,12,0.239649
-0.01,227,0.241778
-0.01,19,0.241967
-0.01,200,0.243854
1.0,273,0.24641
-0.01,221,0.248463
-0.01,999,0.257704
1.0,45,0.258134
-0.01,154,0.259577
-0.01,11,0.259694
-0.01,17,0.259861
1.0,76,0.26057
-0.01,152,0.261975
-0.01,385,0.265585
-0.01,39,0.265958
-0.01,9,0.266049
1.0,108,0.267057
-0.01,235,0.269263
-0.01,104,0.270258
1.0,117,0.271355
-0.01,74,0.272054
-0.01,18,0.272233
-0.01,14,0.272372
1.0,319,0.275345
1.0,200,0.277207
-0.01,8,0.277294
-0.01,14,0.27743
1.0,162,0.278945
1.0,238,0.281157
-0.01,83,0.281938
-0.01,53,0.282449
-0.01,61,0.283036
-0.01,2,0.283064
-0.01,25,0.283309
-0.01,74,0.284004
1.0,41,0.284394
1.0,247,0.286676
-0.01,201,0.28856
-0.01,454,0.292746
1.0,432,0.296844
1.0,260,0.299277
-0.01,25,0.299523
-0.01,75,0.30023
1.0,40,0.300611
1.0,173,0.302222
-0.01,365,0.305614
-0.01,95,0.306527
1.0,63,0.307122
-0.01,68,0.307764
-0.01,85,0.308571
-0.01,36,0.308924
1.0,240,0.311174
-0.01,108,0.312195
-0.01,389,0.315835
-0.01,106,0.316824
1.0,299,0.319645
-0.01,63,0.320245
-0.01,241,0.3225
