#{"t_start": 1715693779.621456, "env_id": "Office-v0"}
r,l,t
0.0,4,0.00093
0.0,15,0.003094
0.0,10,0.004511
0.0,67,0.013923
0.0,45,0.020186
0.0,16,0.022417
0.0,12,0.024096
0.0,23,0.027347
0.0,4,0.027914
0.0,4,0.028478
0.0,20,0.031271
0.0,32,0.035775
0.0,16,0.040909
0.0,16,0.043664
0.0,56,0.052621
0.0,11,0.054313
0.0,15,0.056421
0.0,51,0.063519
0.0,78,0.074692
1.0,60,0.083097
0.0,34,0.088106
0.0,6,0.088996
0.0,54,0.096594
0.0,96,0.110007
0.0,64,0.118996
0.0,89,0.131385
0.0,17,0.133752
0.0,45,0.14
0.0,143,0.160026
0.0,100,0.17398
0.0,31,0.178299
0.0,4,0.178868
0.0,55,0.186514
0.0,127,0.204178
0.0,88,0.216423
0.0,88,0.228736
0.0,14,0.230705
0.0,211,0.260107
0.0,89,0.272591
0.0,73,0.2828
0.0,67,0.292133
0.0,49,0.298943
0.0,65,0.307966
1.0,84,0.319632
0.0,215,0.349668
0.0,140,0.369265
0.0,191,0.395874
1.0,22,0.398959
0.0,41,0.404691
0.0,102,0.41894
0.0,337,0.466087
1.0,14,0.468057
0.0,2,0.468346
0.0,3,0.468774
0.0,194,0.495887
1.0,47,0.50246
1.0,162,0.532859
1.0,274,0.573561
0.0,29,0.577719
1.0,37,0.58295
0.0,22,0.586064
0.0,184,0.612075
0.0,60,0.620559
1.0,13,0.622466
0.0,46,0.629195
0.0,73,0.639871
0.0,86,0.652064
1.0,27,0.655877
0.0,123,0.673261
0.0,5,0.673976
0.0,272,0.712479
1.0,36,0.717566
0.0,195,0.745025
0.0,185,0.771185
0.0,118,0.787815
1.0,14,0.789794
0.0,21,0.792751
1.0,13,0.794589
0.0,348,0.843675
1.0,24,0.847035
0.0,2,0.84733
0.0,105,0.862082
1.0,173,0.886487
1.0,27,0.890293
0.0,175,0.914951
0.0,108,0.930117
0.0,11,0.931677
1.0,11,0.933231
0.0,14,0.935202
1.0,23,0.938426
0.0,545,1.016033
0.0,2,1.016369
1.0,10,1.017796
0.0,93,1.031082
0.0,100,1.045198
1.0,12,1.046924
1.0,114,1.062922
0.0,70,1.072772
0.0,217,1.103373
1.0,15,1.105506
1.0,91,1.118258
1.0,190,1.144978
0.0,106,1.159877
1.0,12,1.161567
0.0,55,1.16931
0.0,2,1.169602
1.0,141,1.189373
