#{"t_start": 1715687745.4906712, "env_id": "Office-single-v0"}
r,l,t
0.0,11,0.000963
0.0,18,0.001956
0.0,56,0.004873
0.0,22,0.006029
0.0,8,0.006464
0.0,52,0.009187
0.0,34,0.010961
0.0,47,0.013437
0.0,42,0.015624
0.0,17,0.016524
0.0,2,0.016639
0.0,72,0.020395
0.0,40,0.022479
0.0,39,0.024509
0.0,84,0.028877
0.0,27,0.030288
0.0,131,0.037122
0.0,29,0.038639
0.0,49,0.041225
0.0,76,0.045157
0.0,9,0.045633
0.0,111,0.051427
0.0,101,0.056688
0.0,37,0.058623
0.0,163,0.067184
0.0,49,0.069751
0.0,63,0.073008
1.0,226,0.084747
0.0,24,0.086004
0.0,83,0.090327
0.0,126,0.096876
0.0,100,0.102083
0.0,22,0.103245
0.0,26,0.104608
1.0,140,0.111901
0.0,50,0.114516
0.0,89,0.11916
0.0,126,0.125728
0.0,239,0.138153
0.0,68,0.141682
0.0,159,0.149948
1.0,190,0.159835
1.0,186,0.169498
0.0,648,0.203206
0.0,30,0.204769
0.0,140,0.212039
0.0,123,0.218424
0.0,100,0.22361
0.0,152,0.231494
0.0,18,0.232439
0.0,27,0.233854
0.0,38,0.235841
0.0,43,0.238089
0.0,33,0.239805
1.0,291,0.25493
1.0,413,0.2764
0.0,21,0.277503
0.0,19,0.278499
0.0,122,0.284857
0.0,72,0.288615
0.0,79,0.292731
0.0,75,0.29664
0.0,368,0.315678
0.0,147,0.323315
0.0,125,0.329817
0.0,22,0.330973
0.0,25,0.332279
1.0,210,0.34317
0.0,46,0.345544
1.0,197,0.355778
0.0,308,0.371847
0.0,32,0.37352
0.0,25,0.374826
0.0,21,0.375924
0.0,116,0.381973
1.0,65,0.385347
1.0,222,0.396885
0.0,49,0.399428
0.0,22,0.400578
1.0,176,0.409736
1.0,53,0.412493
0.0,99,0.417622
0.0,160,0.425921
0.0,29,0.427447
0.0,105,0.432905
0.0,22,0.434058
1.0,166,0.442685
0.0,42,0.444863
0.0,54,0.447668
1.0,182,0.45709
0.0,264,0.470826
0.0,248,0.48373
0.0,35,0.485553
1.0,81,0.489736
0.0,175,0.498851
1.0,112,0.504638
0.0,147,0.512266
0.0,25,0.513574
0.0,110,0.519302
0.0,74,0.531204
0.0,82,0.536352
1.0,88,0.541192
0.0,33,0.543014
1.0,342,0.561431
0.0,83,0.565804
0.0,72,0.569566
0.0,49,0.572141
0.0,25,0.573468
0.0,74,0.577349
0.0,35,0.579227
1.0,74,0.583105
0.0,11,0.583698
1.0,129,0.590459
1.0,105,0.595994
0.0,34,0.597796
1.0,61,0.601003
1.0,179,0.610422
0.0,8,0.610856
0.0,62,0.61413
0.0,140,0.621494
0.0,53,0.624305
0.0,90,0.629039
0.0,88,0.633668
0.0,68,0.637227
0.0,32,0.638923
0.0,27,0.640349
0.0,26,0.641725
0.0,7,0.642104
1.0,116,0.648187
0.0,28,0.649681
0.0,16,0.650533
0.0,12,0.651176
1.0,375,0.670932
1.0,213,0.682124
0.0,41,0.684291
0.0,203,0.694967
0.0,84,0.69938
0.0,60,0.702558
1.0,206,0.713411
0.0,24,0.714692
1.0,76,0.718701
0.0,65,0.722141
0.0,26,0.723522
0.0,201,0.734123
1.0,67,0.737666
0.0,104,0.743151
0.0,144,0.750763
1.0,67,0.754308
1.0,294,0.769804
1.0,37,0.771749
1.0,104,0.777208
1.0,61,0.780418
0.0,28,0.781895
1.0,39,0.783951
0.0,8,0.784383
1.0,181,0.793904
0.0,68,0.797482
1.0,52,0.800224
0.0,73,0.804085
1.0,59,0.807192
0.0,53,0.80999
1.0,142,0.817473
1.0,76,0.821494
1.0,66,0.82496
0.0,12,0.825601
1.0,122,0.832017
1.0,63,0.835356
1.0,80,0.83955
0.0,31,0.841186
1.0,56,0.844135
1.0,88,0.848756
0.0,23,0.849982
0.0,48,0.852505
1.0,105,0.858033
0.0,28,0.859533
1.0,147,0.867361
0.0,51,0.870062
1.0,265,0.883999
0.0,71,0.887732
1.0,16,0.888578
1.0,62,0.891859
0.0,192,0.901972
0.0,26,0.903356
1.0,39,0.905411
0.0,109,0.911152
1.0,68,0.914726
1.0,44,0.917041
0.0,9,0.917527
1.0,15,0.91832
1.0,33,0.920062
0.0,36,0.921962
1.0,131,0.928852
1.0,179,0.938265
0.0,34,0.94006
1.0,34,0.941865
0.0,37,0.943814
1.0,32,0.945503
0.0,20,0.946566
1.0,46,0.948986
0.0,102,0.954389
1.0,29,0.955941
0.0,26,0.95732
0.0,5,0.957594
1.0,60,0.960742
0.0,28,0.962238
1.0,36,0.964135
1.0,106,0.969708
1.0,30,0.971294
0.0,15,0.972094
1.0,76,0.976085
1.0,42,0.978304
0.0,34,0.980098
1.0,25,0.981424
0.0,4,0.981645
1.0,48,0.984178
1.0,32,0.985868
1.0,33,0.987608
1.0,27,0.989031
1.0,73,0.992861
0.0,14,0.993613
0.0,25,0.994935
1.0,25,0.996249
1.0,25,0.997569
1.0,27,0.998992
0.0,8,0.999419
1.0,27,1.000839
1.0,24,1.002105
1.0,29,1.003635
1.0,23,1.004853
1.0,29,1.006381
0.0,21,1.00749
1.0,25,1.008812
0.0,8,1.009246
0.0,12,1.009887
1.0,27,1.01131
0.0,8,1.01175
1.0,59,1.014856
1.0,26,1.016228
0.0,19,1.017235
1.0,26,1.018613
1.0,44,1.020941
1.0,33,1.022703
1.0,30,1.024294
1.0,28,1.025768
1.0,40,1.027888
1.0,30,1.029468
1.0,29,1.030995
0.0,9,1.031476
1.0,24,1.032744
1.0,67,1.036269
0.0,6,1.036595
1.0,36,1.038495
1.0,36,1.040389
1.0,37,1.042347
1.0,40,1.044457
0.0,21,1.045577
1.0,37,1.047526
0.0,12,1.048167
1.0,32,1.049853
1.0,36,1.051755
1.0,47,1.054229
1.0,197,1.064895
1.0,34,1.066705
1.0,29,1.068238
1.0,26,1.06962
1.0,14,1.070361
1.0,33,1.072102
0.0,2,1.072219
0.0,2,1.072334
0.0,2,1.07245
1.0,51,1.075139
1.0,126,1.081787
1.0,150,1.089719
1.0,30,1.091304
1.0,43,1.093567
0.0,2,1.093683
1.0,50,1.096322
1.0,60,1.099485
0.0,90,1.104236
1.0,46,1.106671
0.0,16,1.107528
0.0,94,1.112479
1.0,71,1.116222
0.0,27,1.11765
1.0,65,1.121087
0.0,13,1.121782
0.0,29,1.123319
0.0,58,1.126385
0.0,30,1.127975
0.0,104,1.133475
1.0,124,1.140039
0.0,62,1.143321
0.0,111,1.149194
0.0,53,1.152024
0.0,39,1.154102
0.0,29,1.155643
1.0,109,1.161401
0.0,19,1.162414
0.0,31,1.164057
0.0,18,1.165014
1.0,115,1.171053
1.0,106,1.176659
1.0,44,1.178991
1.0,38,1.181001
1.0,36,1.18291
1.0,46,1.185351
1.0,24,1.186631
1.0,27,1.188061
0.0,27,1.189497
1.0,28,1.190988
0.0,21,1.192103
1.0,46,1.194534
1.0,33,1.196293
0.0,5,1.196566
0.0,25,1.197899
1.0,25,1.199226
0.0,19,1.200237
0.0,18,1.201197
1.0,26,1.202576
1.0,32,1.204273
0.0,4,1.204501
1.0,51,1.207185
0.0,21,1.208294
1.0,25,1.209621
1.0,28,1.211115
0.0,19,1.212131
1.0,28,1.213632
1.0,20,1.214698
1.0,31,1.216344
1.0,31,1.217985
0.0,12,1.218631
1.0,25,1.219979
0.0,21,1.221096
1.0,27,1.222524
1.0,25,1.223854
1.0,35,1.225707
1.0,30,1.227297
1.0,23,1.228525
1.0,24,1.229798
0.0,4,1.230018
1.0,24,1.231282
