#{"t_start": 1715695240.295325, "env_id": "Office-single-v0"}
r,l,t
0.0,15,0.001847
0.0,24,0.00393
0.0,60,0.009143
0.0,2,0.009368
0.0,35,0.012432
0.0,20,0.014169
0.0,2,0.014371
0.0,6,0.01491
0.0,30,0.01748
0.0,36,0.020528
0.0,106,0.029661
0.0,90,0.037334
0.0,24,0.039433
0.0,48,0.043499
0.0,47,0.047589
0.0,40,0.051015
0.0,29,0.053461
0.0,62,0.058737
0.0,117,0.06875
0.0,42,0.072341
0.0,78,0.079049
0.0,64,0.084522
0.0,106,0.093631
0.0,11,0.09465
0.0,2,0.094848
0.0,107,0.103963
0.0,87,0.111442
0.0,127,0.122393
0.0,11,0.123389
0.0,46,0.127295
0.0,60,0.132426
0.0,89,0.139984
0.0,162,0.153879
0.0,35,0.156873
1.0,171,0.171422
0.0,65,0.177032
0.0,18,0.17866
0.0,108,0.187684
0.0,34,0.190556
0.0,66,0.196222
0.0,327,0.223354
0.0,20,0.225056
0.0,64,0.230662
1.0,110,0.239594
0.0,80,0.246305
0.0,343,0.2752
1.0,179,0.290002
0.0,110,0.299195
0.0,171,0.313331
0.0,713,0.372978
0.0,26,0.375279
0.0,55,0.379974
0.0,69,0.385759
0.0,91,0.393373
0.0,28,0.395724
0.0,738,0.45702
0.0,18,0.458638
0.0,48,0.462631
0.0,254,0.484157
0.0,364,0.514147
0.0,97,0.522236
0.0,32,0.524928
0.0,18,0.526432
0.0,20,0.528102
0.0,57,0.532869
0.0,150,0.545358
0.0,70,0.551188
0.0,44,0.554864
0.0,7,0.555471
0.0,110,0.564534
0.0,5,0.564973
0.0,31,0.567569
0.0,7,0.568175
0.0,245,0.588552
0.0,55,0.593159
0.0,12,0.594182
0.0,67,0.599753
0.0,463,0.638128
1.0,333,0.665767
0.0,25,0.667878
0.0,295,0.691888
0.0,56,0.696574
0.0,10,0.697433
0.0,147,0.709706
0.0,22,0.711559
0.0,130,0.722457
0.0,119,0.732405
0.0,27,0.734681
0.0,27,0.736994
0.0,112,0.748907
0.0,278,0.791812
0.0,18,0.79353
0.0,144,0.809115
0.0,114,0.81862
0.0,46,0.822453
0.0,75,0.828701
1.0,103,0.837127
0.0,93,0.844893
0.0,206,0.862081
0.0,43,0.873486
0.0,22,0.875581
0.0,13,0.876745
0.0,997,0.960771
0.0,149,0.973453
0.0,224,0.992771
0.0,52,0.997311
0.0,8,0.998048
0.0,1,0.998164
0.0,19,0.999928
0.0,229,1.021293
0.0,122,1.032476
0.0,4,1.032912
0.0,105,1.041532
0.0,140,1.053482
0.0,269,1.075672
0.0,14,1.076899
0.0,54,1.081538
0.0,489,1.122739
0.0,148,1.135116
0.0,224,1.153786
0.0,296,1.17846
0.0,102,1.186914
0.0,19,1.188524
0.0,249,1.2092
0.0,204,1.226204
0.0,63,1.231486
0.0,25,1.233588
0.0,72,1.239073
0.0,173,1.253456
0.0,51,1.257684
0.0,341,1.288015
0.0,353,1.318369
0.0,90,1.326005
0.0,481,1.365625
0.0,105,1.374462
0.0,110,1.383671
0.0,118,1.393533
0.0,9,1.394304
0.0,8,1.394984
0.0,147,1.407034
0.0,264,1.429127
0.0,181,1.444212
0.0,70,1.45007
0.0,124,1.460364
0.0,11,1.461301
0.0,59,1.466205
0.0,98,1.47439
0.0,208,1.491801
0.0,529,1.535852
0.0,550,1.581629
0.0,162,1.596423
0.0,45,1.602821
0.0,69,1.609007
0.0,13,1.610266
1.0,257,1.67423
0.0,409,1.708349
0.0,35,1.711386
0.0,40,1.71478
0.0,125,1.725136
0.0,39,1.728408
1.0,291,1.752477
0.0,24,1.754507
1.0,53,1.758903
0.0,17,1.760339
0.0,261,1.782482
0.0,161,1.795903
0.0,9,1.796772
0.0,31,1.799468
0.0,27,1.801761
0.0,685,1.860629
0.0,74,1.868213
0.0,14,1.869632
0.0,128,1.882942
0.0,20,1.884691
0.0,20,1.886446
1.0,125,1.897082
1.0,270,1.919795
0.0,86,1.927056
0.0,75,1.933368
0.0,43,1.936949
0.0,91,1.944595
0.0,208,1.962173
0.0,67,1.967869
0.0,19,1.969562
0.0,51,1.97379
0.0,54,1.978377
0.0,155,1.991176
0.0,17,1.992728
1.0,141,2.004676
0.0,65,2.010241
0.0,39,2.013559
0.0,25,2.015708
0.0,85,2.022841
0.0,19,2.024494
0.0,31,2.027144
0.0,104,2.036037
0.0,61,2.041162
0.0,204,2.058695
0.0,78,2.065389
0.0,18,2.066957
0.0,139,2.078857
1.0,63,2.084264
1.0,40,2.08759
0.0,198,2.104411
0.0,21,2.106319
0.0,2,2.106515
0.0,42,2.11023
1.0,16,2.111702
0.0,36,2.114856
0.0,51,2.119405
0.0,97,2.129198
1.0,83,2.136229
0.0,56,2.141071
0.0,44,2.144891
0.0,23,2.146943
0.0,2,2.147139
0.0,174,2.162127
1.0,213,2.180285
0.0,65,2.185744
0.0,47,2.189754
0.0,76,2.196266
1.0,127,2.207036
0.0,31,2.209821
0.0,54,2.214538
0.0,24,2.216617
0.0,104,2.225384
0.0,4,2.22579
0.0,134,2.237118
1.0,200,2.254281
1.0,201,2.271354
0.0,7,2.271979
0.0,74,2.278415
0.0,40,2.281847
1.0,129,2.29277
0.0,26,2.294879
0.0,39,2.298214
0.0,37,2.301377
1.0,199,2.318192
0.0,50,2.322413
0.0,16,2.323885
0.0,28,2.326319
0.0,17,2.32776
0.0,13,2.328808
1.0,101,2.337377
0.0,24,2.339445
1.0,128,2.350438
0.0,157,2.363881
1.0,152,2.376725
0.0,49,2.380954
0.0,70,2.386858
0.0,274,2.409891
0.0,27,2.412158
0.0,6,2.412673
0.0,4,2.41302
0.0,68,2.418717
0.0,8,2.419398
0.0,42,2.422863
1.0,277,2.446025
0.0,6,2.446562
0.0,8,2.447251
0.0,96,2.455173
0.0,4,2.455532
0.0,131,2.466251
0.0,76,2.472644
0.0,57,2.47756
1.0,66,2.483033
1.0,74,2.489258
1.0,86,2.49644
1.0,62,2.501557
0.0,24,2.503587
1.0,80,2.510259
1.0,62,2.515343
0.0,29,2.517789
1.0,111,2.527033
1.0,70,2.532841
0.0,39,2.536093
0.0,25,2.538167
0.0,114,2.547601
0.0,127,2.558112
0.0,44,2.561756
0.0,70,2.567625
1.0,102,2.576
0.0,58,2.580837
0.0,46,2.584659
0.0,14,2.585831
1.0,68,2.591513
0.0,7,2.592105
1.0,81,2.598843
0.0,8,2.599532
1.0,82,2.606356
0.0,23,2.608284
1.0,167,2.622019
1.0,45,2.62569
1.0,174,2.640012
1.0,252,2.660807
0.0,12,2.661839
0.0,71,2.667673
1.0,109,2.676693
1.0,154,2.689492
1.0,155,2.702212
1.0,84,2.709229
0.0,20,2.710903
1.0,52,2.715194
1.0,35,2.718106
1.0,46,2.721913
0.0,26,2.724098
0.0,9,2.724866
0.0,16,2.726217
0.0,9,2.726972
0.0,26,2.729166
0.0,18,2.730671
1.0,41,2.734095
1.0,39,2.737297
1.0,51,2.741545
1.0,32,2.744196
0.0,33,2.746942
1.0,46,2.750779
0.0,12,2.7518
0.0,27,2.754066
1.0,37,2.757153
1.0,40,2.760473
1.0,40,2.763791
1.0,37,2.766857
0.0,13,2.767949
0.0,101,2.7764
0.0,91,2.784005
0.0,29,2.786454
0.0,133,2.797489
0.0,16,2.798855
0.0,4,2.799204
0.0,6,2.799745
0.0,4,2.800115
0.0,4,2.800481
0.0,17,2.802037
0.0,85,2.809592
0.0,18,2.811253
0.0,35,2.814338
0.0,62,2.819747
1.0,146,2.832383
1.0,124,2.843028
0.0,50,2.847268
0.0,43,2.850891
0.0,68,2.856599
0.0,35,2.859559
0.0,69,2.865442
0.0,27,2.867726
0.0,36,2.870737
0.0,55,2.875205
1.0,42,2.878577
0.0,60,2.88357
0.0,8,2.88426
0.0,21,2.886019
0.0,17,2.887458
0.0,28,2.889824
0.0,4,2.890172
0.0,35,2.8931
0.0,49,2.897124
0.0,41,2.900491
1.0,50,2.904622
0.0,20,2.906322
0.0,20,2.90801
0.0,39,2.911054
0.0,9,2.91181
0.0,35,2.914737
1.0,52,2.91904
0.0,39,2.922294
0.0,19,2.923898
0.0,18,2.92541
1.0,40,2.9287
1.0,43,2.932239
0.0,20,2.933922
0.0,16,2.935269
0.0,34,2.938092
1.0,45,2.941788
1.0,39,2.945038
0.0,15,2.946299
1.0,37,2.949383
1.0,33,2.952086
