#{"t_start": 1715870517.437531, "env_id": "Office-v0"}
r,l,t
0.0,5,0.00146
0.0,64,0.014137
0.0,16,0.017158
0.0,26,0.021961
0.0,42,0.029487
0.0,38,0.036159
0.0,15,0.038808
0.0,31,0.044213
0.0,32,0.049792
0.0,56,0.059573
0.0,58,0.069671
0.0,62,0.080335
0.0,8,0.081734
0.0,29,0.086776
0.0,143,0.111368
0.0,19,0.114662
0.0,89,0.129934
0.0,14,0.132366
0.0,30,0.137581
1.0,86,0.152622
0.0,19,0.155902
1.0,63,0.166703
0.0,23,0.170703
1.0,48,0.178947
0.0,88,0.19401
0.0,86,0.208869
0.0,81,0.222936
0.0,159,0.250462
0.0,103,0.268035
0.0,63,0.279033
0.0,48,0.287343
0.0,109,0.306351
0.0,42,0.31355
0.0,91,0.329364
0.0,151,0.355172
0.0,80,0.369017
1.0,64,0.380004
0.0,13,0.38227
0.0,20,0.385781
0.0,64,0.39688
0.0,46,0.404865
0.0,96,0.421594
0.0,10,0.423346
1.0,98,0.440493
0.0,37,0.446911
0.0,12,0.448987
0.0,366,0.511841
0.0,225,0.55085
0.0,2,0.551236
0.0,81,0.565367
0.0,617,0.671369
0.0,634,0.780847
0.0,46,0.788608
0.0,19,0.791911
0.0,523,0.88107
1.0,76,0.894232
1.0,51,0.902776
0.0,277,0.950621
0.0,57,0.960331
0.0,12,0.962426
0.0,156,0.989307
0.0,75,1.002303
0.0,78,1.015624
0.0,41,1.022727
1.0,243,1.064351
0.0,20,1.067853
0.0,33,1.073634
0.0,5,1.074503
0.0,122,1.095618
0.0,40,1.102614
0.0,112,1.122155
1.0,28,1.127063
0.0,21,1.130746
0.0,346,1.19086
0.0,159,1.218258
0.0,18,1.221371
0.0,41,1.228262
0.0,159,1.255685
0.0,15,1.258312
0.0,29,1.263319
0.0,119,1.284041
0.0,82,1.298384
0.0,53,1.307357
0.0,18,1.310499
0.0,71,1.32283
0.0,32,1.328384
0.0,42,1.335605
0.0,9,1.337186
1.0,48,1.345448
0.0,222,1.384427
0.0,20,1.387945
0.0,99,1.405095
0.0,414,1.477223
0.0,31,1.48263
0.0,21,1.486283
0.0,536,1.578249
0.0,147,1.60383
0.0,256,1.647754
0.0,581,1.756644
0.0,10,1.758717
1.0,276,1.807176
0.0,15,1.809843
0.0,16,1.81267
0.0,171,1.842572
0.0,2,1.842959
0.0,47,1.851168
0.0,52,1.860198
0.0,89,1.875752
1.0,71,1.888141
0.0,14,1.890661
0.0,22,1.894542
1.0,49,1.903126
0.0,98,1.920365
0.0,22,1.924273
0.0,119,1.944454
0.0,15,1.947109
0.0,283,1.996979
0.0,9,1.998585
1.0,101,2.01603
1.0,251,2.059923
0.0,154,2.086563
0.0,160,2.114602
0.0,37,2.120972
1.0,82,2.135282
0.0,84,2.14994
0.0,174,2.179988
0.0,215,2.217475
0.0,149,2.24364
0.0,120,2.264237
0.0,54,2.273565
0.0,163,2.301443
0.0,105,2.3197
0.0,110,2.33874
0.0,203,2.37391
0.0,66,2.385425
0.0,9,2.386967
0.0,55,2.396618
0.0,67,2.408351
0.0,5,2.40924
0.0,38,2.415873
0.0,20,2.419399
0.0,218,2.457616
1.0,170,2.487196
0.0,22,2.490998
0.0,101,2.508426
0.0,18,2.511558
0.0,64,2.522514
0.0,96,2.539244
0.0,32,2.544805
0.0,51,2.553633
1.0,184,2.585582
0.0,184,2.617412
0.0,59,2.627616
0.0,102,2.645378
0.0,82,2.659705
0.0,164,2.688241
1.0,135,2.711438
1.0,337,2.769522
0.0,113,2.789002
0.0,267,2.835015
0.0,26,2.839566
0.0,34,2.845438
0.0,10,2.847193
0.0,20,2.850666
1.0,218,2.888247
0.0,13,2.890519
1.0,126,2.912398
0.0,193,2.945895
0.0,23,2.949893
0.0,199,2.984209
0.0,319,3.038789
0.0,15,3.041398
0.0,56,3.051134
0.0,48,3.059441
1.0,412,3.130112
0.0,8,3.131501
0.0,10,3.133242
1.0,158,3.160367
0.0,15,3.162956
1.0,90,3.178462
0.0,88,3.193562
0.0,298,3.245329
0.0,78,3.258729
0.0,24,3.262907
0.0,48,3.271208
0.0,182,3.302675
0.0,14,3.305111
1.0,75,3.318019
0.0,6,3.319068
0.0,369,3.382565
0.0,17,3.385553
1.0,25,3.389877
0.0,107,3.408461
0.0,110,3.427238
1.0,140,3.451979
0.0,217,3.489656
0.0,87,3.504735
0.0,75,3.517597
0.0,1,3.517807
1.0,45,3.525701
1.0,140,3.549953
1.0,166,3.578513
0.0,34,3.584384
0.0,18,3.587534
1.0,208,3.623675
0.0,155,3.650336
0.0,49,3.658867
0.0,44,3.666575
1.0,175,3.697066
0.0,124,3.718542
0.0,37,3.725027
0.0,57,3.734962
0.0,16,3.737754
0.0,34,3.743673
1.0,88,3.758659
1.0,123,3.7799
1.0,41,3.787026
0.0,54,3.796357
1.0,97,3.81327
0.0,46,3.821249
0.0,21,3.824921
0.0,99,3.841934
0.0,72,3.854481
1.0,18,3.857575
1.0,147,3.882885
0.0,248,3.925851
1.0,170,3.955529
0.0,88,3.970737
1.0,383,4.036586
0.0,168,4.06547
1.0,75,4.078397
1.0,160,4.106095
0.0,19,4.109399
0.0,55,4.118861
1.0,122,4.140085
1.0,60,4.150456
0.0,33,4.156212
1.0,94,4.172507
0.0,248,4.214947
1.0,49,4.223457
0.0,253,4.266875
0.0,18,4.270011
0.0,45,4.277805
0.0,4,4.278517
1.0,26,4.283018
0.0,78,4.296454
0.0,49,4.304906
1.0,15,4.307502
1.0,12,4.309562
0.0,4,4.310273
0.0,84,4.324869
0.0,6,4.325929
0.0,16,4.328731
0.0,106,4.347177
0.0,11,4.349112
0.0,9,4.350683
1.0,12,4.352734
0.0,26,4.357254
0.0,8,4.358675
1.0,27,4.363363
0.0,95,4.379716
1.0,18,4.382694
0.0,31,4.388065
0.0,17,4.391014
1.0,111,4.410301
1.0,114,4.429872
0.0,22,4.433708
0.0,9,4.435276
0.0,105,4.453638
1.0,96,4.470186
1.0,100,4.48755
0.0,14,4.489963
0.0,47,4.498113
0.0,45,4.505861
0.0,4,4.50658
0.0,4,4.507292
0.0,179,4.538243
0.0,104,4.556306
0.0,22,4.560142
1.0,116,4.58021
0.0,107,4.598719
1.0,82,4.612935
0.0,48,4.621173
0.0,23,4.625158
0.0,15,4.627766
0.0,2,4.628127
0.0,14,4.630574
0.0,2,4.630936
0.0,2,4.631297
0.0,112,4.650571
1.0,81,4.664623
1.0,70,4.676773
1.0,128,4.698708
0.0,39,4.705418
0.0,59,4.71564
0.0,157,4.742816
0.0,64,4.753882
0.0,23,4.757874
0.0,55,4.767251
1.0,123,4.788393
0.0,52,4.797283
0.0,113,4.816736
0.0,63,4.827689
0.0,13,4.829987
1.0,77,4.843318
0.0,52,4.852276
0.0,16,4.855088
1.0,35,4.861183
0.0,25,4.865532
0.0,34,4.871425
0.0,91,4.887267
1.0,278,4.935186
0.0,25,4.939546
0.0,22,4.943252
0.0,38,4.949829
0.0,14,4.952271
0.0,57,4.962169
0.0,40,4.969057
0.0,1,4.969246
0.0,15,4.971845
0.0,64,4.982961
0.0,44,4.990586
0.0,38,4.997197
1.0,37,5.003618
0.0,164,5.032112
0.0,25,5.036476
1.0,31,5.041883
1.0,23,5.045834
0.0,9,5.047361
0.0,42,5.054491
0.0,64,5.065678
0.0,20,5.069189
0.0,73,5.081935
0.0,5,5.082831
0.0,8,5.084246
0.0,9,5.085794
0.0,29,5.090825
0.0,2,5.091182
0.0,124,5.11284
0.0,29,5.117871
0.0,5,5.118748
0.0,21,5.122417
0.0,21,5.126107
0.0,21,5.129789
0.0,21,5.133455
0.0,9,5.135045
0.0,62,5.145836
0.0,18,5.148991
0.0,28,5.153885
0.0,12,5.15597
0.0,19,5.159292
1.0,18,5.162397
0.0,41,5.168993
0.0,79,5.182278
1.0,233,5.222629
1.0,16,5.225405
0.0,84,5.240013
0.0,14,5.242404
0.0,4,5.243118
0.0,12,5.245242
1.0,166,5.274186
1.0,170,5.303679
0.0,60,5.314161
1.0,33,5.319876
0.0,68,5.331743
0.0,27,5.336404
0.0,22,5.34026
1.0,23,5.344258
1.0,113,5.36392
1.0,115,5.383816
1.0,61,5.394487
1.0,27,5.399083
1.0,122,5.420211
1.0,89,5.435679
1.0,53,5.444936
0.0,21,5.448591
0.0,78,5.462475
0.0,18,5.465544
0.0,28,5.470388
1.0,33,5.476063
0.0,88,5.491233
0.0,6,5.492296
0.0,23,5.496303
1.0,12,5.498379
0.0,34,5.504294
1.0,67,5.515763
0.0,56,5.525533
1.0,13,5.527786
0.0,80,5.541645
1.0,46,5.549543
0.0,14,5.552006
0.0,2,5.552359
0.0,15,5.554996
0.0,25,5.559349
0.0,24,5.563566
1.0,11,5.565465
1.0,53,5.574617
0.0,15,5.577213
0.0,6,5.578269
1.0,13,5.58047
1.0,87,5.595565
1.0,67,5.607039
1.0,72,5.619549
0.0,6,5.620603
1.0,65,5.631936
1.0,35,5.637936
0.0,24,5.642108
1.0,14,5.644491
0.0,16,5.647296
1.0,36,5.653532
0.0,12,5.655634
0.0,4,5.656339
0.0,8,5.657754
0.0,9,5.659331
1.0,56,5.669154
1.0,42,5.676486
0.0,9,5.678071
1.0,41,5.685153
1.0,45,5.692758
1.0,30,5.697947
0.0,19,5.70123
0.0,35,5.707352
0.0,43,5.714785
1.0,31,5.720145
0.0,27,5.724826
0.0,26,5.729314
0.0,53,5.738612
1.0,13,5.740823
0.0,28,5.745644
0.0,9,5.747229
0.0,26,5.751629
1.0,20,5.755115
0.0,24,5.759257
0.0,23,5.763255
0.0,40,5.770192
1.0,13,5.772467
0.0,63,5.783166
0.0,25,5.78746
0.0,68,5.799178
1.0,13,5.80144
0.0,61,5.811878
1.0,65,5.823073
0.0,33,5.828845
1.0,11,5.830767
1.0,124,5.85233
1.0,52,5.861294
0.0,6,5.862351
1.0,11,5.864262
0.0,11,5.866202
0.0,13,5.86847
1.0,61,5.879124
1.0,13,5.88138
1.0,84,5.895955
0.0,92,5.911929
0.0,211,5.948013
0.0,7,5.94926
1.0,82,5.963444
0.0,47,5.971624
