#{"t_start": 1715706636.939327, "env_id": "Office-v0"}
r,l,t
0.0,26,0.000757
0.0,50,0.00149
0.0,2,0.001538
0.0,10,0.001696
0.0,19,0.001985
0.0,10,0.002138
0.0,59,0.002985
0.0,8,0.00311
0.0,56,0.003899
0.0,14,0.004107
0.0,23,0.004442
0.0,20,0.004737
0.0,6,0.004835
0.0,16,0.005071
0.0,26,0.005445
0.0,4,0.00551
0.0,17,0.005761
0.0,51,0.006484
0.0,14,0.006689
0.0,73,0.007718
0.0,50,0.008426
0.0,27,0.008815
0.0,30,0.009247
0.0,21,0.009543
0.0,5,0.009625
0.0,6,0.009719
0.0,22,0.010038
0.0,26,0.010408
0.0,33,0.010872
0.0,19,0.011164
0.0,89,0.012467
0.0,14,0.012697
0.0,27,0.013178
0.0,20,0.013494
0.0,31,0.013959
0.0,33,0.014647
0.0,74,0.016147
0.0,116,0.017832
0.0,5,0.017926
0.0,16,0.018168
0.0,18,0.018441
0.0,64,0.019359
0.0,18,0.019629
0.0,62,0.020512
0.0,108,0.022034
0.0,58,0.022864
0.0,38,0.023414
0.0,17,0.023662
0.0,24,0.024012
0.0,42,0.024614
0.0,18,0.024879
1.0,35,0.025385
0.0,83,0.026563
0.0,23,0.026899
0.0,42,0.027495
1.0,180,0.030467
0.0,29,0.030932
0.0,62,0.031835
0.0,48,0.032556
0.0,108,0.034165
0.0,53,0.034939
0.0,38,0.035487
0.0,45,0.036143
0.0,45,0.036791
0.0,71,0.037805
0.0,10,0.037959
0.0,45,0.038611
0.0,110,0.040184
0.0,34,0.04069
0.0,74,0.041749
0.0,114,0.043359
0.0,7,0.043473
1.0,77,0.044628
0.0,11,0.044798
0.0,44,0.045431
0.0,32,0.045895
0.0,59,0.046744
0.0,52,0.047488
0.0,12,0.04767
1.0,92,0.04898
0.0,48,0.049676
1.0,63,0.050568
0.0,4,0.050639
1.0,63,0.051533
0.0,20,0.051828
0.0,101,0.05326
0.0,25,0.053625
1.0,46,0.05428
1.0,260,0.057932
0.0,23,0.058274
0.0,15,0.058496
0.0,42,0.059103
0.0,106,0.060624
0.0,1,0.060652
0.0,120,0.062353
1.0,12,0.062536
0.0,47,0.063206
0.0,47,0.063873
0.0,23,0.064204
0.0,19,0.064481
0.0,55,0.065263
0.0,22,0.065583
0.0,23,0.065918
0.0,51,0.066646
0.0,78,0.067759
0.0,74,0.068806
0.0,71,0.069818
1.0,16,0.070059
0.0,13,0.070253
0.0,35,0.070756
0.0,55,0.07153
0.0,50,0.072245
0.0,118,0.073906
0.0,32,0.074373
0.0,31,0.074823
1.0,54,0.075602
0.0,40,0.076173
0.0,84,0.077364
0.0,108,0.0789
0.0,37,0.079433
0.0,70,0.08043
0.0,6,0.080525
0.0,87,0.081768
1.0,51,0.0825
0.0,179,0.085026
0.0,134,0.086916
0.0,65,0.087843
0.0,67,0.088799
0.0,89,0.090059
0.0,54,0.090834
0.0,135,0.092728
0.0,146,0.094814
0.0,121,0.096542
0.0,121,0.098249
0.0,73,0.099306
1.0,14,0.09953
0.0,32,0.099997
0.0,23,0.100325
0.0,31,0.100766
0.0,8,0.100888
0.0,94,0.102221
0.0,23,0.102554
0.0,45,0.103202
1.0,65,0.10413
0.0,99,0.105533
0.0,61,0.1064
0.0,79,0.107525
1.0,32,0.107994
0.0,16,0.108225
0.0,62,0.109103
0.0,47,0.109779
1.0,42,0.11038
0.0,113,0.112
0.0,82,0.113191
0.0,107,0.11474
1.0,40,0.115314
0.0,90,0.116608
0.0,79,0.117742
0.0,22,0.118075
0.0,88,0.11933
0.0,162,0.121641
0.0,32,0.12211
0.0,80,0.123264
0.0,68,0.124246
1.0,187,0.1269
0.0,65,0.127832
0.0,61,0.128721
1.0,66,0.129681
0.0,86,0.130912
0.0,52,0.131663
0.0,42,0.132266
1.0,67,0.133229
1.0,195,0.136006
0.0,109,0.13759
0.0,20,0.137886
0.0,70,0.138885
0.0,82,0.140056
0.0,90,0.14133
0.0,114,0.142942
1.0,19,0.143229
0.0,4,0.143294
0.0,25,0.143656
0.0,63,0.144554
1.0,18,0.144819
0.0,11,0.144984
0.0,51,0.154179
0.0,52,0.155079
1.0,32,0.155612
1.0,185,0.158494
0.0,55,0.159363
0.0,37,0.159936
1.0,43,0.160578
0.0,33,0.161102
0.0,68,0.162135
0.0,100,0.163637
1.0,29,0.164079
1.0,138,0.166163
0.0,96,0.167649
0.0,71,0.168711
1.0,43,0.16935
1.0,190,0.17214
0.0,31,0.172616
0.0,65,0.173612
1.0,61,0.174526
1.0,97,0.175966
0.0,79,0.177142
0.0,35,0.177673
0.0,45,0.178362
1.0,75,0.179494
0.0,114,0.181171
0.0,238,0.18457
1.0,64,0.185495
0.0,8,0.185622
0.0,23,0.185957
0.0,74,0.187023
1.0,47,0.18772
0.0,2,0.18776
0.0,56,0.188604
0.0,111,0.190241
1.0,49,0.19096
0.0,33,0.191438
0.0,86,0.192667
0.0,143,0.194718
0.0,51,0.195458
0.0,90,0.19675
0.0,25,0.197136
0.0,4,0.197204
1.0,18,0.197474
1.0,215,0.200546
0.0,81,0.201708
0.0,60,0.202573
0.0,22,0.202899
0.0,136,0.204826
0.0,89,0.206134
0.0,92,0.207441
0.0,71,0.208457
0.0,56,0.209252
0.0,61,0.210136
0.0,69,0.211119
1.0,19,0.211424
0.0,2,0.211463
0.0,84,0.212665
0.0,89,0.213953
1.0,40,0.214527
0.0,96,0.215897
0.0,9,0.216036
0.0,24,0.216382
1.0,22,0.216707
0.0,9,0.216842
0.0,16,0.217078
0.0,130,0.218917
0.0,17,0.219174
1.0,158,0.221432
0.0,33,0.221911
0.0,31,0.222362
1.0,36,0.222887
1.0,189,0.225593
0.0,20,0.225885
0.0,56,0.226693
0.0,21,0.227004
0.0,31,0.227456
0.0,49,0.228178
0.0,2,0.228217
0.0,26,0.228603
0.0,29,0.229034
1.0,366,0.234361
0.0,121,0.236102
0.0,7,0.236215
0.0,16,0.236456
0.0,148,0.238574
0.0,163,0.240893
1.0,44,0.241536
0.0,21,0.241844
0.0,52,0.242591
0.0,73,0.243651
1.0,46,0.244335
0.0,19,0.244628
0.0,53,0.245388
0.0,19,0.24567
1.0,54,0.24644
1.0,67,0.24739
0.0,46,0.248054
0.0,55,0.248846
0.0,11,0.249014
0.0,74,0.250083
0.0,55,0.250881
0.0,76,0.251969
1.0,24,0.252327
0.0,160,0.254633
0.0,30,0.255075
0.0,73,0.256124
0.0,9,0.256262
0.0,31,0.256708
0.0,131,0.258561
0.0,114,0.260201
0.0,31,0.260644
1.0,102,0.26212
0.0,248,0.265645
0.0,5,0.265727
1.0,154,0.267943
1.0,169,0.270349
0.0,21,0.270664
0.0,185,0.273315
1.0,22,0.273643
0.0,176,0.276176
0.0,93,0.277536
0.0,87,0.278787
1.0,18,0.279053
0.0,113,0.280664
0.0,224,0.283949
0.0,37,0.28449
0.0,9,0.284631
0.0,105,0.286127
1.0,296,0.290336
