#{"t_start": 1715542786.639161, "env_id": "Office-v0"}
r,l,t
0.0,21,0.004559
0.0,4,0.005378
0.0,30,0.010984
0.0,37,0.01748
0.0,4,0.018172
0.0,48,0.026365
0.0,19,0.029541
0.0,61,0.039535
0.0,27,0.0439
0.0,48,0.051575
0.0,10,0.0532
1.0,63,0.063223
0.0,17,0.065895
0.0,20,0.069103
0.0,35,0.074639
0.0,82,0.087749
0.0,63,0.097768
0.0,52,0.106052
0.0,25,0.110074
0.0,89,0.12443
0.0,21,0.127826
0.0,41,0.134434
0.0,89,0.148545
0.0,72,0.160012
1.0,12,0.161843
0.0,72,0.173285
0.0,72,0.184683
0.0,112,0.202771
0.0,71,0.21417
0.0,117,0.233084
0.0,51,0.241244
0.0,99,0.257044
0.0,31,0.262047
0.0,292,0.308873
0.0,127,0.329132
0.0,84,0.342723
0.0,4,0.343391
0.0,41,0.350009
0.0,255,0.390812
0.0,6,0.391798
0.0,48,0.39956
0.0,174,0.427652
1.0,64,0.437821
0.0,10,0.439433
0.0,8,0.440727
0.0,44,0.447822
0.0,79,0.460527
0.0,60,0.470186
0.0,11,0.4721
0.0,81,0.485388
1.0,235,0.523141
0.0,42,0.529927
1.0,181,0.559055
0.0,62,0.569207
1.0,70,0.580458
0.0,63,0.590597
0.0,100,0.606586
1.0,43,0.613465
0.0,147,0.636988
0.0,60,0.646633
0.0,30,0.651446
0.0,31,0.656507
0.0,25,0.660538
0.0,15,0.662972
1.0,27,0.667238
0.0,8,0.668533
0.0,35,0.67413
1.0,43,0.681032
1.0,34,0.686374
0.0,122,0.70596
0.0,8,0.707271
0.0,21,0.710663
1.0,56,0.719452
0.0,44,0.726549
0.0,121,0.745957
0.0,135,0.767629
1.0,123,0.787314
0.0,60,0.79701
0.0,31,0.802029
0.0,42,0.808797
0.0,148,0.832483
1.0,42,0.839136
0.0,35,0.844788
0.0,17,0.847542
0.0,206,0.880602
0.0,137,0.902532
0.0,11,0.904318
1.0,25,0.908315
1.0,166,0.935064
0.0,217,0.970114
0.0,39,0.97635
1.0,22,0.979923
0.0,52,0.988473
0.0,10,0.990117
1.0,34,0.995607
0.0,6,0.996591
0.0,55,1.005458
1.0,82,1.018539
0.0,11,1.020289
1.0,66,1.030829
1.0,14,1.033044
0.0,101,1.049245
0.0,2,1.04959
0.0,2,1.049931
1.0,30,1.054776
0.0,43,1.061576
1.0,206,1.094154
0.0,23,1.09788
0.0,70,1.109096
1.0,23,1.11279
1.0,76,1.124946
0.0,69,1.136016
1.0,46,1.14335
1.0,128,1.163834
0.0,41,1.170454
0.0,3,1.170952
0.0,92,1.185868
0.0,44,1.193066
0.0,57,1.202417
1.0,14,1.204718
1.0,178,1.233485
0.0,10,1.235129
1.0,69,1.24632
0.0,2,1.246652
1.0,30,1.251479
1.0,34,1.25687
0.0,3,1.257373
1.0,22,1.260872
0.0,2,1.261214
0.0,5,1.262027
0.0,288,1.308117
1.0,11,1.309924
0.0,44,1.31703
0.0,84,1.330498
0.0,17,1.333289
1.0,13,1.335326
1.0,194,1.366359
1.0,29,1.37099
0.0,31,1.376055
1.0,12,1.37796
0.0,69,1.38915
1.0,168,1.416713
1.0,89,1.431324
1.0,12,1.433273
0.0,62,1.443232
0.0,19,1.446351
