#{"t_start": 1715529710.249044, "env_id": "Office-single-v0"}
r,l,t
0.0,32,0.0025
1.0,56,0.005981
0.0,17,0.006994
0.0,12,0.007708
0.0,20,0.00888
0.0,19,0.010007
0.0,19,0.011139
0.0,144,0.019257
0.0,22,0.020469
0.0,9,0.02097
0.0,61,0.024279
0.0,66,0.027861
1.0,77,0.031872
0.0,16,0.032718
0.0,71,0.036397
0.0,76,0.040307
0.0,12,0.040966
0.0,55,0.043794
0.0,30,0.045347
0.0,30,0.046896
0.0,56,0.049789
0.0,53,0.052525
0.0,48,0.055
1.0,60,0.058081
1.0,82,0.062327
0.0,10,0.062862
0.0,49,0.065428
0.0,40,0.067506
0.0,75,0.071396
0.0,80,0.075497
1.0,61,0.078636
0.0,76,0.08256
1.0,38,0.084524
0.0,61,0.087661
0.0,13,0.088337
0.0,56,0.091213
0.0,87,0.095714
0.0,67,0.099177
0.0,24,0.100427
0.0,35,0.102239
0.0,138,0.109379
0.0,11,0.109961
0.0,57,0.112917
0.0,1,0.11298
0.0,72,0.116752
0.0,185,0.126225
0.0,27,0.127628
0.0,43,0.12986
0.0,56,0.132766
1.0,41,0.134889
0.0,168,0.143526
1.0,128,0.150146
0.0,9,0.150625
0.0,206,0.161284
0.0,34,0.16305
0.0,86,0.167493
0.0,36,0.169352
0.0,13,0.170028
1.0,178,0.179262
0.0,22,0.180408
1.0,35,0.182219
0.0,56,0.185112
1.0,57,0.188071
1.0,162,0.19644
0.0,104,0.20181
0.0,77,0.205791
0.0,27,0.207193
0.0,60,0.210297
1.0,111,0.216023
1.0,109,0.221662
0.0,72,0.225386
0.0,92,0.230148
0.0,48,0.232631
0.0,35,0.234449
0.0,1,0.234511
0.0,38,0.236484
1.0,267,0.250287
0.0,59,0.253343
1.0,280,0.267813
0.0,23,0.269012
0.0,145,0.27652
0.0,78,0.280551
0.0,55,0.283394
0.0,37,0.285315
0.0,25,0.286614
0.0,28,0.288072
0.0,6,0.288393
0.0,34,0.290158
0.0,75,0.294034
0.0,18,0.294975
0.0,15,0.295759
0.0,4,0.295976
0.0,127,0.302542
0.0,86,0.307023
1.0,206,0.317692
0.0,68,0.321226
0.0,228,0.333019
0.0,25,0.334313
0.0,59,0.337363
1.0,60,0.340463
1.0,65,0.343823
0.0,107,0.349355
0.0,13,0.350034
0.0,83,0.35431
0.0,2,0.354425
0.0,2,0.354539
0.0,6,0.35486
0.0,28,0.356319
1.0,109,0.361975
0.0,23,0.363163
0.0,2,0.363277
0.0,4,0.363493
0.0,145,0.370987
0.0,79,0.375068
0.0,18,0.376011
0.0,77,0.379978
1.0,247,0.392707
0.0,24,0.393956
0.0,65,0.397344
1.0,93,0.402125
1.0,56,0.405024
1.0,30,0.406582
0.0,48,0.409048
0.0,43,0.411276
1.0,44,0.41356
1.0,150,0.421309
1.0,132,0.428159
0.0,4,0.428378
1.0,96,0.433358
0.0,6,0.433681
1.0,137,0.440777
0.0,12,0.441406
1.0,174,0.450442
1.0,62,0.453648
0.0,76,0.457574
0.0,48,0.460067
0.0,17,0.460956
0.0,12,0.461585
1.0,20,0.462617
0.0,76,0.466553
1.0,68,0.470066
1.0,43,0.472294
0.0,21,0.473385
0.0,23,0.474583
0.0,16,0.475432
0.0,25,0.47673
1.0,25,0.478029
0.0,70,0.481655
0.0,40,0.483735
1.0,97,0.488765
0.0,26,0.490125
1.0,27,0.491523
1.0,48,0.494021
0.0,7,0.494393
0.0,13,0.49508
0.0,48,0.497581
1.0,105,0.503054
1.0,69,0.50662
1.0,26,0.507964
0.0,17,0.508849
0.0,4,0.509066
1.0,55,0.511916
0.0,4,0.512135
0.0,4,0.512353
0.0,17,0.513245
0.0,4,0.513462
0.0,14,0.514201
0.0,140,0.529284
0.0,33,0.531294
0.0,6,0.531637
0.0,70,0.535471
0.0,2,0.535596
0.0,4,0.535822
0.0,4,0.536053
0.0,117,0.542398
0.0,59,0.545557
0.0,73,0.54945
0.0,11,0.550055
1.0,15,0.550858
0.0,11,0.551448
0.0,61,0.554678
0.0,4,0.554902
0.0,2,0.555018
0.0,157,0.563238
0.0,51,0.565945
1.0,185,0.575611
0.0,264,0.589423
1.0,21,0.590522
1.0,21,0.591623
0.0,9,0.592108
1.0,99,0.597286
1.0,13,0.59797
1.0,31,0.599604
0.0,13,0.600294
1.0,196,0.610519
1.0,26,0.611874
0.0,10,0.612408
1.0,75,0.616326
0.0,10,0.616859
1.0,47,0.619311
1.0,26,0.620674
0.0,31,0.622293
0.0,78,0.626368
0.0,52,0.629078
