#{"t_start": 1715361525.9770749, "env_id": "Office-single-v0"}
r,l,t
0.0,47,0.000775
0.0,24,0.001017
0.0,24,0.001249
0.0,50,0.001701
0.0,13,0.001825
0.0,17,0.001987
0.0,10,0.002082
0.0,45,0.00246
0.0,14,0.002592
0.0,37,0.002908
0.0,19,0.003074
0.0,64,0.003604
0.0,45,0.003987
0.0,45,0.004371
1.0,63,0.004899
1.0,42,0.005259
0.0,43,0.005627
0.0,52,0.006059
0.0,12,0.006167
0.0,36,0.006463
0.0,31,0.006718
0.0,104,0.007564
0.0,59,0.008048
1.0,54,0.008501
0.0,125,0.009524
0.0,21,0.009711
1.0,34,0.010004
0.0,27,0.010237
0.0,114,0.011157
1.0,39,0.011486
0.0,30,0.011738
0.0,68,0.012303
0.0,53,0.012738
0.0,17,0.012889
0.0,28,0.01312
0.0,52,0.013541
0.0,94,0.014301
1.0,85,0.014989
0.0,81,0.015657
0.0,42,0.016012
0.0,64,0.016538
0.0,55,0.016993
0.0,16,0.017134
0.0,144,0.018318
0.0,43,0.018683
0.0,71,0.019287
0.0,54,0.019744
0.0,61,0.020249
0.0,17,0.020405
0.0,16,0.020546
0.0,17,0.020697
0.0,44,0.021067
0.0,14,0.021193
0.0,203,0.022858
0.0,62,0.023372
1.0,111,0.0243
0.0,23,0.024499
0.0,69,0.025073
0.0,49,0.025485
0.0,126,0.026527
0.0,150,0.027767
0.0,81,0.028448
1.0,39,0.028784
0.0,5,0.028838
0.0,2,0.028866
0.0,98,0.029675
1.0,102,0.030526
0.0,13,0.030646
0.0,107,0.031534
0.0,43,0.031892
0.0,16,0.032034
0.0,24,0.032239
0.0,22,0.032427
1.0,213,0.034166
0.0,66,0.034727
0.0,25,0.034946
1.0,48,0.035354
0.0,24,0.035562
0.0,14,0.035687
0.0,18,0.035843
0.0,45,0.036221
0.0,26,0.036445
0.0,18,0.036601
0.0,22,0.036795
0.0,27,0.037029
0.0,42,0.037384
0.0,31,0.037648
0.0,43,0.038009
0.0,96,0.038814
0.0,97,0.039611
0.0,5,0.039665
0.0,16,0.039807
0.0,11,0.039907
0.0,91,0.040652
0.0,20,0.040826
0.0,16,0.040971
0.0,56,0.041444
0.0,34,0.041733
0.0,132,0.042823
0.0,6,0.042886
0.0,59,0.043388
0.0,68,0.043956
0.0,58,0.044467
0.0,42,0.044821
0.0,13,0.044942
0.0,13,0.045059
0.0,53,0.045512
0.0,102,0.046391
0.0,92,0.047157
0.0,133,0.048258
1.0,103,0.049117
0.0,33,0.049405
0.0,12,0.049515
0.0,51,0.049941
0.0,61,0.050447
0.0,65,0.050993
0.0,11,0.051095
0.0,30,0.051349
0.0,44,0.051716
0.0,84,0.052419
0.0,11,0.052523
0.0,54,0.052971
1.0,143,0.054163
1.0,61,0.054681
0.0,192,0.056271
0.0,24,0.056482
0.0,6,0.056543
0.0,10,0.056635
0.0,7,0.056704
1.0,133,0.057805
0.0,25,0.058025
0.0,12,0.058137
0.0,38,0.058461
0.0,22,0.058654
0.0,236,0.060595
0.0,35,0.060897
0.0,9,0.060983
0.0,202,0.062642
0.0,77,0.063286
0.0,4,0.06333
0.0,151,0.06458
0.0,38,0.064901
0.0,83,0.065591
0.0,67,0.066154
0.0,77,0.06679
0.0,55,0.067254
0.0,73,0.067865
0.0,10,0.06796
0.0,100,0.068788
0.0,10,0.068883
0.0,221,0.070697
0.0,45,0.07108
1.0,359,0.074013
1.0,365,0.077002
0.0,96,0.077798
0.0,24,0.078008
1.0,127,0.079058
0.0,2,0.079086
0.0,22,0.079279
1.0,83,0.079963
0.0,289,0.08233
0.0,19,0.082502
0.0,37,0.082815
0.0,138,0.083947
0.0,35,0.091779
0.0,12,0.091979
1.0,136,0.093199
0.0,72,0.093833
1.0,167,0.0953
0.0,18,0.095474
0.0,185,0.097107
0.0,96,0.097929
1.0,173,0.099392
0.0,87,0.100265
0.0,49,0.100693
0.0,16,0.100843
0.0,71,0.101448
0.0,20,0.101628
0.0,23,0.101833
0.0,23,0.102036
0.0,12,0.102151
0.0,90,0.102913
0.0,203,0.104624
0.0,9,0.104712
1.0,139,0.105883
0.0,24,0.1061
0.0,29,0.106356
0.0,36,0.10667
0.0,2,0.1067
0.0,2,0.106728
0.0,141,0.107925
1.0,256,0.110073
0.0,2,0.110105
0.0,13,0.110225
0.0,118,0.111226
0.0,168,0.112637
