#{"t_start": 1715522040.7624881, "env_id": "Office-single-v0"}
r,l,t
0.0,3,0.000656
0.0,20,0.002269
0.0,10,0.003044
0.0,24,0.00483
1.0,41,0.00781
0.0,5,0.008197
1.0,68,0.013151
0.0,55,0.017123
0.0,24,0.018885
0.0,18,0.020225
0.0,136,0.030109
0.0,30,0.032298
1.0,133,0.042038
1.0,85,0.048211
0.0,62,0.052768
0.0,48,0.056286
1.0,17,0.057523
1.0,67,0.062379
0.0,113,0.070672
0.0,39,0.07352
0.0,69,0.078588
0.0,34,0.081092
0.0,58,0.085259
0.0,68,0.090174
0.0,82,0.096114
0.0,12,0.097012
0.0,22,0.098624
1.0,28,0.10062
1.0,192,0.114496
0.0,38,0.117291
0.0,106,0.125007
0.0,90,0.13156
0.0,84,0.137688
0.0,76,0.143013
0.0,7,0.143545
1.0,21,0.145087
0.0,53,0.14896
0.0,24,0.150733
0.0,55,0.154769
0.0,18,0.15611
1.0,109,0.164149
0.0,63,0.16878
0.0,51,0.172579
0.0,46,0.175958
0.0,2,0.176121
0.0,25,0.177954
0.0,97,0.185044
0.0,87,0.191416
0.0,24,0.19315
0.0,195,0.207379
0.0,77,0.213073
1.0,46,0.216204
0.0,48,0.21973
1.0,305,0.242007
0.0,68,0.246977
0.0,105,0.254684
0.0,354,0.280608
0.0,5,0.280999
0.0,50,0.284668
0.0,71,0.289876
0.0,128,0.299229
0.0,46,0.30259
1.0,159,0.314167
1.0,212,0.329683
1.0,177,0.342524
0.0,64,0.347157
0.0,4,0.347472
0.0,210,0.362885
0.0,48,0.366406
0.0,137,0.376434
1.0,49,0.379966
1.0,48,0.383509
0.0,40,0.386457
0.0,172,0.399053
0.0,59,0.403304
0.0,64,0.408028
0.0,6,0.408493
0.0,97,0.415519
0.0,88,0.422007
0.0,4,0.422326
0.0,52,0.42611
0.0,74,0.431541
0.0,37,0.434247
0.0,123,0.443226
0.0,24,0.445011
0.0,25,0.446846
1.0,83,0.45295
1.0,53,0.456741
0.0,64,0.461279
0.0,29,0.463402
0.0,20,0.464891
0.0,65,0.469678
0.0,11,0.4705
1.0,112,0.47862
1.0,205,0.493534
1.0,26,0.495346
0.0,14,0.496382
0.0,31,0.498447
1.0,182,0.511667
1.0,69,0.516687
0.0,19,0.518096
0.0,85,0.524305
0.0,16,0.525503
0.0,37,0.528208
1.0,43,0.531346
0.0,52,0.535174
0.0,87,0.54153
0.0,102,0.549005
0.0,134,0.558768
0.0,28,0.560825
0.0,21,0.562371
0.0,53,0.566242
0.0,16,0.56742
0.0,76,0.572999
0.0,47,0.576445
0.0,7,0.576971
0.0,22,0.578592
0.0,43,0.581731
0.0,37,0.584441
0.0,17,0.585695
1.0,8,0.58627
0.0,132,0.595884
0.0,7,0.596403
0.0,20,0.597866
0.0,50,0.601566
0.0,75,0.607086
1.0,23,0.60875
0.0,14,0.609801
0.0,21,0.611348
0.0,142,0.621669
0.0,39,0.624548
0.0,65,0.629319
0.0,14,0.63036
1.0,25,0.63213
0.0,6,0.632585
0.0,27,0.63456
1.0,28,0.636548
0.0,14,0.637585
0.0,49,0.641189
0.0,4,0.64149
0.0,8,0.64209
1.0,21,0.643524
0.0,45,0.64671
0.0,87,0.653045
0.0,55,0.657
0.0,151,0.66806
0.0,29,0.670185
0.0,28,0.672253
1.0,153,0.68334
0.0,11,0.684168
0.0,79,0.689918
0.0,36,0.692576
1.0,202,0.707385
0.0,299,0.729277
1.0,45,0.740294
0.0,73,0.746654
0.0,74,0.752227
1.0,23,0.753957
0.0,31,0.756286
0.0,18,0.757647
0.0,174,0.770348
0.0,33,0.772796
1.0,84,0.778908
0.0,13,0.779872
0.0,32,0.782232
1.0,21,0.783768
1.0,33,0.786162
0.0,63,0.790778
1.0,173,0.803452
0.0,9,0.804133
1.0,206,0.819036
0.0,118,0.827721
0.0,68,0.832775
1.0,58,0.83703
0.0,5,0.837422
0.0,51,0.841185
0.0,17,0.842443
0.0,16,0.843613
1.0,107,0.85149
0.0,15,0.852596
0.0,18,0.853935
0.0,36,0.85657
0.0,73,0.861934
0.0,78,0.867591
1.0,95,0.874341
0.0,19,0.875746
0.0,70,0.88086
0.0,56,0.884942
0.0,14,0.885992
0.0,40,0.888936
0.0,6,0.889351
1.0,107,0.897153
0.0,23,0.898852
1.0,111,0.906975
0.0,10,0.907738
0.0,24,0.909497
0.0,19,0.910902
0.0,4,0.911208
0.0,20,0.912673
0.0,28,0.914708
1.0,58,0.918861
0.0,105,0.926535
0.0,32,0.928865
0.0,40,0.931792
0.0,22,0.93338
1.0,40,0.936242
0.0,18,0.937584
0.0,1,0.93767
0.0,33,0.940083
1.0,131,0.949693
0.0,246,0.967623
0.0,20,0.969106
1.0,44,0.972296
0.0,10,0.973041
0.0,52,0.976838
0.0,41,0.979823
0.0,6,0.980271
0.0,39,0.983129
0.0,30,0.985347
0.0,63,0.989929
1.0,96,0.996916
0.0,15,0.998024
0.0,49,1.001541
1.0,31,1.003772
1.0,59,1.008046
0.0,40,1.010967
0.0,63,1.015596
1.0,116,1.023997
0.0,41,1.027015
1.0,37,1.029692
0.0,30,1.031876
1.0,16,1.033035
1.0,61,1.037489
0.0,30,1.039694
1.0,34,1.042141
1.0,38,1.044876
0.0,13,1.045856
0.0,22,1.047468
1.0,63,1.052036
1.0,155,1.063327
1.0,63,1.067897
1.0,86,1.074111
0.0,8,1.074703
0.0,78,1.08038
0.0,41,1.083386
0.0,14,1.084428
1.0,58,1.088595
0.0,7,1.089124
0.0,35,1.091695
0.0,12,1.092596
1.0,30,1.094763
0.0,26,1.096681
0.0,25,1.098523
0.0,26,1.100451
0.0,14,1.101482
0.0,34,1.103962
0.0,55,1.107971
0.0,18,1.109288
0.0,226,1.12572
0.0,43,1.129104
0.0,7,1.129662
0.0,23,1.131367
0.0,34,1.133848
1.0,71,1.138969
0.0,103,1.146501
0.0,29,1.148663
0.0,120,1.1574
0.0,15,1.158514
0.0,94,1.165364
0.0,112,1.173539
0.0,290,1.194728
0.0,124,1.203835
0.0,23,1.205536
0.0,93,1.212453
0.0,145,1.22302
0.0,82,1.228994
0.0,26,1.230887
1.0,82,1.236862
0.0,27,1.23886
1.0,238,1.256267
0.0,78,1.261971
0.0,90,1.268595
0.0,33,1.271018
0.0,169,1.283385
0.0,18,1.284708
0.0,46,1.288095
1.0,142,1.298312
0.0,8,1.298924
0.0,78,1.30463
1.0,84,1.310769
0.0,2,1.310926
0.0,14,1.311949
1.0,109,1.319898
0.0,16,1.321088
0.0,52,1.324826
1.0,31,1.327061
0.0,34,1.329551
1.0,32,1.331876
0.0,10,1.332621
0.0,109,1.340512
0.0,19,1.341922
1.0,63,1.3465
1.0,30,1.34863
1.0,66,1.353381
0.0,6,1.35384
0.0,60,1.358191
0.0,6,1.358653
0.0,13,1.359603
0.0,23,1.361285
0.0,42,1.364341
0.0,19,1.365731
1.0,83,1.37173
0.0,36,1.374364
1.0,89,1.380788
1.0,77,1.386359
0.0,37,1.389064
0.0,5,1.38945
0.0,143,1.399908
0.0,20,1.401373
1.0,127,1.410577
1.0,92,1.417217
0.0,58,1.421414
1.0,313,1.444104
0.0,31,1.446398
0.0,88,1.452811
0.0,76,1.458404
1.0,69,1.463389
1.0,57,1.467526
0.0,21,1.469077
0.0,72,1.474673
0.0,4,1.474991
1.0,174,1.487507
0.0,26,1.489429
1.0,61,1.493843
0.0,36,1.496493
0.0,22,1.4981
0.0,10,1.498832
0.0,62,1.503369
1.0,93,1.510112
0.0,37,1.512817
0.0,47,1.516236
1.0,192,1.530211
0.0,62,1.534721
0.0,82,1.540703
1.0,68,1.545607
0.0,9,1.546284
1.0,39,1.549067
0.0,118,1.557593
0.0,15,1.558715
0.0,24,1.560475
0.0,4,1.560779
0.0,23,1.562391
1.0,69,1.567349
0.0,15,1.568451
0.0,29,1.570576
0.0,32,1.572892
1.0,42,1.575869
0.0,71,1.580963
0.0,18,1.582303
0.0,19,1.583711
0.0,17,1.584953
1.0,25,1.586667
1.0,14,1.587677
0.0,4,1.587989
1.0,21,1.589453
1.0,42,1.592498
0.0,9,1.593181
1.0,23,1.59478
0.0,9,1.595409
0.0,13,1.596369
0.0,15,1.597442
1.0,19,1.598823
0.0,62,1.602994
0.0,13,1.603971
0.0,15,1.605072
0.0,27,1.607021
1.0,62,1.611439
1.0,40,1.61434
0.0,44,1.617501
0.0,4,1.617806
1.0,18,1.619115
0.0,46,1.622436
0.0,141,1.63269
0.0,34,1.635102
1.0,78,1.640725
0.0,2,1.640889
0.0,14,1.641902
0.0,1,1.641991
0.0,87,1.648274
1.0,59,1.652602
1.0,16,1.653737
0.0,23,1.655343
0.0,11,1.656142
1.0,75,1.661533
0.0,14,1.662559
0.0,53,1.666391
1.0,98,1.673479
1.0,64,1.6781
0.0,18,1.679444
0.0,24,1.681226
1.0,65,1.685926
1.0,75,1.691379
1.0,112,1.699518
0.0,48,1.702991
0.0,205,1.717924
0.0,10,1.718694
0.0,103,1.726154
1.0,49,1.729672
1.0,71,1.734803
0.0,24,1.736571
1.0,30,1.738724
0.0,30,1.7409
1.0,23,1.74255
1.0,35,1.745032
0.0,8,1.745638
0.0,31,1.747883
1.0,68,1.752805
1.0,26,1.7547
1.0,21,1.756168
1.0,40,1.758836
0.0,24,1.760455
0.0,11,1.761262
0.0,13,1.76221
1.0,18,1.7635
0.0,46,1.766863
1.0,23,1.768529
0.0,9,1.769194
0.0,12,1.770071
0.0,20,1.771533
0.0,83,1.777604
1.0,91,1.784233
0.0,124,1.793235
0.0,9,1.793925
0.0,10,1.794666
0.0,35,1.797207
0.0,11,1.79802
0.0,11,1.798815
0.0,26,1.800711
0.0,44,1.803879
1.0,18,1.805179
0.0,10,1.805924
1.0,36,1.808493
0.0,6,1.808919
0.0,11,1.809728
1.0,23,1.811215
0.0,12,1.812091
0.0,18,1.813397
0.0,38,1.816247
0.0,12,1.817135
0.0,25,1.818977
0.0,19,1.820383
0.0,82,1.826276
0.0,10,1.82703
0.0,32,1.82939
0.0,7,1.829924
0.0,12,1.830822
0.0,111,1.83887
1.0,23,1.840426
0.0,37,1.842917
1.0,22,1.844482
1.0,28,1.846516
0.0,60,1.850861
0.0,88,1.857511
1.0,27,1.859458
0.0,10,1.860189
0.0,19,1.861539
1.0,24,1.863223
0.0,9,1.863899
1.0,80,1.869696
1.0,40,1.8724
0.0,12,1.873302
0.0,13,1.874273
1.0,44,1.87735
1.0,25,1.879036
0.0,25,1.88081
1.0,22,1.882391
0.0,14,1.883392
0.0,47,1.886646
1.0,32,1.888992
1.0,69,1.893805
0.0,13,1.894767
1.0,44,1.898
1.0,33,1.900185
0.0,15,1.901277
0.0,30,1.903416
0.0,99,1.91065
0.0,30,1.912875
0.0,23,1.914577
1.0,30,1.916726
0.0,21,1.918254
1.0,33,1.920489
1.0,26,1.922334
0.0,11,1.923154
1.0,31,1.925257
0.0,38,1.927652
0.0,6,1.928109
1.0,20,1.929527
0.0,10,1.930274
0.0,55,1.93419
1.0,15,1.935271
0.0,40,1.93819
0.0,35,1.94077
1.0,30,1.942909
