#{"t_start": 1715512442.1725929, "env_id": "Office-v0"}
r,l,t
0.0,8,0.001778
0.0,65,0.012093
0.0,101,0.026983
0.0,30,0.031175
0.0,48,0.037764
0.0,64,0.046397
0.0,6,0.047207
1.0,62,0.055601
0.0,2,0.055888
0.0,34,0.060555
0.0,34,0.065176
0.0,94,0.07794
0.0,8,0.079035
0.0,98,0.092417
0.0,11,0.093927
0.0,36,0.098828
0.0,89,0.111005
0.0,71,0.120672
1.0,90,0.132866
1.0,30,0.136939
0.0,101,0.150626
0.0,47,0.156998
0.0,25,0.16041
1.0,56,0.168027
1.0,66,0.177022
0.0,109,0.191801
0.0,101,0.205513
1.0,110,0.220506
0.0,49,0.227469
0.0,17,0.22979
0.0,24,0.233051
0.0,16,0.235232
0.0,30,0.239303
0.0,1,0.239447
0.0,40,0.244882
0.0,24,0.248153
0.0,25,0.25155
1.0,47,0.257916
0.0,121,0.274348
0.0,14,0.276253
1.0,114,0.291793
1.0,34,0.296413
0.0,217,0.32599
1.0,44,0.332003
0.0,61,0.340369
0.0,29,0.34431
0.0,84,0.355706
0.0,8,0.356799
0.0,49,0.363437
0.0,80,0.374278
0.0,101,0.387988
1.0,185,0.413184
0.0,46,0.419481
0.0,4,0.420035
0.0,15,0.422108
0.0,17,0.424427
0.0,93,0.437174
0.0,186,0.462587
0.0,108,0.477334
1.0,16,0.479509
1.0,35,0.484279
1.0,98,0.497662
0.0,13,0.499436
1.0,18,0.50188
0.0,11,0.503382
0.0,5,0.504072
0.0,77,0.514575
1.0,18,0.517031
0.0,8,0.518131
1.0,34,0.522745
0.0,37,0.527784
0.0,22,0.530785
1.0,28,0.534606
0.0,20,0.537348
0.0,56,0.545005
1.0,29,0.548964
0.0,17,0.551283
1.0,237,0.583645
0.0,125,0.600673
1.0,30,0.604757
0.0,38,0.609947
0.0,11,0.611457
0.0,35,0.616247
1.0,249,0.650419
1.0,66,0.659463
0.0,166,0.682208
0.0,23,0.685363
0.0,1,0.685509
1.0,147,0.705597
1.0,134,0.724007
0.0,212,0.753154
1.0,29,0.757117
1.0,65,0.766006
1.0,50,0.77283
0.0,11,0.774343
0.0,28,0.778186
0.0,50,0.785042
1.0,199,0.812344
0.0,68,0.821665
0.0,29,0.825643
0.0,54,0.833009
0.0,100,0.846772
0.0,104,0.861081
1.0,38,0.866289
1.0,46,0.872563
0.0,151,0.893356
0.0,97,0.906657
0.0,26,0.910221
0.0,24,0.913511
0.0,23,0.916666
0.0,25,0.920086
0.0,100,0.933825
0.0,36,0.938751
0.0,25,0.942175
0.0,32,0.946585
1.0,167,0.96952
0.0,69,0.978944
1.0,9,0.980167
0.0,56,0.98785
1.0,53,0.99504
0.0,25,0.998462
1.0,90,1.010743
0.0,28,1.014598
1.0,110,1.029693
0.0,60,1.037918
0.0,16,1.040116
0.0,45,1.046271
0.0,68,1.055599
0.0,41,1.061218
0.0,42,1.06696
0.0,17,1.069276
1.0,29,1.073223
1.0,8,1.074315
0.0,12,1.075966
0.0,4,1.076521
0.0,151,1.097234
0.0,27,1.100932
0.0,6,1.101756
0.0,63,1.110377
1.0,99,1.123953
0.0,2,1.124235
0.0,26,1.127804
0.0,19,1.130399
0.0,66,1.139441
0.0,24,1.142741
0.0,254,1.177633
0.0,5,1.178329
1.0,20,1.18107
0.0,64,1.189839
1.0,37,1.194901
0.0,29,1.198904
1.0,38,1.204171
1.0,106,1.218779
0.0,10,1.220162
0.0,38,1.225366
1.0,20,1.228144
0.0,16,1.230631
0.0,60,1.238868
0.0,28,1.242697
0.0,12,1.244353
0.0,105,1.258784
1.0,172,1.282465
0.0,156,1.303878
0.0,117,1.319963
1.0,77,1.330514
0.0,34,1.335175
0.0,128,1.352736
0.0,56,1.360434
1.0,79,1.371292
1.0,105,1.394269
1.0,74,1.405028
0.0,1,1.405192
1.0,12,1.40687
0.0,45,1.413161
0.0,65,1.422236
0.0,4,1.422816
1.0,8,1.423939
0.0,4,1.424509
0.0,48,1.431138
1.0,218,1.461415
0.0,6,1.462263
0.0,11,1.463787
0.0,124,1.480997
1.0,243,1.514719
0.0,30,1.518847
0.0,125,1.536073
0.0,34,1.540779
1.0,146,1.560978
1.0,72,1.570889
0.0,92,1.583613
0.0,44,1.589659
0.0,67,1.598889
0.0,22,1.601926
0.0,21,1.604838
1.0,12,1.60649
0.0,1,1.606634
0.0,79,1.617493
0.0,19,1.620098
0.0,216,1.650005
0.0,118,1.66634
0.0,28,1.670188
0.0,2,1.670469
0.0,73,1.680528
1.0,61,1.688937
0.0,20,1.691691
1.0,25,1.695116
0.0,84,1.706678
0.0,4,1.707235
1.0,60,1.715496
0.0,37,1.720575
0.0,80,1.73158
0.0,116,1.747617
0.0,112,1.76307
0.0,29,1.76707
0.0,15,1.769152
0.0,2,1.76943
1.0,95,1.782493
1.0,104,1.796891
1.0,73,1.806932
1.0,29,1.810911
1.0,92,1.823602
0.0,12,1.825259
0.0,34,1.829939
0.0,4,1.830493
1.0,60,1.838762
0.0,66,1.84785
0.0,1,1.847995
1.0,18,1.850475
1.0,79,1.861427
0.0,55,1.869059
0.0,68,1.878413
1.0,23,1.881571
0.0,5,1.882267
1.0,63,1.890998
0.0,6,1.891832
1.0,36,1.896775
1.0,38,1.901995
0.0,6,1.902823
0.0,14,1.904768
1.0,12,1.906412
0.0,4,1.906972
0.0,9,1.908215
0.0,11,1.909734
0.0,13,1.911527
1.0,27,1.91524
1.0,29,1.919217
0.0,7,1.920194
1.0,49,1.926965
0.0,9,1.92821
0.0,6,1.929045
1.0,130,1.94701
1.0,39,1.952394
0.0,4,1.952954
0.0,35,1.957757
0.0,15,1.959822
1.0,112,1.975282
0.0,49,1.982011
0.0,35,1.986849
0.0,50,1.993738
0.0,4,1.994297
0.0,9,1.995548
0.0,15,1.997627
0.0,34,2.002361
0.0,11,2.003889
0.0,38,2.009139
0.0,130,2.027122
0.0,57,2.034962
1.0,19,2.037581
0.0,12,2.039239
0.0,9,2.040481
0.0,230,2.072389
0.0,39,2.077774
1.0,45,2.08399
0.0,32,2.088404
0.0,46,2.094745
1.0,83,2.106235
1.0,45,2.11239
0.0,15,2.114464
0.0,6,2.115295
0.0,6,2.116125
0.0,4,2.116681
0.0,19,2.1193
1.0,60,2.127569
0.0,80,2.138651
1.0,18,2.141139
0.0,83,2.152625
0.0,33,2.157165
0.0,78,2.167904
0.0,8,2.169011
0.0,109,2.184076
0.0,115,2.200021
1.0,45,2.206199
1.0,25,2.20964
0.0,68,2.219051
0.0,175,2.243654
1.0,52,2.2508
1.0,53,2.258082
1.0,66,2.267181
0.0,14,2.269113
1.0,22,2.272134
0.0,16,2.274357
0.0,7,2.275324
0.0,33,2.279876
0.0,39,2.285249
0.0,41,2.290913
0.0,28,2.294787
0.0,37,2.29988
1.0,10,2.301247
1.0,11,2.302767
0.0,6,2.303592
0.0,103,2.317862
0.0,11,2.319378
1.0,22,2.322398
0.0,8,2.323507
0.0,22,2.326547
1.0,27,2.330266
0.0,139,2.349356
1.0,109,2.364436
0.0,49,2.371206
0.0,8,2.37232
0.0,10,2.373696
1.0,25,2.377146
0.0,209,2.406083
0.0,3,2.406503
1.0,124,2.423648
0.0,6,2.424489
0.0,48,2.431131
1.0,160,2.453291
0.0,4,2.453854
0.0,13,2.455662
0.0,153,2.476813
0.0,61,2.485223
1.0,59,2.493355
0.0,44,2.499437
0.0,8,2.500536
0.0,288,2.540423
1.0,34,2.545147
0.0,71,2.554983
0.0,11,2.556505
0.0,11,2.558014
1.0,82,2.569338
1.0,18,2.571807
0.0,128,2.589555
1.0,36,2.594484
0.0,73,2.604536
1.0,82,2.615915
0.0,102,2.630054
0.0,118,2.646285
1.0,20,2.649045
0.0,30,2.653182
0.0,30,2.65735
1.0,12,2.659006
1.0,30,2.663125
1.0,12,2.664783
0.0,2,2.665058
1.0,11,2.666585
1.0,12,2.66823
0.0,24,2.671536
0.0,51,2.678581
1.0,20,2.681318
1.0,8,2.682423
0.0,7,2.683393
0.0,76,2.693941
1.0,8,2.695046
1.0,54,2.702504
0.0,7,2.703474
0.0,83,2.714997
1.0,17,2.717327
0.0,7,2.718298
0.0,15,2.720355
1.0,116,2.736426
0.0,14,2.738364
0.0,68,2.747705
0.0,13,2.749485
0.0,9,2.750729
1.0,64,2.759573
1.0,31,2.764172
1.0,15,2.766231
1.0,38,2.771456
1.0,4,2.772015
1.0,27,2.77574
0.0,65,2.784729
0.0,60,2.793065
0.0,26,2.796647
0.0,16,2.798872
0.0,26,2.802472
1.0,80,2.813644
0.0,3,2.814068
0.0,29,2.818087
0.0,19,2.82073
0.0,58,2.828774
1.0,171,2.852343
0.0,49,2.859158
1.0,24,2.862465
0.0,20,2.865237
1.0,17,2.86758
1.0,60,2.875906
0.0,13,2.877709
0.0,189,2.903928
1.0,14,2.90586
0.0,10,2.907234
0.0,20,2.909989
0.0,2,2.910265
1.0,14,2.912196
0.0,13,2.914007
0.0,28,2.917863
0.0,16,2.920093
1.0,18,2.922574
1.0,159,2.944603
1.0,109,2.959721
0.0,64,2.968595
1.0,23,2.971764
0.0,44,2.977841
1.0,35,2.982661
0.0,18,2.98516
0.0,9,2.98641
0.0,7,2.987382
0.0,12,2.989044
0.0,60,2.997354
1.0,72,3.007308
0.0,12,3.008966
0.0,33,3.013527
1.0,398,3.068685
0.0,28,3.072559
1.0,88,3.084712
0.0,62,3.093281
0.0,26,3.096854
1.0,32,3.10124
0.0,80,3.112257
0.0,28,3.11614
0.0,93,3.12901
1.0,16,3.131211
0.0,33,3.135734
0.0,28,3.139605
0.0,37,3.144702
1.0,54,3.152136
1.0,37,3.157193
1.0,27,3.16089
0.0,18,3.163367
1.0,53,3.170616
1.0,26,3.17419
0.0,16,3.176399
0.0,32,3.18081
1.0,37,3.185892
0.0,15,3.18794
1.0,22,3.190961
0.0,65,3.199915
1.0,78,3.210686
1.0,53,3.217962
1.0,83,3.229359
1.0,26,3.232945
0.0,31,3.23728
1.0,10,3.238729
1.0,24,3.24219
0.0,19,3.244817
0.0,35,3.249647
1.0,4,3.250199
0.0,7,3.251169
0.0,222,3.281875
1.0,15,3.283951
1.0,4,3.284503
0.0,1,3.284644
0.0,50,3.29157
0.0,11,3.293097
0.0,30,3.297232
0.0,12,3.298892
0.0,130,3.316857
1.0,88,3.328982
1.0,98,3.342485
0.0,15,3.344567
0.0,5,3.345252
1.0,22,3.348306
1.0,18,3.350787
1.0,100,3.364572
1.0,68,3.373938
0.0,3,3.374366
1.0,33,3.378913
1.0,58,3.386945
0.0,127,3.404534
1.0,4,3.405087
1.0,23,3.408253
1.0,26,3.4118
0.0,13,3.413609
1.0,24,3.416914
0.0,6,3.417749
0.0,41,3.42344
0.0,187,3.449422
0.0,16,3.451626
1.0,9,3.452864
0.0,13,3.454668
0.0,96,3.468
1.0,95,3.481068
0.0,14,3.482999
1.0,110,3.498178
1.0,90,3.51064
0.0,61,3.519011
0.0,16,3.521225
1.0,58,3.529202
0.0,2,3.529485
1.0,4,3.530035
1.0,32,3.534439
1.0,25,3.537841
0.0,21,3.540744
0.0,2,3.541024
0.0,21,3.543909
1.0,18,3.546372
0.0,8,3.547481
0.0,8,3.548588
1.0,74,3.558704
1.0,43,3.564623
0.0,13,3.566418
0.0,8,3.567521
0.0,66,3.576646
0.0,19,3.579235
0.0,50,3.586123
1.0,34,3.590798
1.0,82,3.602119
0.0,1,3.602263
0.0,82,3.613594
0.0,38,3.618828
0.0,38,3.624062
1.0,43,3.629972
0.0,64,3.638803
0.0,1,3.638946
1.0,126,3.656323
0.0,183,3.68174
0.0,25,3.685211
1.0,24,3.688534
0.0,38,3.693786
0.0,52,3.70094
0.0,13,3.702741
1.0,20,3.705498
0.0,22,3.708543
0.0,9,3.709804
0.0,281,3.748775
0.0,13,3.750584
0.0,42,3.756384
0.0,36,3.761348
0.0,4,3.761902
0.0,26,3.765517
0.0,75,3.77584
0.0,14,3.777784
0.0,2,3.778062
0.0,69,3.78759
1.0,183,3.812975
0.0,55,3.820585
0.0,19,3.823209
1.0,63,3.831878
0.0,64,3.840758
0.0,13,3.842556
0.0,173,3.866497
0.0,13,3.868306
0.0,27,3.87203
1.0,54,3.879442
0.0,45,3.885663
1.0,31,3.889939
1.0,12,3.891599
0.0,20,3.894359
0.0,13,3.896153
0.0,41,3.901809
1.0,43,3.907747
0.0,20,3.910469
0.0,4,3.911026
0.0,106,3.925662
1.0,72,3.935601
0.0,117,3.951785
0.0,39,3.957182
0.0,15,3.959253
0.0,15,3.96133
1.0,42,3.967112
0.0,98,3.980685
0.0,38,3.98594
0.0,30,3.990092
1.0,39,3.995448
0.0,16,3.997651
1.0,18,4.000139
0.0,42,4.005939
0.0,23,4.009128
0.0,172,4.032945
1.0,13,4.034741
0.0,26,4.038345
0.0,18,4.040844
0.0,15,4.042917
1.0,12,4.044578
0.0,16,4.046784
0.0,10,4.048154
0.0,128,4.065828
1.0,13,4.067629
1.0,59,4.075769
0.0,34,4.080454
0.0,174,4.104604
1.0,16,4.106801
0.0,7,4.107774
0.0,127,4.125318
0.0,337,4.172086
1.0,34,4.176742
0.0,25,4.18019
1.0,83,4.191671
0.0,8,4.192794
0.0,18,4.195282
0.0,24,4.198598
0.0,139,4.217803
0.0,11,4.219331
1.0,35,4.224175
0.0,21,4.227083
0.0,60,4.235365
0.0,238,4.26849
0.0,2,4.268773
1.0,64,4.277565
0.0,35,4.28237
0.0,82,4.29359
1.0,95,4.306651
0.0,40,4.312139
0.0,32,4.316585
0.0,93,4.329405
0.0,10,4.330782
0.0,110,4.345921
0.0,20,4.348671
1.0,84,4.360211
1.0,104,4.374524
1.0,106,4.389209
0.0,11,4.390732
0.0,8,4.391841
1.0,22,4.394866
1.0,49,4.401615
0.0,17,4.403963
0.0,9,4.405213
0.0,12,4.406873
0.0,24,4.410185
0.0,2,4.410463
0.0,50,4.417353
1.0,19,4.419953
1.0,114,4.435679
0.0,32,4.440083
0.0,40,4.44563
0.0,82,4.456914
1.0,48,4.463484
0.0,52,4.47068
1.0,63,4.479353
1.0,18,4.481821
0.0,13,4.483593
1.0,30,4.487711
0.0,10,4.489081
0.0,11,4.490598
1.0,4,4.491146
1.0,58,4.499135
1.0,26,4.502724
0.0,14,4.504664
1.0,8,4.505759
0.0,5,4.506446
0.0,38,4.511683
1.0,14,4.513611
0.0,9,4.514848
0.0,37,4.519946
0.0,33,4.524479
0.0,31,4.528753
1.0,76,4.539244
0.0,24,4.542554
0.0,15,4.54465
1.0,5,4.545341
0.0,3,4.545759
0.0,29,4.549772
0.0,47,4.556265
1.0,76,4.566745
1.0,66,4.57583
0.0,15,4.577898
0.0,146,4.598085
1.0,14,4.60001
0.0,45,4.606217
0.0,15,4.60828
0.0,24,4.611601
1.0,62,4.620114
0.0,50,4.627002
0.0,17,4.629383
0.0,143,4.649208
1.0,21,4.652113
0.0,27,4.655793
0.0,10,4.657166
0.0,24,4.660464
0.0,19,4.663082
0.0,6,4.663912
1.0,16,4.66609
0.0,58,4.673916
1.0,19,4.67651
0.0,11,4.678029
1.0,24,4.681312
0.0,26,4.684865
1.0,17,4.687193
1.0,23,4.690354
1.0,17,4.692682
0.0,12,4.694361
1.0,13,4.696149
0.0,6,4.696982
1.0,16,4.69916
0.0,15,4.701221
1.0,12,4.702866
0.0,11,4.704385
0.0,2,4.704661
0.0,96,4.717914
1.0,14,4.719834
1.0,16,4.722026
1.0,14,4.723953
0.0,147,4.744118
1.0,29,4.748067
0.0,15,4.750119
0.0,7,4.751083
0.0,20,4.753806
1.0,20,4.756573
1.0,10,4.75796
1.0,13,4.759745
0.0,23,4.762915
0.0,80,4.773944
0.0,31,4.778209
0.0,6,4.779038
0.0,198,4.806425
0.0,20,4.809184
0.0,14,4.811123
0.0,13,4.812921
0.0,24,4.816235
0.0,25,4.81968
0.0,24,4.822985
0.0,32,4.827432
0.0,38,4.832668
0.0,108,4.847543
0.0,65,4.856537
0.0,18,4.859034
0.0,16,4.861241
1.0,63,4.869908
0.0,38,4.875163
1.0,26,4.878724
0.0,17,4.881069
0.0,26,4.884656
1.0,64,4.893496
0.0,2,4.893775
0.0,22,4.896811
0.0,1,4.896953
0.0,45,4.903126
0.0,16,4.905335
0.0,22,4.908377
0.0,45,4.914596
1.0,34,4.919264
1.0,30,4.92339
0.0,118,4.939751
1.0,23,4.942923
0.0,21,4.94583
1.0,26,4.949405
0.0,14,4.951351
0.0,1,4.951491
0.0,17,4.95384
0.0,11,4.955366
0.0,42,4.961192
1.0,21,4.964086
1.0,35,4.968891
0.0,24,4.972187
0.0,42,4.977961
0.0,12,4.979615
1.0,42,4.985389
0.0,11,4.986913
0.0,30,4.991051
1.0,25,4.994496
1.0,50,5.001362
0.0,26,5.004936
0.0,18,5.00742
1.0,20,5.010165
1.0,34,5.014874
0.0,7,5.015848
0.0,12,5.017509
1.0,21,5.020398
0.0,26,5.023989
1.0,86,5.035801
0.0,32,5.040173
1.0,20,5.042914
0.0,12,5.044585
0.0,105,5.059025
0.0,62,5.067539
0.0,66,5.076611
1.0,103,5.090805
0.0,23,5.093987
0.0,46,5.100339
0.0,49,5.107091
0.0,95,5.120235
1.0,68,5.129539
0.0,31,5.1338
1.0,35,5.138622
0.0,51,5.145631
0.0,7,5.146604
0.0,3,5.147022
0.0,21,5.149929
1.0,35,5.154779
1.0,31,5.15904
0.0,39,5.164416
1.0,38,5.169628
0.0,54,5.177086
0.0,11,5.1786
0.0,84,5.190102
1.0,17,5.19243
0.0,1,5.192581
1.0,41,5.198185
0.0,12,5.199836
1.0,15,5.201907
1.0,25,5.205344
0.0,13,5.207136
1.0,53,5.21441
0.0,12,5.216069
0.0,2,5.216347
0.0,46,5.222722
0.0,107,5.237447
1.0,19,5.240051
0.0,2,5.240326
0.0,31,5.244594
0.0,21,5.247629
0.0,10,5.249126
0.0,24,5.252463
0.0,35,5.257295
0.0,22,5.260329
1.0,41,5.265997
0.0,7,5.266965
1.0,119,5.283366
0.0,9,5.284624
1.0,21,5.28753
0.0,37,5.292644
0.0,16,5.294863
0.0,36,5.299808
0.0,19,5.302443
1.0,38,5.307666
0.0,43,5.313626
0.0,30,5.317764
1.0,31,5.321987
0.0,18,5.324483
0.0,22,5.327519
0.0,13,5.329314
1.0,77,5.339915
0.0,40,5.345433
0.0,29,5.349426
0.0,16,5.35164
0.0,135,5.37029
1.0,144,5.390293
1.0,95,5.403408
0.0,6,5.404243
1.0,73,5.414303
0.0,15,5.416376
0.0,15,5.418479
0.0,30,5.422599
1.0,20,5.425344
0.0,20,5.428101
0.0,14,5.430054
1.0,184,5.455529
1.0,57,5.463335
0.0,23,5.466507
1.0,28,5.470367
0.0,28,5.474226
0.0,17,5.476576
0.0,14,5.478521
0.0,77,5.489171
0.0,21,5.492077
0.0,23,5.495259
0.0,8,5.496367
1.0,27,5.500073
0.0,60,5.508353
1.0,94,5.521274
0.0,17,5.52362
0.0,18,5.526191
0.0,38,5.531415
0.0,19,5.534039
0.0,20,5.53681
0.0,39,5.542187
0.0,7,5.543149
0.0,9,5.544398
1.0,59,5.552605
1.0,31,5.556881
0.0,40,5.562433
1.0,15,5.564517
0.0,20,5.567285
0.0,36,5.57222
