#{"t_start": 1715359689.4377542, "env_id": "Office-v0"}
r,l,t
0.0,6,0.000379
0.0,49,0.000927
0.0,69,0.00162
0.0,34,0.001955
0.0,33,0.00228
0.0,22,0.002498
0.0,62,0.003103
0.0,14,0.003256
0.0,53,0.003771
0.0,37,0.004127
0.0,20,0.004328
0.0,85,0.005192
0.0,61,0.005776
1.0,32,0.006086
0.0,2,0.00612
0.0,4,0.006169
0.0,2,0.006199
0.0,54,0.006714
0.0,24,0.006943
1.0,53,0.007448
1.0,64,0.008057
0.0,40,0.008439
0.0,27,0.008701
0.0,19,0.00889
0.0,10,0.008995
0.0,20,0.00919
0.0,68,0.00982
0.0,25,0.010063
0.0,5,0.010124
0.0,19,0.010306
1.0,84,0.011082
1.0,33,0.011402
0.0,25,0.011645
0.0,24,0.011879
0.0,9,0.011974
0.0,22,0.012183
0.0,9,0.01228
0.0,4,0.01233
0.0,10,0.012434
0.0,20,0.012628
0.0,43,0.01304
0.0,82,0.013795
0.0,28,0.014067
0.0,30,0.014354
0.0,6,0.01442
0.0,16,0.014578
0.0,17,0.014739
0.0,46,0.01518
0.0,55,0.015719
0.0,32,0.016028
0.0,90,0.016875
0.0,32,0.017224
0.0,37,0.017577
0.0,34,0.017958
0.0,52,0.018574
1.0,74,0.019334
0.0,79,0.020096
0.0,45,0.02054
0.0,44,0.02097
0.0,33,0.021305
0.0,13,0.021442
0.0,115,0.022516
0.0,95,0.023423
0.0,68,0.024078
0.0,67,0.02471
0.0,36,0.025065
0.0,38,0.02543
1.0,104,0.026418
1.0,12,0.026542
0.0,27,0.026805
0.0,19,0.026996
0.0,7,0.027074
0.0,27,0.027338
0.0,37,0.027697
0.0,10,0.027802
0.0,30,0.028094
1.0,109,0.029129
1.0,113,0.030218
0.0,46,0.030671
0.0,59,0.031256
0.0,50,0.031742
0.0,57,0.032283
0.0,13,0.032421
0.0,5,0.032479
0.0,8,0.032566
1.0,57,0.03311
0.0,39,0.033492
1.0,32,0.033799
0.0,46,0.034232
0.0,30,0.03452
0.0,49,0.034978
1.0,76,0.035695
0.0,69,0.036344
0.0,14,0.036484
0.0,41,0.036859
0.0,111,0.037946
1.0,103,0.038914
0.0,105,0.039889
0.0,18,0.04007
0.0,13,0.040204
1.0,51,0.040686
0.0,18,0.04087
0.0,142,0.042195
1.0,42,0.042609
0.0,105,0.043593
0.0,8,0.043678
1.0,68,0.044331
0.0,51,0.044819
1.0,42,0.045221
0.0,70,0.04588
0.0,36,0.046224
1.0,39,0.046594
1.0,6,0.046662
0.0,56,0.04719
0.0,36,0.047532
1.0,55,0.048055
0.0,84,0.048869
0.0,50,0.049383
0.0,57,0.049964
0.0,22,0.050181
1.0,73,0.050863
0.0,47,0.051319
0.0,48,0.051778
1.0,101,0.052736
0.0,3,0.052798
1.0,33,0.05312
0.0,20,0.053318
1.0,135,0.054574
0.0,10,0.054686
0.0,20,0.054893
0.0,52,0.05538
1.0,15,0.055533
1.0,12,0.055656
0.0,70,0.056309
1.0,136,0.05757
1.0,32,0.057895
0.0,102,0.058871
0.0,18,0.059052
0.0,24,0.059284
1.0,43,0.059689
0.0,49,0.060174
0.0,44,0.06059
0.0,12,0.060712
0.0,47,0.061156
0.0,6,0.061224
0.0,10,0.061327
0.0,41,0.061715
0.0,40,0.062095
1.0,24,0.062323
0.0,1,0.062344
0.0,104,0.063314
1.0,41,0.063711
0.0,23,0.063933
0.0,25,0.064176
0.0,37,0.06453
1.0,36,0.064878
1.0,77,0.06561
0.0,59,0.066162
0.0,50,0.066636
1.0,65,0.067252
0.0,10,0.067359
0.0,18,0.067536
0.0,67,0.06817
0.0,10,0.068273
0.0,23,0.068494
0.0,62,0.069099
0.0,56,0.069645
0.0,92,0.070506
1.0,76,0.071215
0.0,33,0.071534
0.0,19,0.071726
1.0,51,0.072206
0.0,9,0.072303
1.0,137,0.073593
0.0,44,0.074021
1.0,13,0.074157
1.0,51,0.074642
0.0,2,0.074672
0.0,77,0.075408
0.0,1,0.07543
0.0,52,0.075922
1.0,21,0.076129
0.0,112,0.077165
1.0,53,0.077679
0.0,48,0.078135
0.0,32,0.078446
0.0,45,0.07888
0.0,42,0.079278
1.0,61,0.079854
1.0,29,0.080133
0.0,54,0.080642
0.0,70,0.0813
0.0,32,0.081604
0.0,63,0.08219
0.0,63,0.082774
1.0,49,0.083235
1.0,104,0.084219
0.0,18,0.084398
0.0,1,0.084419
0.0,18,0.084598
0.0,45,0.085023
1.0,88,0.085888
0.0,10,0.085995
1.0,27,0.086258
0.0,41,0.086654
0.0,60,0.087221
0.0,54,0.087733
1.0,21,0.087939
0.0,10,0.088042
0.0,26,0.088291
0.0,6,0.088358
0.0,14,0.088495
0.0,55,0.088999
0.0,34,0.089322
0.0,41,0.089712
1.0,185,0.091451
0.0,57,0.092018
0.0,87,0.092834
0.0,41,0.093224
1.0,52,0.093712
0.0,47,0.094168
0.0,73,0.094843
0.0,55,0.095358
0.0,4,0.095407
1.0,134,0.104547
0.0,18,0.104902
0.0,37,0.105301
0.0,25,0.105561
1.0,84,0.10649
1.0,30,0.106818
0.0,136,0.108249
0.0,6,0.108328
0.0,61,0.108939
0.0,16,0.109163
0.0,26,0.10943
1.0,41,0.109835
1.0,123,0.111009
0.0,2,0.111044
1.0,144,0.112424
1.0,37,0.112803
1.0,137,0.114122
1.0,88,0.114976
0.0,4,0.115026
1.0,54,0.115558
0.0,29,0.115846
0.0,41,0.116244
0.0,30,0.116544
0.0,2,0.116573
0.0,25,0.116816
