#{"t_start": 1715441212.855891, "env_id": "Office-single-v0"}
r,l,t
0.0,17,0.000708
1.0,30,0.001226
1.0,118,0.003103
1.0,52,0.003938
1.0,62,0.004887
0.0,3,0.00495
1.0,36,0.005501
0.0,28,0.005933
0.0,8,0.006069
0.0,28,0.006493
0.0,67,0.007478
0.0,57,0.008325
0.0,120,0.010145
0.0,10,0.010314
0.0,63,0.01124
1.0,41,0.01187
0.0,2,0.011915
0.0,42,0.012572
1.0,102,0.014074
0.0,81,0.015277
0.0,53,0.016017
0.0,52,0.016739
0.0,29,0.017146
1.0,30,0.017566
1.0,25,0.017916
0.0,41,0.018478
1.0,39,0.01902
1.0,156,0.021162
0.0,44,0.021773
1.0,71,0.022754
1.0,100,0.02412
0.0,3,0.024175
0.0,25,0.024525
0.0,4,0.024593
0.0,37,0.025104
0.0,164,0.027323
0.0,64,0.028191
1.0,93,0.029418
0.0,130,0.031132
0.0,19,0.031395
0.0,43,0.031966
0.0,53,0.032666
0.0,29,0.033059
0.0,72,0.034015
0.0,52,0.034718
0.0,37,0.035216
1.0,77,0.036219
0.0,11,0.036375
0.0,28,0.036741
0.0,35,0.037198
0.0,62,0.038004
0.0,8,0.03812
0.0,23,0.038426
0.0,68,0.039309
1.0,26,0.039662
1.0,136,0.041417
0.0,4,0.041485
1.0,144,0.043347
0.0,3,0.0434
1.0,35,0.043865
0.0,30,0.044262
1.0,111,0.045708
1.0,79,0.04676
0.0,59,0.047529
1.0,48,0.048172
0.0,29,0.04856
0.0,102,0.049916
1.0,73,0.050871
0.0,34,0.051321
0.0,104,0.052673
0.0,90,0.053849
1.0,55,0.054568
0.0,27,0.054927
0.0,15,0.055129
1.0,66,0.055999
0.0,4,0.056064
0.0,5,0.056142
0.0,28,0.056512
0.0,16,0.056727
0.0,61,0.057519
0.0,51,0.058185
0.0,5,0.058263
1.0,73,0.059218
0.0,16,0.059442
1.0,51,0.060116
0.0,12,0.060282
0.0,6,0.060369
0.0,113,0.061831
0.0,77,0.062836
0.0,49,0.063475
0.0,52,0.064162
0.0,59,0.064937
0.0,39,0.065463
0.0,21,0.065744
0.0,92,0.066949
0.0,43,0.067516
0.0,4,0.067579
0.0,19,0.067832
1.0,106,0.069202
0.0,43,0.069764
1.0,57,0.070512
1.0,201,0.073081
1.0,206,0.075729
0.0,7,0.075833
0.0,22,0.076125
0.0,63,0.076941
1.0,83,0.078029
1.0,87,0.079154
