steps,episodes,total reward
10000,2,2.0
20000,2,0.0
30000,3,1.0
40000,3,0.0
50000,4,1.0
60000,5,1.0
70000,6,1.0
80000,7,1.0
90000,7,0.0
100000,8,1.0
110000,8,0.0
120000,9,1.0
130000,11,2.0
140000,11,0.0
150000,12,1.0
160000,13,1.0
170000,13,0.0
180000,14,1.0
190000,15,1.0
200000,15,0.0
210000,16,1.0
220000,17,1.0
230000,19,2.0
240000,21,2.0
250000,22,1.0
260000,23,1.0
270000,24,1.0
280000,25,1.0
290000,26,1.0
300000,27,1.0
310000,28,1.0
320000,29,1.0
330000,30,1.0
340000,31,1.0
350000,32,1.0
360000,34,2.0
370000,35,1.0
380000,36,1.0
390000,38,2.0
400000,39,1.0
410000,40,1.0
420000,42,2.0
430000,45,3.0
440000,49,4.0
450000,51,2.0
460000,53,2.0
470000,55,2.0
480000,58,3.0
490000,62,4.0
500000,66,4.0
510000,70,4.0
520000,73,3.0
530000,78,5.0
540000,79,1.0
550000,83,4.0
560000,90,7.0
570000,99,9.0
580000,107,8.0
590000,118,11.0
600000,129,11.0
610000,146,17.0
620000,167,21.0
630000,189,22.0
640000,221,32.0
650000,255,34.0
660000,308,53.0
670000,354,46.0
680000,441,87.0
690000,579,138.0
700000,714,135.0
710000,848,134.0
720000,989,141.0
730000,1131,142.0
740000,1278,147.0
750000,1412,134.0
760000,1567,155.0
770000,1723,156.0
780000,1878,155.0
790000,2035,157.0
800000,2178,143.0
810000,2336,158.0
820000,2489,153.0
830000,2648,159.0
840000,2803,155.0
850000,2962,159.0
860000,3122,160.0
870000,3282,160.0
880000,3433,151.0
890000,3593,160.0
900000,3751,158.0
910000,3909,158.0
920000,4069,160.0
930000,4227,158.0
940000,4387,160.0
950000,4546,159.0
960000,4705,159.0
970000,4863,158.0
980000,5021,158.0
990000,5173,152.0
1000000,5333,160.0
1010000,5489,156.0
1020000,5642,153.0
1030000,5800,158.0
1040000,5958,158.0
1050000,6106,148.0
1060000,6254,148.0
1070000,6411,157.0
1080000,6568,157.0
1090000,6728,160.0
1100000,6887,159.0
1110000,7042,155.0
1120000,7201,159.0
1130000,7360,159.0
1140000,7519,159.0
1150000,7678,159.0
1160000,7837,159.0
1170000,7996,159.0
1180000,8154,158.0
1190000,8313,159.0
1200000,8474,161.0
1210000,8632,158.0
1220000,8768,136.0
1230000,8926,158.0
1240000,9086,160.0
1250000,9245,159.0
1260000,9402,157.0
1270000,9561,159.0
1280000,9717,156.0
1290000,9877,160.0
1300000,10038,161.0
1310000,10197,159.0
1320000,10355,158.0
1330000,10512,157.0
1340000,10672,160.0
1350000,10831,159.0
1360000,10989,158.0
1370000,11143,154.0
1380000,11302,159.0
1390000,11460,158.0
1400000,11619,159.0
1410000,11778,159.0
1420000,11940,162.0
1430000,12100,160.0
1440000,12259,159.0
1450000,12418,159.0
1460000,12576,158.0
1470000,12738,162.0
1480000,12897,159.0
1490000,13057,160.0
1500000,13218,161.0
1510000,13375,157.0
1520000,13523,148.0
1530000,13682,159.0
1540000,13840,158.0
1550000,14001,161.0
1560000,14147,146.0
1570000,14306,159.0
1580000,14466,160.0
1590000,14626,160.0
1600000,14784,158.0
1610000,14944,160.0
1620000,15103,159.0
1630000,15261,158.0
1640000,15421,160.0
1650000,15581,160.0
1660000,15743,162.0
1670000,15902,159.0
1680000,16061,159.0
1690000,16219,158.0
1700000,16376,157.0
1710000,16536,160.0
1720000,16695,159.0
1730000,16853,158.0
1740000,17014,161.0
1750000,17172,158.0
1760000,17332,160.0
1770000,17482,150.0
1780000,17642,160.0
1790000,17801,159.0
1800000,17960,159.0
1810000,18120,160.0
1820000,18279,159.0
1830000,18438,159.0
1840000,18596,158.0
1850000,18752,156.0
1860000,18910,158.0
1870000,19068,158.0
1880000,19226,158.0
1890000,19377,151.0
1900000,19536,159.0
1910000,19695,159.0
1920000,19854,159.0
1930000,20012,158.0
1940000,20172,160.0
1950000,20330,158.0
1960000,20480,150.0
1970000,20639,159.0
1980000,20798,159.0
1990000,20958,160.0
2000000,21116,158.0
