episodes,steps,total reward
1,10000,1.0
2,20000,1.0
3,30000,1.0
4,40000,1.0
4,50000,0.0
5,60000,1.0
6,70000,1.0
7,80000,1.0
7,90000,0.0
8,100000,1.0
9,110000,1.0
9,120000,0.0
9,130000,0.0
11,140000,2.0
12,150000,1.0
13,160000,1.0
15,170000,2.0
17,180000,2.0
18,190000,1.0
20,200000,2.0
21,210000,1.0
23,220000,2.0
25,230000,2.0
27,240000,2.0
28,250000,1.0
32,260000,4.0
33,270000,1.0
35,280000,2.0
39,290000,4.0
42,300000,3.0
44,310000,2.0
46,320000,2.0
49,330000,3.0
53,340000,4.0
58,350000,5.0
61,360000,3.0
66,370000,5.0
70,380000,4.0
75,390000,5.0
79,400000,4.0
87,410000,8.0
93,420000,6.0
100,430000,7.0
111,440000,11.0
121,450000,10.0
138,460000,17.0
149,470000,11.0
166,480000,17.0
180,490000,14.0
206,500000,26.0
229,510000,23.0
257,520000,28.0
292,530000,35.0
329,540000,37.0
372,550000,43.0
419,560000,47.0
468,570000,49.0
526,580000,58.0
591,590000,65.0
655,600000,64.0
731,610000,76.0
815,620000,84.0
899,630000,84.0
1006,640000,107.0
1119,650000,113.0
1250,660000,131.0
1400,670000,150.0
1550,680000,150.0
1697,690000,147.0
1850,700000,153.0
2004,710000,154.0
2167,720000,163.0
2313,730000,146.0
2474,740000,161.0
2627,750000,153.0
2788,760000,161.0
2946,770000,158.0
3098,780000,152.0
3260,790000,162.0
3416,800000,156.0
3568,810000,152.0
3730,820000,162.0
3894,830000,164.0
4058,840000,164.0
4218,850000,160.0
4381,860000,163.0
4540,870000,159.0
4703,880000,163.0
4865,890000,162.0
5028,900000,163.0
5192,910000,164.0
5355,920000,163.0
5518,930000,163.0
5683,940000,165.0
5846,950000,163.0
6008,960000,162.0
6173,970000,165.0
6336,980000,163.0
6499,990000,163.0
6662,1000000,163.0
6826,1010000,164.0
6989,1020000,163.0
7153,1030000,164.0
7315,1040000,162.0
7479,1050000,164.0
7643,1060000,164.0
7807,1070000,164.0
7966,1080000,159.0
8130,1090000,164.0
8293,1100000,163.0
8457,1110000,164.0
8616,1120000,159.0
8779,1130000,163.0
8942,1140000,163.0
9105,1150000,163.0
9267,1160000,162.0
9430,1170000,163.0
9592,1180000,162.0
9756,1190000,164.0
9920,1200000,164.0
10082,1210000,162.0
10247,1220000,165.0
10411,1230000,164.0
10575,1240000,164.0
10739,1250000,164.0
10902,1260000,163.0
11067,1270000,165.0
11231,1280000,164.0
11394,1290000,163.0
11559,1300000,165.0
11722,1310000,163.0
11887,1320000,165.0
12049,1330000,162.0
12207,1340000,158.0
12369,1350000,163.0
12532,1360000,162.0
12695,1370000,163.0
12858,1380000,163.0
13022,1390000,164.0
13183,1400000,161.0
13347,1410000,164.0
13510,1420000,163.0
13673,1430000,163.0
13837,1440000,164.0
14001,1450000,164.0
14163,1460000,162.0
14327,1470000,164.0
14492,1480000,165.0
14651,1490000,159.0
14817,1500000,166.0
14980,1510000,163.0
15142,1520000,162.0
15306,1530000,164.0
15470,1540000,164.0
15632,1550000,162.0
15796,1560000,164.0
15960,1570000,164.0
16124,1580000,164.0
16289,1590000,165.0
16453,1600000,164.0
16617,1610000,164.0
16781,1620000,164.0
16944,1630000,164.0
17108,1640000,163.0
17270,1650000,162.0
17433,1660000,163.0
17598,1670000,165.0
17761,1680000,163.0
17924,1690000,163.0
18087,1700000,163.0
18251,1710000,164.0
18414,1720000,163.0
18578,1730000,164.0
18743,1740000,165.0
18906,1750000,163.0
19071,1760000,165.0
19234,1770000,163.0
19398,1780000,164.0
19563,1790000,165.0
19726,1800000,163.0
19892,1810000,166.0
20057,1820000,165.0
20211,1830000,154.0
20376,1840000,165.0
20539,1850000,163.0
20702,1860000,163.0
20865,1870000,163.0
21027,1880000,162.0
21190,1890000,163.0
21353,1900000,163.0
21517,1910000,164.0
21675,1920000,158.0
21838,1930000,163.0
22003,1940000,165.0
22167,1950000,164.0
22330,1960000,163.0
22494,1970000,164.0
22659,1980000,165.0
22822,1990000,163.0
22986,2000000,164.0
